Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2026-01-09 (Price: 499.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 499.1), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,5.02%/0.7%/2.96%,"0%, 7.4%",1.5 month/6 days/12 days,2026-03-15/2026-01-17/2026-01-26,14.99%,9.63%,5.36%,2.13,0.58,528.3473/513.8734/501.6/512.255/537.7909/627.804/No EMA 200 Target,496.12/268.082/475.0642/401.0818/No support/No support/497.22,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2026-01-09 (Price: 48.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 48.22), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.63% above/0.0% below/0.0% below,2.7%/0.5%/1.73%,"0%, 8.66%",2.2 months/6 days/26 days,2026-04-14/2026-01-17/2026-02-15,10.25%,7.22%,3.03%,2.78,0.44,49.4593/49.0542/50.19/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,44.51/27.9467/41.5586/34.9694/43.6588/40.7697/42.24,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"JNK, Long, 2026-01-09 (Price: 97.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 97.69), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.55% above/0.19% above/0.0% below,3.5%/0.19%/1.47%,"-0.0%, 19.15%",9.1 months/1.2 month/4.1 months,2027-02-08/2026-03-02/2026-07-04,2.85%,-0.98%,3.83%,0.97,-0.59,98.1296/99.126/99.48/108.5222/169.7114/218.5371/No EMA 200 Target,96.34/88.8814/No F-Stack Support/No F-Stack Support/No support/No support/96.44,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2026-01-09 (Price: 8.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 8.54), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.14% above/0.47% above/0.0% below,12.76%/0.47%/5.95%,"-0.0%, 7.89%",7.5 months/28 days/2.8 months,2026-11-30/2026-02-18/2026-05-10,11.42%,5.83%,5.59%,1.52,0.3,9.3368/9.0481/8.64/8.8962/10.792/12.737/No EMA 200 Target,7.47/7.0017/8.0885/7.295/7.764/7.0966/7.87,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
FRACTAL TRACK,"IEI, Long, 2026-01-09 (Price: 119.33)",No Exit Yet,"0.0%, 0 days","88.24%, Past 18 years, 17","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 119.33), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 119.037), 0.25% above, Upmove Bounce Back","2025-01-19 (Price: 114.51), 2025-11-30 (Price: 120.44)",No Information,15.01%/1.09%/4.1%,"2.66%, 7.33%",9.5 years/4 months/2.4 years,2039-08-02/2026-07-01/2029-06-13,-3.74%,0.69%,-4.43%,0.36,-0.89,121.0722/124.2225/122.89/129.9625/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,119.32/113.8775/No F-Stack Support/No F-Stack Support/No support/No support/118.87,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
FRACTAL TRACK,"EFN.TO, Long, 2026-01-09 (Price: 35.19)",No Exit Yet,"0.0%, 0 days","85.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 35.19), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 33.5848), 4.78% above, Upmove Bounce Back","2023-10-23 (Price: 18.5), 2025-10-28 (Price: 38.26)",No Information,18.43%/2.81%/10.12%,"6.91%, 23.72%",1.1 year/1.1 month/3.6 months,2027-08-05/2026-02-25/2026-06-14,27.0%,15.63%,11.37%,1.17,0.95,37.3155/38.7512/47.05/No Horizontal Resistance/48.884/73.5584/No EMA 200 Target,34.5/12.67/33.6344/24.2096/35.1227/33.1947/34.67,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",No Exit Yet,"0.0%, 0 days","83.33%, Past 6 years, 18","Daily, is Confirmed on 2026-01-09",No Cancellation Possible,"2026-01-09 (Price: 44.62), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,2026-08-31/2026-01-10/2026-03-02,20.81%,10.71%,10.1%,0.63,0.53,54.0973/48.6224/54.44/51.51/57.5622/59.9244/No EMA 200 Target,No Recent Minima/34.9317/44.0597/41.1349/No support/No support/43.52,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-01-09 (Price: 88.81)",No Exit Yet,"0.0%, 0 days","83.33%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 88.81), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/1.36% above/0.0% below,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,2027-06-14/2026-03-02/2026-05-01,13.27%,11.85%,1.42%,0.6,0.66,98.6679/95.7993/99.12/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,76.55/38.015/50.2755/47.8005/No support/No support/78.08,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2026-01-09 (Price: 115.88)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 115.88), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.5% above/0.0% below/0.0% below,9.92%/0.82%/3.59%,"37.38%, 50.6%",5 months/8 days/1.4 month,2026-08-14/2026-01-20/2026-03-10,-16.64%,-4.09%,-12.55%,-0.07,-0.15,118.4641/120.0401/117.12/168.455/236.8799/272.4142/No EMA 200 Target,111.85/79.415/109.0737/100.3529/No support/No support/110.55,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2026-01-09 (Price: 40.19)",No Exit Yet,"0.0%, 0 days","73.91%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-01-09",Already confirmed,"2026-01-09 (Price: 40.19), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,5.15% above/0.55% above/0.0% below,16.17%/2.07%/7.98%,"37.54%, 76.03%",1.1 year/28 days/4.3 months,2027-08-05/2026-02-18/2026-07-14,2.07%,4.23%,-2.16%,-0.11,0.25,41.0099/43.3972/42.15/72.5033/74.4994/87.3544/No EMA 200 Target,33.34/37.115/10.9521/4.4021/No support/No support/39.25,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
