Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,2026-01-29 (Price: 91.3) (Today),90.5917 (Avg % Gain of Historic Winning trades),No Date Target,3.86%/4.07%,"16.86%, 5.3 months","2026-01-29 (Price: 91.3), 16.86% above",136.68 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/94.8264 (Backtested Max),2035-12-04 (Max)/2027-07-02 (Avg),76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",76.84,No Information,No Information,No Information,"23.66% (Price: 74.9138), 21.87% above, Upmove Bounce Back","1999-03-07 (Price: 0.425), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",Weekly,2026-01-29 (Price: 91.3) (Today),91.3918 (Avg % Gain of Historic Winning trades),No Date Target,4.07%/4.78%,"15.83%, 6.9 months","2026-01-29 (Price: 91.3), 15.83% above",137.36 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/95.6638 (Backtested Max),2035-10-16 (Max)/2027-05-14 (Avg),65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",78.12,No Information,No Information,No Information,"23.66% (Price: 74.9167), 21.87% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,No Price Target,2026-01-30 (Min),4.07%/5.13%,"14.68%, 3 months","2026-01-29 (Price: 91.3), 14.68% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/113.3487 (Backtested Max)/95.9858 (Backtested Min),2031-09-06 (Max)/2026-01-30 (Min)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 21.92% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets)
BAND MATRIX,"SJ.TO, Long, 2024-11-10 (Price: 72.37)",Weekly,No Exit Yet,93.66 (Function Specific Target),No Date Target,4.07%/20.56%,"26.16%, 1.2 year","2026-01-29 (Price: 91.3), 26.16% above",110.0675 (Avg % Gain of Historic Winning trades)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/155.6679 (Backtested Max),2027-01-01 (Max)/2026-03-16 (Avg),62.46/38.7075/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",86.7,No Information,No Information,No Information,No Information,No Information,No Information,115.1%/12.67%/52.09%,"3.15%, 49.7%",1.5 year/5.1 months/11.3 months,11.24%,11.85%,-0.61%,0.58,0.66,100.0%/5/0 days (Across ALL Assets),80.68%/88/0 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",Daily,2026-01-27 (Price: 148.34),149.94 (Avg % Gain of Historic Winning trades),2026-01-28 (Min),1.13%/2.46%,"1.97%, 9 days","2026-01-29 (Price: 149.9), 1.97% above",153.59 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.63 (EMA 200)/151.5864 (Backtested Max),2026-06-12 (Max)/2026-03-13 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",144.46,No Information,No Information,No Information,No Information,No Information,3.72% above/1.97% above/1.97% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-10-02 (Price: 152.05)",Daily,2026-01-28 (Price: 147.34),No Price Target,No Date Target,2.29%/2.8%,"-1.41%, 4 months","2026-01-29 (Price: 149.9), 1.41% below",155.6384 (Historic Rise or Fall to Pivot)/162.6023 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.1 (EMA 200)/175.5873 (Backtested Max)/153.3272 (Backtested Min),2026-05-20 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",152.72,"-3.12, 82.15%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-08-01 (Price: 150.65)",Daily,2026-01-28 (Price: 147.34),No Price Target,No Date Target,7.48%/16.06%,"-0.5%, 6 months","2026-01-29 (Price: 149.9), 0.5% below",161.1051 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/173.9706 (Backtested Max),2026-03-19 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",151.78,"-3.85, 85.0%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.95%/121/0 days (Across ALL Assets),74.78%/230/0 days (Across ALL Assets)
TRENDPULSE,"CNQ.TO, Long, 2025-06-15 (Price: 45.9)",Weekly,No Exit Yet,51.51 (Horizontal),No Date Target,7.16%/29.04%,"11.15%, 7.6 months","2026-01-29 (Price: 51.02), 11.15% above",65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/54.6715 (Backtested Max),No Next Date Target,37.72/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/44.38,"95.45%, Past 10 years, 22",43.42,No Information,No Information,No Information,No Information,No Information,17.97% above/11.15% above/11.15% above,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets)
OSCILLATOR DELTA,"CNQ.TO, Long, 2026-01-09 (Price: 44.62)",Daily,No Exit Yet,51.51 (Horizontal),No Date Target,6.01%/6.03%,"14.34%, 20 days","2026-01-29 (Price: 51.02), 14.34% above",54.0973 (Historic Rise or Fall to Pivot)/54.44 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/54.0884 (Backtested Max),2026-08-31 (Max)/2026-03-02 (Avg),No Recent Minima/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/44.01,"83.33%, Past 6 years, 18",44.08,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.08%/8.97%,"11.79%, 15.09%",5.4 months/1 day/1.2 month,20.81%,10.2%,10.61%,0.68,0.51,68.21%/151/0 days (Across ALL Assets),63.74%/353/0 days (Across ALL Assets)
BAND MATRIX,"CNQ.TO, Long, 2025-05-31 (Price: 41.67)",Monthly,No Exit Yet,50.5707 (Historic Rise or Fall to Pivot)/51.51 (Horizontal),No Date Target,29.04%/34.56%,"22.44%, 8.1 months","2026-01-29 (Price: 51.02), 22.44% above",235.1188 (Avg % Gain of Historic Winning trades)/142.84 (Function Specific Target)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/510.8617 (Backtested Max)/72.0683 (Backtested Min),2040-07-18 (Max)/2028-11-02 (Min)/2035-04-06 (Avg),39.56/13.9251/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 53 years, 4",39.51,No Information,No Information,No Information,No Information,No Information,No Information,1125.97%/72.95%/464.24%,"-0.0%, 59.73%",10.6 years/2.4 years/6.9 years,17.87%,10.02%,7.85%,0.63,0.5,No Data (Across ALL Assets),100.0%/2/0 days (Across ALL Assets)
