"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"AAPL, Long, 2025-12-22 (Price: 270.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 45 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 169.21 prior to 2025-12-31,"2025-12-22 (Price: 270.97), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 169.2862),60.07% above,"2016-06-30 (Price: 22.3675), 2024-12-31 (Price: 260.1)",37.72%/33.07%/35.65%,"-0.0%, 10.93%",1 year/9.1 months/10.6 months,2027-05-27/2027-01-21/2027-03-27,12.11%,12.37%,-0.26%,1.91,0.56,388.869/367.5708/413.61/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,23.9/136.57/248.4166/236.3611/260.3676/243.0054/230.07,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"HDB, Long, 2025-12-22 (Price: 36.29)",No Exit Yet,"0.0%, 0 days","88.89%, Past 25 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 33.78 prior to 2025-12-31,"2025-12-22 (Price: 36.29), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 34.562),5.0% above,"2024-02-29 (Price: 26.08), 2025-07-31 (Price: 39.805)",26.63%/20.05%/23.77%,"32.26%, 39.31%",3.3 years/4.1 months/1.4 year,2030-09-07/2026-06-16/2027-12-20,8.78%,11.88%,-3.1%,0.83,0.59,42.0855/44.9161/44.52/39.3812/45.6752/50.9526/No EMA 200 Target,26.75/25.6925/29.7659/26.539/No support/34.266/35.98,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"TCS.NS, Long, 2025-12-22 (Price: 3324.8999)",No Exit Yet,"0.0%, 0 days","87.5%, Past 21 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 2866.6001 prior to 2025-12-31,"2025-12-22 (Price: 3324.8999), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 2809.1),18.36% above,"2016-11-30 (Price: 1025.95), 2024-08-31 (Price: 4592.25)",26.36%/7.31%/19.71%,"10.18%, 12.85%",1.3 year/3 months/8.3 months,2027-10-30/2026-05-01/2026-12-17,7.28%,13.73%,-6.45%,0.82,0.62,3461.2208/3980.2377/5464.68/4543.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2888.4/2923.4601/No F-Stack Support/No F-Stack Support/3282.6562/3116.0412/3253.11,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"TCEHY, Long, 2025-12-22 (Price: 78.96)",No Exit Yet,"0.0%, 0 days","92.31%, Past 18 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 74.58 prior to 2025-12-26,"2025-12-22 (Price: 78.96), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 74.7427),5.64% above,"2024-02-25 (Price: 33.0), 2025-10-12 (Price: 87.68)",19.21%/15.1%/17.52%,"9.2%, 60.01%",4 years/21 days/10.7 months,2031-09-07/2026-01-21/2027-03-31,12.94%,13.58%,-0.64%,1.45,0.67,87.5903/92.7938/111.77/No Horizontal Resistance/99.3611/116.6601/No EMA 200 Target,77.81/36.36/74.5211/58.6593/70.4937/68.5057/72.09,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"FPH.NZ, Long, 2025-12-22 (Price: 37.89)",No Exit Yet,"0.0%, 0 days","85.71%, Past 24 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 34.75 prior to 2025-12-31,"2025-12-22 (Price: 37.89), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 34.9549),8.4% above,"2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,2035-02-10/2026-06-13/2030-09-07,4.68%,9.29%,-4.61%,0.75,0.49,47.2261/45.9644/49.42/39.1438/40.9296/48.5677/No EMA 200 Target,33.54/22.5167/30.9793/26.1935/35.1507/31.8879/36.31,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets)
"GNE.NZ, Long, 2025-12-22 (Price: 2.41)",No Exit Yet,"0.0%, 0 days","77.78%, Past 11 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 2.35 prior to 2025-12-26,"2025-12-22 (Price: 2.41), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 2.3652),1.89% above,"2024-06-09 (Price: 2.05), 2025-10-19 (Price: 2.56)",18.96%/17.54%/18.08%,"3.54%, 29.05%",1.2 year/3.3 months/9.6 months,2027-09-08/2026-05-14/2027-02-12,8.62%,2.18%,6.44%,0.59,0.05,2.4568/2.8457/2.72/3.575/4.6908/5.9676/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No support/No support/2.34,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"SUM.NZ, Long, 2025-12-22 (Price: 12.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 10.5 prior to 2025-12-31,"2025-12-22 (Price: 12.26), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 10.74),14.15% above,"2023-06-30 (Price: 8.04), 2024-12-31 (Price: 13.44)",48.88%/41.01%/44.94%,"-0.0%, 38.76%",1.3 year/1 year/1.1 year,2027-10-30/2027-05-27/2027-07-18,11.55%,11.73%,-0.18%,0.86,0.59,12.5861/17.7696/15.5/13.345/16.7981/18.5763/No EMA 200 Target,8.8/9.1367/11.1928/8.9354/12.1624/11.3772/11.41,93.33%/15/0 days (Across ALL Assets),77.78%/9/0 days (Across ALL Assets)
"ATM.NZ, Long, 2025-12-22 (Price: 10.62)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 11","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 9.92 prior to 2025-12-26,"2025-12-22 (Price: 10.62), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 9.6935),9.56% above,"2024-11-17 (Price: 5.22), 2025-11-09 (Price: 11.08)",28.57%/15.19%/20.26%,"-0.0%, 35.59%",1.4 year/7 days/4.4 months,2027-12-20/2026-01-01/2026-07-01,12.78%,17.84%,-5.06%,2.5,0.78,11.8243/12.7716/14.14/10.965/21.0083/25.9428/No EMA 200 Target,10.16/5.185/8.0863/5.0358/No support/No support/9.45,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"TRI.TO, Long, 2025-12-22 (Price: 182.89)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 177.0 prior to 2025-12-26,"2025-12-22 (Price: 182.89), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 178.5402),2.44% above,"2023-10-29 (Price: 163.01), 2025-07-20 (Price: 299.24)",17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,2028-02-12/2026-03-01/2026-08-22,9.55%,6.23%,3.32%,1.2,0.33,217.0173/203.5017/264.63/240.8933/308.8111/326.8654/239.03,179.89/116.89/175.5204/No support/161.3528/143.8099/No EMA 200 Support,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
"CVS, Long, 2025-12-21 (Price: 77.72)",No Exit Yet,"0.82%, 1 day","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2025-12-22 (Price: 78.36), 0.82% above",1 day,Upmove Bounce Back,23.66% (Price: 75.3098),4.05% above,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-27/2026-03-22/2029-04-01,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/116.3721/144.3517/No EMA 200 Target,75.63/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/70.45,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets)
