"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"CSCO, Long, 2026-01-27 (Price: 78.225)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-27 (Price: 78.225), 0.0% below",0 days,"2, 2025-12-03 (Price: 77.75)",2026-01-23 (Price: 74.59),2026-01-27 (Price: 78.225),4/0/0 days,4.87% above/0.0% below/0.0% below,2025-12-03 (Price: 81.8138)/2026-01-27 (Price: 74.6587),5.83%/1.03%/2.65%,"17.72%, 27.08%",1.1 month/6 days/12 days,2026-03-15/2026-02-04/2026-02-13,6.96%,6.16%,0.8%,0.14,0.32,80.8221/80.298/78.51/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,73.35/40.92/73.1467/64.9561/72.2267/66.9458/68.98,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),77.2
"EEM, Long, 2026-01-27 (Price: 60.09)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 11","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-27 (Price: 60.09), 0.0% below",0 days,"2, 2025-12-03 (Price: 54.34)",2026-01-26 (Price: 59.17),2026-01-27 (Price: 60.09),1/0/0 days,1.55% above/0.0% below/0.0% below,2025-12-03 (Price: 54.5817)/2026-01-27 (Price: 59.2763),4.72%/1.07%/2.64%,"25.37%, 34.75%",3.1 months/6 days/21 days,2026-06-10/2026-02-04/2026-02-26,2.19%,2.36%,-0.17%,0.01,0.07,62.8061/61.6764/63.54/No Horizontal Resistance/58.9308/64.643/No EMA 200 Target,52.6/37.485/54.2403/No support/53.0096/48.6462/50.88,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),59.97
"MCD, Long, 2026-01-27 (Price: 312.8)",No Exit Yet,"0.0%, 0 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-27 (Price: 312.8), 0.0% below",0 days,"0, 2024-04-10 (Price: 268.67)",2026-01-26 (Price: 312.95),2026-01-27 (Price: 312.8),1/0/0 days,0.05% below/0.0% below/0.0% below,2024-04-10 (Price: 350.307)/2026-01-27 (Price: 310.7211),4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,323.185/320.7764/339.28/321.444/322.837/371.0748/No EMA 200 Target,302.84/228.4467/306.2751/267.8324/No support/No support/306.32,88.26%/298/0 days (Across ALL Assets),82.89%/637/0 days (Across ALL Assets),312.32
"GLD, Long, 2026-01-27 (Price: 467.25)",No Exit Yet,"0.0%, 0 days","85.19%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 466.78 prior to 2026-01-30,"2026-01-27 (Price: 467.25), 0.0% below",0 days,"4, 2024-09-15 (Price: 238.68)",2026-01-25 (Price: 458.0),2026-01-27 (Price: 467.25),2/0/0 days,2.02% above/0.0% below/0.0% below,2024-09-15 (Price: 237.9929)/2026-01-27 (Price: 437.2935),8.71%/1.73%/6.03%,"3.13%, 23.93%",10.5 months/28 days/3.3 months,2027-04-28/2026-03-08/2026-06-19,4.9%,5.02%,-0.12%,1.33,0.26,497.8081/495.4252/604.39/No Horizontal Resistance/424.4974/624.146/No EMA 200 Target,236.59/150.8/301.1087/224.8487/393.8732/347.5328/344.64,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),466.78
"BNS.TO, Long, 2026-01-27 (Price: 103.52)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.58 prior to 2026-01-30,"2026-01-27 (Price: 103.52), 0.0% below",0 days,"2, 2024-03-31 (Price: 70.07)",2025-11-30 (Price: 96.94),2026-01-27 (Price: 103.52),58/0/0 days,6.79% above/0.0% below/0.0% below,2024-03-31 (Price: 70.4)/2026-01-27 (Price: 94.2089),24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-24/2026-10-14/2027-10-14,1.95%,4.3%,-2.35%,0.65,0.19,108.9444/117.5366/123.59/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,56.15/62.2517/95.6649/90.1456/92.5303/85.4202/84.51,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),101.58
"BNS.TO, Long, 2026-01-27 (Price: 103.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-01-27 (Price: 103.52), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-01-27 (Price: 103.52),119/0/0 days,15.04% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-01-27 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-07/2028-03-19/2032-01-26,6.77%,6.25%,0.52%,1.08,0.33,116.9051/113.3026/111.87/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/92.5303/85.4202/84.51,86.67%/15/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets),101.58
"ACWX, Long, 2026-01-27 (Price: 71.7)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 68.01 prior to 2026-01-30,"2026-01-27 (Price: 71.7), 0.0% below",0 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-27 (Price: 71.7),58/0/0 days,7.84% above/0.0% below/0.0% below,2023-07-31 (Price: 51.3)/2026-01-27 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-13/2026-07-22/2028-01-25,1.22%,0.78%,0.44%,0.41,-0.09,76.6975/76.5469/84.03/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/63.9523/59.1636/63.18,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),68.01
"TSM, Long, 2026-01-27 (Price: 338.8)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 311.98 prior to 2026-01-30,"2026-01-27 (Price: 338.8), 0.0% below",0 days,"2, 2024-07-31 (Price: 165.8)",2025-12-31 (Price: 303.89),2026-01-27 (Price: 338.8),27/0/0 days,11.49% above/0.0% below/0.0% below,2024-07-31 (Price: 194.3583)/2026-01-27 (Price: 293.1483),62.44%/8.11%/32.4%,"-0.0%, 49.81%",1 year/5 months/8.7 months,2027-07-02/2026-09-01/2027-02-09,9.53%,10.44%,-0.91%,1.24,0.51,454.2969/448.5712/442.6/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,166.0/83.575/291.0528/242.5186/282.2665/239.8242/252.08,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),311.98
"^BVSP, Long, 2026-01-27 (Price: 183033.5938)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 27","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 178859.0 prior to 2026-01-30,"2026-01-27 (Price: 183033.5938), 0.0% below",0 days,"2, 2025-05-25 (Price: 137824.0)",2026-01-25 (Price: 178859.0),2026-01-27 (Price: 183033.5938),2/0/0 days,2.33% above/0.0% below/0.0% below,2025-05-25 (Price: 137058.4603)/2026-01-27 (Price: 167924.5662),10.65%/0.93%/5.61%,"-0.0%, 43.39%",1.1 year/28 days/3.4 months,2027-08-23/2026-03-08/2026-06-23,7.52%,4.03%,3.49%,2.1,0.18,191526.3526/193301.7784/210159.35/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,132437.0/96132.0/151418.724/142375.45/167699.4073/158275.947/144904.15,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),178859.0
"^BVSP, Long, 2026-01-27 (Price: 183033.5938)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 161124.0 prior to 2026-01-30,"2026-01-27 (Price: 183033.5938), 0.0% below",0 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-27 (Price: 183033.5938),58/0/0 days,15.06% above/0.0% below/0.0% below,2022-09-30 (Price: 118704.842)/2026-01-27 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-13/2027-01-13/2028-10-13,6.15%,6.78%,-0.63%,0.48,0.36,202508.3682/200330.2684/226831.55/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,120283.0/96132.0/151418.724/142375.45/167699.4073/158275.947/144904.15,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),161124.0
"GS, Long, 2026-01-27 (Price: 923.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 884.0 prior to 2026-01-30,"2026-01-27 (Price: 923.68), 0.0% below",0 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-27 (Price: 923.68),27/0/0 days,5.08% above/0.0% below/0.0% below,2023-07-31 (Price: 351.8948)/2026-01-27 (Price: 831.3002),53.25%/7.0%/28.8%,"-0.0%, 34.98%",2.5 years/4 months/1.1 year,2029-08-22/2026-07-19/2027-08-23,10.95%,5.86%,5.09%,1.01,0.3,1113.0344/1189.6998/1264.37/No Horizontal Resistance/916.0326/973.4919/No EMA 200 Target,303.61/288.555/818.1554/728.9736/782.6791/658.5293/740.25,92.45%/53/0 days (Across ALL Assets),73.83%/107/0 days (Across ALL Assets),884.0
"BTI, Long, 2026-01-27 (Price: 59.695)",No Exit Yet,"0.0%, 0 days","95.45%, Past 10 years, 22","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 59.3 prior to 2026-01-30,"2026-01-27 (Price: 59.695), 0.0% below",0 days,"2, 2025-08-17 (Price: 57.15)",2026-01-27 (Price: 59.695),2026-01-27 (Price: 59.695),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-08-17 (Price: 59.3094)/2026-01-27 (Price: 58.8444),17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,2027-05-06/2026-03-20/2026-06-23,-1.73%,1.97%,-3.7%,0.5,0.04,63.6767/64.9601/61.22/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,55.19/28.5067/53.9498/50.4772/58.9758/No support/51.97,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),59.3
"GILD, Long, 2026-01-27 (Price: 140.68)",No Exit Yet,"0.0%, 0 days","96.43%, Past 10 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 135.88 prior to 2026-01-30,"2026-01-27 (Price: 140.68), 0.0% below",0 days,"2, 2025-05-25 (Price: 107.37)",2026-01-27 (Price: 140.68),2026-01-27 (Price: 140.68),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-05-25 (Price: 112.6514)/2026-01-27 (Price: 134.3968),26.57%/2.74%/15.13%,"8.71%, 37.09%",1.2 year/1.2 month/4.5 months,2027-10-14/2026-03-20/2026-08-10,13.74%,9.41%,4.33%,1.53,0.5,153.721/161.9649/160.67/No Horizontal Resistance/135.1689/147.6277/No EMA 200 Target,112.1/57.18/124.0112/101.881/107.574/87.1922/115.17,95.35%/129/0 days (Across ALL Assets),78.95%/266/0 days (Across ALL Assets),135.88
