Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",Daily,No Exit Yet,No Price Target,2025-11-23 (Min),3.47%/3.94%,"1.02%, 2 days","2025-11-26 (Price: 87690.4219), 1.02% above",90737.2747 (Historic Rise or Fall to Pivot)/93870.9354 (Avg % Gain of Historic Winning trades)/91145.26 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109972.47 (Moving Avg)/103341.3618 (Backtested Best)/91179.9802 (Backtested Worst),2026-01-05 (Max)/2025-12-04 (Avg),No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,"84.21%, Past 6 years, 57",No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,54.01%,49.41%,4.61%,0.19,0.92,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",Daily,No Exit Yet,No Price Target,2025-11-23 (Avg),7.51%/10.62%,"-4.13%, 5 days","2025-11-26 (Price: 87690.4219), 4.13% below",96999.6847 (Historic Rise or Fall to Pivot)/97054.5643 (Avg % Gain of Historic Winning trades)/97027.12 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/109972.47 (Moving Avg)/102167.5133 (Backtested Best)/94273.9982 (Backtested Worst),2025-12-09 (Max),76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.91%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,11.7%/3.07%/6.11%,"14.07%, 14.27%",14 days/0 days/3 days,16.86%,15.19%,1.67%,0.65,0.39,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",Daily,No Exit Yet,3173.84 (Exit Rule),No Date Target,0.98%/11.75%,"4.1%, 15 days","2025-11-26 (Price: 3171.8), 4.1% above",3544.5751 (Avg % Gain of Historic Winning trades)/5637.7577 (F-Stack 1)/6711.0756 (F-Stack 2)/3914.4809 (Backtested Best)/3203.0064 (Backtested Worst),2028-11-02 (Max)/2026-03-11 (Min)/2026-12-08 (Avg),No Recent Minima/No Horizontal Support/2637.2425/2299.5932/No F-Track Level/No F-Track Level/No Moving Avg Support,"100.0%, Past 5 years, 33",No Information,No Information,No Information,"88.6% (Price: 3015.6997), 5.18% above, Upmove Bounce Back","2025-08-04 (Price: 2991.6001), 2025-09-18 (Price: 3203.0)",No Information,28.47%/5.12%/16.33%,"-0.0%, 25.8%",2.1 years/2.8 months/9.0 months,8.59%,2.55%,6.05%,0.66,0.02,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Exit Yet,No Price Target,2025-11-24 (Avg),4.26%/4.35%,"0.71%, 15 days","2025-11-25 (Price: 636.22), 0.71% above",679.5842 (Avg % Gain of Historic Winning trades)/663.35 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/673.87 (Moving Avg)/689.9451 (Backtested Best)/663.9166 (Backtested Worst),2025-12-13 (Max),No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"72.41%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,-75.0%,21.72%,-96.72%,-0.28,0.69,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"BRK-B, Long, 2025-10-31 (Price: 477.54)",Monthly,No Exit Yet,510.2992 (Historic Rise or Fall to Pivot),No Date Target,3.23%/24.04%,"6.5%, 26 days","2025-11-26 (Price: 508.57), 6.5% above",741.3331 (Avg % Gain of Historic Winning trades)/707.08 (Exit Rule)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/1452.8677 (Backtested Best)/525.0075 (Backtested Worst),2038-03-31 (Max)/2026-10-10 (Min)/2029-04-17 (Avg),267.02/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No Moving Avg Support,"92.31%, Past 29 years, 26",No Information,No Information,No Information,"23.66% (Price: 451.5539), 12.63% above, Upmove Bounce Back","2020-03-31 (Price: 159.5), 2025-05-31 (Price: 542.07)",No Information,204.24%/9.94%/55.24%,"11.32%, 45.86%",8.7 years/7.9 months/2.4 years,5.06%,11.04%,-5.98%,0.48,0.46,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,No Exit Yet,322.8294 (F-Stack 2),No Date Target,12.98%/24.3%,"14.84%, 26 days","2025-11-25 (Price: 323.64), 14.84% above",365.6614 (Avg % Gain of Historic Winning trades)/402.28 (Exit Rule)/459.4793 (Backtested Best),2027-06-19 (Max)/2026-03-04 (Min)/2026-08-15 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"94.12%, Past 20 years, 17",No Information,No Information,No Information,No Information,No Information,32.88% above/14.84% above/14.84% above,63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,22.75%,24.26%,-1.52%,1.49,0.85,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
BAND MATRIX,"GBPUSD=X, Long, 2025-10-30 (Price: 1.3195)",Daily,No Exit Yet,No Price Target,2025-11-30 (Min),0.85%/0.86%,"-0.06%, 27 days","2025-11-26 (Price: 1.3187), 0.06% below",1.3417 (Historic Rise or Fall to Pivot)/1.3524 (Avg % Gain of Historic Winning trades)/1.35 (Exit Rule)/1.4232 (Horizontal)/2.4421 (F-Stack 1)/3.2078 (F-Stack 2)/1.33 (Moving Avg)/1.3865 (Backtested Best)/1.3299 (Backtested Worst),2026-05-30 (Max)/2025-11-30 (Min)/2026-01-22 (Avg),1.32/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"91.67%, Past 5 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,5.08%/0.79%/2.49%,"10.95%, 16.78%",4.9 months/22 days/1.9 month,3.87%,0.05%,3.82%,0.25,-0.48,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-26 (Price: 617.1)",Weekly,No Exit Yet,No Price Target,2025-11-29 (Min),7.37%/8.98%,"-1.33%, 1.0 month","2025-11-25 (Price: 608.89), 1.33% below",663.5676 (Historic Rise or Fall to Pivot)/653.7557 (Avg % Gain of Historic Winning trades)/676.16 (Exit Rule)/836.2536 (F-Stack 2)/691.7074 (Backtested Best),2026-05-08 (Max)/2025-11-29 (Min)/2026-01-02 (Avg),422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/533.99,"95.83%, Past 10 years, 24",No Information,No Information,No Information,No Information,No Information,0.82% above/1.33% below/1.33% below,12.09%/1.74%/5.94%,"10.15%, 35.46%",4.5 months/24 days/1.6 month,18.57%,17.61%,0.96%,1.19,0.82,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-20 (Price: 1002.95)",Daily,No Exit Yet,No Price Target,2025-11-29 (Avg),0.87%/1.05%,"0.05%, 1.2 month","2025-11-26 (Price: 1003.45), 0.05% above",1013.9824 (Historic Rise or Fall to Pivot)/1046.9795 (Avg % Gain of Historic Winning trades)/1030.04 (Exit Rule)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1099.7347 (Backtested Best)/1012.1771 (Backtested Worst),2026-01-25 (Max)/2025-11-29 (Avg),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/935.19,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.05% above/0.05% above/0.05% above,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"BTI, Long, 2025-10-08 (Price: 51.6)",Daily,No Exit Yet,56.5794 (Avg % Gain of Historic Winning trades),No Date Target,16.98%/26.71%,"9.81%, 1.6 month","2025-11-25 (Price: 56.66), 9.81% above",66.28 (Exit Rule)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/71.7962 (Backtested Best),2029-03-16 (Max)/2027-01-17 (Avg),No Recent Minima/No Horizontal Support/49.3734/41.6622/No F-Track Level/No F-Track Level/No Moving Avg Support,"100.0%, Past 5 years, 26",No Information,No Information,No Information,"38.2% (Price: 49.9425), 13.45% above, Upmove Bounce Back","2025-01-13 (Price: 34.82), 2025-08-21 (Price: 59.29)",No Information,39.14%/0.1%/9.65%,"-0.0%, 37.23%",2.4 years/11 days/10.7 months,5.64%,8.81%,-3.17%,0.41,0.33,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
