Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 80.26), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 74.9697), 7.06% above, Upmove Bounce Back","2025-07-24 (Price: 58.5), 2025-10-29 (Price: 85.15)",No Information,30.4%/5.7%/13.11%,"-0.0%, 27.13%",225 days/22 days/81 days,2026-10-03/2025-12-13/2026-03-09,30.08%,5.19%,24.9%,0.54,0.19,80.6693/90.7821/96.25/106.045/119.2488/124.7126,76.69/58.425/74.001/62.2235/79.59/81.2609,77.47/68.2,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2025-11-12 (Price: 12.67)",No Exit Yet,"0.0%, 0 days","96.67%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 12.67), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.56% above/0.0% below/0.0% below,9.48%/0.89%/3.92%,"10.91%, 28.9%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,29.91%,15.95%,13.96%,0.82,0.6,13.1743/13.1667/12.78/No Horizontal Resistance/13.8771/15.9169,12.27/7.3167/12.3404/11.3804/14.3361/14.9482,12.34/11.29,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"XLF, Long, 2025-11-12 (Price: 53.67)",No Exit Yet,"0.0%, 0 days","92.31%, Past 4 years, 39","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 53.67), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.86% above/0.0% below/0.0% below,5.21%/1.0%/2.76%,"10.98%, 16.27%",84 days/4 days/19 days,2026-03-13/2025-11-17/2025-12-09,17.58%,9.83%,7.75%,0.38,0.36,54.7917/55.1513/53.68/No Horizontal Resistance/54.2495/60.5544,52.09/30.1167/49.3988/45.2617/49.0251/45.6605,53.2/51.34,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NIFTY_MIDCAP_100.NS, Long, 2025-11-12 (Price: 60902.3008)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 60902.3008), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.79% above/0.0% below/0.0% below,4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-22/2025-11-17/2025-12-05,15.67%,23.17%,-7.5%,0.55,1.11,63082.6032/62504.0313/62932.07/No Horizontal Resistance/72577.1591/79594.0726,59468.6/24894.2998/51420.3721/37395.584/49119.2356/41811.279,58575.85/55821.15,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"XLV, Long, 2025-11-12 (Price: 152.82)",No Exit Yet,"0.0%, 0 days","90.91%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 152.82), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,1.42% above/0.0% below/0.0% below,3.35%/0.29%/1.59%,"7.54%, 13.97%",90 days/4 days/26 days,2026-03-22/2025-11-17/2025-12-19,7.94%,7.25%,0.69%,0.38,0.26,155.5555/155.2498/162.46/No Horizontal Resistance/174.1807/202.706,143.98/121.6312/117.2225/81.225/155.7547/159.0945,142.02/139.18,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-11-12 (Price: 193.75)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 193.75), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,4.82%/1.26%/2.7%,"8.44%, 8.44%",14 days/1 days/5 days,2025-12-02/2025-11-13/2025-11-19,6.54%,8.52%,-1.98%,0.2,0.33,201.5775/198.9812/200.28/240.8933/308.8111/326.8654,190.0/116.89/175.5204/963.9349/325.4009/341.4777,220.52/247.99,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"GS, Long, 2025-11-12 (Price: 838.97)",No Exit Yet,"0.0%, 0 days","75.86%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 838.97), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.54% above/0.0% below/0.0% below,15.23%/0.89%/4.44%,"15.57%, 33.99%",65 days/5 days/21 days,2026-02-14/2025-11-19/2025-12-12,-6.28%,23.3%,-29.58%,-0.08,0.8,865.3137/876.2203/858.56/No Horizontal Resistance/818.1554/916.0326,744.6/288.555/728.9736/668.8811/709.7186/629.6555,782.75/667.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"0.0%, 0 days","75.68%, Past 6 years, 37","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-12 (Price: 80.26), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,17.09%/5.17%/8.81%,"24.36%, 24.36%",126 days/12 days/44 days,2026-05-13/2025-11-29/2026-01-14,3.83%,2.46%,1.37%,0.04,0.1,82.1381/87.3309/84.27/106.045/119.2488/124.7126,No Recent Minima/58.425/74.001/62.2235/79.59/81.2609,77.47/68.2,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2025-11-12 (Price: 116.65)",No Exit Yet,"0.0%, 0 days","73.68%, Past 4 years, 19","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 116.65), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,3.93% above/0.0% below/0.0% below,9.92%/0.82%/3.54%,"37.38%, 50.6%",107 days/5 days/24 days,2026-04-15/2025-11-19/2025-12-16,-11.02%,-2.49%,-8.53%,-0.17,-0.05,119.7296/120.7794/116.88/168.455/236.8799/272.4142,110.24/79.415/109.0737/100.3529/127.7462/133.3485,113.25/110.16,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"EBO.NZ, Long, 2025-11-12 (Price: 28.6)",No Exit Yet,"0.0%, 0 days","73.53%, Past 6 years, 34","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-12 (Price: 28.6), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,11.87%/5.31%/7.12%,"15.91%, 19.8%",83 days/3 days/26 days,2026-03-12/2025-11-16/2025-12-19,-7.76%,2.55%,-10.31%,-0.12,0.06,29.4551/30.6363/30.03/46.625/No Next Fib Ext/No Next Fib Ext,No Recent Minima/27.81/No F-Stack Support/No F-Stack Support/45.3113/47.3586,29.25/36.26,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
