Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"AIA.NZ, Long, 2026-02-03 (Price: 8.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-03 (Price: 8.28), 0.0% below",0 days,8.36,No Information,No Information,No Information,"23.66% (Price: 8.3078), 0.33% below, Upmove Bounce Back","2025-07-16 (Price: 7.365), 2026-01-12 (Price: 8.6)",No Information,12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2027-12-12/2026-05-26/2027-02-03,14.01%,-0.21%,14.22%,1.2,-0.11,8.5143/8.8662/9.02/8.8962/10.792/12.737/No EMA 200 Target,8.13/7.0017/8.0885/7.295/No support/No support/7.9,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"^NZ50, Long, 2026-02-03 (Price: 13421.5195)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 8","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-03 (Price: 13421.5195), 0.0% below",0 days,13412.4404,No Information,No Information,No Information,"23.66% (Price: 13033.3071), 2.98% above, Upmove Bounce Back","2023-10-30 (Price: 10695.9902), 2026-01-14 (Price: 13757.71)",No Information,10.49%/1.11%/5.43%,"-0.0%, 19.48%",4.1 years/7.1 months/1.6 year,2031-12-10/2026-12-08/2028-05-17,1.64%,0.55%,1.09%,0.94,-0.28,13667.1333/14150.308/15258.55/No Horizontal Resistance/14523.0985/16781.6883/No EMA 200 Target,13339.77/10608.2731/12696.4249/9172.411/13033.3071/12588.133/13056.52,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2026-02-03 (Price: 78932.3281)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-03",Already confirmed,"2026-02-03 (Price: 78932.3281), 0.0% below",0 days,78677.4453,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,2026-04-26/2026-02-05/2026-02-17,6.02%,14.76%,-8.74%,0.14,0.5,81189.7927/83636.6949/82413.24/124582.2656/117228.5171/177451.6084/103745.77,76974.45/18304.4229/12294.8818/9282.7158/78564.5881/65615.6803/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
FRACTAL TRACK,"TSM, Long, 2026-02-02 (Price: 341.36)",No Exit Yet,"0.0%, 0 days","95.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-02 (Price: 341.36), 0.0% below",0 days,330.755,No Information,No Information,No Information,"23.66% (Price: 331.3349), 3.03% above, Upmove Bounce Back","2025-11-21 (Price: 266.82), 2026-01-15 (Price: 351.33)",No Information,13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2029-02-01/2026-02-25/2026-07-17,37.14%,15.53%,21.61%,2.66,0.73,372.4579/380.6164/392.07/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,276.96/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/255.74,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2026-02-02 (Price: 73.94)",No Exit Yet,"0.0%, 0 days","91.3%, Past 5 years, 23","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-02 (Price: 73.94), 0.0% below",0 days,71.47,No Information,No Information,No Information,"61.8% (Price: 72.036), 2.64% above, Upmove Bounce Back","2025-11-07 (Price: 68.3), 2026-01-22 (Price: 78.08)",No Information,11.38%/1.13%/7.56%,"1.21%, 14.84%",5.9 months/18 days/2.5 months,2026-10-16/2026-02-28/2026-05-21,29.53%,7.89%,21.64%,0.97,0.43,74.2727/79.5299/79.81/85.51/85.3936/96.14/No EMA 200 Target,70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.13,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2026-02-02 (Price: 9.48)",No Exit Yet,"-1.79%, 1 day","88.89%, Past 4 years, 27","Daily, is CONFIRMED on 2026-02-02",Already confirmed,"2026-02-03 (Price: 9.31), 1.79% below",1 day,9.35,No Information,No Information,No Information,No Information,No Information,1.79% below/1.79% below/1.79% below,7.56%/1.51%/3.2%,"7.04%, 16.17%",3.7 months/7 days/1.2 month,2026-07-12/2026-02-12/2026-03-26,-0.65%,3.46%,-4.11%,0.55,0.15,9.6393/9.7834/9.53/9.85/11.2606/15.4512/No EMA 200 Target,9.18/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.21,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",No Exit Yet,"0.0%, 0 days","88.24%, Past 6 years, 17","Daily, is Confirmed on 2026-02-02",No Cancellation Possible,"2026-02-02 (Price: 187.0), 0.0% below",0 days,185.16,No Information,No Information,No Information,No Information,No Information,No Information,21.22%/5.64%/10.31%,"10.55%, 13.94%",5.8 months/2 days/2.3 months,2026-10-12/2026-02-04/2026-05-12,19.66%,19.52%,0.14%,0.91,1.22,201.3055/206.2797/203.83/197.56/294.0831/455.769/187.54,No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"CNR.TO, Long, 2026-02-02 (Price: 130.79)",No Exit Yet,"0.0%, 0 days","70.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-02-02",No Cancellation Possible,"2026-02-02 (Price: 130.79), 0.0% below",0 days,137.0,No Information,No Information,No Information,No Information,No Information,No Information,12.68%/3.59%/8.54%,"6.58%, 16.7%",1.5 year/1 month/4.8 months,2028-03-25/2026-03-17/2026-08-29,10.42%,-0.9%,11.32%,0.54,-0.19,136.4924/141.9595/139.23/173.435/218.156/349.4971/135.86,128.08/127.536/86.815/55.8095/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
DELTADRIFT,"CAD=X, Long, 2026-02-02 (Price: 1.3636)",No Exit Yet,"0.22%, 1 day","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-02-03 (Price: 1.3666), 0.22% above",1 day,1.3636,No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.44%/0.72%,"1.99%, 2.15%",1.2 month/2 days/13 days,2026-03-26/2026-02-04/2026-02-20,4.14%,1.03%,3.11%,0.22,-0.46,1.3846/1.3734/1.38/1.3921/No Next Fib Ext/No Next Fib Ext/1.38,1.35/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
TRENDPULSE,"ASML, Long, 2026-02-01 (Price: 1423.0)",No Exit Yet,"1.29%, 2 days","92.86%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-30",Already confirmed,"2026-02-02 (Price: 1441.39), 1.29% above",2 days,1385.87,No Information,No Information,No Information,No Information,No Information,6.1% above/1.29% above/1.29% above,26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-22/2026-03-25/2026-07-03,11.7%,15.27%,-3.57%,1.0,0.74,1574.6918/1597.3175/1836.05/No Horizontal Resistance/1091.1724/1155.2236/No EMA 200 Target,689.82/576.784/1034.6774/832.8601/No F-Track Level/No F-Track Level/907.93,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
