Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"DBC, Long, 2025-12-24 (Price: 22.63)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2025-12-24 (Price: 22.63), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 22.7333), 0.45% below, Upmove Bounce Back","2025-08-19 (Price: 21.59), 2025-12-05 (Price: 23.44)",No Information,10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-06-07/2026-02-04/2026-03-16,7.63%,6.83%,0.8%,0.42,0.39,22.9672/23.671/23.74/28.58/48.2362/53.5099/No EMA 200 Target,22.39/19.55/No F-Stack Support/No F-Stack Support/No support/No support/22.14,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-12-24 (Price: 86.47)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2025-12-24 (Price: 86.47), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 84.9394), 1.8% above, Upmove Bounce Back","2025-08-07 (Price: 73.58), 2025-12-15 (Price: 88.46)",No Information,14.92%/10.1%/11.67%,"0.73%, 33.9%",1.8 year/1 month/5.3 months,2028-07-19/2026-02-05/2026-08-11,26.35%,9.97%,16.38%,1.63,0.54,93.3098/96.561/95.4/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,85.41/38.015/50.2755/47.8005/No support/No support/77.2,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
DELTADRIFT,"ARM, Long, 2025-12-24 (Price: 111.55)",No Exit Yet,"0.0%, 0 days","83.33%, Past 2 years, 6","Daily, is CONFIRMED on 2025-12-24",Already confirmed,"2025-12-24 (Price: 111.55), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.24%/7.69%/10.84%,"19.77%, 19.77%",1.2 month/5 days/15 days,2026-02-14/2025-12-31/2026-01-14,17.56%,26.25%,-8.69%,0.29,1.04,114.1937/123.642/118.92/184.93/No Next Fib Ext/No Next Fib Ext/137.56,96.83/No Horizontal Support/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2025-12-23 (Price: 42.62)",No Exit Yet,"0.45%, 1 day","80.0%, Past 6 years, 15","Daily, is Confirmed on 2025-12-23",No Cancellation Possible,"2025-12-24 (Price: 42.81), 0.45% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,2026-11-22/2026-01-06/2026-04-14,16.95%,4.29%,12.66%,0.47,0.2,45.271/46.4984/46.88/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,No Recent Minima/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/41.94,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2025-12-23 (Price: 80.97)",No Exit Yet,"0.22%, 1 day","100.0%, Past 5 years, 23","Daily, was CONFIRMED on 2025-12-23",Already confirmed,"2025-12-24 (Price: 81.15), 0.22% above",1 day,No Information,No Information,No Information,"38.2% (Price: 78.3442), 3.58% above, Upmove Bounce Back","2023-10-26 (Price: 40.09), 2025-09-22 (Price: 101.99)",No Information,15.06%/0.66%/9.9%,"-0.0%, 57.74%",2.4 years/4 days/4.7 months,2029-05-27/2025-12-28/2026-07-15,33.14%,7.1%,26.04%,1.78,0.39,83.3181/88.986/118.11/82.12/99.1711/103.8185/87.76,79.14/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-22 (Price: 168.04)",No Exit Yet,"-1.04%, 2 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-24 (Price: 166.29), 1.04% below",2 days,No Information,No Information,No Information,No Information,No Information,4.56% above/1.04% below/1.04% below,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-07-01/2025-12-30/2026-02-03,12.04%,18.03%,-5.99%,0.06,0.87,180.8951/176.5092/187.59/No Horizontal Resistance/178.0989/194.7923/No EMA 200 Target,145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.56,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"TRI.TO, Long, 2025-12-22 (Price: 182.89)",No Exit Yet,"-0.62%, 2 days","100.0%, Past 4 years, 22","Daily, is CONFIRMED on 2025-12-22",Already confirmed,"2025-12-24 (Price: 181.76), 0.62% below",2 days,No Information,No Information,No Information,No Information,No Information,0.14% below/0.62% below/0.62% below,7.54%/0.59%/3.7%,"0%, 12.09%",5.6 months/6 days/1.6 month,2026-08-22/2025-12-30/2026-03-01,14.91%,7.98%,6.93%,1.41,0.45,195.4911/189.6569/235.1/240.8933/293.2329/455.2123/239.03,178.26/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
DELTADRIFT,"UBER, Long, 2025-12-22 (Price: 81.26)",No Exit Yet,"-0.14%, 2 days","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2025-12-22",Already confirmed,"2025-12-24 (Price: 81.15), 0.14% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,8.06%/3.32%/5.73%,"-0.0%, 11.17%",1.7 month/2 days/16 days,2026-03-05/2025-12-24/2026-01-14,12.38%,16.7%,-4.32%,1.69,0.74,86.5256/85.9162/86.22/82.12/99.1711/103.8185/87.76,79.14/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
DELTADRIFT,"INDY, Long, 2025-12-22 (Price: 49.33)",No Exit Yet,"-0.18%, 2 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-12-22",Already confirmed,"2025-12-24 (Price: 49.24), 0.18% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,10.44%/1.45%/3.29%,"3.67%, 4.22%",26 days/4 days/11 days,2026-01-28/2025-12-27/2026-01-06,8.33%,2.61%,5.72%,0.34,0.03,51.0023/50.953/50.98/54.474/60.9145/68.1277/52.23,48.03/40.73/48.7816/37.969/No F-Track Level/No F-Track Level/No EMA 200 Support,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets)
TRENDPULSE,"ABNB, Long, 2025-12-21 (Price: 135.28)",No Exit Yet,"1.11%, 3 days","80.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2025-12-24 (Price: 136.78), 1.11% above",3 days,No Information,No Information,No Information,No Information,No Information,6.53% above/1.11% above/1.11% above,21.23%/8.06%/17.07%,"25.5%, 58.72%",8.9 months/1.2 month/5 months,2027-01-11/2026-02-11/2026-07-26,-12.18%,-2.45%,-9.73%,0.4,0.05,135.1718/158.3723/138.5/178.025/223.5359/232.9937/No EMA 200 Target,114.26/99.795/124.5998/No support/No F-Track Level/No F-Track Level/126.47,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
