Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2025-05-31 (Price: 71.15)",Monthly,No Exit Yet,85.51 (Horizontal)/85.3936 (F-Stack 1)/85.4583 (Backtested Min),No Date Target,12.76%/14.37%,"19.83%, 8.9 months","2026-02-23 (Price: 85.26), 19.83% above",97.5111 (Avg % Gain of Historic Winning trades)/122.48 (Function Specific Target)/96.14 (F-Stack 2)/121.7946 (Backtested Max),2027-05-29 (Max)/2026-04-04 (Avg),70.97/42.44/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 37 years, 8",71.96,No Information,No Information,No Information,"23.66% (Price: 67.0289), 27.2% above, Upmove Bounce Back","2008-07-31 (Price: 1.72), 2024-02-29 (Price: 87.27)",No Information,71.18%/20.11%/37.05%,"19.57%, 21.5%",1.4 year/3.1 months/7.1 months,7.71%,15.49%,-7.78%,0.49,0.78,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2025-09-30 (Price: 74.25)",Quarterly,No Exit Yet,85.51 (Horizontal)/85.3936 (F-Stack 1),No Date Target,8.1%/12.76%,"14.83%, 4.9 months","2026-02-23 (Price: 85.26), 14.83% above",92.1665 (Historic Rise or Fall to Pivot)/102.8066 (Avg % Gain of Historic Winning trades)/125.58 (Function Specific Target)/96.14 (F-Stack 2)/103.5045 (Backtested Max)/101.4255 (Backtested Min),2028-04-25 (Max)/2027-08-08 (Min)/2027-11-21 (Avg),67.69/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.81,"100.0%, Past 37 years, 4",67.86,No Information,No Information,No Information,"23.66% (Price: 67.0289), 27.2% above, Upmove Bounce Back","2008-09-30 (Price: 1.72), 2024-03-31 (Price: 87.27)",No Information,39.4%/36.6%/38.46%,"-0.0%, 19.07%",1.8 year/1.3 year/1.5 year,8.92%,15.67%,-6.75%,1.46,0.72,100.0%/3/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-02-11 (Price: 82.51)",Daily,No Exit Yet,85.5464 (Avg % Gain of Historic Winning trades)/85.51 (Horizontal)/85.3936 (F-Stack 1),No Date Target,1.86%/12.76%,"3.33%, 12 days","2026-02-23 (Price: 85.26), 3.33% above",105.21 (Function Specific Target)/96.14 (F-Stack 2)/86.8418 (Backtested Max),2026-08-21 (Max)/2026-02-26 (Min)/2026-05-13 (Avg),70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.38,"100.0%, Past 4 years, 21",80.11,No Information,No Information,No Information,No Information,No Information,3.33% above/3.33% above/3.33% above,5.25%/1.18%/3.68%,"-0.0%, 15.84%",4.4 months/11 days/2.1 months,13.1%,6.96%,6.14%,2.83,0.36,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-02-15 (Price: 83.86)",Weekly,No Exit Yet,85.3936 (F-Stack 1),No Date Target,0.29%/0.76%,"1.67%, 8 days","2026-02-23 (Price: 85.26), 1.67% above",90.3591 (Historic Rise or Fall to Pivot)/89.5289 (Avg % Gain of Historic Winning trades)/85.91 (Function Specific Target)/85.51 (Horizontal)/96.14 (F-Stack 2)/96.9254 (Backtested Max)/87.0635 (Backtested Min),2027-02-23 (Max)/2026-03-27 (Min)/2026-08-10 (Avg),70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.49,"90.0%, Past 10 years, 20",78.91,No Information,No Information,No Information,No Information,No Information,1.67% above/1.67% above/1.67% above,15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,10.6%,14.26%,-3.66%,0.87,0.82,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2023-12-31 (Price: 78.03)",Monthly,No Exit Yet,85.3936 (F-Stack 1)/85.1229 (Backtested Min),No Date Target,7.29%/12.76%,"9.27%, 2.2 years","2026-02-23 (Price: 85.26), 9.27% above",102.3051 (Historic Rise or Fall to Pivot)/91.4746 (Avg % Gain of Historic Winning trades)/124.56 (Function Specific Target)/96.14 (F-Stack 2)/103.2025 (Backtested Max),No Next Date Target,38.63/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/70.09,"100.0%, Past 20 years, 14",77.26,No Information,No Information,No Information,No Information,No Information,9.27% above/10.16% above/9.27% above,32.26%/9.09%/17.23%,"-0.0%, 18.24%",1.4 year/5 months/8.2 months,13.63%,14.53%,-0.9%,2.3,0.72,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-02-03 (Price: 187.65)",Daily,No Exit Yet,195.7002 (Historic Rise or Fall to Pivot),No Date Target,0.96%/4.55%,"4.28%, 20 days","2026-02-23 (Price: 195.69), 4.28% above",204.5948 (Avg % Gain of Historic Winning trades)/259.67 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/209.6801 (Backtested Max),2027-01-29 (Max)/2026-03-03 (Min)/2026-06-13 (Avg),183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.19%, Past 5 years, 27",187.4,No Information,No Information,No Information,"23.66% (Price: 181.5609), 7.78% above, Upmove Bounce Back","2023-12-15 (Price: 89.93), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-01-23 (Price: 192.22)",Daily,No Exit Yet,No Price Target,2026-02-23 (Max),0.62%/0.96%,"1.81%, 1 month","2026-02-23 (Price: 195.69), 1.81% above",212.0955 (Historic Rise or Fall to Pivot)/198.2557 (Avg % Gain of Historic Winning trades)/205.18 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/198.8708 (Backtested Max)/196.9102 (Backtested Min),No Next Date Target,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/189.03,"80.0%, Past 4 years, 5",193.26,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,6.16%,20.38%,-14.22%,0.47,1.39,83.85%/130/12 days (Across ALL Assets),77.16%/394/15 days (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-23 (Price: 195.69),No Price Target,No Date Target,4.43%/7.26%,"10.87%, 8.9 months","2026-02-23 (Price: 195.69), 10.87% above",209.8938 (Historic Rise or Fall to Pivot)/204.3517 (Avg % Gain of Historic Winning trades)/279.99 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-09 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",170.49,No Information,No Information,No Information,No Information,No Information,10.87% above/14.12% above/10.87% above,24.69%/6.61%/15.78%,"0%, 12.12%",1 year/5 months/9.3 months,8.62%,19.19%,-10.57%,2.59,1.27,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2025-11-23 (Price: 197.68)",Weekly,No Exit Yet,No Price Target,2026-02-22 (Min),9.05%/11.85%,"-1.01%, 3.1 months","2026-02-23 (Price: 195.69), 1.01% below",218.8713 (Historic Rise or Fall to Pivot)/213.3956 (Avg % Gain of Historic Winning trades)/294.0831 (F-Stack 2)/253.2874 (Backtested Max),2026-07-15 (Max)/2026-04-02 (Avg),174.88/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/189.03,"84.81%, Past 10 years, 79",194.41,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,No Exit Yet,95.0177 (F-Stack 1)/95.9858 (Backtested Min),No Date Target,6.9%/7.65%,"18.83%, 3.8 months","2026-02-23 (Price: 94.6), 18.83% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 26.32% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
