Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"BPCL.NS, Long, 2025-11-27 (Price: 363.95)",No Exit Yet,"0.0%, 0 days","87.88%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-27",Already confirmed,"2025-11-27 (Price: 363.95), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 352.9955), 3.1% above, Upmove Bounce Back","2025-09-01 (Price: 306.8), 2025-11-17 (Price: 381.55)",No Information,90.37%/10.81%/54.83%,"11.24%, 36.83%",2.2 years/2.0 month/1.1 year,2029-01-15/2026-02-20/2027-06-04,12.84%,15.69%,-2.85%,0.47,0.59,363.6952/563.5038/408.8/No Horizontal Resistance/382.1589/420.2463/No Moving Avg Target,355.85/145.35/348.542/313.3339/346.642/325.1897/315.76,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"NZDUSD=X, Long, 2025-11-26 (Price: 0.5624)",No Exit Yet,"1.62%, 1 day","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-27 (Price: 0.5715), 1.62% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,6.42%/5.06%/5.47%,"10.82%, 15.4%",4.2 months/4 days/2.1 months,2026-05-26/2025-12-01/2026-02-26,-7.27%,-1.8%,-5.46%,-0.28,-0.54,0.5699/0.5932/0.62/0.7292/No Next Fib Ext/No Next Fib Ext/0.59,No Recent Minima/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.0%, 0 days","81.48%, Past 6 years, 27","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 485.5), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,2026-01-01/2025-11-28/2025-12-11,5.61%,23.16%,-17.54%,0.03,0.84,502.7353/519.1451/553.47/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"USO, Long, 2025-11-26 (Price: 70.04)",No Exit Yet,"0.0%, 0 days","73.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 70.04), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,11.89%/5.03%/6.85%,"17.05%, 17.88%",1.3 month/7 days/18 days,2026-01-21/2025-12-06/2025-12-22,-34.01%,-4.37%,-29.63%,-0.21,0.0,73.1918/74.8377/73.54/83.49/No Next Fib Ext/No Next Fib Ext/72.47,No Recent Minima/44.03/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"IBKR, Long, 2025-11-26 (Price: 64.19)",No Exit Yet,"0.0%, 0 days","83.33%, Past 6 years, 30","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 64.19), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,14.05%/5.19%/7.6%,"11.21%, 13.86%",1.2 month/2 days/14 days,2026-01-18/2025-11-28/2025-12-16,30.69%,34.23%,-3.54%,0.22,1.11,67.4637/69.0684/67.4/No Horizontal Resistance/102.297/159.1852/No Moving Avg Target,No Recent Minima/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/56.77,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"UBER, Long, 2025-11-26 (Price: 85.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 85.66), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,10.1%/3.32%/6.46%,"0%, 11.17%",1.2 month/2 days/12 days,2026-01-17/2025-11-28/2025-12-13,17.83%,20.37%,-2.54%,2.75,0.65,93.5664/91.1936/92.38/No Horizontal Resistance/99.1711/103.8185/86.99,83.36/34.6025/84.8096/75.9736/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",No Exit Yet,"0.0%, 0 days","70.0%, Past 4 years, 10","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 485.5), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",1.7 month/1 day/10 days,2026-02-07/2025-11-27/2025-12-10,5.17%,11.14%,-5.97%,0.07,0.41,512.7365/503.3664/508.05/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/467.58,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"GDX, Long, 2025-11-26 (Price: 81.55)",No Exit Yet,"0.0%, 0 days","86.21%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 81.55), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.82% above/0.0% below/0.0% below,12.3%/0.8%/6.64%,"18.96%, 38.81%",2.7 months/4 days/20 days,2026-03-21/2025-12-01/2025-12-24,21.23%,17.39%,3.84%,0.25,0.58,84.5266/86.9649/84.3/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,72.97/25.645/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/57.17,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"IWM, Long, 2025-11-26 (Price: 247.3)",No Exit Yet,"0.0%, 0 days","92.59%, Past 4 years, 27","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 247.3), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.89% above/0.0% below/0.0% below,5.6%/1.96%/3.61%,"7.05%, 22.58%",3.6 months/4 days/29 days,2026-05-02/2025-12-01/2026-01-07,32.42%,7.38%,25.04%,0.87,0.26,251.7761/256.2275/249.18/No Horizontal Resistance/348.4025/539.5308/No Moving Avg Target,229.11/162.3167/230.2783/157.2742/No F-Track Level/No F-Track Level/220.34,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2025-11-26 (Price: 188.16)",No Exit Yet,"0.0%, 0 days","87.5%, Past 5 years, 8","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 188.16), 0.0% below",0 days,"-3.35, 100.0",No Information,No Information,No Information,No Information,No Information,13.28%/0.96%/7.07%,"6.87%, 12.05%",1.7 month/1.3 month/1.5 month,2026-02-06/2026-01-20/2026-01-28,8.31%,9.6%,-1.29%,0.39,0.37,190.5496/201.4629/293.2329/240.8933/293.2329/455.2123/245.25,185.77/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No Moving Avg Support,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
