Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),0.75%/1.47%,"-0.55%, 1 day","2025-12-01 (Price: 1002.1), 0.55% below",1018.6836 (Historic Rise or Fall to Pivot)/1051.8336 (Avg % Gain of Historic Winning trades)/1024.94 (Exit Rule)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1104.8334 (Backtested Best)/1016.8699 (Backtested Worst),2026-03-05 (Max)/2025-12-03 (Min)/2026-01-07 (Avg),982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.18% below/0.55% below/0.55% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"TFII.TO, Long, 2025-11-28 (Price: 121.87)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),0.46%/2.85%,"2.08%, 1 day","2025-12-01 (Price: 124.41), 2.08% above",124.9777 (Historic Rise or Fall to Pivot)/135.5926 (Avg % Gain of Historic Winning trades)/127.96 (Exit Rule)/219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/159.1622 (Backtested Best)/128.6825 (Backtested Worst),2026-02-22 (Max)/2025-12-29 (Avg),No Recent Minima/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.19%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,34.87%,19.04%,15.83%,0.15,0.63,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),1.5%/2.95%,"-0.5%, 1 day","2025-12-01 (Price: 168.11), 0.5% below",173.2751 (Historic Rise or Fall to Pivot)/173.0724 (Avg % Gain of Historic Winning trades)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Best)/170.6395 (Backtested Worst),2026-02-28 (Max)/2025-12-03 (Min)/2025-12-22 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"93.1%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.5% below/0.5% below/0.5% below,4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,18.74%,14.44%,4.3%,1.0,0.56,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),0.82%/1.09%,"0.41%, 1 day","2025-12-01 (Price: 154.1), 0.41% above",159.2251 (Historic Rise or Fall to Pivot)/161.343 (Avg % Gain of Historic Winning trades)/155.78 (Exit Rule)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/178.0712 (Backtested Best)/155.3577 (Backtested Worst),2026-04-13 (Max)/2025-12-03 (Min)/2025-12-22 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"93.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,3.13% above/0.41% above/0.41% above,16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,31.81%,24.47%,7.34%,0.41,0.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),3.2%/8.74%,"0.66%, 3 days","2025-12-01 (Price: 7.751), 0.66% above",7.9988 (Historic Rise or Fall to Pivot)/10.0624 (Avg % Gain of Historic Winning trades)/9.88 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/13.6829 (Backtested Best),2029-06-27 (Max)/2026-12-22 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.71,"100.0%, Past 5 years, 26",No Information,No Information,No Information,"23.66% (Price: 7.5388), 2.81% above, Upmove Bounce Back","2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",No Information,77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,12.36%,12.69%,-0.32%,0.72,0.48,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),0.79%/2.95%,"0.66%, 3 days","2025-12-01 (Price: 7.751), 0.66% above",8.4384 (Historic Rise or Fall to Pivot)/7.9795 (Avg % Gain of Historic Winning trades)/8.21 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/8.2213 (Backtested Best)/7.8124 (Backtested Worst),2025-12-23 (Max)/2025-12-11 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.71,"100.0%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.46%/3.63%,"0%, 5.4%",19 days/2 days/11 days,15.05%,19.63%,-4.58%,2.34,0.75,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-11-27 (Min),1.76%/3.42%,"0.26%, 3 days","2025-12-01 (Price: 486.74), 0.26% above",512.7365 (Historic Rise or Fall to Pivot)/503.3664 (Avg % Gain of Historic Winning trades)/508.05 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/510.8917 (Backtested Best)/495.3071 (Backtested Worst),2026-02-07 (Max)/2025-12-10 (Avg),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.38,"70.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",1.7 month/1 day/10 days,5.17%,11.14%,-5.97%,0.07,0.41,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),3.29%/4.96%,"0.26%, 3 days","2025-12-01 (Price: 486.74), 0.26% above",502.7353 (Historic Rise or Fall to Pivot)/519.1451 (Avg % Gain of Historic Winning trades)/553.47 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/553.0331 (Backtested Best)/510.8917 (Backtested Worst),2026-01-01 (Max)/2025-12-11 (Avg),No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.38,"81.48%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,5.61%,23.16%,-17.54%,0.03,0.84,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"CEN.NZ, Long, 2025-11-24 (Price: 9.72)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),3.67%/4.41%,"-2.78%, 5 days","2025-12-01 (Price: 9.45), 2.78% below",9.7968 (Historic Rise or Fall to Pivot)/10.0233 (Avg % Gain of Historic Winning trades)/10.69 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.4548 (Backtested Best)/9.8668 (Backtested Worst),2026-03-16 (Max)/2025-12-31 (Avg),9.3/6.86/8.6706/33.2031/No F-Track Level/No F-Track Level/9.13,"70.27%, Past 4 years, 37",No Information,No Information,No Information,No Information,No Information,1.56% below/2.78% below/2.78% below,7.56%/1.51%/3.12%,"7.04%, 16.17%",2.6 months/5 days/26 days,5.05%,4.18%,0.87%,0.27,0.12,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-24 (Price: 200.28)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),2.75%/3.77%,"0.33%, 5 days","2025-12-01 (Price: 200.94), 0.33% above",225.9759 (Historic Rise or Fall to Pivot)/206.4687 (Avg % Gain of Historic Winning trades)/216.22 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/211.23 (Moving Avg)/208.5115 (Backtested Best),2025-12-22 (Max)/2025-12-04 (Avg),198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,"71.43%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,-5.14%,28.08%,-33.22%,-0.21,0.86,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
