"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BYD.TO, Long, 2025-11-14 (Price: 217.11)",No Exit Yet,"0.0%, 0 days","97.06%, Past 20 years, 34","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 217.11), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 205.401),5.7% above,"2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",1975.56%/0.56%/388.21%,"1.41%, 39.64%",1859 days/109 days/652 days,2033-03-29/2026-04-20/2028-06-15,16.37%,23.47%,-7.1%,0.29,0.79,223.9055/1059.9527/252.85/256.6133/367.2583/388.6839,209.51/188.685/147.1212/139.9966/357.5546/377.7143,224.66/216.94,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
"SOXX, Long, 2025-11-14 (Price: 288.52)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-14 (Price: 288.52), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),94.95% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-17/2028-09-17/2028-09-17,19.89%,12.73%,7.15%,0.33,0.46,301.7631/480.4724/385.75/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,282.18/233.04,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-14 (Price: 151.83)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-14 (Price: 151.83), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),19.56% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-10/2040-08-10/2040-08-10,8.26%,6.44%,1.82%,0.48,0.22,148.3379/618.0999/234.64/No Horizontal Resistance/174.1807/202.706,24.21/120.178/117.2225/81.225/167.2798/171.9748,142.6/139.24,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-14 (Price: 244.37)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-14 (Price: 244.37), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),4.99% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-18/2026-10-27/2028-06-29,9.34%,22.33%,-12.98%,0.43,0.63,238.4318/483.3639/333.53/366.6625/374.6319/404.5107,239.37/187.6062/184.3156/1127.9829/347.4556/361.5012,245.03/259.28,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-14 (Price: 244.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-14 (Price: 244.37), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),8.7% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-08-06/2028-09-17/2035-10-14,6.68%,22.24%,-15.57%,0.33,0.55,278.3619/707.891/418.5/366.6625/374.6319/404.5107,182.62/187.6062/184.3156/1127.9829/347.4556/361.5012,245.03/259.28,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-14 (Price: 1518.9)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-14 (Price: 1518.9), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),14.82% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-08-31/2026-08-23/2029-03-04,8.96%,19.65%,-10.68%,0.38,0.63,1719.5467/3894.3077/2243.99/1531.725/1879.7264/2250.6285,1200.1/855.3207/1503.6962/1375.0525/1725.6686/1797.4889,1422.11/1372.26,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-14 (Price: 1518.9)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-14 (Price: 1518.9), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),37.96% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-28/2027-09-04/2029-09-30,30.69%,19.15%,11.54%,0.39,0.64,1547.3034/6676.6287/2069.58/1531.725/1879.7264/2250.6285,158.4/855.3207/1503.6962/1375.0525/1725.6686/1797.4889,1422.11/1372.26,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-14 (Price: 1006.98)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-14 (Price: 1006.98), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),72.68% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-18/2031-04-21/2037-03-31,8.55%,20.11%,-11.56%,0.43,0.61,1277.9583/14322.3772/1498.24/No Horizontal Resistance/1081.4334/1218.8523,415.35/567.0933/998.2461/956.961/1235.8618/1313.1536,980.23/791.6,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BAC, Long, 2025-11-14 (Price: 52.61)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-14 (Price: 52.61), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),60.16% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-12-10/2028-03-13/2032-06-18,5.77%,4.61%,1.16%,0.41,0.21,54.8985/122.7233/79.72/No Horizontal Resistance/60.5768/64.246,27.38/29.49/50.5717/44.5293/51.6314/53.8138,51.64/46.19,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"INFY, Long, 2025-11-14 (Price: 16.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-14 (Price: 16.65), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),6.97% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-19/2028-12-22/2030-02-19,12.46%,12.49%,-0.03%,0.37,0.38,16.8997/30.7525/29.64/23.796/25.6134/28.2828,16.27/16.074/16.4829/15.2985/16.6189/15.7269,16.78/17.93,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
