"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"JETS, Long, 2026-02-18 (Price: 30.3)",No Exit Yet,"0.0%, 0 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 30.3), 0.0% below",0 days,"2, 2025-12-17 (Price: 29.14)",2026-02-18 (Price: 30.3),2026-02-18 (Price: 30.3),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-12-17 (Price: 29.14)/2026-02-18 (Price: 29.4275),8.17%/0.83%/3.32%,"14.2%, 35.94%",2.2 months/7 days/24 days,2026-05-24/2026-02-28/2026-03-24,-6.1%,-0.44%,-5.66%,0.14,0.08,30.2939/31.306/31.0/No Horizontal Resistance/36.0778/41.7471/No EMA 200 Target,29.33/14.732/29.8678/No support/29.6231/29.9581/25.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),29.9
"MAR, Long, 2026-02-18 (Price: 356.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 356.0), 0.0% below",0 days,"2, 2020-01-17 (Price: 150.63)",2026-02-13 (Price: 353.89),2026-02-18 (Price: 356.0),5/0/0 days,0.6% above/0.0% below/0.0% below,2020-01-17 (Price: 150.63)/2026-02-18 (Price: 352.2917),7.63%/1.53%/4.31%,"0%, 12.09%",2.9 months/6 days/1.3 month,2026-06-24/2026-02-26/2026-04-15,21.38%,9.79%,11.59%,1.88,0.48,387.2924/371.3436/479.22/No Horizontal Resistance/355.3234/374.3581/No EMA 200 Target,312.07/129.12/313.5051/297.0775/331.0556/307.1228/282.48,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),355.53
"MEL.NZ, Long, 2026-02-18 (Price: 5.64)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2026-02-18",Already confirmed,"2026-02-18 (Price: 5.64), 0.0% below",0 days,"6, 2025-10-09 (Price: 6.05)",2026-02-17 (Price: 5.6),2026-02-18 (Price: 5.64),1/0/0 days,0.71% above/0.0% below/0.0% below,2025-10-09 (Price: 6.05)/2026-02-18 (Price: 5.5593),6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,2027-02-13/2026-02-28/2026-06-24,14.44%,0.14%,14.3%,0.3,0.02,5.8453/5.8165/5.89/6.825/No Next Fib Ext/No Next Fib Ext/5.73,5.58/4.3875/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),5.6
"SOXX, Long, 2026-02-18 (Price: 357.92)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.37 prior to 2026-02-27,"2026-02-18 (Price: 357.92), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-18 (Price: 357.92),18/0/0 days,3.36% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-18 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-07/2026-09-23/2026-11-14,-3.22%,7.76%,-10.98%,0.06,0.4,409.7468/412.7891/557.37/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/314.0212/282.4593/271.83,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),342.37
"SLV, Long, 2026-02-18 (Price: 70.09)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-18 (Price: 70.09), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-18 (Price: 70.09),49/0/0 days,8.8% above/0.0% below/0.0% below,2008-03-31 (Price: 20.73)/2026-02-18 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2032-12-25 (Max),9.45%,6.73%,2.72%,0.47,0.33,93.0024/120.8702/99.71/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/60.345/48.6665/46.41,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-18 (Price: 49662.6602)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-18 (Price: 49662.6602), 0.0% below",0 days,"2, 2000-03-31 (Price: 11750.2803)",2026-02-18 (Price: 49662.6602),2026-02-06 (Price: 50115.6719),0/12/0 days,0.0% below/0.9% below/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-18 (Price: 48764.9837),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-17 (Max),7.15%,5.81%,1.34%,1.43,0.34,57275.946/69319.1411/72410.09/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,28725.51/32154.0552/36151.8794/25040.9446/47223.8106/45202.6041/45907.04,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-02-18 (Price: 104.03)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-18 (Price: 104.03), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-01-21 (Price: 102.06),141/28/0 days,15.6% above/1.93% above/0.0% below,2022-03-31 (Price: 95.0)/2026-02-18 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-29/2028-04-10/2032-02-17,5.69%,6.38%,-0.69%,0.82,0.34,114.7971/113.8608/109.45/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/94.2174/86.786/87.28,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-18 (Price: 45.61)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.4165 prior to 2026-02-27,"2026-02-18 (Price: 45.61), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-18 (Price: 45.61),2026-02-09 (Price: 43.48),0/9/0 days,0.0% below/4.9% above/0.0% below,2020-02-29 (Price: 35.55)/2026-02-18 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2030-12-26/2026-09-27/2028-06-01,2.88%,2.86%,0.02%,-0.05,0.05,48.9897/48.8574/51.65/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.4163/39.5534/42.75,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),43.3
"TSM, Long, 2026-02-18 (Price: 362.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 361.865 prior to 2026-02-20,"2026-02-18 (Price: 362.26), 0.0% below",0 days,"4, 2016-04-03 (Price: 26.62)",2026-02-15 (Price: 366.36),2026-02-18 (Price: 362.26),3/0/0 days,1.12% below/0.0% below/0.0% below,2016-04-03 (Price: 26.62)/2026-02-18 (Price: 334.3257),40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-11/2026-03-30/2026-07-24,14.91%,16.6%,-1.69%,1.65,0.88,418.2654/414.8602/563.64/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,275.06/83.575/291.0528/242.5186/304.1531/257.5423/266.42,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),361.865
"XLE, Long, 2026-02-18 (Price: 54.78)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.1 prior to 2026-02-27,"2026-02-18 (Price: 54.78), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),18/15/0 days,7.31% above/6.02% above/0.0% below,2022-06-30 (Price: 46.655)/2026-02-18 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2032-12-25/2027-05-02/2028-09-13,6.1%,3.44%,2.66%,0.63,0.15,59.8526/67.4506/59.66/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/44.8769/38.5084/44.66,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),50.1
