Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",Weekly,2026-01-02 (Price: 3.68),No Price Target,No Date Target,3.8%/116.98%,"6.67%, 1.6 month","2025-12-31 (Price: 3.68), 6.67% above",3.82 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-06-12 (Max)/2026-04-17 (Min)/2027-01-24 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,5.44% above/6.67% above/6.67% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",Weekly,2026-01-02 (Price: 3.68),3.677 (Backtested Max),No Date Target,65.22%/116.98%,"5.75%, 3 months","2025-12-31 (Price: 3.68), 5.75% above",6.08 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-05-01 (Max)/2026-03-06 (Min)/2026-12-13 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,17.2% above/5.75% above/5.75% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-03-02 (Price: 3.39)",Weekly,2026-01-02 (Price: 3.68),No Price Target,No Date Target,8.97%/116.98%,"8.55%, 10.2 months","2025-12-31 (Price: 3.68), 8.55% above",4.01 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-26 (Max)/2026-05-10 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,10.18% above/8.55% above/8.55% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-23 (Price: 3.34)",Weekly,2026-01-02 (Price: 3.68),No Price Target,No Date Target,116.98%/245.53%,"10.18%, 10.4 months","2025-12-31 (Price: 3.68), 10.18% above",7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-19 (Max)/2026-05-03 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.03,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,15.72% above/10.18% above/10.18% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"PG, Long, 2024-06-30 (Price: 164.92)",Quarterly,2026-01-02 (Price: 141.79) (Today),No Price Target,No Date Target,31.64%/47.66%,"-14.02%, 1.5 year","2026-01-02 (Price: 141.79), 14.02% below",226.4352 (Historic Rise or Fall to Pivot)/220.2342 (Avg % Gain of Historic Winning trades)/221.69 (Exit Rule)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/223.1533 (Backtested Max)/217.3151 (Backtested Min),2029-06-29 (Max)/2027-06-30 (Avg),126.25/121.86/161.0808/140.2317/No F-Track Level/No F-Track Level/155.99,"100.0%, Past 39 years, 7",No Information,No Information,No Information,"23.66% (Price: 142.9629), 0.82% below, Upmove Bounce Back","2018-06-30 (Price: 70.73), 2022-03-31 (Price: 165.35)",No Information,35.31%/31.77%/33.54%,"-0.0%, 15.04%",3.5 years/9.1 months/2.1 years,6.92%,5.29%,1.63%,2.17,0.27,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"PG, Long, 2024-09-30 (Price: 173.2)",Monthly,No Exit Yet,No Price Target,2026-01-03 (Avg),29.24%/29.53%,"-18.14%, 1.3 year","2026-01-02 (Price: 141.79), 18.14% below",183.6613 (Historic Rise or Fall to Pivot)/190.9357 (Avg % Gain of Historic Winning trades)/193.77 (Exit Rule)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/202.5228 (Backtested Max)/183.2456 (Backtested Min),2026-08-08 (Max)/2026-01-03 (Avg),126.25/122.9033/161.0808/140.2317/No F-Track Level/No F-Track Level/162.39,"92.86%, Past 20 years, 14",No Information,No Information,No Information,No Information,No Information,17.34% below/18.14% below/18.14% below,16.93%/5.8%/10.24%,"3.8%, 22.42%",1.3 year/5.1 months/10.6 months,5.42%,3.8%,1.62%,1.1,0.14,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"TRI.TO, Long, 2025-10-26 (Price: 227.55)",Weekly,No Exit Yet,No Price Target,2026-01-03 (Min),32.87%/36.49%,"-23.68%, 2.3 months","2026-01-02 (Price: 173.66), 23.68% below",270.0108 (Historic Rise or Fall to Pivot)/253.1949 (Avg % Gain of Historic Winning trades)/375.05 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/237.02 (EMA 200)/267.2575 (Backtested Max)/230.7357 (Backtested Min),2027-12-17 (Max)/2026-01-03 (Min)/2026-06-26 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"91.67%, Past 20 years, 12",No Information,No Information,No Information,"38.2% (Price: 205.33), 15.42% below, Upmove Bounce Back","2018-05-13 (Price: 53.4023), 2025-07-20 (Price: 299.24)",No Information,17.45%/1.4%/11.27%,"1.51%, 22.04%",1.5 year/1.6 month/5.6 months,9.55%,6.23%,3.32%,1.2,0.33,No Data (Across ALL Assets),No Data (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2026-01-02 (Price: 173.66) (Today),No Price Target,No Date Target,33.67%/35.08%,"-21.84%, 2.5 months","2026-01-02 (Price: 173.66), 21.84% below",234.5776 (Historic Rise or Fall to Pivot)/235.8885 (Avg % Gain of Historic Winning trades)/235.23 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/237.02 (EMA 200)/240.1544 (Backtested Max)/232.1337 (Backtested Min),2027-10-17 (Max)/2026-06-19 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"0%, 11.31%",1.4 year/14 days/5.6 months,6.24%,7.2%,-0.96%,3.72,0.43,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-10 (Price: 38.12)",Daily,No Exit Yet,No Price Target,2026-01-01 (Avg),2.15%/3.69%,"-0.97%, 1.7 month","2025-12-31 (Price: 37.75), 0.97% below",40.2395 (Historic Rise or Fall to Pivot)/39.5991 (Avg % Gain of Historic Winning trades)/38.56 (Exit Rule)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3132 (Backtested Max),2026-04-11 (Max)/2026-01-01 (Avg),35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.0,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,1.95% below/0.97% below/0.97% below,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2024-09-08 (Price: 37.4)",Weekly,2025-12-28 (Price: 37.86),No Price Target,No Date Target,5.93%/8.42%,"0.94%, 1.3 year","2025-12-31 (Price: 37.75), 0.94% above",43.7879 (Historic Rise or Fall to Pivot)/40.953 (Avg % Gain of Historic Winning trades)/45.55 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.0161 (Backtested Max)/39.9881 (Backtested Min),No Next Date Target,23.8/22.675/30.9793/26.1935/No F-Track Level/No F-Track Level/27.55,"100.0%, Past 10 years, 15",No Information,No Information,No Information,No Information,No Information,6.64% above/0.94% above/0.94% above,17.69%/6.92%/9.5%,"-0.0%, 27.7%",3.3 months/1.2 month/2.4 months,12.27%,12.4%,-0.13%,1.68,0.68,No Data (Across ALL Assets),No Data (Across ALL Assets)
