"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AAPL, Long, 2026-03-11 (Price: 260.81)",No Exit Yet,"-3.06%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 252.82), 3.06% below",5 days,Upmove Bounce Back,61.8% (Price: 257.7412),1.91% below,"2026-01-20 (Price: 243.42), 2026-02-06 (Price: 280.91)",11.89%/10.08%/10.61%,"0%, 30.22%",1.2 year/7 days/4.5 months,2027-11-26/2026-03-21/2026-09-22,27.85%,12.15%,15.7%,18.72,0.65,274.0591/288.4819/283.3/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,257.46/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/245.85,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),261.21
"SOXX, Long, 2026-03-11 (Price: 342.09)",No Exit Yet,"-1.25%, 5 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 337.83), 1.25% below",5 days,Upmove Bounce Back,23.66% (Price: 312.6772),8.04% above,"2023-04-27 (Price: 131.53), 2026-02-25 (Price: 368.82)",14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,2028-03-08/2026-03-29/2026-09-09,24.17%,12.97%,11.2%,1.2,0.63,369.9019/378.8305/484.46/No Horizontal Resistance/411.0319/449.8184/No EMA 200 Target,323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/284.61,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),340.745
"^DJI, Long, 2026-03-11 (Price: 47417.2695)",No Exit Yet,"-0.99%, 5 days","94.12%, Past 5 years, 17","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 46946.4102), 0.99% below",5 days,Upmove Bounce Back,23.66% (Price: 47223.8106),0.59% below,"2025-04-07 (Price: 36611.7812), 2026-02-10 (Price: 50512.7891)",10.6%/3.85%/8.98%,"1.17%, 21.94%",2.4 years/1.7 month/11.5 months,2029-08-13/2026-05-23/2027-07-23,18.13%,6.69%,11.44%,1.91,0.44,48787.6286/51675.3403/55757.87/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,45752.26/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/46485.53,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),47690.7617
"BNS.TO, Long, 2026-03-11 (Price: 96.94)",No Exit Yet,"-1.23%, 5 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 95.75), 1.23% below",5 days,Upmove Bounce Back,23.66% (Price: 94.2784),1.56% above,"2023-10-27 (Price: 55.2), 2026-02-23 (Price: 106.39)",11.46%/10.3%/10.88%,"-0.0%, 19.75%",1.5 year/1.4 month/7.1 months,2028-05-01/2026-05-10/2027-01-13,15.96%,4.96%,11.0%,2.04,0.25,No Target/107.4871/127.65/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,96.23/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/89.94,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),97.05
"ACWX, Long, 2026-03-11 (Price: 70.22)",No Exit Yet,"-0.84%, 5 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 69.63), 0.84% below",5 days,Upmove Bounce Back,23.66% (Price: 67.8149),2.68% above,"2023-10-27 (Price: 44.89), 2026-02-25 (Price: 74.92)",10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-04/2026-06-10/2027-08-14,15.62%,3.37%,12.25%,3.17,0.11,71.4067/76.8979/88.24/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,69.3/45.07/69.6679/61.9685/No F-Track Level/No F-Track Level/65.62,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),70.12
"WPM.TO, Long, 2026-03-11 (Price: 202.06)",No Exit Yet,"-5.66%, 5 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 190.62), 5.66% below",5 days,Upmove Bounce Back,38.2% (Price: 189.6298),0.52% above,"2025-10-28 (Price: 129.69), 2026-03-02 (Price: 226.68)",14.62%/2.13%/10.44%,"0.62%, 39.55%",1.1 year/13 days/4.4 months,2027-10-05/2026-03-29/2026-09-18,33.25%,15.97%,17.28%,1.94,0.81,214.2038/223.1551/260.25/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,199.72/52.782/174.4202/158.548/No F-Track Level/No F-Track Level/153.16,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),201.98
"C6L.SI, Long, 2026-03-11 (Price: 6.67)",No Exit Yet,"-1.95%, 5 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 6.54), 1.95% below",5 days,Upmove Bounce Back,78.6% (Price: 6.4376),1.59% above,"2025-12-10 (Price: 6.23), 2026-02-27 (Price: 7.2)",12.26%/1.45%/9.77%,"2.02%, 13.19%",1.2 year/24 days/5.9 months,2027-11-26/2026-04-14/2026-11-22,20.99%,5.6%,15.39%,1.09,0.29,6.7907/7.3217/7.25/6.826/15.377/16.6022/6.68,6.49/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),6.65
"^BVSP, Long, 2026-03-11 (Price: 183969.3438)",No Exit Yet,"-2.23%, 5 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 179875.4375), 2.23% below",5 days,Upmove Bounce Back,23.66% (Price: 178173.5576),0.96% above,"2025-07-28 (Price: 131550.0), 2026-02-25 (Price: 192623.5625)",10.56%/2.23%/6.98%,"0%, 25.78%",4 years/2.2 months/11.1 months,2031-11-25/2026-06-14/2027-07-06,9.68%,4.58%,5.1%,2.22,0.22,189506.821/196810.404/220613.48/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,179365.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/152907.78,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),183445.6875
"CSCO, Long, 2026-03-11 (Price: 78.1)",No Exit Yet,"1.02%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 78.9), 1.02% above",5 days,Upmove Bounce Back,78.6% (Price: 76.0935),3.69% above,"2026-01-12 (Price: 72.8), 2026-02-10 (Price: 88.19)",13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-10-04/2026-04-23/2027-01-13,22.72%,7.9%,14.82%,3.15,0.44,79.045/85.9178/87.33/No Horizontal Resistance/109.6316/119.2504/No EMA 200 Target,76.21/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/72.31,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),77.635
"DIA, Long, 2026-03-11 (Price: 474.81)",No Exit Yet,"-0.95%, 5 days","94.44%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 470.3), 0.95% below",5 days,Upmove Bounce Back,23.66% (Price: 472.4173),0.45% below,"2025-04-07 (Price: 366.32), 2026-02-10 (Price: 505.3)",10.56%/4.34%/8.4%,"2.53%, 21.9%",2.4 years/1.7 month/10.7 months,2029-08-13/2026-05-23/2027-06-18,17.57%,6.62%,10.95%,2.06,0.43,488.3421/514.694/558.2/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,458.1/326.1/359.6128/249.2814/No F-Track Level/No F-Track Level/465.06,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),477.4
"EEM, Long, 2026-03-11 (Price: 58.83)",No Exit Yet,"-0.76%, 5 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 58.38), 0.76% below",5 days,Upmove Bounce Back,38.2% (Price: 55.3519),5.47% above,"2025-04-08 (Price: 38.19), 2026-02-27 (Price: 65.96)",10.77%/2.11%/8.51%,"-0.0%, 16.11%",1.9 year/1.9 month/8.3 months,2028-11-25/2026-06-01/2027-03-06,13.08%,0.95%,12.13%,1.69,-0.08,59.4712/63.8364/75.49/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,57.32/36.64/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/53.47,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),58.7
"GDX, Long, 2026-03-11 (Price: 101.36)",No Exit Yet,"-6.89%, 5 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 94.38), 6.89% below",5 days,Upmove Bounce Back,23.66% (Price: 97.3586),3.06% below,"2024-12-30 (Price: 33.42), 2026-03-02 (Price: 117.175)",16.06%/1.26%/10.28%,"3.89%, 38.9%",2.3 years/14 days/4.8 months,2029-06-20/2026-03-31/2026-10-05,25.44%,12.61%,12.83%,1.62,0.62,110.381/111.7798/151.61/No Horizontal Resistance/136.5646/157.2221/No EMA 200 Target,92.44/25.645/90.9746/72.73/No F-Track Level/No F-Track Level/75.65,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),102.05
"IWM, Long, 2026-03-11 (Price: 252.85)",No Exit Yet,"-1.55%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 248.92), 1.55% below",5 days,Upmove Bounce Back,23.66% (Price: 245.5906),1.36% above,"2023-10-27 (Price: 161.67), 2026-01-22 (Price: 271.6)",13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-10-04/2026-06-01/2027-07-15,14.39%,3.76%,10.63%,1.95,0.16,No Target/276.1628/318.81/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,250.89/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/240.42,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),252.34
"RHHBY, Long, 2026-03-11 (Price: 53.25)",No Exit Yet,"-3.29%, 5 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 51.5), 3.29% below",5 days,Upmove Bounce Back,38.2% (Price: 51.9341),0.84% below,"2025-08-11 (Price: 37.51), 2026-02-24 (Price: 60.85)",14.16%/3.63%/9.5%,"-0.0%, 32.35%",2.9 years/6 days/9.9 months,2030-05-01/2026-03-19/2027-05-15,17.08%,1.63%,15.45%,1.74,0.02,No Target/58.3087/67.25/No Horizontal Resistance/65.2057/86.6196/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/46.15,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),52.95
"WPM, Long, 2026-03-11 (Price: 148.67)",No Exit Yet,"-6.38%, 5 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 139.19), 6.38% below",5 days,Upmove Bounce Back,38.2% (Price: 137.8014),1.01% above,"2025-10-28 (Price: 92.57), 2026-03-02 (Price: 165.76)",13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-08-10/2026-03-19/2026-09-03,31.01%,14.41%,16.6%,1.92,0.71,158.6606/162.5706/192.58/No Horizontal Resistance/188.656/216.4147/No EMA 200 Target,146.85/38.3375/136.0789/127.6576/No F-Track Level/No F-Track Level/111.02,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),148.0
"BYD.TO, Long, 2026-03-11 (Price: 218.93)",No Exit Yet,"-1.39%, 5 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 215.88), 1.39% below",5 days,Upmove Bounce Back,50% (Price: 217.165),0.59% below,"2025-08-08 (Price: 186.1), 2026-02-11 (Price: 248.23)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2029-03-10/2026-04-17/2026-09-26,27.71%,0.9%,26.81%,1.63,0.03,233.9705/243.078/256.21/256.6133/367.2583/388.6839/219.99,215.55/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),220.95
"BIPC.TO, Long, 2026-03-11 (Price: 64.65)",No Exit Yet,"-2.15%, 5 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 63.26), 2.15% below",5 days,Upmove Bounce Back,23.66% (Price: 61.8305),2.31% above,"2023-10-30 (Price: 35.31), 2026-02-12 (Price: 70.05)",12.52%/2.79%/9.56%,"2.3%, 18.18%",8.4 months/14 days/2.7 months,2027-03-11/2026-03-31/2026-07-06,22.95%,1.41%,21.54%,1.2,0.05,65.7426/70.8305/85.49/67.0517/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,62.75/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/60.42,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),63.45
"CNR.TO, Long, 2026-03-11 (Price: 144.2)",No Exit Yet,"0.78%, 5 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 145.33), 0.78% above",5 days,Upmove Bounce Back,38.2% (Price: 143.7354),1.11% above,"2025-09-11 (Price: 126.11), 2026-03-02 (Price: 154.63)",11.26%/0.33%/9.09%,"-0.0%, 14.35%",1.3 year/18 days/7.1 months,2028-01-17/2026-04-06/2027-01-13,16.8%,-0.9%,17.7%,0.98,-0.19,No Target/157.3078/161.31/173.435/218.156/349.4971/No EMA 200 Target,130.79/127.6867/136.9828/86.815/No F-Track Level/No F-Track Level/136.63,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),144.2
"NA.TO, Long, 2026-03-11 (Price: 184.51)",No Exit Yet,"-0.91%, 5 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 182.83), 0.91% below",5 days,Upmove Bounce Back,23.66% (Price: 185.9306),1.67% below,"2026-01-28 (Price: 160.83), 2026-02-27 (Price: 193.71)",15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-03-10/2026-06-05/2027-02-17,24.66%,12.6%,12.06%,7.0,0.93,192.3332/204.8984/204.24/No Horizontal Resistance/207.1743/217.2943/No EMA 200 Target,183.94/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/157.44,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),183.72
"RY.TO, Long, 2026-03-11 (Price: 224.19)",No Exit Yet,"0.01%, 5 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 224.21), 0.01% above",5 days,Upmove Bounce Back,23.66% (Price: 213.6657),4.93% above,"2024-02-13 (Price: 127.6), 2026-01-06 (Price: 240.34)",10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-10-04/2026-05-02/2027-02-28,16.77%,10.42%,6.35%,3.94,0.82,232.9782/244.5689/291.83/No Horizontal Resistance/339.4883/371.0652/No EMA 200 Target,221.95/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/206.36,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),224.61
"TFII.TO, Long, 2026-03-11 (Price: 150.79)",No Exit Yet,"-7.73%, 5 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-16 (Price: 139.13), 7.73% below",5 days,Upmove Bounce Back,38.2% (Price: 145.8053),4.58% below,"2025-04-04 (Price: 102.57), 2026-02-12 (Price: 172.53)",13.29%/1.31%/10.29%,"-0.0%, 34.13%",1.2 year/15 days/3.7 months,2027-11-26/2026-04-01/2026-08-18,29.15%,8.53%,20.62%,1.52,0.43,156.6708/166.3063/192.77/219.9933/223.9051/280.6304/No EMA 200 Target,150.27/115.528/150.2411/113.6809/No F-Track Level/No F-Track Level/134.13,92.31%/286/5.5 months (Across ALL Assets),41.82%/55/5.1 months (Across ALL Assets),149.08
