"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"INFY, Long, 2026-01-15 (Price: 18.82)",No Exit Yet,"0.0%, 0 days","92.86%, Past 5 years, 14","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-15 (Price: 18.82), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 17.4365),7.93% above,"2025-10-16 (Price: 15.82), 2025-12-19 (Price: 30.0)",12.21%/2.02%/9.78%,"1.69%, 24.19%",1.2 year/1.6 month/5.5 months,2027-10-02/2026-03-25/2026-09-10,19.54%,1.44%,18.1%,0.98,0.04,18.6337/20.6606/27.33/23.796/25.6134/28.2828/No EMA 200 Target,17.52/16.0317/18.5577/17.6922/18.38/15.6377/17.49,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BRK-B, Long, 2026-01-15 (Price: 492.62)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-15 (Price: 492.62), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),3.64% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-08-08/2026-11-19/2028-03-07,8.18%,7.84%,0.34%,0.89,0.47,621.2431/597.5481/661.95/512.255/537.7909/627.804/496.49,267.02/268.082/475.0642/401.0818/475.2967/434.262/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"DIS, Long, 2026-01-15 (Price: 113.41)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-15 (Price: 113.41), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),10.76% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-14/2026-02-27/2027-05-12,7.35%,7.97%,-0.62%,0.97,0.4,130.0132/139.517/140.16/168.455/236.8799/272.4142/No EMA 200 Target,90.95/79.415/109.0737/100.3529/No support/107.1333/110.82,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"GBPUSD=X, Long, 2026-01-15 (Price: 1.3427)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-15 (Price: 1.3427), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),5.64% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-07/2030-03-07/2030-03-07,4.04%,-0.96%,5.0%,0.36,-0.64,1.3498/1.3936/1.53/1.3691/2.4421/3.2078/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/1.34,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"KWEB, Long, 2026-01-15 (Price: 36.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 12 years, 10","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 34.015 prior to 2026-01-16,"2026-01-15 (Price: 36.38), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.3776),9.0% above,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.33%,"-0.0%, 42.44%",2.3 years/1.6 month/8.6 months,2029-04-26/2026-03-25/2027-01-23,15.72%,2.03%,13.69%,1.19,0.14,34.3427/43.0485/52.07/54.865/113.756/122.1069/36.4,34.83/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"MA, Long, 2026-01-15 (Price: 542.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 524.7 prior to 2026-01-30,"2026-01-15 (Price: 542.65), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 524.8987),3.38% above,"2022-10-31 (Price: 276.87), 2025-08-31 (Price: 601.77)",26.69%/21.1%/23.74%,"0%, 21.75%",1.9 year/6.1 months/1.1 year,2028-10-01/2026-10-07/2027-08-11,10.35%,18.74%,-8.39%,10.22,1.0,743.4305/671.4751/737.59/592.9033/716.5814/751.3605/562.34,284.34/305.0867/515.4888/442.8637/524.8987/477.6582/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NZDCAD=X, Long, 2026-01-15 (Price: 0.7968)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-15 (Price: 0.7968), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),0.87% below,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-08/2027-06-20/2030-08-10,0.56%,-0.19%,0.75%,0.44,-0.46,0.8433/0.8752/0.84/0.8839/No Next Fib Ext/No Next Fib Ext/0.81,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NVO, Long, 2026-01-15 (Price: 57.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.08 prior to 2026-01-30,"2026-01-15 (Price: 57.12), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 43.8439),30.28% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-01/2026-07-07/2027-11-23,10.33%,9.37%,0.96%,1.75,0.5,69.8806/72.2054/136.74/139.01/159.2295/190.9685/59.04,47.07/45.4025/55.093/52.1958/47.9075/35.154/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"BPCL.NS, Long, 2026-01-14 (Price: 356.9)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-14 (Price: 356.9), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 357.0743),0.05% below,"2025-09-01 (Price: 306.8), 2026-01-01 (Price: 388.15)",12.45%/1.92%/10.29%,"11.24%, 36.83%",2.2 years/1.2 month/9.6 months,2029-03-06/2026-03-07/2027-03-07,15.95%,8.45%,7.5%,1.08,0.45,377.9571/393.625/405.71/378.775/393.108/467.0257/No EMA 200 Target,354.15/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level/333.53,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"CSCO, Long, 2026-01-14 (Price: 74.41)",No Exit Yet,"1.13%, 1 day","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-01-15 (Price: 75.25), 1.13% above",1 day,Upmove Bounce Back,50% (Price: 73.285),2.68% above,"2025-08-18 (Price: 65.75), 2025-12-10 (Price: 80.82)",13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-08-09/2026-02-26/2026-11-18,22.72%,7.9%,14.82%,3.15,0.44,75.3104/81.8584/83.45/No Horizontal Resistance/78.7458/109.6316/No EMA 200 Target,73.88/40.92/68.2017/52.6706/No F-Track Level/No F-Track Level/68.35,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
