"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NA.TO, Long, 2026-02-13 (Price: 174.78)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 174.78), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 160.7722),8.71% above,"2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-27/2026-06-23/2027-09-09,12.24%,6.18%,6.06%,3.57,0.32,185.6513/202.168/217.3/No Horizontal Resistance/185.717/204.2705/No EMA 200 Target,162.25/82.9367/162.0277/152.3147/160.7722/150.4677/151.65,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),169.0
"C6L.SI, Long, 2026-02-13 (Price: 6.96)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-13 (Price: 6.96), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),11.56% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-10-30/2027-01-30/2028-04-05,7.09%,-1.77%,8.86%,0.77,-0.19,7.166/8.645/8.02/7.0067/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-13 (Price: 11.22)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-13 (Price: 11.22), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),6.27% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-05-27/2026-09-22/2027-09-09,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/13.8771/15.9169/11.54,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"EURUSD=X, Long, 2026-02-10 (Price: 1.1904)",No Exit Yet,"-0.24%, 2 days","83.33%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 1.1876), 0.24% below",2 days,Upmove Bounce Back,23.66% (Price: 1.1589),2.48% above,"2025-01-13 (Price: 1.0184), 2026-01-28 (Price: 1.2024)",3.96%/1.06%/2.74%,"1.76%, 8.46%",1.7 year/1.9 month/7.8 months,2028-07-15/2026-05-03/2027-01-14,3.65%,-0.58%,4.23%,0.5,-0.67,1.1966/1.223/1.3/No Horizontal Resistance/1.6296/1.7649/No EMA 200 Target,1.18/1.0256/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.16,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),1.1905
"GBPUSD=X, Long, 2026-02-10 (Price: 1.3683)",No Exit Yet,"-0.43%, 2 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-12 (Price: 1.3624), 0.43% below",2 days,Upmove Bounce Back,23.66% (Price: 1.3649),0.18% below,"2025-11-05 (Price: 1.3012), 2026-01-29 (Price: 1.3847)",8.02%/2.94%/5.14%,"0.27%, 9.35%",1.9 year/28 days/11.4 months,2028-10-27/2026-03-22/2027-06-20,5.3%,-0.1%,5.4%,0.92,-0.51,1.3795/1.4386/1.42/No Horizontal Resistance/2.4421/3.2078/No EMA 200 Target,1.35/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),1.3683
"XLY, Long, 2026-02-10 (Price: 118.33)",No Exit Yet,"-1.82%, 3 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-13 (Price: 116.18), 1.82% below",3 days,Upmove Bounce Back,50% (Price: 117.7375),1.32% below,"2025-11-20 (Price: 110.465), 2026-01-12 (Price: 125.01)",12.8%/0.83%/7.78%,"5.33%, 39.96%",3 years/21 days/8.7 months,2030-05-24/2026-03-12/2027-02-23,13.85%,5.91%,7.94%,1.09,0.3,121.2409/127.5361/127.06/121.1117/125.4815/133.9156/No EMA 200 Target,117.51/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/114.88,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),117.76
"GS, Long, 2026-02-09 (Price: 943.62)",No Exit Yet,"-4.08%, 4 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 905.14), 4.08% below",4 days,Upmove Bounce Back,23.66% (Price: 855.6773),5.78% above,"2025-04-07 (Price: 439.38), 2026-01-16 (Price: 984.7)",13.91%/5.18%/10.25%,"-0.0%, 33.99%",2.6 years/27 days/7.4 months,2029-10-26/2026-03-20/2026-12-27,26.0%,18.81%,7.19%,2.7,1.04,1009.9565/1040.341/1270.81/No Horizontal Resistance/1236.8362/1411.087/No EMA 200 Target,890.41/288.555/931.1482/794.5775/No F-Track Level/No F-Track Level/766.97,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),929.0
"IWM, Long, 2026-02-09 (Price: 266.88)",No Exit Yet,"-1.47%, 4 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 262.96), 1.47% below",4 days,Upmove Bounce Back,23.66% (Price: 261.4972),0.56% above,"2025-11-20 (Price: 228.9), 2026-01-22 (Price: 271.6)",13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-09-04/2026-05-02/2027-06-15,14.39%,3.76%,10.63%,1.95,0.16,256.3649/291.4863/292.5/No Horizontal Resistance/348.4025/539.5308/No EMA 200 Target,255.83/162.3167/230.2783/157.2742/No F-Track Level/No F-Track Level/234.92,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),264.84
"SONY, Long, 2026-02-09 (Price: 22.33)",No Exit Yet,"3.85%, 4 days","83.33%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 23.19), 3.85% above",4 days,Upmove Bounce Back,61.8% (Price: 20.8735),11.1% above,"2024-05-10 (Price: 15.022), 2025-11-12 (Price: 30.34)",14.08%/10.04%/11.55%,"5.03%, 43.88%",3.1 years/21 days/5.7 months,2030-07-14/2026-03-11/2026-10-14,19.13%,6.23%,12.9%,1.28,0.32,23.7837/24.9091/31.52/26.85/33.2191/35.3948/26.49,21.24/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Support,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),22.13
"SPY, Long, 2026-02-09 (Price: 693.95)",No Exit Yet,"-1.76%, 4 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-13 (Price: 681.75), 1.76% below",4 days,Upmove Bounce Back,23.66% (Price: 686.7222),0.72% below,"2025-11-21 (Price: 650.85), 2026-01-28 (Price: 697.84)",11.01%/6.98%/9.73%,"-0.0%, 22.75%",2 years/1.4 month/7 months,2028-12-17/2026-04-10/2026-12-10,25.67%,9.09%,16.58%,3.17,0.61,715.74/761.4713/722.14/No Horizontal Resistance/969.1148/1522.3697/No EMA 200 Target,677.62/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/648.65,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),689.42
