Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-05 (Price: 311.23)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 311.23), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,10.85%/0.38%/4.61%,"-0.0%, 16.82%",7.3 months/19 days/2.2 months,2026-10-18/2026-01-01/2026-03-10,16.19%,9.08%,7.1%,1.39,0.37,323.5547/325.5777/325.49/321.3575/322.837/371.0748/No Moving Avg Target,297.01/228.4467/306.2751/267.8324/306.7319/294.6942/305.89,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
FRACTAL TRACK,"IWM, Long, 2025-12-05 (Price: 250.77)",No Exit Yet,"0.0%, 0 days","97.56%, Past 20 years, 41","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 250.77), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 233.5959), 7.35% above, Upmove Bounce Back","2025-04-13 (Price: 171.73), 2025-10-19 (Price: 252.77)",No Information,108.09%/0.02%/40.47%,"1.56%, 58.54%",5.2 years/1.8 month/2.2 years,2033-05-04/2026-02-21/2029-01-13,5.07%,6.62%,-1.55%,0.38,0.22,253.2025/352.2566/299.39/No Horizontal Resistance/270.9222/282.5179/No Moving Avg Target,235.6/162.3167/245.3626/196.8345/233.5959/221.8127/221.03,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-12-05 (Price: 99.26)",No Exit Yet,"0.0%, 0 days","90.32%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-12-05",Already confirmed,"2025-12-05 (Price: 99.26), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.39% above/0.55% above/0.0% below,12.4%/0.79%/4.86%,"1.93%, 33.13%",9.8 months/19 days/3.1 months,2027-02-03/2026-01-01/2026-04-17,9.78%,3.65%,6.13%,1.33,0.04,101.7911/104.084/115.51/No Horizontal Resistance/105.6031/114.0496/No Moving Avg Target,63.97/61.07/95.6649/90.1456/88.9194/82.4971/79.06,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
TRENDPULSE,"WIPRO.NS, Long, 2025-12-03 (Price: 254.69)",No Exit Yet,"2.05%, 2 days","84.62%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-03",Already confirmed,"2025-12-05 (Price: 259.91), 2.05% above",2 days,No Information,No Information,No Information,No Information,No Information,3.89% above/2.05% above/2.05% above,12.97%/1.23%/3.81%,"4.22%, 15.72%",1.4 month/5 days/13 days,2026-02-03/2025-12-10/2025-12-21,25.69%,10.65%,15.03%,0.61,0.39,266.3803/264.3937/262.3/366.6625/412.2037/473.5829/255.05,236.49/187.6063/216.7036/198.5041/No F-Track Level/No F-Track Level/No Moving Avg Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"CVS, Long, 2025-12-03 (Price: 75.0)",No Exit Yet,"0.84%, 2 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2025-12-03",Already confirmed,"2025-12-05 (Price: 75.63), 0.84% above",2 days,"-3.45, 77.63",No Information,No Information,No Information,No Information,No Information,21.64%/3.88%/11.16%,"0%, 35.1%",7.8 months/1.6 month/2.6 months,2026-11-06/2026-02-09/2026-03-25,25.69%,7.17%,18.52%,1.78,0.26,78.915/83.37/116.3721/106.045/116.3721/144.3517/No Moving Avg Target,70.26/58.425/70.3769/60.5139/No F-Track Level/No F-Track Level/69.68,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
TRENDPULSE,"SLV, Long, 2025-12-01 (Price: 52.52)",No Exit Yet,"0.82%, 4 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2025-12-01",Already confirmed,"2025-12-05 (Price: 52.95), 0.82% above",4 days,No Information,No Information,No Information,No Information,No Information,9.4% above/0.82% above/0.82% above,9.5%/2.69%/5.62%,"-0.0%, 15.17%",2.2 months/4 days/15 days,2026-03-05/2025-12-06/2025-12-22,113.36%,17.43%,95.93%,1.35,0.62,54.9727/55.4716/57.21/No Horizontal Resistance/48.7992/52.3128/No Moving Avg Target,45.3/18.99/45.3667/37.8142/No F-Track Level/No F-Track Level/35.39,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"LYFT, Long, 2025-11-25 (Price: 19.63)",2025-12-02 (Price: 22.24),"13.3%, 5 days","96.0%, Past 5 years, 25","Daily, was CONFIRMED on 2025-11-25",Already confirmed,"2025-12-05 (Price: 22.97), 17.01% above",10 days,No Information,No Information,No Information,"38.2% (Price: 18.7824), 22.3% above, Upmove Bounce Back","2023-05-24 (Price: 7.85), 2025-11-12 (Price: 25.54)",No Information,52.96%/0.97%/21.59%,"5.88%, 53.48%",1.1 year/27 days/6.3 months,2027-06-18/2026-01-03/2026-08-27,19.21%,-6.72%,25.93%,0.41,0.2,19.5181/23.8681/30.24/57.19/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.3,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"COIN, Long, 2025-11-24 (Price: 255.97)",2025-12-03 (Price: 276.92),"8.18%, 9 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2025-11-24",Already confirmed,"2025-12-05 (Price: 269.73), 5.38% above",11 days,No Information,No Information,No Information,No Information,No Information,No Information,19.07%/7.08%/10.13%,"27.31%, 39.8%",1.9 month/1 day/15 days,2026-02-16/2025-11-25/2025-12-15,11.79%,-0.05%,11.84%,0.3,0.5,263.1628/281.8998/272.53/289.6467/466.299/494.3788/281.98,238.16/86.505/234.936/157.903/No F-Track Level/No F-Track Level/No Moving Avg Support,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"KWEB, Short, 2025-12-05 (Price: 37.59)",No Exit Yet,"-0.0%, 0 days","88.89%, Past 12 years, 9","Monthly, was CONFIRMED on 2025-12-02",No Cancellation Possible,"2025-12-05 (Price: 37.59), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 38.4709), 2.29% below, Upmove Break Below","2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",No Information,10.4%/3.11%/6.98%,"19.33%, 16.82%",2.2 months/21 days/1.2 month,2026-03-10/2026-01-04/2026-01-26,21.98%,5.3%,16.68%,0.3,0.14,34.5527/34.9662/25.18/24.5062/No F-Stack Support/No F-Stack Support/36.36,42.01/24.5062/No F-Stack Support/No F-Stack Support/39.3865/41.3508/No Moving Avg Support,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
FRACTAL TRACK,"NFLX, Short, 2025-12-05 (Price: 100.24)",No Exit Yet,"-0.0%, 0 days","87.5%, Past 23 years, 16","Monthly, is CONFIRMED on 2025-12-05",No Cancellation Possible,"2025-12-05 (Price: 100.24), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 102.5619), 2.26% below, Upmove Break Below","2012-08-31 (Price: 0.7544), 2025-06-30 (Price: 134.115)",No Information,51.8%/3.55%/19.68%,"21.42%, 51.8%",2.1 months/20 days/27 days,2026-03-07/2026-01-02/2026-01-13,107.65%,5.4%,102.25%,0.58,0.92,184.5819/80.5128/20.22/34.8663/77.3488/70.5306/No Moving Avg Target,133.91/34.8663/77.3488/70.5306/89.0986/75.193/113.42,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
