Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GLD, Long, 2026-02-19 (Price: 459.56)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 459.56), 0.0% below",0 days,457.34,No Information,No Information,No Information,"23.66% (Price: 444.9733), 3.28% above, Upmove Bounce Back","2024-11-14 (Price: 236.13), 2026-01-29 (Price: 509.7)",No Information,11.32%/1.34%/8.92%,"-0.0%, 18.1%",2 years/1.4 month/5.2 months,2028-12-27/2026-04-20/2026-10-02,26.16%,11.89%,14.27%,2.41,0.93,494.7163/500.5528/623.7/No Horizontal Resistance/581.2346/625.0184/No EMA 200 Target,427.13/150.8/408.5544/288.3021/211.7912/209.4852/357.13,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"SLV, Long, 2026-02-19 (Price: 71.01)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 71.01), 0.0% below",0 days,70.68,No Information,No Information,No Information,"50% (Price: 64.105), 10.77% above, Upmove Bounce Back","2023-03-09 (Price: 18.38), 2026-01-29 (Price: 109.83)",No Information,14.88%/7.53%/10.91%,"7.24%, 33.28%",2.9 years/14 days/8 months,2030-04-11/2026-03-11/2027-02-01,24.18%,11.56%,12.62%,1.56,0.61,76.3002/78.7572/125.88/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,66.37/18.99/67.0665/59.2029/64.4/53.6785/46.62,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.0%, 0 days","94.44%, Past 5 years, 18","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 82.76), 0.0% below",0 days,82.05,No Information,No Information,No Information,"23.66% (Price: 80.0409), 3.4% above, Upmove Bounce Back","2023-05-04 (Price: 51.36), 2026-01-29 (Price: 88.93)",No Information,11.87%/8.4%/10.4%,"4.19%, 12.02%",1.8 year/1.1 month/7 months,2028-09-14/2026-04-07/2026-12-20,22.67%,13.72%,8.95%,1.7,0.99,87.8746/91.367/105.3/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/81.7326/77.3096/76.71,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 82.76), 0.0% below",0 days,82.05,No Information,No Information,No Information,No Information,No Information,0.93% above/0.0% below/0.0% below,3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-08/2026-02-27/2026-04-03,9.0%,11.01%,-2.01%,1.78,0.74,87.1132/84.6387/86.53/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/81.7326/77.3096/76.71,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
FRACTAL TRACK,"WPM, Long, 2026-02-19 (Price: 145.34)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 18","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 145.34), 0.0% below",0 days,143.5,No Information,No Information,No Information,"38.2% (Price: 134.4642), 8.09% above, Upmove Bounce Back","2025-10-28 (Price: 92.57), 2026-01-29 (Price: 160.36)",No Information,13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-07-21/2026-02-27/2026-08-14,31.01%,14.41%,16.6%,1.92,0.71,155.1068/158.9293/186.01/No Horizontal Resistance/152.8847/167.6521/No EMA 200 Target,130.9/38.3375/129.2378/119.4321/131.4972/113.7598/105.12,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"NA.TO, Long, 2026-02-15 (Price: 174.78)",No Exit Yet,"1.0%, 4 days","100.0%, Past 20 years, 26","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-19 (Price: 176.53), 1.0% above",4 days,169.0,No Information,No Information,No Information,"23.66% (Price: 160.7722), 9.8% above, Upmove Bounce Back","2025-04-13 (Price: 106.67), 2025-12-28 (Price: 177.54)",No Information,20.62%/0.12%/15.67%,"0%, 55.97%",3.7 years/3 months/1.1 year,2031-05-29/2026-06-25/2027-09-11,12.24%,6.18%,6.06%,3.57,0.32,185.6513/202.168/217.3/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,162.25/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/152.46,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
BASELINEDIVERGENCE,"NVDA, Long, 2026-02-15 (Price: 182.78)",No Exit Yet,"2.8%, 4 days","83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-02-15",Already confirmed,"2026-02-19 (Price: 187.9), 2.8% above",4 days,184.26,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-03-08/2026-05-17/2026-08-07,75.78%,46.22%,29.56%,0.69,1.86,229.6265/256.5317/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/172.81,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-02-15 (Price: 98.78)",No Exit Yet,"-2.21%, 4 days","84.62%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 96.6), 2.21% below",4 days,97.81,No Information,No Information,No Information,No Information,No Information,1.25% below/2.21% below/2.21% below,23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,2027-07-21/2026-04-08/2026-09-07,12.95%,11.64%,1.31%,0.84,0.65,110.2187/108.8556/127.12/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/81.32,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"GNE.NZ, Long, 2026-02-15 (Price: 2.47)",No Exit Yet,"-2.43%, 4 days","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 2.41), 2.43% below",4 days,2.46,No Information,No Information,No Information,No Information,No Information,2.03% below/2.43% below/2.43% below,8.45%/0.78%/4.81%,"22.37%, 34.69%",1.2 year/28 days/3.5 months,2027-11-02/2026-03-27/2026-07-17,3.46%,2.22%,1.24%,0.3,0.05,2.6651/2.5888/2.52/3.575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/2.38,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"MX.TO, Long, 2026-02-15 (Price: 66.46)",No Exit Yet,"1.59%, 4 days","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-19 (Price: 67.52), 1.59% above",4 days,64.36,No Information,No Information,No Information,No Information,No Information,1.59% above/1.59% above/1.59% above,35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-11-02/2026-03-27/2026-09-02,11.89%,3.89%,8.0%,0.73,0.26,76.4024/77.9842/76.97/73.435/104.8718/122.9238/No EMA 200 Target,47.63/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/51.76,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
