Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",Weekly,2025-12-29 (Price: 3.65) (Today),3.6453 (Backtested Max),No Date Target,4.66%/118.77%,"5.8%, 1.4 month","2025-12-29 (Price: 3.65), 5.8% above",3.82 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2027-06-12 (Max)/2026-04-17 (Min)/2027-01-24 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,4.58% above/5.8% above/5.8% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",Weekly,2025-12-29 (Price: 3.65) (Today),3.6488 (Avg % Gain of Historic Winning trades),No Date Target,0.74%/66.58%,"4.89%, 2.8 months","2025-12-29 (Price: 3.65), 4.89% above",6.08 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/3.677 (Backtested Max),2027-05-01 (Max)/2026-03-06 (Min)/2026-12-13 (Avg),2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,16.24% above/4.89% above/4.89% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-03-02 (Price: 3.39)",Weekly,2025-12-29 (Price: 3.65) (Today),No Price Target,No Date Target,9.86%/118.77%,"7.67%, 10.1 months","2025-12-29 (Price: 3.65), 7.67% above",4.01 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-26 (Max)/2026-05-10 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,9.28% above/7.67% above/7.67% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-23 (Price: 3.34)",Weekly,2025-12-29 (Price: 3.65) (Today),No Price Target,No Date Target,118.77%/248.37%,"9.28%, 10.3 months","2025-12-29 (Price: 3.65), 9.28% above",7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2),2026-09-19 (Max)/2026-05-03 (Avg),2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.03,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,14.78% above/9.28% above/9.28% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,2025-12-29 (Price: 182.48) (Today),No Price Target,No Date Target,27.21%/28.55%,"-17.87%, 2.4 months","2025-12-29 (Price: 182.48), 17.87% below",234.5776 (Historic Rise or Fall to Pivot)/235.8885 (Avg % Gain of Historic Winning trades)/235.23 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/238.04 (EMA 200)/240.1544 (Backtested Max)/232.1337 (Backtested Min),2027-10-17 (Max)/2026-06-19 (Avg),212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"0%, 11.31%",1.4 year/14 days/5.6 months,6.24%,7.2%,-0.96%,3.72,0.43,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets)
TRENDPULSE,"TRI.TO, Long, 2025-12-22 (Price: 182.89)",Daily,No Exit Yet,No Price Target,2025-12-30 (Min),0.82%/3.93%,"-0.22%, 7 days","2025-12-29 (Price: 182.48), 0.22% below",195.4911 (Historic Rise or Fall to Pivot)/189.6569 (Avg % Gain of Historic Winning trades)/235.1 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/239.03 (EMA 200)/196.6799 (Backtested Max)/183.9691 (Backtested Min),2026-08-22 (Max)/2025-12-30 (Min)/2026-03-01 (Avg),178.26/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,0.25% above/0.22% below/0.22% below,7.54%/0.59%/3.7%,"0%, 12.09%",5.6 months/6 days/1.6 month,14.91%,7.98%,6.93%,1.41,0.45,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-06 (Price: 38.14)",Daily,No Exit Yet,No Price Target,2025-12-28 (Avg),4.47%/5.74%,"-1.76%, 1.8 month","2025-12-29 (Price: 37.47), 1.76% below",40.2606 (Historic Rise or Fall to Pivot)/39.6198 (Avg % Gain of Historic Winning trades)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3354 (Backtested Max),2026-04-07 (Max),35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.01,"84.09%, Past 4 years, 44",No Information,No Information,No Information,No Information,No Information,1.76% below/1.76% below/1.76% below,11.0%/0.47%/3.88%,"35.07%, 43.46%",3.5 months/7 days/1.2 month,-16.19%,6.47%,-22.66%,-0.13,0.33,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2024-09-08 (Price: 37.4)",Weekly,2025-12-28 (Price: 37.86),No Price Target,No Date Target,6.72%/9.23%,"0.19%, 1.3 year","2025-12-29 (Price: 37.47), 0.19% above",43.7879 (Historic Rise or Fall to Pivot)/40.953 (Avg % Gain of Historic Winning trades)/45.55 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.0161 (Backtested Max)/39.9881 (Backtested Min),No Next Date Target,23.8/22.675/30.9793/26.1935/No F-Track Level/No F-Track Level/27.55,"100.0%, Past 10 years, 15",No Information,No Information,No Information,No Information,No Information,5.85% above/0.19% above/0.19% above,17.69%/6.92%/9.5%,"-0.0%, 27.7%",3.3 months/1.2 month/2.4 months,12.27%,12.4%,-0.13%,1.68,0.68,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"AIA.NZ, Long, 2025-11-18 (Price: 7.77)",Daily,No Exit Yet,8.3201 (Avg % Gain of Historic Winning trades)/8.33 (Exit Rule),No Date Target,4.65%/6.93%,"7.08%, 1.4 month","2025-12-29 (Price: 8.32), 7.08% above",8.8962 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/8.7071 (Backtested Max),2027-09-26 (Max)/2026-03-10 (Min)/2026-11-18 (Avg),7.6/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 6",No Information,No Information,No Information,"38.2% (Price: 7.9428), 4.75% above, Upmove Bounce Back","2025-07-16 (Price: 7.365), 2025-11-04 (Price: 8.3)",No Information,12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,14.01%,-0.21%,14.22%,1.2,-0.11,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-09-21 (Price: 7.85)",Weekly,2025-12-29 (Price: 8.32) (Today),8.3171 (Avg % Gain of Historic Winning trades)/8.37 (Exit Rule),No Date Target,3.15%/6.39%,"5.99%, 3.3 months","2025-12-29 (Price: 8.32), 5.99% above",8.5824 (Historic Rise or Fall to Pivot)/8.8962 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/8.8517 (Backtested Max),2026-08-12 (Max)/2026-01-20 (Avg),7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 10 years, 19",No Information,No Information,No Information,No Information,No Information,6.8% above/5.99% above/5.99% above,12.76%/0.47%/5.95%,"-0.0%, 7.89%",7.5 months/28 days/2.8 months,11.42%,5.83%,5.59%,1.52,0.3,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-05 (Price: 44.425)",Daily,No Exit Yet,No Price Target,2025-12-27 (Min),6.57%/9.66%,"-3.52%, 1.8 month","2025-12-29 (Price: 42.86), 3.52% below",47.0016 (Historic Rise or Fall to Pivot)/48.29 (Avg % Gain of Historic Winning trades)/51.25 (Exit Rule)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/49.405 (Backtested Max)/45.6778 (Backtested Min),2029-04-09 (Max)/2027-01-04 (Avg),44.42/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/41.98,"100.0%, Past 5 years, 16",No Information,No Information,No Information,"23.66% (Price: 44.1937), 3.02% below, Upmove Bounce Back","2025-04-09 (Price: 35.51), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
