Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"MTY.TO, Long, 2025-11-10 (Price: 34.02)",Daily,No Price Target,2025-11-11 (Earliest),No Exit Yet,"2025-11-11 (Price: 33.85), 0.5% below","72.97%, Past 6 years, 37",2.14%/5.52%,"-0.5%, 1 days",19.58%/5.02%/7.99%,34.5745 (Historic Rise or Fall to Pivot)/36.7382 (Avg % Gain of Historic Winning trades)/35.72 (Exit Rule)/72.5033 (Horizontal)/40.681116 (Backtested Best)/35.727804000000006 (Backtested Worst)/36.738198000000004 (Backtested Avg),2026-03-13 (Farthest)/2025-12-29 (Avg),"-0.5%, 1 days","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-11 (Price: 33.85), 0.5% below",1 days,No Information,No Information,No Information,No Information,No Information,No Information,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.59/40.88,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Price Target,2025-11-11 (Earliest),No Exit Yet,"2025-11-11 (Price: 627.08), 0.74% below","75.0%, Past 4 years, 8",4.04%/9.54%,"-0.74%, 1 days",14.76%/3.27%/8.73%,698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/725.0077759999999 (Backtested Best)/652.418552 (Backtested Worst)/686.912648 (Backtested Avg),2025-12-04 (Farthest)/2025-11-20 (Avg),"-0.74%, 1 days","Daily, was CONFIRMED on 2025-11-10",Already confirmed,"2025-11-11 (Price: 627.08), 0.74% below",1 days,No Information,No Information,No Information,No Information,No Information,No Information,"19.19%, 19.41%",17 days/1 days/7 days,2025-12-04/2025-11-11/2025-11-20,6.71%,17.48%,-10.77%,0.15,0.58,698.2212/686.9126/692.57/No Horizontal Resistance/842.484/1305.5879,618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level,721.92/678.5,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-09 (Price: 83.75)",Weekly,No Price Target,No Date Target,2025-11-11 (Price: 83.78) (Today),"2025-11-11 (Price: 83.78), 0.04% above","93.94%, Past 10 years, 33",0.73%/1.51%,"0.04%, 1 days",23.9%/1.55%/9.36%,88.8671 (Historic Rise or Fall to Pivot)/91.589 (Avg % Gain of Historic Winning trades)/85.08 (Exit Rule)/84.3925 (Horizontal)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/103.76624999999999 (Backtested Best)/85.048125 (Backtested Worst)/91.589 (Backtested Avg),2026-11-19 (Farthest)/2025-12-13 (Earliest)/2026-01-18 (Avg),"0.04%, 1 days","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-11 (Price: 83.78), 0.04% above",1 days,No Information,No Information,No Information,No Information,No Information,0.04% above/2.35% above/0.04% above,"6.63%, 46.57%",259 days/24 days/49 days,2026-11-19/2025-12-13/2026-01-18,20.93%,17.49%,3.44%,1.4,0.68,88.8671/91.589/85.08/84.3925/95.0177/123.2166,76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.48/74.69,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-07 (Price: 38.5)",Daily,No Price Target,No Date Target,2025-11-11 (Price: 38.1) (Today),"2025-11-11 (Price: 38.1), 1.04% below","75.86%, Past 4 years, 58",1.52%/2.74%,"-1.04%, 2 days",11.99%/0.47%/4.38%,39.7821 (Historic Rise or Fall to Pivot)/40.1863 (Avg % Gain of Historic Winning trades)/39.25 (Exit Rule)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.11615 (Backtested Best)/38.680949999999996 (Backtested Worst)/40.1863 (Backtested Avg),2026-02-22 (Farthest)/2025-11-14 (Earliest)/2025-12-19 (Avg),"-1.04%, 2 days","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-11 (Price: 38.1), 1.04% below",2 days,No Information,No Information,No Information,No Information,No Information,1.04% below/1.04% below/1.04% below,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-22/2025-11-14/2025-12-19,0%,10.77%,0%,-0.18,0.39,39.7821/40.1863/39.25/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.05/36.01,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,No Price Target,2025-11-11 (Earliest),2025-11-11 (Price: 315.62) (Today),"2025-11-11 (Price: 315.62), 0.7% above","97.62%, Past 4 years, 42",0.42%/3.51%,"0.7%, 3 days",10.64%/1.12%/4.24%,326.709 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/346.767888 (Backtested Best)/316.93030400000004 (Backtested Worst)/326.70900800000004 (Backtested Avg),2026-02-16 (Farthest)/2025-12-03 (Avg),"0.7%, 3 days","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-11 (Price: 315.62), 0.7% above",3 days,No Information,No Information,No Information,No Information,No Information,2.06% above/0.7% above/0.7% above,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-16/2025-11-11/2025-12-03,52.95%,15.43%,37.52%,1.31,0.55,315.5513/326.709/314.42/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,305.92/275.77,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-05 (Price: 82.96)",Daily,No Price Target,2025-11-10 (Earliest),2025-11-11 (Price: 83.78) (Today),"2025-11-11 (Price: 83.78), 0.99% above","80.56%, Past 4 years, 36",0.23%/0.73%,"0.99%, 4 days",12.01%/1.22%/4.01%,84.6524 (Historic Rise or Fall to Pivot)/86.2867 (Avg % Gain of Historic Winning trades)/93.24 (Exit Rule)/84.3925 (Horizontal)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/92.923496 (Backtested Best)/83.972112 (Backtested Worst)/86.28669599999999 (Backtested Avg),2026-04-26 (Farthest)/2025-12-05 (Avg),"0.99%, 4 days","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-11 (Price: 83.78), 0.99% above",4 days,No Information,No Information,No Information,No Information,No Information,0.99% above/0.99% above/0.99% above,"21.83%, 34.43%",119 days/4 days/21 days,2026-04-26/2025-11-10/2025-12-05,8.72%,13.33%,-4.61%,0.22,0.49,84.6524/86.2867/93.24/84.3925/95.0177/123.2166,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.24/74.59,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-04 (Price: 11.85)",Daily,No Price Target,2025-11-09 (Earliest),2025-11-11 (Price: 11.94) (Today),"2025-11-11 (Price: 11.94), 0.76% above","90.0%, Past 4 years, 20",0.62%/2.54%,"0.76%, 5 days",8.54%/1.38%/4.55%,12.2434 (Historic Rise or Fall to Pivot)/12.3892 (Avg % Gain of Historic Winning trades)/12.59 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/12.861989999999999 (Backtested Best)/12.01353 (Backtested Worst)/12.389175000000002 (Backtested Avg),2026-05-15 (Farthest)/2025-11-27 (Avg),"0.76%, 5 days","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-11 (Price: 11.94), 0.76% above",5 days,No Information,No Information,No Information,No Information,No Information,0.76% above/0.76% above/0.76% above,"6.4%, 20.48%",133 days/4 days/16 days,2026-05-15/2025-11-09/2025-11-27,46.12%,9.64%,36.48%,0.79,0.35,12.2434/12.3892/12.59/13.345/19.8479/26.5969,11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level,11.16/11.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2025-11-04 (Price: 6.03)",Daily,No Price Target,2025-11-11 (Earliest),2025-11-11 (Price: 5.91) (Today),"2025-11-11 (Price: 5.91), 1.99% below","91.3%, Past 4 years, 46",2.5%/4.1%,"-1.99%, 5 days",18.47%/0.46%/5.52%,6.1524 (Historic Rise or Fall to Pivot)/6.3629 (Avg % Gain of Historic Winning trades)/6.3 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/7.1437409999999995 (Backtested Best)/6.057738 (Backtested Worst)/6.362856 (Backtested Avg),2026-07-19 (Farthest)/2025-12-18 (Avg),"-1.99%, 5 days","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-11 (Price: 5.91), 1.99% below",5 days,No Information,No Information,No Information,No Information,No Information,0.51% below/1.99% below/1.99% below,"6.51%, 17.02%",178 days/5 days/31 days,2026-07-19/2025-11-11/2025-12-18,19.9%,4.2%,15.69%,0.73,0.16,6.1524/6.3629/6.3/6.825/7.4565/8.4213,5.8/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level,5.8/5.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"DIA, Long, 2025-11-02 (Price: 475.67)",Weekly,No Price Target,No Date Target,2025-11-11 (Price: 479.41) (Today),"2025-11-11 (Price: 479.41), 0.79% above","100.0%, Past 10 years, 28",0.44%/1.67%,"0.79%, 6 days",8.64%/1.23%/3.89%,487.419 (Historic Rise or Fall to Pivot)/494.1736 (Avg % Gain of Historic Winning trades)/551.83 (Exit Rule)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/516.7678880000001 (Backtested Best)/481.520741 (Backtested Worst)/494.173563 (Backtested Avg),2026-08-31 (Farthest)/2025-11-29 (Earliest)/2026-03-08 (Avg),"0.79%, 6 days","Weekly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-11 (Price: 479.41), 0.79% above",6 days,No Information,No Information,No Information,No Information,No Information,3.82% above/0.79% above/0.79% above,"-0.0%, 14.86%",209 days/19 days/87 days,2026-08-31/2025-11-29/2026-03-08,10.29%,9.9%,0.39%,1.56,0.44,487.419/494.1736/551.83/No Horizontal Resistance/538.1343/826.9871,454.87/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level,462.56/437.18,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
FRACTAL TRACK,"DIS, Long, 2025-11-02 (Price: 112.62)",Weekly,114.939972 (Backtested Worst),No Date Target,No Exit Yet,"2025-11-11 (Price: 114.85), 1.98% above","92.86%, Past 20 years, 42",0.54%/21.35%,"1.98%, 6 days",338.75%/2.06%/55.12%,115.4693 (Historic Rise or Fall to Pivot)/174.6961 (Avg % Gain of Historic Winning trades)/139.37 (Exit Rule)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/494.12025000000006 (Backtested Best)/174.69614400000003 (Backtested Avg),2035-12-04 (Farthest)/2025-12-14 (Earliest)/2027-08-14 (Avg),"1.98%, 6 days","Weekly, was CONFIRMED on 2025-11-02",Already confirmed,"2025-11-11 (Price: 114.85), 1.98% above",6 days,No Information,No Information,No Information,"38.2% (Price: 107.6566), 6.68% above, Upmove Bounce Back","2025-04-13 (Price: 80.1), 2025-07-06 (Price: 124.69)",No Information,"7.93%, 55.37%",2544 days/29 days/449 days,2035-12-04/2025-12-14/2027-08-14,8.38%,7.54%,0.84%,0.32,0.27,115.4693/174.6961/139.37/168.455/207.5364/245.6322,109.19/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,113.27/110.14,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
