Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
FRACTAL TRACK,"CNQ.TO, Long, 2025-12-18 (Price: 43.41)",Daily,No Exit Yet,43.9396 (Historic Rise or Fall to Pivot),No Date Target,5.82%/8.47%,"1.34%, 1 day","2025-12-19 (Price: 43.99), 1.34% above",47.7163 (Avg % Gain of Historic Winning trades)/47.93 (Exit Rule)/51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/48.1113 (Backtested Max)/46.5485 (Backtested Min),2027-01-30 (Max)/2026-02-03 (Min)/2026-06-18 (Avg),43.0/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/43.38,"100.0%, Past 5 years, 12",No Information,No Information,No Information,"78.6% (Price: 43.2814), 1.64% above, Upmove Bounce Back","2025-10-21 (Price: 41.67), 2025-11-20 (Price: 49.2)",No Information,10.83%/7.23%/9.92%,"-0.0%, 17.04%",9.4 months/1.1 month/4.2 months,20.54%,16.68%,3.86%,1.1,0.86,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),
TRENDPULSE,"CNQ.TO, Long, 2024-10-13 (Price: 51.71)",Weekly,2025-12-19 (Price: 43.99) (Today),No Price Target,No Date Target,17.62%/19.21%,"-14.93%, 1.2 year","2025-12-19 (Price: 43.99), 14.93% below",52.7907 (Historic Rise or Fall to Pivot)/55.3711 (Avg % Gain of Historic Winning trades)/51.74 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/61.5918 (Backtested Max)/52.4391 (Backtested Min),No Next Date Target,43.4/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/48.05,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,8.77% below/14.93% below/14.93% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"CNQ.TO, Long, 2024-04-07 (Price: 55.16)",Weekly,2025-12-19 (Price: 43.99) (Today),No Price Target,No Date Target,27.16%/28.01%,"-20.25%, 1.7 year","2025-12-19 (Price: 43.99), 20.25% below",56.3128 (Historic Rise or Fall to Pivot)/59.0653 (Avg % Gain of Historic Winning trades)/64.58 (Exit Rule)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2)/65.7011 (Backtested Max)/55.9378 (Backtested Min),No Next Date Target,40.81/13.9251/48.4386/46.0303/No F-Track Level/No F-Track Level/43.33,"95.45%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,12.71% below/20.25% below/20.25% below,19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2.78%,3.8%,-1.02%,0.61,0.23,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
TRENDPULSE,"JPM, Long, 2025-11-06 (Price: 313.42)",Daily,2025-12-17 (Price: 314.98),No Price Target,No Date Target,1.99%/3.69%,"1.21%, 1.4 month","2025-12-19 (Price: 317.21), 1.21% above",323.5121 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/332.8834 (Backtested Max),2026-03-29 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/275.77,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,2.57% above/1.21% above/1.21% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",Daily,2025-12-17 (Price: 314.98),No Price Target,No Date Target,1.24%/3.69%,"1.96%, 1.6 month","2025-12-19 (Price: 317.21), 1.96% above",321.1381 (Avg % Gain of Historic Winning trades)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/330.4406 (Backtested Max),2026-03-23 (Max),294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/274.75,"100.0%, Past 4 years, 31",No Information,No Information,No Information,No Information,No Information,2.51% above/1.96% above/1.96% above,6.21%/1.3%/3.22%,"-0.0%, 16.83%",3.3 months/6 days/18 days,17.37%,9.85%,7.52%,1.54,0.5,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"MA, Long, 2025-12-12 (Price: 571.93)",Daily,No Exit Yet,No Price Target,2025-12-17 (Min),1.06%/1.08%,"0.05%, 7 days","2025-12-19 (Price: 572.23), 0.05% above",578.3928 (Historic Rise or Fall to Pivot)/588.7447 (Avg % Gain of Historic Winning trades)/580.4 (Exit Rule)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/616.5977 (Backtested Max)/578.2784 (Backtested Min),2026-05-13 (Max)/2026-02-06 (Avg),537.55/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.57% above/0.05% above/0.05% above,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"MA, Long, 2025-06-08 (Price: 590.12)",Weekly,No Exit Yet,No Price Target,2025-12-20 (Avg),5.2%/8.19%,"-3.03%, 6.5 months","2025-12-19 (Price: 572.23), 3.03% below",665.4783 (Historic Rise or Fall to Pivot)/619.0949 (Avg % Gain of Historic Winning trades)/727.51 (Exit Rule)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/637.5066 (Backtested Max)/601.9814 (Backtested Min),2026-05-17 (Max)/2025-12-20 (Avg),489.77/279.035/554.0572/515.4888/No F-Track Level/No F-Track Level/528.51,"84.0%, Past 10 years, 25",No Information,No Information,No Information,No Information,No Information,2.28% below/3.03% below/3.03% below,8.03%/2.01%/4.91%,"14.55%, 37.99%",7.9 months/1.2 month/4.5 months,8.27%,16.14%,-7.87%,0.32,0.95,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets),
DELTADRIFT,"TCS.NS, Long, 2025-10-12 (Price: 3028.3)",Weekly,2025-12-07 (Price: 3238.2),3265.7187 (Historic Rise or Fall to Pivot)/3277.2263 (Avg % Gain of Historic Winning trades)/3271.47 (Exit Rule),No Date Target,5.24%/38.44%,"8.38%, 2.3 months","2025-12-19 (Price: 3282.0), 8.38% above",4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3454.079 (Backtested Max),2026-01-02 (Max),2899.1/2937.675/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,5.93%,8.39%,-2.46%,0.21,0.46,96.88%/32/0 days (Across ALL Assets),88.57%/105/0 days (Across ALL Assets),
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",Daily,No Exit Yet,3279.96 (EMA 200),No Date Target,0.23%/1.76%,"1.35%, 14 days","2025-12-19 (Price: 3282.0), 1.35% above",3389.4239 (Historic Rise or Fall to Pivot)/3339.8795 (Avg % Gain of Historic Winning trades)/3396.9 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3503.0848 (Backtested Max)/3289.6874 (Backtested Min),2026-06-14 (Max)/2026-01-17 (Avg),2990.2/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.64% above/1.35% above/1.35% above,8.18%/1.59%/3.14%,"12.98%, 25.8%",4.4 months/6 days/1 month,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,2025-12-16 (Price: 157.61),165.2105 (Historic Rise or Fall to Pivot),No Date Target,1.54%/9.19%,"7.43%, 21 days","2025-12-19 (Price: 164.88), 7.43% above",180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/167.4204 (Backtested Max),2026-06-07 (Max)/2026-01-10 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"78.95%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,10.34% above/7.43% above/7.43% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,12.04%,18.03%,-5.99%,0.06,0.87,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),
