Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"UPS, Long, 2025-11-23 (Price: 94.66)",2026-01-01 (Price: 99.19),"4.79%, 1.3 month","84.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-11-21",Already confirmed,"2025-12-31 (Price: 99.19), 4.79% above",1.3 month,No Information,No Information,No Information,No Information,No Information,4.79% above/4.79% above/4.79% above,11.34%/2.91%/7.7%,"13.76%, 27.26%",9.8 months/28 days/4.1 months,2027-01-22/2026-01-02/2026-05-18,6.24%,1.27%,4.97%,0.28,0.02,91.8959/101.9488/138.96/221.2667/228.7501/295.6013/97.5,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",2026-01-01 (Price: 181.13) (Today),"-18.48%, 2.5 months","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2026-01-01 (Price: 181.13), 18.48% below",2.5 months,No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"0%, 11.31%",1.4 year/14 days/5.6 months,2027-10-17/2025-11-08/2026-06-19,6.24%,7.2%,-0.96%,3.72,0.43,234.5776/235.8885/235.23/240.8933/293.2329/316.3836/237.39,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"MSE.PA, Long, 2025-10-26 (Price: 63.0002)",2026-01-01 (Price: 64.71),"2.71%, 2.2 months","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2025-10-24",Already confirmed,"2025-12-31 (Price: 64.71), 2.71% above",2.2 months,No Information,No Information,No Information,No Information,No Information,3.89% above/2.75% above/2.71% above,10.47%/2.5%/6.07%,"-0.0%, 33.38%",1.4 year/1.2 month/6.9 months,2027-10-24/2025-12-17/2026-08-21,7.99%,3.79%,4.2%,2.07,0.15,66.4274/66.8243/65.75/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,57.29/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/58.9,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"BYD.TO, Long, 2025-02-02 (Price: 238.35)",2026-01-01 (Price: 218.63),"-8.27%, 11.1 months","100.0%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-01-31",Already confirmed,"2025-12-31 (Price: 218.63), 8.27% below",11.1 months,No Information,No Information,No Information,No Information,No Information,1.31% below/8.27% below/8.27% below,13.87%/2.81%/7.23%,"-0.0%, 50.63%",7.2 months/28 days/4.3 months,2025-12-11/2025-03-14/2025-08-07,12.02%,17.33%,-5.31%,1.5,0.91,257.2035/255.5827/240.71/255.83/367.2583/388.6839/No EMA 200 Target,208.54/187.425/229.0045/147.1212/No F-Track Level/No F-Track Level/230.01,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-02-23 (Price: 3.34)",2026-01-01 (Price: 3.68),"10.18%, 10.4 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-02-21",Already confirmed,"2025-12-31 (Price: 3.68), 10.18% above",10.4 months,No Information,No Information,No Information,No Information,No Information,15.72% above/10.18% above/10.18% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2026-09-19/2025-07-25/2026-05-03,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.2335/3.502/3.48/7.985/12.7156/14.3053/No EMA 200 Target,2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.03,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-03-02 (Price: 3.39)",2026-01-01 (Price: 3.68),"8.55%, 10.2 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-02-28",Already confirmed,"2025-12-31 (Price: 3.68), 8.55% above",10.2 months,No Information,No Information,No Information,No Information,No Information,10.18% above/8.55% above/8.55% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2026-09-26/2025-08-01/2026-05-10,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.2819/3.5544/4.01/7.985/12.7156/14.3053/No EMA 200 Target,2.78/3.3133/3.1474/No support/No F-Track Level/No F-Track Level/3.02,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-10-05 (Price: 3.48)",2026-01-01 (Price: 3.68),"5.75%, 2.9 months","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-10-03",Already confirmed,"2025-12-31 (Price: 3.68), 5.75% above",2.9 months,No Information,No Information,No Information,No Information,No Information,17.2% above/5.75% above/5.75% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2027-05-01/2026-03-06/2026-12-13,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.369/3.6488/6.08/7.985/12.7156/14.3053/No EMA 200 Target,2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.11,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"FBU.NZ, Long, 2025-11-16 (Price: 3.45)",2026-01-01 (Price: 3.68),"6.67%, 1.5 month","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-12-31 (Price: 3.68), 6.67% above",1.5 month,No Information,No Information,No Information,No Information,No Information,5.44% above/6.67% above/6.67% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,2027-06-12/2026-04-17/2027-01-24,-4.06%,-3.73%,-0.33%,-0.25,-0.19,3.3399/3.6173/3.82/7.985/12.7156/14.3053/No EMA 200 Target,2.94/2.82/3.1474/No support/No F-Track Level/No F-Track Level/3.17,No Data (Across ALL Assets),No Data (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2025-09-21 (Price: 7.85)",2026-01-01 (Price: 8.33),"6.11%, 3.4 months","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2025-09-19",Already confirmed,"2025-12-31 (Price: 8.33), 6.11% above",3.4 months,No Information,No Information,No Information,No Information,No Information,6.93% above/6.11% above/6.11% above,12.76%/0.47%/5.95%,"-0.0%, 7.89%",7.5 months/28 days/2.8 months,2026-08-12/2025-10-31/2026-01-20,11.42%,5.83%,5.59%,1.52,0.3,8.5824/8.3171/8.37/8.8962/11.1706/12.8535/7.98,7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets)
FRACTAL TRACK,"HYG, Long, 2025-06-30 (Price: 80.65)",2025-12-31 (Price: 80.63) (Today),"-0.02%, 6.1 months","80.0%, Past 18 years, 5","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2025-12-31 (Price: 80.63), 0.02% below",6.1 months,No Information,No Information,No Information,"38.2% (Price: 76.5615), 5.31% above, Upmove Bounce Back","2022-10-31 (Price: 70.4), 2024-09-30 (Price: 80.37)",No Information,2.15%/2.15%/2.15%,"3.95%, 5.88%",1.7 year/1.7 year/1.7 year,2027-12-03/2027-12-03/2027-12-03,3.9%,-0.99%,4.89%,-0.17,-0.53,79.4967/82.384/86.63/86.99/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,78.6/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/79.96,No Data (Across ALL Assets),No Data (Across ALL Assets)
