"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"HDFCBANK.NS, Long, 2026-01-28 (Price: 932.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price  prior to 2026-01-30,"2026-01-28 (Price: 932.7), 0.0% below",0 days,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-07/2026-03-09/2026-04-11,12.02%,10.83%,1.19%,2.91,0.65,1069.7136/1012.5391/1041.13/1009.6/1299.7536/1565.406/977.17,916.1/640.9/762.8018/626.4465/No support/891.107/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),906.0
"BRK-B, Long, 2026-01-26 (Price: 483.47)",No Exit Yet,"-2.06%, 2 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-28 (Price: 473.49), 2.06% below",2 days,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,2026-03-27/2026-01-27/2026-02-10,4.18%,10.92%,-6.74%,0.08,0.77,501.8902/494.2514/498.07/512.255/630.85/709.9376/495.2,478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),478.47
"IHI, Long, 2026-01-26 (Price: 60.74)",No Exit Yet,"-1.12%, 2 days","85.0%, Past 4 years, 20","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-28 (Price: 60.06), 1.12% below",2 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-02-22/2026-01-27/2026-02-05,10.24%,1.25%,8.99%,0.38,-0.05,64.7002/62.3921/63.55/65.925/68.9264/76.3906/61.27,60.28/46.725/56.0899/46.1919/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),60.27
"SUM.NZ, Long, 2026-01-26 (Price: 11.92)",No Exit Yet,"-3.61%, 2 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-26",Already confirmed,"2026-01-28 (Price: 11.49), 3.61% below",2 days,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-04-22/2026-01-27/2026-02-22,5.72%,-0.28%,6.0%,0.18,-0.09,12.0738/12.3694/12.22/12.6867/19.8479/26.5969/No EMA 200 Target,11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.51,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),11.95
"DOL.TO, Long, 2026-01-23 (Price: 192.22)",No Exit Yet,"-3.08%, 5 days","80.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-28 (Price: 186.3), 3.08% below",5 days,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,2026-02-23/2026-01-27/2026-02-03,6.16%,20.38%,-14.22%,0.47,1.39,212.0955/198.2557/205.18/197.56/294.0831/455.769/No EMA 200 Target,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/187.25,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),193.26
"KXS.TO, Long, 2026-01-23 (Price: 149.09)",No Exit Yet,"-3.11%, 5 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-01-28 (Price: 144.46), 3.11% below",5 days,7.06%/2.13%/4.15%,"15.86%, 17.85%",1.8 month/2 days/12 days,2026-04-11/2026-01-25/2026-02-09,3.12%,-2.75%,5.87%,0.03,-0.07,158.751/155.2772/157.01/209.885/222.5978/243.8843/185.07,148.69/127.09/123.9058/118.5983/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),148.62
"AAPL, Long, 2026-01-22 (Price: 248.35)",2026-01-26 (Price: 255.41),"2.84%, 4 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-01-28 (Price: 256.44), 3.26% above",6 days,6.6%/3.13%/3.95%,"4.88%, 13.99%",2.3 months/2 days/23 days,2026-05-01/2026-01-24/2026-02-24,8.79%,8.71%,0.08%,0.77,0.46,258.7559/258.1598/258.46/No Horizontal Resistance/289.238/325.3828/No EMA 200 Target,246.7/136.57/202.8031/187.5583/No F-Track Level/No F-Track Level/236.07,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),249.2
"MSFT, Long, 2026-01-20 (Price: 454.52)",2026-01-23 (Price: 465.95),"2.51%, 3 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-01-28 (Price: 481.63), 5.96% above",8 days,5.23%/2.02%/3.62%,"8.2%, 14.53%",2.4 months/1 day/13 days,2026-05-04/2026-01-21/2026-02-07,4.97%,9.3%,-4.33%,0.11,0.5,476.6097/470.9736/473.79/554.585/553.3726/615.9924/485.5,450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/0 days (Across ALL Assets),78.71%/479/0 days (Across ALL Assets),451.22
"INDY, Long, 2026-01-18 (Price: 47.98)",No Exit Yet,"-2.5%, 10 days","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-01-28 (Price: 46.78), 2.5% below",10 days,15.72%/4.17%/7.44%,"18.57%, 22.76%",2.8 months/21 days/1.8 month,2026-05-19/2026-02-17/2026-04-06,4.45%,2.66%,1.79%,0.24,0.07,51.2426/51.5497/51.4/54.474/60.9145/68.1277/52.06,47.57/40.73/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),48.41
"PG, Long, 2025-12-21 (Price: 144.46)",2026-01-25 (Price: 150.15),"3.94%, 1.2 month","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-01-28 (Price: 147.34), 1.99% above",1.3 month,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,2026-10-12/2025-12-31/2026-03-13,6.41%,4.09%,2.32%,2.17,0.17,152.5642/151.943/152.25/179.4533/186.6499/209.3631/154.18,142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/0 days (Across ALL Assets),87.5%/112/0 days (Across ALL Assets),143.27
