Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"IBIT, Long, 2025-11-24 (Price: 50.57)",Daily,No Exit Yet,No Price Target,2025-11-26 (Min),1.71%/5.0%,"0.0%, 0 days","2025-11-24 (Price: 50.57), 0.0% below",51.4347 (Historic Rise or Fall to Pivot)/54.2515 (Avg % Gain of Historic Winning trades)/53.1 (Exit Rule)/70.855 (Horizontal)/74.3812 (F-Stack 1)/88.2877 (F-Stack 2)/58.83 (Moving Avg)/54.7066 (Backtested Best)/53.1288 (Backtested Worst),2026-01-02 (Max)/2025-11-26 (Min)/2025-12-21 (Avg),No Recent Minima/41.99/45.1961/234.9241/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.0%, Past 1 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,8.18%/5.06%/7.28%,"13.32%, 14.42%",27 days/2 days/19 days,56.12%,58.43%,-2.31%,0.25,1.54,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",Daily,No Exit Yet,No Price Target,2025-11-23 (Min),3.78%/4.25%,"0.72%, 1 day","2025-11-25 (Price: 87432.1719), 0.72% above",90737.2747 (Historic Rise or Fall to Pivot)/93870.9354 (Avg % Gain of Historic Winning trades)/91145.26 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/110057.95 (Moving Avg)/103341.3618 (Backtested Best)/91179.9802 (Backtested Worst),2026-01-05 (Max)/2025-12-04 (Avg),No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,"84.21%, Past 6 years, 57",No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,54.01%,49.41%,4.61%,0.19,0.92,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"MTY.TO, Long, 2025-11-21 (Price: 36.56)",Daily,No Exit Yet,No Price Target,2025-11-26 (Min),1.43%/2.39%,"1.04%, 1 day","2025-11-24 (Price: 36.94), 1.04% above",37.4667 (Historic Rise or Fall to Pivot)/37.8213 (Avg % Gain of Historic Winning trades)/39.02 (Exit Rule)/72.5033 (Horizontal)/40.28 (Moving Avg)/40.227 (Backtested Best),2026-04-29 (Max)/2025-11-26 (Min)/2026-01-04 (Avg),33.34/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,5.66% above/1.04% above/1.04% above,10.03%/0.53%/3.45%,"1.08%, 22.19%",3.7 months/4 days/1.0 month,28.2%,-6.94%,35.14%,1.34,-0.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"EFN.TO, Long, 2025-11-20 (Price: 36.25)",Daily,No Exit Yet,No Price Target,2025-11-22 (Min),0.89%/2.23%,"2.7%, 2 days","2025-11-24 (Price: 37.23), 2.7% above",37.5622 (Historic Rise or Fall to Pivot)/38.7766 (Avg % Gain of Historic Winning trades)/38.06 (Exit Rule)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/41.5606 (Backtested Best)/38.0734 (Backtested Worst),2026-02-07 (Max)/2025-12-21 (Avg),No Recent Minima/11.7733/29.5041/177.9303/No F-Track Level/No F-Track Level/33.46,"79.17%, Past 6 years, 24",No Information,No Information,No Information,No Information,No Information,No Information,14.65%/5.03%/6.97%,"11.05%, 13.79%",1.8 month/2 days/22 days,11.74%,21.39%,-9.65%,0.13,0.78,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2025-11-19 (Price: 91465.9922)",Daily,No Exit Yet,No Price Target,2025-11-23 (Avg),7.83%/10.94%,"-4.41%, 4 days","2025-11-25 (Price: 87432.1719), 4.41% below",96999.6847 (Historic Rise or Fall to Pivot)/97054.5643 (Avg % Gain of Historic Winning trades)/97027.12 (Exit Rule)/124582.2656 (Horizontal)/122105.3521 (F-Stack 1)/133759.1807 (F-Stack 2)/110057.95 (Moving Avg)/102167.5133 (Backtested Best)/94273.9982 (Backtested Worst),2025-12-09 (Max),76271.95/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.91%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,11.7%/3.07%/6.11%,"14.07%, 14.27%",14 days/0 days/3 days,16.86%,15.19%,1.67%,0.65,0.39,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2025-11-18 (Price: 12.6)",Daily,No Exit Yet,No Price Target,2025-11-23 (Min),0.58%/2.51%,"0.79%, 5 days","2025-11-25 (Price: 12.7), 0.79% above",13.0183 (Historic Rise or Fall to Pivot)/13.1733 (Avg % Gain of Historic Winning trades)/13.36 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.676 (Backtested Best)/12.7739 (Backtested Worst),2026-05-29 (Max)/2025-12-11 (Avg),11.6/9.1367/11.0645/56.4607/No F-Track Level/No F-Track Level/11.45,"90.0%, Past 4 years, 20",No Information,No Information,No Information,No Information,No Information,0.4% above/0.79% above/0.79% above,8.54%/1.38%/4.55%,"6.4%, 20.48%",4.4 months/4 days/16 days,46.12%,9.64%,36.48%,0.79,0.35,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
DELTADRIFT,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Exit Yet,No Price Target,2025-11-20 (Avg),6.42%/9.99%,"-2.96%, 14 days","2025-11-24 (Price: 613.05), 2.96% below",698.2212 (Historic Rise or Fall to Pivot)/686.9126 (Avg % Gain of Historic Winning trades)/692.57 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/674.28 (Moving Avg)/725.0078 (Backtested Best)/652.4186 (Backtested Worst),2025-12-04 (Max),618.94/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"75.0%, Past 4 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,14.76%/3.27%/8.73%,"19.19%, 19.41%",17 days/1 day/7 days,6.71%,17.48%,-10.77%,0.15,0.58,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-10 (Price: 240.83)",Daily,2025-11-21 (Price: 198.76),No Price Target,2025-11-20 (Avg),22.46%/23.96%,"-16.84%, 14 days","2025-11-24 (Price: 200.28), 16.84% below",271.7285 (Historic Rise or Fall to Pivot)/248.2716 (Avg % Gain of Historic Winning trades)/260.0 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/250.7281 (Backtested Best)/245.2613 (Backtested Worst),2025-12-08 (Max),239.26/82.7925/233.7381/208.7793/No F-Track Level/No F-Track Level/210.71,"71.43%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,-5.14%,28.08%,-33.22%,-0.21,0.86,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"META, Long, 2025-11-10 (Price: 631.76)",Daily,No Exit Yet,No Price Target,2025-11-24 (Avg),8.2%/8.3%,"-2.96%, 14 days","2025-11-24 (Price: 613.05), 2.96% below",679.5842 (Avg % Gain of Historic Winning trades)/663.35 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/674.28 (Moving Avg)/689.9451 (Backtested Best)/663.9166 (Backtested Worst),2025-12-13 (Max),No Recent Minima/280.19/556.264/2054.9119/No F-Track Level/No F-Track Level/No Moving Avg Support,"72.41%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,9.21%/5.09%/7.57%,"24.1%, 28.78%",23 days/3 days/10 days,-75.0%,21.72%,-96.72%,-0.28,0.69,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"ATD.TO, Long, 2025-11-06 (Price: 69.75)",Daily,2025-11-21 (Price: 72.02),No Price Target,No Date Target,1.44%/2.56%,"1.69%, 18 days","2025-11-24 (Price: 70.93), 1.69% above",76.8505 (Historic Rise or Fall to Pivot)/71.9541 (Avg % Gain of Historic Winning trades)/74.4 (Exit Rule)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/72.7423 (Backtested Best),2026-01-05 (Max),68.8/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No Moving Avg Support,"90.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,4.29%/1.99%/3.16%,"7.87%, 8.49%",1.4 month/1 day/7 days,10.18%,9.13%,1.05%,0.58,0.34,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
