Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Market Cap (USD)
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",Daily,No Exit Yet,No Price Target,2025-12-13 (Min),1.85%/2.15%,"-0.55%, 7 days","2025-12-12 (Price: 3220.5), 0.55% below",3389.4239 (Historic Rise or Fall to Pivot)/3339.8795 (Avg % Gain of Historic Winning trades)/3396.9 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3279.96 (EMA 200)/3503.0848 (Backtested Max)/3289.6874 (Backtested Min),2026-06-14 (Max)/2025-12-13 (Min)/2026-01-17 (Avg),2990.2/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,0.27% below/0.55% below/0.55% below,8.18%/1.59%/3.14%,"12.98%, 25.8%",4 days/6 days/1 day,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11652.05B
TRENDPULSE,"TCS.NS, Long, 2025-06-10 (Price: 3462.8999)",Daily,2025-12-11 (Price: 3191.8999),No Price Target,No Date Target,9.24%/10.9%,"-7.0%, 6 days","2025-12-12 (Price: 3220.5), 7.0% below",3624.6173 (Historic Rise or Fall to Pivot)/3571.635 (Avg % Gain of Historic Winning trades)/4063.59 (Exit Rule)/4543.575 (Horizontal)/5142.5725 (F-Stack 1)/5692.579 (F-Stack 2)/3955.18 (EMA 200)/3746.1651 (Backtested Max)/3517.96 (Backtested Min),2025-12-18 (Max),3371.1/2911.025/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,4.84% below/7.0% below/7.0% below,8.18%/1.59%/3.14%,"12.98%, 25.8%",4 days/6 days/1 day,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),11652.05B
TRENDPULSE,"SONY, Long, 2025-09-26 (Price: 29.78)",Daily,No Exit Yet,No Price Target,2025-12-13 (Max),15.46%/17.54%,"-10.11%, 2 days","2025-12-12 (Price: 26.77), 10.11% below",31.9003 (Historic Rise or Fall to Pivot)/30.9087 (Avg % Gain of Historic Winning trades)/32.7 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/31.4655 (Backtested Max),2025-12-13 (Max),26.95/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/24.72,"85.71%, Past 4 years, 21",No Information,No Information,No Information,No Information,No Information,10.11% below/10.11% below/10.11% below,5.66%/0.97%/3.79%,"9.71%, 32.85%",1 day/6 days/1 day,10.39%,9.44%,0.95%,0.33,0.49,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),159.64B
TRENDPULSE,"SONY, Long, 2025-03-31 (Price: 25.39)",Monthly,2025-12-12 (Price: 26.77) (Today),No Price Target,No Date Target,8.86%/9.75%,"5.44%, 8 days","2025-12-12 (Price: 26.77), 5.44% above",29.1426 (Historic Rise or Fall to Pivot)/32.8343 (Avg % Gain of Historic Winning trades)/29.38 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/37.6204 (Backtested Max),2027-02-06 (Max)/2026-05-22 (Avg),16.47/14.992/24.8529/22.354/No F-Track Level/No F-Track Level/19.99,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,21.63% above/7.21% above/5.44% above,48.17%/7.34%/29.32%,"31.07%, 31.13%",1 day/5 days/9 days,7.48%,2.09%,5.39%,0.95,0.13,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets),159.64B
FRACTAL TRACK,"WPM.TO, Long, 2025-11-25 (Price: 144.58)",Daily,2025-12-11 (Price: 161.5),No Price Target,2025-12-13 (Min),2.46%/11.31%,"11.87%, 17 days","2025-12-12 (Price: 161.74), 11.87% above",198.14 (Exit Rule)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/165.7176 (Backtested Max),2027-06-21 (Max)/2025-12-13 (Min)/2026-06-04 (Avg),139.91/52.782/133.3839/125.3844/No F-Track Level/No F-Track Level/128.73,"95.0%, Past 5 years, 20",No Information,No Information,No Information,"23.66% (Price: 139.3211), 16.09% above, Upmove Bounce Back","2024-06-28 (Price: 71.18), 2025-10-16 (Price: 160.44)",No Information,14.62%/2.13%/10.44%,"0.62%, 39.55%",1 day/13 days/4 days,33.25%,15.97%,17.28%,1.94,0.81,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),73.43B
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,161.2049 (Avg % Gain of Historic Winning trades),No Date Target,2.15%/3.51%,"5.39%, 14 days","2025-12-12 (Price: 161.74), 5.39% above",165.2105 (Historic Rise or Fall to Pivot)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/167.4204 (Backtested Max),2026-06-07 (Max)/2026-01-10 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"78.95%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,8.24% above/5.39% above/5.39% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4 days/6 days/1 day,12.04%,18.03%,-5.99%,0.06,0.87,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),73.43B
FRACTAL TRACK,"NA.TO, Long, 2025-06-30 (Price: 140.52)",Monthly,2025-11-30 (Price: 168.95),170.8442 (Avg % Gain of Historic Winning trades),No Date Target,5.09%/9.29%,"22.84%, 5 days","2025-12-12 (Price: 172.62), 22.84% above",222.66 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/181.4113 (Backtested Max),2032-01-22 (Max)/2025-12-20 (Min)/2027-08-21 (Avg),118.77/73.9933/134.0186/119.9028/No F-Track Level/No F-Track Level/140.38,"92.86%, Past 42 years, 14",No Information,No Information,No Information,"23.66% (Price: 108.7595), 58.72% above, Upmove Bounce Back","1995-01-31 (Price: 4.25), 2024-12-31 (Price: 141.15)",No Information,29.1%/8.19%/21.58%,"3.99%, 52.46%",4 days/4 days/1 day,8.81%,8.57%,0.24%,1.75,0.52,84.62%/39/0 days (Across ALL Assets),68.29%/82/0 days (Across ALL Assets),67.70B
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,2025-12-10 (Price: 173.13),No Price Target,No Date Target,0.37%/1.69%,"2.17%, 14 days","2025-12-12 (Price: 172.62), 2.17% above",175.539 (Historic Rise or Fall to Pivot)/173.2582 (Avg % Gain of Historic Winning trades)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Max),2026-04-07 (Max)/2026-01-03 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"78.26%, Past 4 years, 23",No Information,No Information,No Information,No Information,No Information,2.17% above/2.17% above/2.17% above,4.34%/1.0%/2.55%,"4.62%, 23.98%",3 days/6 days/25 days,10.68%,10.38%,0.3%,0.34,0.57,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),67.70B
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,No Exit Yet,86.9118 (Historic Rise or Fall to Pivot),No Date Target,3.27%/8.1%,"12.27%, 3 days","2025-12-12 (Price: 87.72), 12.27% above",90.5917 (Avg % Gain of Historic Winning trades)/136.68 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/94.8264 (Backtested Max),2035-12-04 (Max)/2027-07-02 (Avg),76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/76.5,"92.31%, Past 20 years, 13",No Information,No Information,No Information,"23.66% (Price: 74.9138), 17.09% above, Upmove Bounce Back","1999-03-07 (Price: 0.425), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7 days/1 day/1 day,8.85%,12.31%,-3.46%,1.52,0.64,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),4.85B
FRACTAL TRACK,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",Weekly,No Exit Yet,87.6794 (Historic Rise or Fall to Pivot),No Date Target,4.19%/8.32%,"11.29%, 5 days","2025-12-12 (Price: 87.72), 11.29% above",91.3918 (Avg % Gain of Historic Winning trades)/137.36 (Exit Rule)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/95.6638 (Backtested Max),2035-10-16 (Max)/2027-05-14 (Avg),65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/76.5,"92.31%, Past 20 years, 13",No Information,No Information,No Information,"23.66% (Price: 74.9167), 17.09% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7 days/1 day/1 day,8.85%,12.31%,-3.46%,1.52,0.64,98.94%/94/0 days (Across ALL Assets),62.9%/124/0 days (Across ALL Assets),4.85B
