Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2025-11-14 (Price: 217.11)",No Exit Yet,"0.0%, 0 days","97.06%, Past 20 years, 34","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 217.11), 0.0% below",0 days,No Information,No Information,No Information,"88.6% (Price: 205.401), 5.7% above, Upmove Bounce Back","2024-10-06 (Price: 198.61), 2025-03-02 (Price: 258.18)",No Information,1975.56%/0.56%/388.21%,"1.41%, 39.64%",1859 days/109 days/652 days,2033-03-29/2026-04-20/2028-06-15,16.37%,23.47%,-7.1%,0.29,0.79,223.9055/1059.9527/252.85/256.6133/367.2583/388.6839,209.51/188.685/147.1212/139.9966/357.5546/377.7143,224.66/216.94,94.55%/55/541 days (Across ALL Assets),74.31%/144/156 days (Across ALL Assets)
TRENDPULSE,"BRK-B, Long, 2025-11-14 (Price: 508.94)",No Exit Yet,"0.0%, 0 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 508.94), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,11.6%/2.26%/5.43%,"13.62%, 25.57%",209 days/24 days/60 days,2026-09-12/2025-12-18/2026-02-08,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/537.7909/627.804,477.54/268.082/475.0642/401.0818/475.2967/434.262,493.55/496.0,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"^BVSP, Long, 2025-11-14 (Price: 157738.6875)",No Exit Yet,"0.0%, 0 days","94.44%, Past 10 years, 36","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 157738.6875), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,2.39% above/0.0% below/0.0% below,11.93%/0.93%/6.26%,"15.17%, 43.39%",289 days/19 days/71 days,2027-01-06/2025-12-11/2026-02-24,10.24%,5.05%,5.2%,0.76,0.14,161839.8934/167613.1293/177360.9/No Horizontal Resistance/151418.724/166057.916,132437.0/96132.0/142375.45/127884.805/148945.2696/143093.792,146520.85/136771.08,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
TRENDPULSE,"BPCL.NS, Long, 2025-11-14 (Price: 371.15)",No Exit Yet,"0.0%, 0 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-14 (Price: 371.15), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.02% above/0.0% below/0.0% below,29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-24/2025-12-11/2026-02-10,12.02%,12.45%,-0.44%,0.38,0.44,389.5219/413.6838/455.43/No Horizontal Resistance/382.1589/420.2463,308.2/145.35/348.542/313.3339/345.4588/324.2318,340.26/310.9,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
OSCILLATOR DELTA,"BYD.TO, Long, 2025-11-13 (Price: 224.5)",No Exit Yet,"-3.29%, 1 days","75.0%, Past 6 years, 28","Daily, is Confirmed on 2025-11-13",No Cancellation Possible,"2025-11-14 (Price: 217.11), 3.29% below",1 days,No Information,No Information,No Information,No Information,No Information,No Information,10.87%/5.0%/6.28%,"13.39%, 19.4%",70 days/1 days/26 days,2026-02-22/2025-11-14/2025-12-20,-15.59%,2.6%,-18.19%,-0.14,0.1,230.5615/238.5986/244.71/256.6133/367.2583/388.6839,No Recent Minima/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level,224.66/216.94,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2025-11-13 (Price: 85.97)",No Exit Yet,"-1.28%, 1 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-13",Already confirmed,"2025-11-14 (Price: 84.87), 1.28% below",1 days,No Information,No Information,No Information,No Information,No Information,0.47% below/1.28% below/1.28% below,12.01%/1.22%/4.01%,"21.83%, 34.43%",119 days/4 days/21 days,2026-05-04/2025-11-18/2025-12-13,8.72%,13.33%,-4.61%,0.22,0.49,87.7238/89.4174/90.16/No Horizontal Resistance/95.0177/123.2166,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,80.07/74.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"BIPC.TO, Long, 2025-11-13 (Price: 64.33)",No Exit Yet,"-1.46%, 1 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2025-11-13",Already confirmed,"2025-11-14 (Price: 63.39), 1.46% below",1 days,No Information,No Information,No Information,"23.66% (Price: 63.5948), 0.32% below, Upmove Bounce Back","2025-08-01 (Price: 52.64), 2025-10-16 (Price: 66.99)",No Information,18.49%/5.22%/10.88%,"2.3%, 12.67%",110 days/13 days/51 days,2026-04-21/2025-12-01/2026-01-25,47.75%,4.17%,43.58%,0.53,0.14,64.5037/71.3291/72.94/65.875/No Next Fib Ext/No Next Fib Ext,60.76/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,60.47/56.18,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"-3.05%, 2 days","75.68%, Past 6 years, 37","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-14 (Price: 77.81), 3.05% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,17.09%/5.17%/8.81%,"24.36%, 24.36%",126 days/12 days/44 days,2026-05-13/2025-11-29/2026-01-14,3.83%,2.46%,1.37%,0.04,0.1,82.1381/87.3309/84.27/106.045/116.3721/144.3517,No Recent Minima/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,77.67/68.42,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"EBO.NZ, Long, 2025-11-12 (Price: 28.6)",No Exit Yet,"0.77%, 2 days","73.53%, Past 6 years, 34","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-14 (Price: 28.82), 0.77% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,11.87%/5.31%/7.12%,"15.91%, 19.8%",83 days/3 days/26 days,2026-03-12/2025-11-16/2025-12-19,-7.76%,2.55%,-10.31%,-0.12,0.06,29.4551/30.6363/30.03/46.625/51.6772/55.325,No Recent Minima/27.81/28.1277/26.5961/No F-Track Level/No F-Track Level,29.11/36.17,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2025-11-12 (Price: 116.65)",No Exit Yet,"-9.3%, 2 days","73.68%, Past 4 years, 19","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-14 (Price: 105.8), 9.3% below",2 days,No Information,No Information,No Information,No Information,No Information,5.74% below/9.3% below/9.3% below,9.92%/0.82%/3.54%,"37.38%, 50.6%",107 days/5 days/24 days,2026-04-15/2025-11-19/2025-12-16,-11.02%,-2.49%,-8.53%,-0.17,-0.05,119.7296/120.7794/116.88/168.455/207.5364/245.6322,110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level,113.25/110.16,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
