"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"KWEB, Long, 2026-01-16 (Price: 35.71)",No Exit Yet,"0.0%, 0 days","100.0%, Past 12 years, 10","Weekly, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 35.71), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.3776),6.99% above,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.33%,"-0.0%, 42.44%",2.3 years/1.6 month/8.6 months,2029-04-27/2026-03-26/2027-01-24,15.72%,2.03%,13.69%,1.19,0.14,33.7102/42.2556/51.4/54.865/113.756/122.1069/36.4,34.83/24.5062/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,96.55%/87/1.1 year (Across ALL Assets),70.5%/139/7.1 months (Across ALL Assets)
"IHI, Long, 2026-01-16 (Price: 61.83)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 61.83), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 62.2155),0.62% below,"2025-10-01 (Price: 58.18), 2026-01-07 (Price: 64.71)",10.36%/2.67%/6.04%,"1.92%, 23.03%",11.4 months/2.1 months/6.7 months,2027-05-26/2026-04-17/2026-11-03,8.62%,2.88%,5.74%,0.66,0.08,62.541/65.5645/65.75/65.925/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,61.74/46.725/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/61.13,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BAC, Long, 2026-01-16 (Price: 52.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 52.97), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 51.758),2.34% above,"2025-04-09 (Price: 33.07), 2026-01-05 (Price: 57.55)",12.47%/5.94%/10.3%,"-0.0%, 49.03%",3.9 years/1.6 month/1.1 year,2031-08-11/2026-03-26/2027-08-12,14.05%,9.09%,4.96%,2.73,0.48,54.1247/58.4259/67.66/No Horizontal Resistance/60.5768/64.246/No EMA 200 Target,52.48/29.49/50.5717/44.5293/49.8392/45.1006/48.39,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"JPM, Long, 2026-01-16 (Price: 312.47)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 312.47), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 313.895),0.45% below,"2025-10-22 (Price: 290.54), 2026-01-05 (Price: 337.25)",19.58%/1.16%/9.71%,"-0.0%, 39.69%",2.2 years/21 days/3.5 months,2029-03-08/2026-02-15/2026-06-17,33.39%,14.23%,19.16%,1.48,0.83,320.5317/342.8108/340.5/No Horizontal Resistance/357.3035/404.0796/No EMA 200 Target,307.87/125.7575/297.9709/271.3591/281.4195/247.1095/289.86,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BN.TO, Long, 2026-01-16 (Price: 65.91)",No Exit Yet,"0.0%, 0 days","95.65%, Past 2 years, 23","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 65.91), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 66.1473),0.36% below,"2025-11-18 (Price: 58.75), 2026-01-06 (Price: 68.44)",13.66%/1.8%/9.84%,"1.86%, 36.05%",2.6 years/6 days/6.3 months,2029-10-02/2026-01-24/2026-10-16,32.86%,12.33%,20.53%,1.73,0.66,67.36/72.3955/71.72/No Horizontal Resistance/76.9841/94.7282/No EMA 200 Target,61.35/27.0034/No F-Stack Support/No F-Stack Support/62.0076/58.0547/59.06,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"EFN.TO, Long, 2026-01-16 (Price: 34.48)",No Exit Yet,"0.0%, 0 days","85.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-01-16",Already confirmed,"2026-01-16 (Price: 34.48), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 33.5008),2.92% above,"2023-10-23 (Price: 18.5), 2025-09-19 (Price: 38.15)",18.43%/2.81%/10.12%,"6.91%, 23.72%",1.1 year/1.1 month/3.6 months,2027-08-12/2026-03-04/2026-06-21,27.0%,15.63%,11.37%,1.17,0.95,36.5626/37.9694/46.27/34.925/48.884/73.5584/34.82,31.79/12.67/33.6344/24.2096/No support/33.1947/No EMA 200 Support,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets)
"BRK-B, Long, 2026-01-16 (Price: 493.29)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 473.15 prior to 2026-01-30,"2026-01-16 (Price: 493.29), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),3.79% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-08-09/2026-11-20/2028-03-08,8.18%,7.84%,0.34%,0.89,0.47,622.088/598.3608/662.62/512.255/537.7909/627.804/496.29,267.02/268.082/475.0642/401.0818/475.2967/434.262/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"GBPUSD=X, Long, 2026-01-16 (Price: 1.3443)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-16 (Price: 1.3443), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),5.77% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-08/2030-03-08/2030-03-08,4.04%,-0.96%,5.0%,0.36,-0.64,1.3514/1.3952/1.53/1.3691/2.4421/3.2078/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No support/No support/1.34,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"MA, Long, 2026-01-16 (Price: 539.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 524.7 prior to 2026-01-30,"2026-01-16 (Price: 539.49), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 524.8987),2.78% above,"2022-10-31 (Price: 276.87), 2025-08-31 (Price: 601.77)",26.69%/21.1%/23.74%,"0%, 21.75%",1.9 year/6.1 months/1.1 year,2028-10-02/2026-10-08/2027-08-12,10.35%,18.74%,-8.39%,10.22,1.0,739.1013/667.5649/734.43/592.9033/716.5814/751.3605/562.29,284.34/305.0867/515.4888/442.8637/524.8987/477.6582/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
"NZDCAD=X, Long, 2026-01-16 (Price: 0.7996)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-16 (Price: 0.7996), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),0.52% below,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-09/2027-06-21/2030-08-11,0.56%,-0.19%,0.75%,0.44,-0.46,0.8462/0.8783/0.84/0.8839/No Next Fib Ext/No Next Fib Ext/0.81,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
