"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BTI, Long, 2026-02-12 (Price: 60.745)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-12",Already confirmed,"2026-02-12 (Price: 60.745), 0.0% below",0 days,"0, 2025-11-28 (Price: 58.7)",2026-02-12 (Price: 60.745),2026-02-12 (Price: 60.745),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-11-28 (Price: 58.7)/2026-02-12 (Price: 60.2556),9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-12/2026-02-17/2026-02-26,11.13%,4.24%,6.89%,0.97,0.2,66.2667/62.3912/61.97/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,60.19/28.5067/53.9498/50.4772/No support/No support/53.01,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),59.18
"SOXX, Long, 2026-02-12 (Price: 354.15)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.26 prior to 2026-02-27,"2026-02-12 (Price: 354.15), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-12 (Price: 354.15),12/0/0 days,2.27% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-12 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-01/2026-09-17/2026-11-08,-3.22%,7.76%,-10.98%,0.06,0.4,405.4309/408.4412/551.34/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/No F-Track Level/No F-Track Level/268.41,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),342.26
"SLV, Long, 2026-02-12 (Price: 69.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-12 (Price: 69.38), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-12 (Price: 69.38),43/0/0 days,7.7% above/0.0% below/0.0% below,2008-03-31 (Price: 20.73)/2026-02-12 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2032-12-19 (Max),9.45%,6.73%,2.72%,0.47,0.33,92.0603/119.6458/98.57/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/60.345/48.6665/45.59,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-12 (Price: 49742.8789)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-12 (Price: 49742.8789), 0.0% below",0 days,"2, 2000-03-31 (Price: 11750.2803)",2026-02-12 (Price: 49742.8789),2026-02-12 (Price: 49742.8789),0/0/0 days,0.0% below/0.0% below/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-12 (Price: 48764.9837),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-11 (Max),7.15%,5.81%,1.34%,1.43,0.34,57368.4622/69431.1104/72538.44/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,28725.51/32154.0552/39844.8882/32997.1394/47213.3139/45194.1066/45676.69,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-02-12 (Price: 103.55)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-12 (Price: 103.55), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-02-12 (Price: 103.55),135/0/0 days,15.07% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-02-12 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-23/2028-04-04/2032-02-11,5.69%,6.38%,-0.69%,0.82,0.34,114.2674/113.3355/108.68/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/61.07/95.6649/90.1456/94.2174/86.786/86.58,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-12 (Price: 45.555)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.23 prior to 2026-02-27,"2026-02-12 (Price: 45.555), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-12 (Price: 45.555),2026-02-12 (Price: 45.555),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-02-29 (Price: 35.55)/2026-02-12 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2030-12-20/2026-09-21/2028-05-26,2.88%,2.86%,0.02%,-0.05,0.05,48.9306/48.7985/51.56/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.2713/39.436/42.64,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),43.23
"XLE, Long, 2026-02-12 (Price: 54.295)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.36 prior to 2026-02-27,"2026-02-12 (Price: 54.295), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-12 (Price: 54.295),12/0/0 days,6.36% above/0.0% below/0.0% below,2022-06-30 (Price: 46.655)/2026-02-12 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2032-12-19/2027-04-26/2028-09-07,6.1%,3.44%,2.66%,0.63,0.15,59.3227/66.8534/58.88/No Horizontal Resistance/53.7738/58.8712/No EMA 200 Target,40.25/22.8475/37.4998/27.2174/44.8769/38.5084/44.4,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),50.36
"DIA, Long, 2026-02-12 (Price: 497.65)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 19","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 489.11 prior to 2026-02-27,"2026-02-12 (Price: 497.65), 0.0% below",0 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-12 (Price: 497.65),12/0/0 days,1.76% above/0.0% below/0.0% below,2001-05-31 (Price: 113.64)/2026-02-12 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-10-29/2027-01-29/2028-02-10,1.42%,4.44%,-3.02%,2.35,0.21,536.8648/542.4883/728.06/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,406.34/321.6725/398.0316/329.7358/472.4173/452.2096/457.46,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),489.11
"ENZL, Long, 2026-02-12 (Price: 47.56)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 47.35 prior to 2026-02-27,"2026-02-12 (Price: 47.56), 0.0% below",0 days,"2, 2024-09-30 (Price: 50.41)",2026-01-31 (Price: 46.94),2026-02-12 (Price: 47.56),12/0/0 days,1.32% above/0.0% below/0.0% below,2024-09-30 (Price: 50.41)/2026-02-12 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-04/2027-07-18/2027-10-30,5.75%,1.82%,3.93%,1.1,-0.01,47.1034/55.6785/49.27/65.1933/78.3229/93.1188/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No support/No support/45.65,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),47.35
"IWM, Long, 2026-02-12 (Price: 260.87)",No Exit Yet,"0.0%, 0 days","100.0%, Past 25 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 247.63 prior to 2026-03-31,"2026-02-12 (Price: 260.87), 0.0% below",0 days,"2, 2021-12-31 (Price: 244.46)",2025-12-31 (Price: 246.16),2026-02-12 (Price: 260.87),43/0/0 days,5.98% above/0.0% below/0.0% below,2021-12-31 (Price: 244.46)/2026-02-12 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-07-18 (Max),2.77%,4.51%,-1.74%,0.75,0.21,244.2787/319.5136/270.72/No Horizontal Resistance/270.9222/282.5179/No EMA 200 Target,164.92/162.3167/245.3626/196.8345/247.9708/233.4497/234.23,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets),247.63
