"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XIU.TO, Long, 2026-03-01 (Price: 49.71)",No Exit Yet,"-2.51%, 8 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-09 (Price: 48.46), 2.51% below",8 days,"4, 2016-03-20 (Price: 20.16)",2026-02-22 (Price: 49.57),2026-02-27 (Price: 49.71),15/10/8 days,2.24% below/2.51% below/2.51% below,2016-03-20 (Price: 20.16)/2026-03-01 (Price: 48.8542),5.21%/1.57%/3.94%,"2.16%, 32.4%",1.1 year/28 days/6.6 months,2027-09-25/2026-04-10/2026-12-12,4.69%,4.03%,0.66%,1.63,0.17,50.5054/51.6686/67.44/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),49.56
"AIA.NZ, Long, 2026-03-01 (Price: 9.16)",No Exit Yet,"-4.59%, 8 days","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-09 (Price: 8.74), 4.59% below",8 days,"2, 2025-06-22 (Price: 8.1)",2026-02-22 (Price: 8.88),2026-03-01 (Price: 9.16),15/8/8 days,1.58% below/4.59% below/4.59% below,2025-06-22 (Price: 8.1)/2026-03-01 (Price: 8.6371),12.76%/0.47%/5.85%,"-0.0%, 7.89%",4 months/28 days/2.5 months,2026-08-21/2026-04-10/2026-06-17,10.91%,5.79%,5.12%,1.45,0.3,9.9871/9.6959/9.8/No Horizontal Resistance/11.1706/12.8535/No EMA 200 Target,7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.97,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),8.85
"CNU.NZ, Long, 2026-03-01 (Price: 9.58)",No Exit Yet,"-2.3%, 8 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-09 (Price: 9.36), 2.3% below",8 days,"2, 2025-09-07 (Price: 9.98)",2026-03-01 (Price: 9.58),2026-02-27 (Price: 9.58),8/10/8 days,2.3% below/2.3% below/2.3% below,2025-09-07 (Price: 9.98)/2026-03-01 (Price: 9.4764),11.36%/2.06%/5.35%,"0%, 21.14%",1.3 year/1.2 month/8.2 months,2028-01-07/2026-04-22/2027-02-18,11.35%,5.38%,5.97%,2.01,0.27,10.3828/10.0925/9.82/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.13/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.12,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),9.52
"ATM.NZ, Long, 2026-03-01 (Price: 11.55)",No Exit Yet,"-1.13%, 8 days","90.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-09 (Price: 11.42), 1.13% below",8 days,"2, 2025-11-09 (Price: 11.08)",2026-03-01 (Price: 11.55),2026-02-25 (Price: 11.27),8/12/8 days,1.13% below/1.33% above/1.13% below,2025-11-09 (Price: 11.08)/2026-03-01 (Price: 11.016),45.16%/6.52%/21.14%,"5.0%, 38.02%",6.8 months/1.2 month/2.7 months,2026-12-21/2026-04-22/2026-06-26,20.45%,21.22%,-0.77%,1.35,0.89,14.985/13.9917/11.83/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,9.66/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.8,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),11.23
"MX.TO, Long, 2026-03-01 (Price: 68.82)",No Exit Yet,"4.53%, 8 days","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-09 (Price: 71.94), 4.53% above",8 days,"2, 2016-03-20 (Price: 48.95)",2026-03-01 (Price: 68.82),2026-02-27 (Price: 68.82),8/10/8 days,4.53% above/4.53% above/4.53% above,2016-03-20 (Price: 48.95)/2026-03-01 (Price: 64.8541),35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-11-16/2026-04-10/2026-09-16,11.89%,3.89%,8.0%,0.73,0.26,79.1155/80.7534/80.74/73.435/104.8718/122.9238/No EMA 200 Target,47.63/38.425/68.3859/48.7635/No F-Track Level/No F-Track Level/52.74,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),67.08
"SOXX, Long, 2026-02-28 (Price: 352.29)",No Exit Yet,"-4.52%, 9 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 336.37), 4.52% below",9 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-27 (Price: 352.29),37/10/9 days,2.87% below/4.52% below/4.52% below,2002-03-31 (Price: 25.5067)/2026-02-28 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-17/2026-10-03/2026-11-24,-3.22%,7.76%,-10.98%,0.06,0.4,403.3016/406.2961/548.36/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,183.84/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/277.64,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),342.37
"XLU, Long, 2026-02-28 (Price: 47.73)",No Exit Yet,"-1.84%, 9 days","81.25%, Past 20 years, 16","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 46.85), 1.84% below",9 days,"4, 2020-02-29 (Price: 35.55)",2026-02-28 (Price: 47.73),2026-02-09 (Price: 43.48),9/28/9 days,1.84% below/7.75% above/1.84% below,2020-02-29 (Price: 35.55)/2026-02-28 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2031-01-05/2026-10-07/2028-06-11,2.88%,2.86%,0.02%,-0.05,0.05,51.2668/51.1284/55.04/No Horizontal Resistance/49.4858/72.2363/No EMA 200 Target,29.46/29.8725/35.4254/26.7354/No F-Track Level/No F-Track Level/42.99,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-28 (Price: 55.92)",No Exit Yet,"0.72%, 9 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 56.32), 0.72% above",9 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),37/34/9 days,10.32% above/9.0% above/0.72% above,2022-06-30 (Price: 46.655)/2026-02-28 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-04/2027-05-12/2028-09-23,6.1%,3.44%,2.66%,0.63,0.15,61.0982/68.8543/61.48/No Horizontal Resistance/53.7738/58.8712/No EMA 200 Target,40.25/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/45.16,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-28 (Price: 489.66)",No Exit Yet,"-2.41%, 9 days","100.0%, Past 20 years, 19","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 477.88), 2.41% below",9 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-27 (Price: 489.66),37/10/9 days,2.28% below/2.41% below/2.41% below,2001-05-31 (Price: 113.64)/2026-02-28 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-14/2027-02-14/2028-02-26,1.42%,4.44%,-3.02%,2.35,0.21,528.2452/533.7784/715.27/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,406.34/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/462.04,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),488.87
"ENZL, Long, 2026-02-28 (Price: 47.4776)",No Exit Yet,"-4.78%, 9 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 45.21), 4.78% below",9 days,"2, 2024-09-30 (Price: 50.41)",2026-02-28 (Price: 47.4776),2026-02-25 (Price: 47.1645),9/12/9 days,4.78% below/4.14% below/4.78% below,2024-09-30 (Price: 50.41)/2026-02-28 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-20/2027-08-03/2027-11-15,5.75%,1.82%,3.93%,1.1,-0.01,47.0218/55.582/49.24/65.1933/79.7363/84.688/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.77,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),47.08
"BYD.TO, Long, 2026-02-28 (Price: 238.09)",No Exit Yet,"-6.25%, 9 days","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 223.21), 6.25% below",9 days,"2, 2024-02-29 (Price: 324.75)",2026-01-31 (Price: 223.17),2026-02-26 (Price: 240.82),37/11/9 days,0.02% above/7.31% below/6.25% below,2024-02-29 (Price: 324.75)/2026-02-28 (Price: 213.2612),21.68%/5.8%/10.67%,"-0.0%, 33.29%",1.1 year/5.1 months/9.8 months,2027-09-24/2026-10-07/2027-04-29,14.79%,10.47%,4.32%,1.34,0.52,364.111/263.4942/290.09/256.6133/367.2583/388.6839/No EMA 200 Target,192.05/188.685/229.0045/147.1212/No F-Track Level/No F-Track Level/219.24,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),221.66
"EWJ, Long, 2026-02-28 (Price: 92.37)",No Exit Yet,"-7.29%, 9 days","71.43%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-09 (Price: 85.64), 7.29% below",9 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),37/39/9 days,0.09% below/0.52% below/7.29% below,2001-05-31 (Price: 46.88)/2026-02-28 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-08-02/2026-10-03/2028-09-23,4.29%,2.12%,2.17%,0.28,-0.01,93.4784/101.3945/119.66/No Horizontal Resistance/90.9425/104.8752/No EMA 200 Target,67.1/53.915/83.4752/No support/No F-Track Level/No F-Track Level/80.22,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),85.33
"USCI, Long, 2026-02-25 (Price: 84.6)",2026-03-04 (Price: 87.44),"3.36%, 7 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-03-09 (Price: 89.05), 5.26% above",12 days,"8, 2024-05-29 (Price: 63.72)",2026-02-23 (Price: 83.3133),2026-02-25 (Price: 84.6),14/12/12 days,6.89% above/5.26% above/5.26% above,2024-05-29 (Price: 63.72)/2026-02-25 (Price: 83.3151),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-14/2026-03-05/2026-04-09,9.0%,11.01%,-2.01%,1.78,0.74,89.05/86.5204/97.13/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.86/38.42/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/77.0,92.26%/297/1.2 month (Across ALL Assets),80.65%/522/1.4 month (Across ALL Assets),84.18
"CNQ.TO, Long, 2026-02-19 (Price: 58.23)",2026-03-04 (Price: 60.24),"3.45%, 13 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-03-09 (Price: 62.77), 7.8% above",18 days,"2, 2020-02-05 (Price: 19.3242)",2026-02-17 (Price: 55.38),2026-02-19 (Price: 58.23),20/18/18 days,13.34% above/7.8% above/7.8% above,2020-02-05 (Price: 19.3242)/2026-02-19 (Price: 54.7134),7.83%/0.32%/3.94%,"11.63%, 29.81%",1.5 month/4 days/11 days,2026-04-25/2026-02-24/2026-03-06,17.54%,12.66%,4.88%,0.1,0.6,62.2246/60.5243/81.57/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,42.38/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/44.98,92.26%/297/1.2 month (Across ALL Assets),80.65%/522/1.4 month (Across ALL Assets),57.83
"TLT, Long, 2026-01-25 (Price: 87.93)",2026-03-09 (Price: 89.23),"1.48%, 1.4 month","75.0%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-01-23",Already confirmed,"2026-03-09 (Price: 89.23), 1.48% above",1.4 month,"8, 2019-09-01 (Price: 148.9)",2026-01-25 (Price: 87.93),2026-01-23 (Price: 87.93),43/45/43 days,1.48% above/1.48% above/1.48% above,2019-09-01 (Price: 148.9)/2026-01-25 (Price: 87.4726),15.02%/2.35%/5.26%,"39.18%, 46.07%",6.5 months/28 days/1.7 month,2026-11-03/2026-03-06/2026-04-08,-6.38%,-0.11%,-6.26%,-0.23,-0.26,88.185/92.5551/124.51/153.2067/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,87.03/82.86/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/87.91,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),86.63
"NFLX, Long, 2025-12-29 (Price: 94.15)",2026-03-05 (Price: 99.17),"5.33%, 2.2 months","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-29",Already confirmed,"2026-03-09 (Price: 98.32), 4.43% above",2.3 months,"2, 2025-11-13 (Price: 116.733)",2025-12-26 (Price: 94.47),2025-12-29 (Price: 94.15),73/70/70 days,4.08% above/4.43% above/4.43% above,2025-11-13 (Price: 116.733)/2025-12-29 (Price: 92.5369),7.15%/0.45%/3.37%,"0.57%, 20.2%",2.6 months/7 days/1.2 month,2026-04-20/2026-01-08/2026-02-19,15.4%,9.17%,6.23%,1.08,0.47,95.5622/97.3229/107.7/No Horizontal Resistance/139.352/152.4292/113.4,93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,92.26%/297/1.2 month (Across ALL Assets),80.65%/522/1.4 month (Across ALL Assets),93.99
"MAR, Long, 2025-12-28 (Price: 315.58)",2026-03-08 (Price: 323.8),"2.6%, 2.3 months","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-03-09 (Price: 328.86), 4.21% above",2.4 months,"2, 2016-03-20 (Price: 73.89)",2025-12-21 (Price: 310.16),2025-12-28 (Price: 315.58),78/71/71 days,6.03% above/4.21% above/4.21% above,2016-03-20 (Price: 73.89)/2025-12-28 (Price: 306.94),16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-05-07/2026-02-06/2026-06-22,11.35%,10.48%,0.87%,0.65,0.53,361.8756/342.6883/460.59/No Horizontal Resistance/372.972/399.3723/No EMA 200 Target,260.2/129.12/275.4012/235.5515/No F-Track Level/No F-Track Level/266.17,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets),310.74
