Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Exit Signal Date/Price[$],"Current Trading Date/Price[$], Current Price vs Signal]","Win Rate [%], History Tested, Number of Trades",Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Current Mark to Market and Holding Period,"Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-31 (Price: 629.07)",Monthly,No Price Target,2025-11-15 (Earliest),No Exit Yet,"2025-10-31 (Price: 629.07), 0.0% below","100.0%, Past 20 years, 9",0.81%/2.45%,"0.0%, 0 days",26.83%/2.45%/11.5%,727.2049 (Historic Rise or Fall to Pivot)/701.413 (Avg % Gain of Historic Winning trades)/844.88 (Exit Rule)/634.1966 (F-Stack 1)/765.0054 (F-Stack 2)/797.8494810000001 (Backtested Best)/644.482215 (Backtested Worst)/701.41305 (Backtested Avg),2027-04-18 (Farthest)/2025-11-15 (Earliest)/2026-06-29 (Avg),"0.0%, 0 days","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-10-31 (Price: 629.07), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,4.78% above/0.0% below/0.0% below,"0%, 13.09%",369 days/11 days/167 days,2027-04-18/2025-11-15/2026-06-29,8.54%,7.66%,0.88%,1.61,0.27,727.2049/701.413/844.88/No Horizontal Resistance/634.1966/765.0054,468.92/256.995/578.1694/464.7077/546.4514/490.7995,596.73/537.0,90.62%/32/267 days (Across ALL Assets),76.7%/103/188 days (Across ALL Assets)
OSCILLATOR DELTA,"NFLX, Long, 2025-10-29 (Price: 1100.41)",Daily,No Price Target,2025-10-31 (Earliest),No Exit Yet,"2025-10-31 (Price: 1118.86), 1.68% above","77.78%, Past 6 years, 18",1.18%/3.27%,"1.68%, 2 days",18.33%/5.07%/8.52%,1132.1018 (Historic Rise or Fall to Pivot)/1194.1649 (Avg % Gain of Historic Winning trades)/1155.43 (Exit Rule)/1393.524 (F-Stack 1)/1524.2919 (F-Stack 2)/1302.1151530000002 (Backtested Best)/1156.200787 (Backtested Worst)/1194.1649320000001 (Backtested Avg),2026-05-06 (Farthest)/2025-11-24 (Avg),"1.68%, 2 days","Daily, is Confirmed on 2025-10-29",No Cancellation Possible,"2025-10-31 (Price: 1118.86), 1.68% above",2 days,No Information,No Information,No Information,No Information,No Information,No Information,"35.12%, 35.12%",131 days/2 days/18 days,2026-05-06/2025-10-31/2025-11-24,11.49%,25.76%,-14.27%,0.23,0.8,1132.1018/1194.1649/1155.43/No Horizontal Resistance/1393.524/1524.2919,No Recent Minima/348.6633/1008.8519/864.7664/No F-Track Level/No F-Track Level,1195.57/1121.78,76.92%/78/41 days (Across ALL Assets),64.14%/304/46 days (Across ALL Assets)
TRENDPULSE,"QQQ, Long, 2025-10-28 (Price: 632.92)",Daily,No Price Target,2025-11-02 (Earliest),No Exit Yet,"2025-10-31 (Price: 629.07), 0.61% below","100.0%, Past 4 years, 9",1.84%/4.28%,"-0.61%, 3 days",6.55%/1.22%/3.65%,683.1106 (Historic Rise or Fall to Pivot)/656.0216 (Avg % Gain of Historic Winning trades)/707.13 (Exit Rule)/836.2536 (F-Stack 2)/674.37626 (Backtested Best)/640.641624 (Backtested Worst)/656.02158 (Backtested Avg),2025-11-24 (Farthest)/2025-11-02 (Earliest)/2025-11-12 (Avg),"-0.61%, 3 days","Daily, is CONFIRMED on 2025-10-28",Already confirmed,"2025-10-31 (Price: 629.07), 0.61% below",3 days,No Information,No Information,No Information,No Information,No Information,0.16% above/0.61% below/0.61% below,"0%, 4.95%",19 days/4 days/11 days,2025-11-24/2025-11-02/2025-11-12,11.37%,19.89%,-8.52%,2.19,0.79,683.1106/656.0216/707.13/No Horizontal Resistance/610.7303/836.2536,589.5/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level,592.88/535.18,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
FRACTAL TRACK,"BYD.TO, Long, 2025-10-21 (Price: 212.17)",Daily,No Price Target,2025-11-01 (Earliest),No Exit Yet,"2025-10-31 (Price: 224.03), 5.59% above","100.0%, Past 5 years, 30",7.97%/7.97%,"5.59%, 8 days",33.99%/0.03%/14.01%,241.895 (Avg % Gain of Historic Winning trades)/245.45 (Exit Rule)/256.6133 (Horizontal)/367.2583 (F-Stack 1)/388.6839 (F-Stack 2)/284.286583 (Backtested Best)/241.89501699999997 (Backtested Avg),2026-10-21 (Farthest)/2025-11-01 (Earliest)/2026-02-08 (Avg),"5.59%, 8 days","Daily, was CONFIRMED on 2025-10-21",Already confirmed,"2025-10-31 (Price: 224.03), 5.59% above",8 days,No Information,No Information,No Information,"50% (Price: 213.83), 4.77% above, Upmove Bounce Back","2025-08-08 (Price: 186.1), 2025-09-29 (Price: 241.56)",No Information,"-0.0%, 22.66%",252 days/8 days/76 days,2026-10-21/2025-11-01/2026-02-08,34.94%,4.13%,30.81%,0.67,0.14,216.2437/241.895/245.45/256.6133/367.2583/388.6839,209.51/196.0/147.1212/139.9966/No F-Track Level/No F-Track Level,226.12/217.58,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
DELTADRIFT,"TRI.TO, Long, 2025-10-19 (Price: 222.18)",Weekly,No Price Target,2025-11-01 (Earliest),No Exit Yet,"2025-10-31 (Price: 214.84), 3.3% below","100.0%, Past 15 years, 4",8.01%/9.05%,"-3.3%, 9 days",8.09%/4.44%/5.45%,247.8862 (Historic Rise or Fall to Pivot)/234.2888 (Avg % Gain of Historic Winning trades)/241.09 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/316.3836 (F-Stack 2)/240.154362 (Backtested Best)/232.044792 (Backtested Worst)/234.28881 (Backtested Avg),2027-04-06 (Farthest)/2025-11-01 (Earliest)/2026-04-09 (Avg),"-3.3%, 9 days","Weekly, was CONFIRMED on 2025-10-19",Already confirmed,"2025-10-31 (Price: 214.84), 3.3% below",9 days,No Information,No Information,No Information,No Information,No Information,No Information,"0%, 11.31%",369 days/9 days/119 days,2027-04-06/2025-11-01/2026-04-09,6.24%,11.61%,-5.37%,2.97,0.51,247.8862/234.2888/241.09/240.8933/293.2329/316.3836,212.03/116.89/193.124/131.2534/No F-Track Level/No F-Track Level,227.71/249.35,97.3%/37/39 days (Across ALL Assets),88.79%/107/50 days (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2025-10-16 (Price: 298.54)",Daily,No Price Target,2025-11-03 (Earliest),No Exit Yet,"2025-10-31 (Price: 311.12), 4.21% above","90.0%, Past 5 years, 30",5.72%/17.61%,"4.21%, 11 days",61.95%/0.66%/22.57%,365.9205 (Avg % Gain of Historic Winning trades)/368.05 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/483.48553000000004 (Backtested Best)/365.920478 (Backtested Avg),2028-10-26 (Farthest)/2025-11-03 (Earliest)/2026-10-18 (Avg),"4.21%, 11 days","Daily, was CONFIRMED on 2025-10-16",Already confirmed,"2025-10-31 (Price: 311.12), 4.21% above",11 days,No Information,No Information,No Information,"23.66% (Price: 290.5999), 7.06% above, Upmove Bounce Back","2025-04-07 (Price: 202.16), 2025-09-29 (Price: 318.01)",No Information,"2.37%, 39.47%",764 days/13 days/254 days,2028-10-26/2025-11-03/2026-10-18,36.54%,24.87%,11.67%,0.55,0.99,305.7348/365.9205/368.05/No Horizontal Resistance/328.9175/381.492,292.91/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level,304.83/274.75,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2025-10-14 (Price: 429.24)",Daily,459.2868 (Backtested Worst),2025-10-31 (Earliest),No Exit Yet,"2025-10-31 (Price: 456.56), 6.36% above","100.0%, Past 5 years, 31",7.35%/21.42%,"6.36%, 13 days",102.71%/7.0%/39.12%,597.1587 (Avg % Gain of Historic Winning trades)/583.14 (Exit Rule)/490.132 (F-Stack 1)/554.3681 (F-Stack 2)/870.112404 (Backtested Best)/597.158688 (Backtested Avg),2029-10-21 (Farthest)/2027-06-24 (Avg),"6.36%, 13 days","Daily, was CONFIRMED on 2025-10-14",Already confirmed,"2025-10-31 (Price: 456.56), 6.36% above",13 days,No Information,No Information,No Information,"23.66% (Price: 410.0621), 11.34% above, Upmove Bounce Back","2025-04-07 (Price: 214.25), 2025-10-02 (Price: 470.75)",No Information,"-0.0%, 73.63%",1014 days/12 days/427 days,2029-10-21/2025-10-31/2027-06-24,26.1%,19.55%,6.55%,0.32,0.66,429.4117/597.1587/583.14/No Horizontal Resistance/490.132/554.3681,413.49/181.0784/413.6779/330.0827/No F-Track Level/No F-Track Level,410.64/337.05,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2025-10-14 (Price: 35.11)",Daily,No Price Target,No Date Target,2025-10-20 (Price: 36.63),"2025-10-31 (Price: 36.22), 3.16% above","100.0%, Past 4 years, 7",2.22%/3.75%,"3.16%, 13 days",5.45%/2.76%/4.66%,38.4806 (Historic Rise or Fall to Pivot)/37.58 (Exit Rule)/39.042 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/37.023495 (Backtested Best),2025-11-06 (Farthest),"4.33%, 4 days","Daily, is CONFIRMED on 2025-10-14",Already confirmed,"2025-10-31 (Price: 36.22), 3.16% above",13 days,No Information,No Information,No Information,No Information,No Information,3.16% above/3.16% above/3.16% above,"0%, 9.34%",16 days/4 days/8 days,2025-11-06/2025-10-19/2025-10-25,12.79%,5.32%,7.47%,5.11,0.21,38.4806/36.7461/37.58/39.042/40.717/47.4928,33.8/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level,35.7/34.56,88.89%/279/30 days (Across ALL Assets),83.02%/642/28 days (Across ALL Assets)
BAND MATRIX,"JPM, Long, 2025-10-10 (Price: 300.89)",Daily,310.78928099999996 (Backtested Worst),No Date Target,No Exit Yet,"2025-10-31 (Price: 311.12), 3.4% above","81.82%, Past 5 years, 11",5.72%/6.19%,"3.4%, 15 days",29.39%/3.29%/13.39%,330.3772 (Historic Rise or Fall to Pivot)/341.1792 (Avg % Gain of Historic Winning trades)/335.78 (Exit Rule)/328.9175 (F-Stack 1)/381.492 (F-Stack 2)/389.321571 (Backtested Best)/341.179171 (Backtested Avg),2026-05-06 (Farthest)/2025-11-16 (Earliest)/2026-01-17 (Avg),"3.4%, 15 days","Daily, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2025-10-31 (Price: 311.12), 3.4% above",15 days,No Information,No Information,No Information,No Information,No Information,No Information,"15.14%, 25.07%",144 days/26 days/69 days,2026-05-06/2025-11-16/2026-01-17,23.01%,23.79%,-0.78%,0.66,0.95,330.3772/341.1792/335.78/No Horizontal Resistance/328.9175/381.492,292.91/125.7575/287.5071/275.691/No F-Track Level/No F-Track Level,304.83/274.75,76.32%/76/130 days (Across ALL Assets),76.19%/252/112 days (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2025-10-08 (Price: 225.22)",Daily,No Price Target,2025-11-03 (Earliest),No Exit Yet,"2025-10-31 (Price: 244.22), 8.44% above","90.91%, Past 5 years, 22",7.57%/7.57%,"8.44%, 17 days",29.44%/6.12%/16.64%,262.6966 (Avg % Gain of Historic Winning trades)/271.7 (Exit Rule)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/291.524768 (Backtested Best)/262.69660799999997 (Backtested Avg),2029-05-29 (Farthest)/2025-11-03 (Earliest)/2026-08-21 (Avg),"8.44%, 17 days","Daily, was CONFIRMED on 2025-10-08",Already confirmed,"2025-10-31 (Price: 244.22), 8.44% above",17 days,No Information,No Information,No Information,"23.66% (Price: 220.5206), 10.75% above, Upmove Bounce Back","2025-04-07 (Price: 161.38), 2025-09-09 (Price: 238.85)",No Information,"1.95%, 56.15%",918 days/18 days/219 days,2029-05-29/2025-11-03/2026-08-21,23.08%,9.19%,13.89%,0.53,0.34,234.9045/262.6966/271.7/239.525/317.6152/339.3352,218.15/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level,225.49/214.45,94.12%/289/221 days (Across ALL Assets),52.38%/63/141 days (Across ALL Assets)
