"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"NIFTY_MIDCAP_100.NS, Long, 2026-01-22 (Price: 58191.3008)",2026-02-03 (Price: 59307.1016),"1.92%, 12 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 59502.6992), 2.25% above",15 days,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-02-19/2026-01-24/2026-02-01,9.79%,15.36%,-5.57%,0.56,1.16,62538.191/59797.3807/61167.79/59773.5488/69983.5191/76335.2565/58380.1,57423.65/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),57962.6016
"INDA, Long, 2026-01-22 (Price: 51.8)",2026-02-02 (Price: 53.28),"2.86%, 11 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 53.145), 2.6% above",15 days,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-03-03/2026-01-24/2026-02-04,5.73%,3.54%,2.19%,0.28,0.12,54.3641/53.0587/53.71/55.3975/66.8401/79.771/53.69,51.55/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),51.72
"NA.TO, Long, 2026-01-22 (Price: 165.94)",2026-02-06 (Price: 168.45),"1.51%, 15 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-02-06 (Price: 168.45), 1.51% above",15 days,3.74%/1.98%/2.58%,"5.06%, 6.5%",2.1 months/4 days/20 days,2026-04-23/2026-01-27/2026-02-19,8.27%,12.05%,-3.78%,0.79,0.88,172.1793/170.2213/171.2/No Horizontal Resistance/188.6608/207.1743/No EMA 200 Target,147.83/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/150.05,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),167.19
"MA, Long, 2026-01-20 (Price: 531.74)",2026-02-02 (Price: 555.37),"4.44%, 13 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-01-20",Already confirmed,"2026-02-05 (Price: 551.89), 3.79% above",16 days,5.48%/1.68%/3.66%,"3.92%, 6.0%",1.3 month/2 days/10 days,2026-03-17/2026-01-22/2026-02-03,13.9%,7.14%,6.76%,1.39,0.38,579.8625/551.2017/565.53/592.9033/716.5814/751.3605/563.85,527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),530.6
"BAC, Long, 2026-01-16 (Price: 52.97)",2026-02-04 (Price: 55.38),"4.55%, 19 days","88.89%, Past 4 years, 18","Daily, was CONFIRMED on 2026-01-16",Already confirmed,"2026-02-05 (Price: 54.94), 3.72% above",20 days,6.86%/2.52%/4.16%,"10.59%, 11.17%",1.1 month/1 day/11 days,2026-03-04/2026-01-17/2026-01-31,13.59%,7.35%,6.24%,0.55,0.38,56.1959/55.1736/55.68/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,52.48/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/49.35,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),52.69
"SPOT, Long, 2026-01-14 (Price: 528.92)",2026-02-04 (Price: 440.53),"-16.71%, 21 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-02-06 (Price: 410.38), 22.41% below",23 days,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,2026-03-11/2026-01-15/2026-02-03,11.53%,6.15%,5.38%,0.63,0.37,549.8652/564.7279/557.3/No Horizontal Resistance/854.3544/896.959/645.99,503.3/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),537.0
"HDFCBANK.NS, Long, 2026-01-12 (Price: 936.95)",2026-02-04 (Price: 954.4),"1.86%, 23 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-02-06 (Price: 942.7), 0.61% above",25 days,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-05-09/2026-01-14/2026-02-18,5.13%,4.11%,1.02%,0.21,0.19,974.5217/964.59/969.56/1009.6/1098.0619/1305.7899/977.33,878.85/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),937.5
"HDB, Long, 2026-01-09 (Price: 33.1)",2026-02-05 (Price: 33.99),"2.69%, 27 days","100.0%, Past 4 years, 16","Daily, was CONFIRMED on 2026-01-09",Already confirmed,"2026-02-06 (Price: 34.085), 2.98% above",28 days,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,2026-04-23/2026-01-10/2026-02-11,15.13%,-1.6%,16.73%,2.09,-0.12,35.6752/34.2949/34.99/39.3812/40.717/47.4928/36.17,31.89/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/No EMA 200 Support,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets),33.1
"PG, Long, 2025-12-21 (Price: 144.46)",2026-01-25 (Price: 150.15),"3.94%, 1.2 month","100.0%, Past 15 years, 6","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-02-06 (Price: 158.61), 9.8% above",1.6 month,9.64%/3.16%/5.17%,"0%, 10.64%",6.8 months/7 days/1.9 month,2026-10-12/2025-12-31/2026-03-13,6.41%,4.26%,2.15%,2.15,0.19,155.2656/151.9286/153.6/179.4533/186.6499/209.3631/153.83,142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),143.27
"TRI.TO, Long, 2025-11-30 (Price: 189.55)",2026-02-01 (Price: 150.45),"-20.63%, 2.1 months","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-06 (Price: 118.68), 37.39% below",2.3 months,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2027-11-28/2025-12-20/2026-07-31,5.14%,6.08%,-0.94%,1.52,0.34,198.2693/201.2452/199.76/240.8933/293.2329/455.2123/227.3,163.51/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets),190.76
"TD, Short, 2026-02-06 (Price: 96.44)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 30 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price  prior to 2026-02-27,"2026-02-06 (Price: 96.44), 0.0% below",0 days,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-06-16/2026-03-21/2026-05-03,4.69%,4.88%,-0.19%,0.28,0.39,92.4474/89.8339/91.14/54.526/92.1326/76.2219/78.51,No Recent Maxima/54.526/92.1326/76.2219/85.8015/79.2207/No EMA 200 Support,No Data (Across ALL Assets),25.0%/4/4.6 months (Across ALL Assets),93.11
"EURUSD=X, Short, 2026-01-30 (Price: 1.1966)",2026-02-02 (Price: 1.1849),"0.98%, 3 days","100.0%, Past 4 years, 5","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 1.1823), 1.2% below",7 days,1.74%/0.53%/0.94%,"0%, 3.62%",27 days/3 days/12 days,2026-03-10/2026-02-03/2026-02-16,5.83%,3.82%,2.01%,2.08,-0.64,1.1741/1.1854/1.18/1.0208/No F-Stack Support/No F-Stack Support/1.16,No support/1.0208/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,73.64%/34/7 days (Across ALL Assets),71.84%/103/7 days (Across ALL Assets),1.1968
"GS, Short, 2026-01-04 (Price: 914.34)",2026-02-06 (Price: 890.41),"2.62%, 1.1 month","100.0%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-01-04",Already confirmed,"2026-02-06 (Price: 890.41), 2.62% below",1.1 month,6.3%/2.62%/4.56%,"0%, 10.89%",3.3 months/7 days/26 days,2026-05-27/2026-01-14/2026-02-10,7.61%,4.79%,2.82%,3.08,0.42,963.7144/872.6461/918.18/288.555/794.5775/634.5288/753.07,No Recent Maxima/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),75.76%/33/28 days (Across ALL Assets),906.45
"TD.TO, Short, 2025-11-30 (Price: 117.65)",2026-02-06 (Price: 131.4),"-11.69%, 2.3 months","100.0%, Past 54 years, 6","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-02-06 (Price: 131.4), 11.69% above",2.3 months,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,2026-02-24/2026-01-12/2026-01-29,5.19%,4.88%,0.31%,1.28,0.43,106.4144/111.8734/109.14/73.6233/101.1064/83.3451/108.62,No Recent Maxima/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),25.0%/4/4.6 months (Across ALL Assets),115.02
