Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-12-12 (Price: 42.83)",Daily,2026-02-24 (Price: 47.2),47.6312 (Backtested Max),No Date Target,4.84%/15.53%,"10.2%, 2.5 months","2026-02-24 (Price: 47.2), 10.2% above",54.53 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2),2029-05-16 (Max)/2027-02-10 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 16",43.17,No Information,No Information,No Information,"23.66% (Price: 42.2713), 11.66% above, Upmove Bounce Back","2023-10-06 (Price: 27.385), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-25 (Price: 44.405)",Daily,No Exit Yet,46.9805 (Historic Rise or Fall to Pivot),No Date Target,2.26%/4.62%,"6.29%, 3 months","2026-02-24 (Price: 47.2), 6.29% above",48.2682 (Avg % Gain of Historic Winning trades)/54.79 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/49.3828 (Backtested Max),2029-04-29 (Max)/2027-01-24 (Avg),44.01/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/42.88,"100.0%, Past 5 years, 16",44.69,No Information,No Information,No Information,"23.66% (Price: 42.7883), 10.31% above, Upmove Bounce Back","2024-02-13 (Price: 29.57), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-11-05 (Price: 44.425)",Daily,2026-02-20 (Price: 46.33),47.0016 (Historic Rise or Fall to Pivot),No Date Target,2.31%/4.67%,"6.25%, 3.7 months","2026-02-24 (Price: 47.2), 6.25% above",48.29 (Avg % Gain of Historic Winning trades)/52.28 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/49.405 (Backtested Max),2029-04-09 (Max)/2027-01-04 (Avg),44.42/29.6267/43.7042/35.4254/No F-Track Level/No F-Track Level/42.88,"100.0%, Past 5 years, 16",44.405,No Information,No Information,No Information,"23.66% (Price: 43.7891), 7.79% above, Upmove Bounce Back","2024-07-01 (Price: 33.8), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-10-27 (Price: 45.82)",Daily,No Exit Yet,47.1121 (Backtested Min),No Date Target,2.71%/4.84%,"3.01%, 4 months","2026-02-24 (Price: 47.2), 3.01% above",48.4776 (Historic Rise or Fall to Pivot)/49.8063 (Avg % Gain of Historic Winning trades)/52.65 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/50.9564 (Backtested Max),2029-03-31 (Max)/2026-12-26 (Avg),45.16/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/42.88,"100.0%, Past 5 years, 16",45.695,No Information,No Information,No Information,"23.66% (Price: 44.1937), 6.8% above, Upmove Bounce Back","2025-04-09 (Price: 35.51), 2025-10-16 (Price: 46.885)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,18.46%,5.33%,13.13%,2.44,0.28,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-06-30 (Price: 40.83)",Monthly,No Exit Yet,46.7626 (Avg % Gain of Historic Winning trades),No Date Target,4.7%/4.84%,"15.6%, 8 months","2026-02-24 (Price: 47.2), 15.6% above",49.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2)/49.5554 (Backtested Max),2033-12-01 (Max)/2026-10-25 (Min)/2027-12-03 (Avg),29.46/29.48/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",40.785,No Information,No Information,No Information,"38.2% (Price: 36.2348), 30.26% above, Upmove Bounce Back","2023-10-31 (Price: 27.385), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2025-03-31 (Price: 39.425)",Monthly,2026-01-31 (Price: 43.25),47.8501 (Backtested Max),No Date Target,4.84%/8.94%,"19.72%, 11 months","2026-02-24 (Price: 47.2), 19.72% above",51.42 (Function Specific Target)/49.4858 (F-Stack 1)/72.2363 (F-Stack 2),2033-09-01 (Max)/2026-07-26 (Min)/2027-09-03 (Avg),29.46/29.76/35.4254/26.7354/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 27 years, 13",39.57,No Information,No Information,No Information,"23.66% (Price: 36.9765), 27.65% above, Upmove Bounce Back","2020-03-31 (Price: 21.72), 2024-11-30 (Price: 41.705)",No Information,21.37%/2.75%/14.53%,"4.79%, 46.41%",5.9 years/11.1 months/1.7 year,5.35%,2.87%,2.48%,1.11,0.06,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",Daily,2026-02-19 (Price: 46.11),47.273 (Avg % Gain of Historic Winning trades),No Date Target,4.66%/4.84%,"8.93%, 27 days","2026-02-24 (Price: 47.2), 8.93% above",49.4 (Function Specific Target)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/55.0941 (Backtested Max),2026-12-28 (Max)/2026-05-20 (Avg),No Recent Minima/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.88,"80.0%, Past 6 years, 15",43.5,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,16.95%,4.08%,12.87%,0.47,0.18,100.0%/41/27 days (Across ALL Assets),83.5%/400/27 days (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2025-05-31 (Price: 71.15)",Monthly,No Exit Yet,85.51 (Horizontal)/85.3936 (F-Stack 1)/85.4583 (Backtested Min),No Date Target,13.96%/15.59%,"18.57%, 9 months","2026-02-24 (Price: 84.36), 18.57% above",97.5111 (Avg % Gain of Historic Winning trades)/122.48 (Function Specific Target)/96.14 (F-Stack 2)/121.7946 (Backtested Max),2027-05-29 (Max)/2026-04-04 (Avg),70.97/42.44/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 37 years, 8",71.96,No Information,No Information,No Information,"23.66% (Price: 67.0289), 25.86% above, Upmove Bounce Back","2008-07-31 (Price: 1.72), 2024-02-29 (Price: 87.27)",No Information,71.18%/20.11%/37.05%,"19.57%, 21.5%",1.4 year/3.1 months/7.1 months,7.71%,15.49%,-7.78%,0.49,0.78,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets)
FRACTAL TRACK,"ATD.TO, Long, 2025-09-30 (Price: 74.25)",Quarterly,No Exit Yet,85.51 (Horizontal)/85.3936 (F-Stack 1),No Date Target,9.25%/13.96%,"13.62%, 4.9 months","2026-02-24 (Price: 84.36), 13.62% above",92.1665 (Historic Rise or Fall to Pivot)/102.8066 (Avg % Gain of Historic Winning trades)/125.58 (Function Specific Target)/96.14 (F-Stack 2)/103.5045 (Backtested Max)/101.4255 (Backtested Min),2028-04-25 (Max)/2027-08-08 (Min)/2027-11-21 (Avg),67.69/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.88,"100.0%, Past 37 years, 4",67.86,No Information,No Information,No Information,"23.66% (Price: 67.0289), 25.86% above, Upmove Bounce Back","2008-09-30 (Price: 1.72), 2024-03-31 (Price: 87.27)",No Information,39.4%/36.6%/38.46%,"-0.0%, 19.07%",1.8 year/1.3 year/1.5 year,8.92%,15.67%,-6.75%,1.46,0.72,100.0%/3/1.4 year (Across ALL Assets),100.0%/1/1.5 year (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-02-11 (Price: 82.51)",Daily,2026-02-24 (Price: 84.36),No Price Target,2026-02-26 (Min),1.23%/1.36%,"2.24%, 13 days","2026-02-24 (Price: 84.36), 2.24% above",85.5464 (Avg % Gain of Historic Winning trades)/105.21 (Function Specific Target)/85.51 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/86.8418 (Backtested Max),2026-08-21 (Max)/2026-02-26 (Min)/2026-05-13 (Avg),70.84/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/72.38,"100.0%, Past 4 years, 21",80.11,No Information,No Information,No Information,No Information,No Information,2.24% above/2.24% above/2.24% above,5.25%/1.18%/3.68%,"-0.0%, 15.84%",4.4 months/11 days/2.1 months,13.1%,6.96%,6.14%,2.83,0.36,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
