Symbol,Signal Type,All Functions (Target Reached),All Intervals,Target Price Reached,Backtest Target Exit Date,Current Price,Next Two Target Prices,Next Two Target Dates,Next Two Target Price % from Latest Price
AMZN,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,248.57/248.57/248.87/250.08,2025-11-07,249.32,262.87/263.29,2025-11-06/2025-11-07,5.43%/5.6%
ASHR,Long,DELTADRIFT/FRACTAL TRACK/TRENDPULSE,Daily/Monthly/Weekly,32.23/32.24/32.54/32.54/32.57/32.73/32.85/33.18/33.31/33.43/33.56,No Date Reached,32.59,32.87/33.07,2026-04-05/2026-12-13,0.87%/1.46%
ATD.TO,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,No Target Reached,No Date Reached,68.80,69.30/69.37,2025-12-22/2026-01-30,0.73%/0.83%
BRK-B,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,484.87/485.46/486.34/486.34/488.25/488.54/488.54/491.88/533.03,2025-11-01,487.66,489.23/490.10,2025-11-08/2025-11-22,0.32%/0.5%
BTC-USD,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/TRENDPULSE,Daily/Monthly/Weekly,74553.47/78926.71/114670.95,2025-11-03/2025-11-28,101055.27,101876.55/103117.61,2025-11-28/2025-12-06,0.81%/2.04%
BTI,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,49.37/49.66/51.51/51.51/51.95/52.97/53.01/53.06/53.06/53.22/53.65/54.13/54.15/54.19/54.63,2025-10-30/2025-11-13,52.98,53.05/53.26,2025-11-08/2025-11-13,0.14%/0.53%
BYD.TO,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/TRENDPULSE,Daily/Monthly/Weekly,223.08/223.08/223.71/224.00/232.79,No Date Reached,223.50,225.50/226.22,2025-12-20/2025-12-23,0.9%/1.22%
CNR.TO,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,127.48/133.46/135.13/135.28/135.28/135.39/135.39/136.98/137.18/137.52/137.52,No Date Reached,134.94,136.03/136.80,2025-11-24/2026-10-27,0.81%/1.38%
DIA,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,459.73/461.38/461.58/461.58/462.52/462.52/462.69/466.17/466.17/469.92/470.67/471.12/478.55/482.09/482.14/486.73/486.73/488.75/493.68/538.13,2025-11-07,470.90,474.40/474.40,2025-11-07/2025-11-29,0.74%/0.74%
DIS,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,110.55/112.25/112.25/112.31/112.42/112.54/112.78,No Date Reached,111.47,111.79/111.85,2025-12-24/2026-03-21,0.29%/0.34%
DOL.TO,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/TRENDPULSE,Daily/Weekly,177.83/177.83/179.86/181.32/181.32/182.83/189.29/194.16,No Date Reached,180.93,181.75/181.88,2025-11-06/2025-12-07,0.45%/0.53%
GOOG,Long,TRENDPULSE,Monthly,281.81,No Date Reached,278.06,No Next Target,2026-03-15/2027-01-17,No Next Target
HDB,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,32.71/34.58/34.58/35.05/35.05/35.19/35.34/35.34/35.71/35.99/35.99/36.04/36.06/36.07/36.14/36.14/36.17/36.29/36.29/36.30/36.37/36.38/36.38/36.39/36.42/36.97/36.97/37.14/37.45/37.66/37.66/38.01/41.76,2025-10-04/2025-11-03/2025-11-04,36.24,36.28/36.32,2025-11-14/2025-11-17,0.1%/0.23%
IBIT,Long,OSCILLATOR DELTA/TRENDPULSE,Daily,No Target Reached,No Date Reached,57.18,62.50/63.04,2025-11-27,9.3%/10.25%
INDA,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/SIGMASHELL/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,52.82/52.82/53.35/53.35/53.83/54.40/54.40/54.69/54.94/55.04/55.38,2025-10-23/2025-11-29,54.02,54.19/54.29,2025-11-29/2026-01-09,0.31%/0.5%
INDY,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,52.05/52.05/52.10/52.69/52.69/52.72/52.74/52.76/52.90/52.90/53.09/53.09/53.09/53.22/53.22,No Date Reached,52.79,52.94/52.94,2025-11-21/2026-05-21,0.28%/0.28%
JD,Long,FRACTAL TRACK/OSCILLATOR DELTA/TRENDPULSE,Daily/Monthly/Weekly,31.31/31.59/31.59/32.05,2025-11-09,31.82,32.15/32.65,2025-11-09/2025-12-25,1.04%/2.61%
JPM,Long,OSCILLATOR DELTA/TRENDPULSE,Daily/Quarterly,301.65/302.16/302.16/311.70,2025-11-02/2025-11-05/2026-01-15,309.25,313.24/314.46,2025-11-05/2025-11-17,1.29%/1.68%
KXS.TO,Long,DELTADRIFT/FRACTAL TRACK/TRENDPULSE,Daily/Weekly,156.42/166.50/166.59/166.59/166.70/166.70/168.32/169.12,No Date Reached,168.08,169.28/169.45,2025-11-20/2026-03-04,0.72%/0.81%
MA,Long,DELTADRIFT/FRACTAL TRACK/TRENDPULSE,Daily/Weekly,515.49/548.33/552.69/554.06/554.46/556.15/556.99/563.34,2025-11-04,552.75,554.06/556.55,2025-11-19/2026-01-21,0.24%/0.69%
MCD,Long,DELTADRIFT/FRACTAL TRACK/SIGMASHELL/TRENDPULSE,Daily/Monthly/Weekly,295.16/296.76/297.21/298.19/299.11/299.42/300.20/300.54/300.97/301.42/301.42,No Date Reached,299.21,300.20/300.42,2025-11-23/2026-02-02,0.33%/0.41%
META,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/TRENDPULSE,Daily/Monthly/Weekly,No Target Reached,2025-11-09,627.32,630.94/634.08,2025-11-09/2025-11-17,0.58%/1.08%
MSFT,Long,DELTADRIFT/FRACTAL TRACK/SIGMASHELL/TRENDPULSE,Daily/Weekly,508.20/508.20/517.45/518.51/519.69/520.39/529.13,2025-11-02,514.33,515.91/516.62,2025-11-07/2026-03-15,0.31%/0.45%
NFLX,Long,DELTADRIFT/FRACTAL TRACK/OSCILLATOR DELTA/PULSEGAUGE/TRENDPULSE,Daily/Monthly/Weekly,1080.11,2025-11-02/2025-11-03,1092.96,1110.34/1115.03,2025-11-11/2025-11-16,1.59%/2.02%
NVDA,Long,BASELINEDIVERGENCE/FRACTAL TRACK/PULSEGAUGE/TRENDPULSE,Daily/Weekly,197.72/197.73/200.36/200.36/204.26,No Date Reached,198.69,229.48/231.52,2025-11-29/2025-12-20,15.5%/16.52%
ORCL,Long,DELTADRIFT/FRACTAL TRACK/PULSEGAUGE/TRENDPULSE,Daily/Monthly/Quarterly/Weekly,233.74/236.03/238.49/238.49/239.62,2026-01-29,248.17,251.61/262.60,2025-12-18/2026-01-29,1.39%/5.82%
