"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"MA, Long, 2025-12-12 (Price: 571.93)",No Exit Yet,"0.0%, 0 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 571.93), 0.0% below",0 days,"2, 2025-09-18 (Price: 586.05)",2025-12-11 (Price: 563.37),2025-12-12 (Price: 571.93),1/0/0 days,1.52% above/0.0% below/0.0% below,2025-09-18 (Price: 600.466)/2025-12-12 (Price: 548.5937),7.81%/1.11%/2.94%,"5.85%, 28.57%",3 days/4 days/1 day,2026-05-13/2025-12-17/2026-02-06,5.71%,7.58%,-1.87%,0.98,0.39,578.3928/588.7447/580.4/592.9033/716.5814/751.3605/No EMA 200 Target,537.55/306.91/554.0572/515.4888/560.8595/535.7184/559.47,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"WMT, Long, 2025-12-12 (Price: 116.7)",No Exit Yet,"0.0%, 0 days","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 116.7), 0.0% below",0 days,"0, 2021-08-22 (Price: 50.4833)",2025-11-30 (Price: 110.51),2025-12-12 (Price: 116.7),12/0/0 days,5.6% above/0.0% below/0.0% below,2021-08-22 (Price: 54.212)/2025-12-12 (Price: 109.112),10.45%/2.48%/5.29%,"1.31%, 24.69%",1 day/28 days/5 days,2028-02-02/2026-01-21/2026-08-16,8.78%,8.74%,0.04%,1.42,0.53,124.1221/122.8734/156.43/No Horizontal Resistance/114.6382/136.6818/No EMA 200 Target,101.18/42.3916/91.6278/82.681/98.5283/87.2075/98.71,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-12 (Price: 67.4)",No Exit Yet,"0.0%, 0 days","90.91%, Past 10 years, 22","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 67.4), 0.0% below",0 days,"4, 2024-07-28 (Price: 72.0)",2025-12-12 (Price: 67.4),2025-12-11 (Price: 67.25),0/1/0 days,0.0% below/0.22% above/0.0% below,2024-07-28 (Price: 78.0579)/2025-12-12 (Price: 66.7737),13.53%/1.78%/5.86%,"5.83%, 27.74%",1 day/28 days/4 days,2027-08-29/2026-01-21/2026-06-21,9.15%,10.41%,-1.26%,1.17,0.61,72.5831/71.3496/70.16/85.45/101.7951/111.6887/No EMA 200 Target,58.66/55.185/65.1894/42.5658/No support/No support/63.86,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"TD.TO, Long, 2025-12-12 (Price: 125.8)",No Exit Yet,"0.0%, 0 days","90.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2025-12-12",Already confirmed,"2025-12-12 (Price: 125.8), 0.0% below",0 days,"2, 2025-06-29 (Price: 99.45)",2025-12-12 (Price: 125.8),2025-12-09 (Price: 123.47),0/3/0 days,0.0% below/1.89% above/0.0% below,2025-06-29 (Price: 99.8746)/2025-12-12 (Price: 122.185),12.32%/1.31%/6.58%,"9.57%, 31.6%",1 day/28 days/4 days,2028-07-07/2026-01-21/2026-07-04,7.49%,5.65%,1.84%,1.01,0.31,134.9205/134.0776/141.61/No Horizontal Resistance/127.7222/133.1838/No EMA 200 Target,81.05/73.6233/116.5496/105.2485/108.3338/97.0348/100.5,95.21%/146/0 days (Across ALL Assets),81.88%/276/0 days (Across ALL Assets)
"SOXX, Long, 2025-12-12 (Price: 299.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-12-12 (Price: 299.48), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-12-12 (Price: 299.48),2025-11-21 (Price: 270.83),0/21/0 days,0.0% below/10.58% above/0.0% below,2015-06-30 (Price: 22.1158)/2025-12-12 (Price: 264.9375),74.51%/31.99%/47.75%,"-0.0%, 41.23%",3 days/1 day/1 day,2030-08-28/2027-10-20/2028-08-28,16.0%,8.74%,7.26%,0.66,0.45,399.6261/442.4817/460.75/No Horizontal Resistance/320.8469/358.5021/No EMA 200 Target,106.24/110.475/267.2317/244.4067/277.3551/252.7767/240.22,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"FBU.NZ, Long, 2025-12-12 (Price: 3.66)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 3.28 prior to 2025-12-31,"2025-12-12 (Price: 3.66), 0.0% below",0 days,"8, 2021-04-30 (Price: 7.27)",2025-10-31 (Price: 3.26),2025-11-28 (Price: 3.35),42/14/0 days,12.27% above/9.25% above/0.0% below,2021-04-30 (Price: 8.1708)/2025-12-12 (Price: 3.1092),27.18%/11.21%/20.88%,"-0.0%, 49.28%",6 days/5 days/5 days,2026-09-03/2026-07-17/2026-07-30,5.5%,0.69%,4.81%,1.23,0.0,4.2763/4.4242/5.83/7.985/12.6329/13.7816/No EMA 200 Target,2.83/2.82/No F-Stack Support/No F-Stack Support/No support/No support/3.21,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"MFT.NZ, Long, 2025-12-12 (Price: 67.4)",No Exit Yet,"0.0%, 0 days","92.86%, Past 20 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 67.06 prior to 2025-12-31,"2025-12-12 (Price: 67.4), 0.0% below",0 days,"0, 2020-12-31 (Price: 69.5)",2025-12-12 (Price: 67.4),2025-12-12 (Price: 67.4),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-12-31 (Price: 105.6512)/2025-12-12 (Price: 66.51),38.76%/5.7%/13.28%,"24.41%, 40.93%",1 day/5 days/8 days,2028-07-07/2026-07-17/2026-12-16,9.96%,11.66%,-1.7%,0.82,0.67,104.497/76.3507/68.66/85.45/101.7951/111.6887/No EMA 200 Target,55.51/55.185/65.1894/42.5658/No support/No support/63.86,95.08%/61/0 days (Across ALL Assets),80.0%/110/0 days (Across ALL Assets)
"BDGI.TO, Long, 2025-12-12 (Price: 78.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 61.31 prior to 2025-12-31,"2025-12-12 (Price: 78.2), 0.0% below",0 days,"0, 2018-06-30 (Price: 31.67)",2025-09-30 (Price: 61.38),2025-12-12 (Price: 78.2),73/0/0 days,27.4% above/0.0% below/0.0% below,2018-06-30 (Price: 49.0339)/2025-12-12 (Price: 52.2506),227.42%/21.67%/158.83%,"-0.0%, 36.34%",1 day/1 day/1 day,2028-07-07/2027-10-20/2028-03-25,16.49%,8.5%,7.99%,0.7,0.42,161.3031/202.4051/106.12/No Horizontal Resistance/87.1484/97.3919/No EMA 200 Target,26.66/24.32/73.041/66.9303/68.5456/61.8935/53.54,88.89%/9/0 days (Across ALL Assets),100.0%/1/0 days (Across ALL Assets)
"ABNB, Long, 2025-12-11 (Price: 128.0)",No Exit Yet,"0.3%, 1 day","88.89%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-12 (Price: 128.39), 0.3% above",1 day,"0, 2024-02-27 (Price: 152.06)",2025-12-10 (Price: 127.57),2025-12-11 (Price: 128.0),2/1/1 days,0.64% above/0.3% above/0.3% above,2024-02-27 (Price: 188.583)/2025-12-11 (Price: 125.7194),13.07%/1.63%/7.15%,"39.55%, 57.01%",3 days/6 days/26 days,2026-04-29/2025-12-19/2026-01-17,10.28%,-2.98%,13.26%,0.22,0.05,127.3216/137.152/142.44/178.025/223.5359/256.334/No EMA 200 Target,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/126.69,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
"SBUX, Long, 2025-12-11 (Price: 84.74)",No Exit Yet,"0.72%, 1 day","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2025-12-11",Already confirmed,"2025-12-12 (Price: 85.35), 0.72% above",1 day,"0, 2024-02-27 (Price: 94.13)",2025-12-10 (Price: 83.85),2025-12-11 (Price: 84.74),2/1/1 days,1.79% above/0.72% above/0.72% above,2024-02-27 (Price: 143.1381)/2025-12-11 (Price: 83.4265),8.06%/2.15%/4.6%,"1.89%, 25.49%",3 days/6 days/1 day,2026-04-29/2025-12-19/2026-02-01,10.39%,-0.2%,10.59%,0.88,0.03,87.2907/88.638/90.37/117.438/142.4098/150.3462/88.7,82.28/71.675/76.529/65.8616/No F-Track Level/No F-Track Level/No EMA 200 Support,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
