"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"IHI, Long, 2026-01-15 (Price: 62.42)",No Exit Yet,"0.0%, 0 days","72.22%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-15 (Price: 62.42), 0.0% below",0 days,"2, 2025-11-21 (Price: 62.7)",2026-01-14 (Price: 62.55),2026-01-15 (Price: 62.42),1/0/0 days,0.21% below/0.0% below/0.0% below,2025-11-21 (Price: 64.9306)/2026-01-15 (Price: 61.9235),3.38%/0.37%/2.16%,"5.66%, 22.97%",3.2 months/4 days/1.1 month,2026-06-03/2026-01-20/2026-03-03,2.58%,4.74%,-2.16%,0.01,0.23,63.3001/63.7683/62.59/65.925/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,61.89/46.725/No F-Stack Support/No F-Stack Support/No support/No support/61.12,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"^BVSP, Long, 2026-01-15 (Price: 165568.3125)",No Exit Yet,"0.0%, 0 days","95.45%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-15 (Price: 165568.3125), 0.0% below",0 days,"2, 2025-11-19 (Price: 155381.0)",2026-01-14 (Price: 165146.0),2026-01-15 (Price: 165568.3125),1/0/0 days,0.26% above/0.0% below/0.0% below,2025-11-19 (Price: 165586.6111)/2026-01-15 (Price: 163784.6111),5.29%/0.69%/2.87%,"1.68%, 18.35%",5.9 months/7 days/1 month,2026-09-28/2026-01-25/2026-02-27,10.46%,4.14%,6.32%,1.7,0.2,175601.7522/170320.1231/171680.7/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,157327.0/96132.0/151418.724/142375.45/154749.2806/147792.3495/143125.97,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"WPM, Long, 2026-01-15 (Price: 135.5)",No Exit Yet,"0.0%, 0 days","96.3%, Past 4 years, 27","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-15 (Price: 135.5), 0.0% below",0 days,"2, 2025-11-21 (Price: 99.27)",2026-01-15 (Price: 135.5),2026-01-15 (Price: 135.5),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-11-21 (Price: 110.0779)/2026-01-15 (Price: 131.5351),15.63%/1.33%/6.3%,"14.18%, 36.59%",3.8 months/4 days/1.3 month,2026-06-29/2026-01-20/2026-03-12,22.59%,17.13%,5.46%,1.09,0.81,146.0148/144.0365/157.24/No Horizontal Resistance/119.4321/129.2378/No EMA 200 Target,104.96/38.3375/102.4252/95.3086/112.5343/98.4087/97.95,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"MSE.PA, Long, 2026-01-15 (Price: 67.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-15",Already confirmed,"2026-01-15 (Price: 67.41), 0.0% below",0 days,"8, 2025-06-23 (Price: 57.87)",2026-01-12 (Price: 67.13),2026-01-15 (Price: 67.41),3/0/0 days,0.42% above/0.0% below/0.0% below,2025-06-23 (Price: 58.7131)/2026-01-15 (Price: 66.7989),4.76%/0.41%/2.29%,"0%, 13.59%",3.5 months/6 days/1.3 month,2026-06-16/2026-01-23/2026-03-12,9.16%,6.81%,2.35%,1.46,0.37,69.7424/68.9537/73.13/No Horizontal Resistance/79.2125/108.6508/No EMA 200 Target,63.33/33.6667/58.6808/47.8642/59.4039/54.3977/60.43,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
"XIU.TO, Long, 2026-01-15 (Price: 48.69)",No Exit Yet,"0.0%, 0 days","93.75%, Past 10 years, 16","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 48.27 prior to 2026-01-16,"2026-01-15 (Price: 48.69), 0.0% below",0 days,"2, 2024-11-24 (Price: 38.41)",2026-01-11 (Price: 48.22),2026-01-12 (Price: 48.48),4/3/0 days,0.97% above/0.43% above/0.0% below,2024-11-24 (Price: 38.3918)/2026-01-15 (Price: 47.9139),5.21%/1.57%/3.78%,"2.16%, 32.4%",1.1 year/1.2 month/6.5 months,2027-08-11/2026-03-08/2026-10-24,5.54%,4.24%,1.3%,1.64,0.19,49.62/50.5305/54.86/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,35.35/27.9467/41.5586/34.9694/43.7297/40.6137/42.45,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"BNS.TO, Long, 2026-01-15 (Price: 102.18)",No Exit Yet,"0.0%, 0 days","92.31%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.58 prior to 2026-01-30,"2026-01-15 (Price: 102.18), 0.0% below",0 days,"2, 2024-03-31 (Price: 70.07)",2025-11-30 (Price: 96.94),2026-01-15 (Price: 102.18),46/0/0 days,5.41% above/0.0% below/0.0% below,2024-03-31 (Price: 70.4)/2026-01-15 (Price: 94.2089),24.83%/4.28%/13.54%,"30.99%, 38.87%",2.8 years/6 months/1.2 year,2030-01-12/2026-10-02/2027-10-02,1.95%,4.3%,-2.35%,0.65,0.19,107.5342/116.0152/121.45/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,56.15/62.2517/95.6649/90.1456/91.7669/84.8022/83.07,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"BNS.TO, Long, 2026-01-15 (Price: 102.18)",No Exit Yet,"0.0%, 0 days","100.0%, Past 193 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-01-15 (Price: 102.18), 0.0% below",0 days,"2, 2022-03-31 (Price: 89.6)",2025-09-30 (Price: 89.99),2026-01-15 (Price: 102.18),107/0/0 days,13.55% above/0.0% below/0.0% below,2022-03-31 (Price: 95.0)/2026-01-15 (Price: 73.3855),22.63%/5.06%/9.45%,"0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-04-25/2028-03-07/2032-01-14,6.77%,6.25%,0.52%,1.08,0.33,115.3919/111.836/109.73/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/91.7669/84.8022/83.07,100.0%/9/2.2 years (Across ALL Assets),75.0%/4/6.2 months (Across ALL Assets)
"ACWX, Long, 2026-01-15 (Price: 69.93)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 68.01 prior to 2026-01-30,"2026-01-15 (Price: 69.93), 0.0% below",0 days,"2, 2023-07-31 (Price: 51.15)",2025-11-30 (Price: 66.49),2026-01-02 (Price: 68.13),46/13/0 days,5.17% above/2.64% above/0.0% below,2023-07-31 (Price: 51.3)/2026-01-15 (Price: 65.5714),15.1%/1.97%/6.76%,"10.07%, 26.55%",3.3 years/4.1 months/1.4 year,2030-10-01/2026-07-10/2028-01-13,1.22%,0.78%,0.44%,0.41,-0.09,74.8041/74.6573/81.2/No Horizontal Resistance/69.6679/76.9985/No EMA 200 Target,52.16/45.07/61.9685/No support/62.7235/58.1689/62.57,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
"ASML, Long, 2026-01-15 (Price: 1331.6)",No Exit Yet,"0.0%, 0 days","92.86%, Past 10 years, 28","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 1264.857 prior to 2026-01-16,"2026-01-15 (Price: 1331.6), 0.0% below",0 days,"2, 2025-07-06 (Price: 794.5)",2026-01-15 (Price: 1331.6),2026-01-15 (Price: 1331.6),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-07-06 (Price: 806.2086)/2026-01-15 (Price: 1258.5642),26.23%/2.69%/12.25%,"25.72%, 56.36%",8.9 months/1.2 month/3.5 months,2027-02-05/2026-03-08/2026-06-16,11.7%,15.27%,-3.57%,1.0,0.74,1473.5486/1494.721/1653.86/No Horizontal Resistance/1081.4334/1218.8523/No EMA 200 Target,689.82/576.784/998.2461/956.961/1173.5727/1060.2348/870.21,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
"^BVSP, Long, 2026-01-15 (Price: 165568.3125)",No Exit Yet,"0.0%, 0 days","88.89%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 161124.0 prior to 2026-01-30,"2026-01-15 (Price: 165568.3125), 0.0% below",0 days,"4, 2022-09-30 (Price: 110037.0)",2025-11-30 (Price: 159072.0),2026-01-05 (Price: 161870.0),46/10/0 days,4.08% above/2.28% above/0.0% below,2022-09-30 (Price: 118704.842)/2026-01-15 (Price: 152013.9293),14.35%/2.63%/9.45%,"18.7%, 34.07%",3.3 years/8.1 months/1.9 year,2030-10-01/2027-01-01/2028-10-01,6.15%,6.78%,-0.63%,0.48,0.36,183184.781/181214.518/198887.1/No Horizontal Resistance/166057.916/178771.431/No EMA 200 Target,120283.0/96132.0/151418.724/142375.45/154749.2806/147792.3495/143125.97,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
