Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GILD, Long, 2025-11-04 (Price: 123.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 28","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 123.0), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 112.6763), 9.16% above, Upmove Bounce Back","2025-04-25 (Price: 93.37), 2025-10-21 (Price: 124.61)",No Information,29.99%/0.5%/11.55%,"-0.0%, 27.82%",471 days/7 days/193 days,2027-09-17/2025-11-14/2026-08-10,10.34%,14.55%,-4.21%,0.57,0.58,125.9397/137.2065/141.74/No Horizontal Resistance/124.0112/135.1689,117.88/56.9733/101.881/83.0067/110.7288/108.1488,116.01/110.13,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"NIO, Long, 2025-11-04 (Price: 7.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 7.16), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 6.837), 4.72% above, Upmove Bounce Back","2025-04-08 (Price: 3.02), 2025-10-02 (Price: 8.02)",No Information,49.89%/49.89%/49.89%,"-0.0%, 25.1%",69 days/69 days/69 days,2026-02-11/2026-02-11/2026-02-11,346.26%,-27.6%,373.86%,0.26,-0.14,7.0512/10.7321/10.16/24.205/No Next Fib Ext/No Next Fib Ext,6.71/3.62/No F-Stack Support/No F-Stack Support/8.8197/9.5016,6.93/4.86,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2025-11-04 (Price: 102.27)",No Exit Yet,"0.0%, 0 days","90.62%, Past 5 years, 32","Daily, is CONFIRMED on 2025-11-04",Already confirmed,"2025-11-04 (Price: 102.27), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 102.5364), 0.26% below, Upmove Bounce Back","2025-04-07 (Price: 79.81), 2025-10-16 (Price: 109.58)",No Information,14.63%/0.49%/9.29%,"4.76%, 26.01%",453 days/33 days/142 days,2027-08-22/2025-12-21/2026-05-28,10.62%,16.05%,-5.43%,0.64,0.7,104.0086/111.7709/120.13/105.01/114.6382/136.6818,101.18/42.3916/91.6278/82.681/102.5364/98.2079,102.69/97.52,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"XLF, Long, 2025-11-04 (Price: 52.42)",No Exit Yet,"0.0%, 0 days","85.71%, Past 6 years, 14","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-04 (Price: 52.42), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,14.64%/5.35%/8.32%,"13.71%, 13.71%",85 days/17 days/47 days,2026-03-07/2025-11-28/2026-01-11,20.93%,9.83%,11.1%,0.22,0.36,53.4527/56.7813/55.04/No Horizontal Resistance/54.2495/60.5544,No Recent Minima/30.1167/49.3988/45.2617/49.0251/45.6605,53.29/51.28,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"0.0%, 0 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-04 (Price: 272.24), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/297.0775/313.5051,No Recent Minima/129.12/244.6832/226.0546/331.6816/346.5298,265.65/263.38,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
DELTADRIFT,"RHHBY, Long, 2025-11-03 (Price: 40.15)",No Exit Yet,"0.95%, 1 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2025-11-03",Already confirmed,"2025-11-04 (Price: 40.53), 0.95% above",1 days,No Information,No Information,No Information,No Information,No Information,No Information,6.91%/2.23%/3.18%,"9.92%, 11.39%",48 days/1 days/11 days,2026-01-11/2025-11-04/2025-11-18,2.84%,-5.55%,8.39%,-0.06,-0.34,41.6034/41.4268/41.52/52.46/58.6089/65.2057,39.59/34.5167/31.0544/179.717/No F-Track Level/No F-Track Level,42.46/40.79,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"BTC-USD, Long, 2025-11-01 (Price: 110064.0156)",No Exit Yet,"-8.19%, 1 days","93.75%, Past 5 years, 64","Daily, was CONFIRMED on 2025-11-01",Already confirmed,"2025-11-04 (Price: 101055.2734), 8.19% below",1 days,No Information,No Information,No Information,"23.66% (Price: 107961.6918), 6.4% below, Upmove Bounce Back","2024-08-05 (Price: 49121.2383), 2025-10-06 (Price: 126198.0703)",No Information,133.41%/2.6%/33.78%,"10.03%, 72.69%",600 days/5 days/148 days,2028-03-19/2025-11-08/2026-06-03,16.74%,49.32%,-32.58%,0.38,0.92,114070.3458/147243.6401/156310.11/124582.2656/122105.3521/133759.1807,108305.55/18304.4229/88987.7198/76786.0499/No F-Track Level/No F-Track Level,113384.71/109947.31,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-10-31 (Price: 311.12)",2025-11-04 (Price: 309.25) (Today),"-0.6%, 2 days","97.62%, Past 4 years, 42","Daily, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-04 (Price: 309.25), 0.6% below",2 days,No Information,No Information,No Information,No Information,No Information,0.06% below/0.6% below/0.6% below,10.64%/1.12%/4.24%,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-10/2025-11-05/2025-11-27,52.95%,15.43%,37.52%,1.31,0.55,313.2356/324.3115/314.46/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,304.83/274.75,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"BNS.TO, Long, 2025-10-31 (Price: 91.99)",2025-11-04 (Price: 92.68) (Today),"0.75%, 2 days","88.24%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-04 (Price: 92.68), 0.75% above",2 days,No Information,No Information,No Information,No Information,No Information,8.06% above/0.89% above/0.75% above,24.83%/3.08%/11.43%,"30.99%, 38.87%",719 days/129 days/282 days,2028-09-06/2026-05-05/2026-12-13,4.31%,6.33%,-2.02%,0.35,0.21,94.4461/102.5045/113.97/No Horizontal Resistance/92.969/100.7509,56.15/62.2517/69.3218/61.3348/No F-Track Level/No F-Track Level,88.59/76.35,92.45%/53/286 days (Across ALL Assets),73.83%/107/181 days (Across ALL Assets)
FRACTAL TRACK,"RHHBY, Short, 2025-10-28 (Price: 40.85)",No Exit Yet,"0.78%, 5 days","89.36%, Past 5 years, 47","Daily, was CONFIRMED on 2025-10-28",Already confirmed,"2025-11-04 (Price: 40.53), 0.78% below",5 days,No Information,No Information,No Information,"23.66% (Price: 41.9793), 3.45% below, Upmove Break Below","2024-05-02 (Price: 29.2), 2025-10-08 (Price: 45.94)",No Information,5.98%/0.06%/2.18%,"10.54%, 11.17%",14 days/1 days/4 days,2025-11-17/2025-10-29/2025-11-02,22.8%,5.1%,17.7%,0.07,-0.17,40.3884/39.9595/30.81/34.5167/31.0544/202.8856,45.66/34.5167/31.0544/202.8856/No F-Track Level/No F-Track Level,42.46/40.79,48.21%/56/7 days (Across ALL Assets),40.19%/107/15 days (Across ALL Assets)
