Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
BAND MATRIX,"XLV, Long, 2026-01-30 (Price: 154.74)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 5","Daily, is CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-01-30 (Price: 154.74), 0.0% below",0 days,154.115,No Information,No Information,No Information,No Information,No Information,No Information,8.23%/1.41%/5.28%,"0%, 18.11%",1.9 year/1 month/10 months,2028-10-16/2026-03-14/2027-04-09,6.21%,5.05%,1.16%,2.09,0.27,162.2139/162.9103/162.56/159.295/174.1807/202.706/No EMA 200 Target,153.82/121.1/153.114/117.2225/139.994/127.3369/141.85,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"PLTR, Long, 2026-01-30 (Price: 146.59)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 6","Daily, is CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-01-30 (Price: 146.59), 0.0% below",0 days,150.16,No Information,No Information,No Information,No Information,No Information,No Information,72.52%/7.59%/47.15%,"59.64%, 74.92%",5.4 months/1.3 month/2.9 months,2026-09-21/2026-03-27/2026-06-05,30.7%,28.98%,1.72%,0.56,1.12,191.8423/215.7072/203.77/No Horizontal Resistance/268.2554/419.5225/158.92,130.68/7.205/116.9882/81.2789/130.5088/106.72/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"ATD.TO, Long, 2026-01-30 (Price: 70.84)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-01-30",No Cancellation Possible,"2026-01-30 (Price: 70.84), 0.0% below",0 days,71.47,No Information,No Information,No Information,No Information,No Information,No Information,29.23%/0.22%/10.51%,"9.62%, 20.63%",8.6 months/1.8 month/4.1 months,2027-02-07/2026-04-18/2026-07-25,16.38%,7.89%,8.49%,0.66,0.43,73.3336/78.2853/75.81/85.51/100.8822/111.119/72.11,69.19/45.49/69.1528/55.4059/No support/No support/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",No Exit Yet,"0.78%, 1 day","89.47%, Past 6 years, 19","Daily, is Confirmed on 2026-01-29",No Cancellation Possible,"2026-01-30 (Price: 480.53), 0.78% above",1 day,473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,2029-03-21/2026-02-09/2026-07-08,16.46%,9.82%,6.64%,0.56,0.59,505.2544/523.5631/500.63/512.255/630.85/709.9376/494.72,No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"WMT, Long, 2026-01-29 (Price: 117.41)",No Exit Yet,"1.47%, 1 day","83.33%, Past 5 years, 18","Daily, was CONFIRMED on 2026-01-29",Already confirmed,"2026-01-30 (Price: 119.14), 1.47% above",1 day,116.6,No Information,No Information,No Information,"23.66% (Price: 116.2397), 2.5% above, Upmove Bounce Back","2025-11-14 (Price: 98.88), 2026-01-20 (Price: 121.62)",No Information,12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2028-01-27/2026-03-03/2026-07-13,27.4%,11.93%,15.47%,1.3,0.75,120.7797/128.2235/131.05/No Horizontal Resistance/137.8139/No Next Fib Ext/No EMA 200 Target,116.57/43.3466/85.5556/53.2582/No F-Track Level/No F-Track Level/103.03,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"XLU, Long, 2026-01-28 (Price: 43.33)",No Exit Yet,"-0.18%, 2 days","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-01-28",No Cancellation Possible,"2026-01-30 (Price: 43.25), 0.18% below",2 days,43.5,No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,2026-12-28/2026-02-11/2026-05-20,16.95%,4.08%,12.87%,0.47,0.18,46.0251/47.273/49.4/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,No Recent Minima/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.44,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
BAND MATRIX,"DOL.TO, Long, 2026-01-28 (Price: 186.3)",No Exit Yet,"-1.5%, 2 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-01-30 (Price: 183.5), 1.5% below",2 days,186.34,No Information,No Information,No Information,No Information,No Information,No Information,39.41%/3.85%/15.01%,"-0.0%, 11.58%",10.7 months/29 days/3.8 months,2027-05-07/2026-03-11/2026-07-12,37.24%,20.61%,16.63%,1.17,1.4,208.0785/214.2636/211.17/197.56/294.0831/455.769/187.44,180.3/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"USDCHF=X, Long, 2026-01-28 (Price: 0.7632)",No Exit Yet,"0.85%, 2 days","71.43%, Past 5 years, 7","Daily, was CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-01-30 (Price: 0.7697), 0.85% above",2 days,0.7629,No Information,No Information,No Information,No Information,No Information,No Information,3.33%/2.11%/2.55%,"10.2%, 13.75%",7.8 months/1.3 month/3.7 months,2027-01-01/2026-03-25/2026-07-07,-1.75%,-1.33%,-0.42%,-0.3,-0.75,0.7672/0.7827/0.77/1.0105/No Next Fib Ext/No Next Fib Ext/0.8,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2026-01-27 (Price: 314.13)",No Exit Yet,"0.28%, 3 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 315.0), 0.28% above",3 days,312.32,No Information,No Information,No Information,No Information,No Information,0.66% above/0.28% above/0.28% above,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-07-15/2026-02-06/2026-03-24,12.38%,5.6%,6.78%,1.08,0.28,324.5591/322.1403/341.41/321.444/370.0426/590.3302/No EMA 200 Target,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.33,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"RHHBY, Long, 2026-01-27 (Price: 56.69)",No Exit Yet,"0.04%, 3 days","80.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-01-27",Already confirmed,"2026-01-30 (Price: 56.71), 0.04% above",3 days,56.53,No Information,No Information,No Information,No Information,No Information,2.68% above/0.04% above/0.04% above,10.73%/0.36%/5.34%,"8.73%, 19.35%",1.1 month/6 days/15 days,2026-03-15/2026-02-04/2026-02-17,11.77%,2.75%,9.02%,0.55,0.11,58.9916/59.7172/63.54/No Horizontal Resistance/58.6089/65.2057/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/43.35,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
