Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FXI, Long, 2025-12-18 (Price: 38.21)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 38.21), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 36.9983), 3.28% above, Upmove Bounce Back","2024-01-22 (Price: 20.86), 2025-10-02 (Price: 42.0)",No Information,14.16%/6.87%/10.84%,"-0.0%, 45.3%",3.7 years/13 days/1.2 year,2031-03-31/2026-01-05/2027-09-04,13.13%,-2.21%,15.34%,1.46,-0.08,38.8214/42.352/50.89/42.665/77.6857/94.2202/No EMA 200 Target,37.85/20.865/No F-Stack Support/No F-Stack Support/No support/No support/37.7,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"PFE, Long, 2025-12-18 (Price: 25.04)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 25.04), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 25.15), 0.44% below, Upmove Bounce Back","2025-09-25 (Price: 23.58), 2025-10-03 (Price: 27.69)",No Information,15.29%/2.93%/10.03%,"3.6%, 19.77%",2.8 months/12 days/1.5 month,2026-04-18/2026-01-04/2026-02-21,10.93%,-6.4%,17.33%,0.41,-0.42,25.343/27.5515/27.51/55.39/66.4624/71.5868/No EMA 200 Target,24.4/23.345/22.7912/20.6368/No support/No support/24.53,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"XLE, Long, 2025-12-18 (Price: 44.13)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 20","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 44.13), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 44.505), 0.84% below, Upmove Bounce Back","2025-10-16 (Price: 42.35), 2025-12-05 (Price: 46.66)",No Information,11.51%/2.08%/9.2%,"3.48%, 17.74%",1.4 year/21 days/5.7 months,2027-12-16/2026-01-17/2026-08-22,21.1%,11.53%,9.57%,0.91,0.63,45.8599/48.19/46.72/49.2225/53.4027/56.9104/No EMA 200 Target,43.81/22.8475/43.779/41.4761/No support/No support/43.47,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"FRW.NZ, Long, 2025-12-18 (Price: 14.2)",No Exit Yet,"0.0%, 0 days","88.89%, Past 5 years, 9","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 14.2), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 13.0889), 8.49% above, Upmove Bounce Back","2023-10-30 (Price: 7.31), 2025-10-31 (Price: 14.88)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-03-31/2026-05-23/2027-09-04,11.59%,4.86%,6.73%,1.04,0.24,14.5692/15.6768/18.74/No Horizontal Resistance/14.9925/16.4712/No EMA 200 Target,13.75/7.405/12.995/12.2806/12.4241/10.9148/11.94,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
FRACTAL TRACK,"CNQ.TO, Long, 2025-12-18 (Price: 43.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 43.41), 0.0% below",0 days,No Information,No Information,No Information,"78.6% (Price: 43.2814), 0.3% above, Upmove Bounce Back","2025-10-21 (Price: 41.67), 2025-11-20 (Price: 49.2)",No Information,10.83%/7.23%/9.92%,"-0.0%, 17.04%",9.4 months/1.1 month/4.2 months,2027-01-30/2026-02-03/2026-06-18,20.54%,16.68%,3.86%,1.1,0.86,43.9396/47.7163/47.93/51.51/57.5622/59.9244/No EMA 200 Target,43.0/34.9317/41.1349/36.4858/No support/No support/43.36,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
OSCILLATOR DELTA,"CEN.NZ, Long, 2025-12-18 (Price: 9.27)",No Exit Yet,"0.0%, 0 days","81.82%, Past 6 years, 22","Daily, is Confirmed on 2025-12-18",No Cancellation Possible,"2025-12-18 (Price: 9.27), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,11.22%/5.1%/7.56%,"14.26%, 14.97%",8.2 months/6 days/3.1 months,2026-12-07/2025-12-26/2026-05-01,11.41%,3.46%,7.95%,0.46,0.15,9.6371/9.9708/9.73/9.4367/10.2248/12.5777/No EMA 200 Target,No Recent Minima/6.86/9.0337/8.3564/No support/No support/9.15,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-18 (Price: 159.04)",No Exit Yet,"0.0%, 0 days","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 159.04), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,2026-06-27/2025-12-26/2026-01-30,12.04%,18.03%,-5.99%,0.06,0.87,171.2066/167.0556/174.81/No Horizontal Resistance/177.4321/184.9838/No EMA 200 Target,145.49/52.782/150.6362/140.1747/138.8722/122.3548/129.9,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
TRENDPULSE,"MCD, Long, 2025-12-18 (Price: 319.65)",No Exit Yet,"0.0%, 0 days","83.33%, Past 4 years, 18","Daily, is CONFIRMED on 2025-12-18",Already confirmed,"2025-12-18 (Price: 319.65), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.3% above/0.0% below/0.0% below,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,2026-06-05/2025-12-28/2026-02-12,12.38%,5.6%,6.78%,1.08,0.28,330.2624/327.8011/327.6/321.3575/322.837/371.0748/No EMA 200 Target,300.72/228.4467/306.2751/267.8324/No support/No support/306.22,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
FRACTAL TRACK,"LYFT, Long, 2025-12-17 (Price: 19.18)",No Exit Yet,"3.55%, 1 day","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2025-12-17",Already confirmed,"2025-12-18 (Price: 19.86), 3.55% above",1 day,No Information,No Information,No Information,"38.2% (Price: 18.2131), 9.04% above, Upmove Bounce Back","2025-04-07 (Price: 9.66), 2025-09-17 (Price: 23.5)",No Information,29.57%/0.97%/14.95%,"5.88%, 53.48%",1.5 year/6 days/5.5 months,2028-02-07/2025-12-25/2026-08-12,28.24%,-11.2%,39.44%,1.13,0.03,20.4152/22.0474/27.48/57.19/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.12/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/16.64,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets)
TRENDPULSE,"XLY, Long, 2025-12-16 (Price: 121.93)",No Exit Yet,"0.34%, 2 days","94.12%, Past 4 years, 17","Daily, is CONFIRMED on 2025-12-16",Already confirmed,"2025-12-18 (Price: 122.34), 0.34% above",2 days,No Information,No Information,No Information,No Information,No Information,1.36% above/0.34% above/0.34% above,7.63%/0.64%/2.98%,"3.09%, 13.62%",2.8 months/6 days/13 days,2026-04-16/2025-12-24/2026-01-03,17.38%,7.88%,9.5%,1.07,0.42,126.8804/125.5635/123.79/No Horizontal Resistance/125.4815/133.9156/No EMA 200 Target,117.98/66.775/86.1124/56.5683/No F-Track Level/No F-Track Level/110.2,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets)
