Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,2026-02-01 (Price: 91.3),95.0177 (F-Stack 1)/94.8264 (Backtested Max),No Date Target,28.86%/42.94%,"22.39%, 5.4 months","2026-02-03 (Price: 95.62), 22.39% above",136.68 (Function Specific Target)/123.2166 (F-Stack 2),2035-12-04 (Max)/2027-07-02 (Avg),76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",76.84,No Information,No Information,No Information,"23.66% (Price: 74.9138), 27.64% above, Upmove Bounce Back","1999-03-07 (Price: 0.425), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",Weekly,2026-02-01 (Price: 91.3),95.0177 (F-Stack 1)/95.6638 (Backtested Max),No Date Target,28.86%/43.65%,"21.31%, 7.1 months","2026-02-03 (Price: 95.62), 21.31% above",137.36 (Function Specific Target)/123.2166 (F-Stack 2),2035-10-16 (Max)/2027-05-14 (Avg),65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",78.12,No Information,No Information,No Information,"23.66% (Price: 74.9167), 27.64% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-02-03 (Price: 95.62) (Today),95.0177 (F-Stack 1)/95.9858 (Backtested Min),No Date Target,5.76%/6.5%,"20.11%, 3.2 months","2026-02-03 (Price: 95.62), 20.11% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 27.69% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-02-03 (Price: 95.62) (Today),95.0177 (F-Stack 1)/94.6354 (Backtested Min),No Date Target,4.27%/5.0%,"21.82%, 7.3 months","2026-02-03 (Price: 95.62), 21.82% above",99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades)/135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 54.83% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-01-11 (Price: 88.81)",Weekly,No Exit Yet,95.7993 (Avg % Gain of Historic Winning trades)/95.0177 (F-Stack 1),No Date Target,3.19%/3.66%,"7.67%, 23 days","2026-02-02 (Price: 95.62), 7.67% above",98.6679 (Historic Rise or Fall to Pivot)/99.12 (Function Specific Target)/123.2166 (F-Stack 2)/110.0356 (Backtested Max),2027-06-16 (Max)/2026-03-04 (Min)/2026-05-03 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/78.08,"83.33%, Past 10 years, 24",86.08,No Information,No Information,No Information,No Information,No Information,7.67% above/7.67% above/7.67% above,23.9%/1.55%/7.87%,"6.63%, 46.57%",1 year/1.2 month/2.6 months,13.27%,11.85%,1.42%,0.6,0.66,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
BAND MATRIX,"SJ.TO, Long, 2025-08-11 (Price: 76.28)",Daily,No Exit Yet,95.0177 (F-Stack 1)/93.8931 (Backtested Max),No Date Target,28.86%,"25.35%, 5.8 months","2026-02-02 (Price: 95.62), 25.35% above",123.2166 (F-Stack 2),2028-04-27 (Max)/2026-07-20 (Avg),74.5/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 5 years, 6",77.04,No Information,No Information,No Information,No Information,No Information,No Information,23.09%/2.55%/13.07%,"13.59%, 37.19%",1.9 year/1.3 month/7.9 months,9.26%,9.97%,-0.71%,0.53,0.54,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
BAND MATRIX,"SJ.TO, Long, 2024-11-10 (Price: 72.37)",Weekly,No Exit Yet,93.66 (Function Specific Target)/95.0177 (F-Stack 1),No Date Target,15.11%/28.86%,"32.13%, 1.2 year","2026-02-03 (Price: 95.62), 32.13% above",110.0675 (Avg % Gain of Historic Winning trades)/123.2166 (F-Stack 2)/155.6679 (Backtested Max),2027-01-01 (Max)/2026-03-16 (Avg),62.46/38.7075/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 15 years, 5",86.7,No Information,No Information,No Information,No Information,No Information,No Information,115.1%/12.67%/52.09%,"3.15%, 49.7%",1.5 year/5.1 months/11.3 months,11.24%,11.85%,-0.61%,0.58,0.66,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2026-01-22 (Price: 253.73)",Daily,No Exit Yet,No Price Target,2026-02-01 (Min),8.19%/11.2%,"-2.94%, 11 days","2026-02-02 (Price: 246.27), 2.94% below",274.3836 (Historic Rise or Fall to Pivot)/277.1493 (Avg % Gain of Historic Winning trades)/275.45 (Function Specific Target)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/292.3731 (Backtested Max)/266.4419 (Backtested Min),2026-05-14 (Max)/2026-02-19 (Avg),203.17/72.05/251.3512/219.0648/No F-Track Level/No F-Track Level/170.96,"90.48%, Past 4 years, 21",251.75,No Information,No Information,No Information,No Information,No Information,1.41% below/2.94% below/2.94% below,15.23%/5.01%/9.23%,"0.89%, 48.49%",2.6 months/7 days/20 days,27.17%,20.84%,6.33%,1.91,0.87,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-03 (Price: 246.27),251.3512 (F-Stack 2)/250.5189 (Backtested Min),No Date Target,38.9%/60.72%,"39.68%, 6.2 months","2026-02-02 (Price: 246.27), 39.68% above",342.059 (Historic Rise or Fall to Pivot)/395.7983 (Avg % Gain of Historic Winning trades)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-09-21 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"100.0%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,122.41% above/39.68% above/39.68% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-03 (Price: 246.27),No Price Target,No Date Target,11.08%/51.67%,"27.91%, 2 years","2026-02-02 (Price: 246.27), 27.91% above",373.5275 (Historic Rise or Fall to Pivot)/432.2106 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max)/273.5659 (Backtested Min),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"100.0%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,67.06% above/27.91% above/27.91% above,190.68%/42.09%/124.49%,"-0.0%, 58.95%",2.5 years/5.1 months/9.6 months,26.16%,7.99%,18.17%,1.24,0.48,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
