Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"0.0%, 0 days","89.47%, Past 5 years, 19","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 29.01), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 27.8341), 4.22% above, Upmove Bounce Back","2025-07-16 (Price: 23.78), 2025-11-12 (Price: 30.34)",No Information,24.5%/7.06%/17.24%,"5.03%, 23.78%",6.1 months/2.1 months/3.2 months,2026-08-16/2026-02-23/2026-04-10,23.93%,9.83%,14.1%,0.54,0.36,29.7353/34.0113/32.95/No Horizontal Resistance/33.2191/35.3948/No Moving Avg Target,27.75/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.24,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"SONY, Long, 2025-11-24 (Price: 29.01)",No Exit Yet,"0.0%, 0 days","85.71%, Past 6 years, 35","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-24 (Price: 29.01), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,2026-02-18/2025-11-29/2025-12-22,38.36%,14.31%,24.05%,0.28,0.52,29.8977/31.4584/34.81/No Horizontal Resistance/33.2191/35.3948/No Moving Avg Target,No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.24,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"DIA, Long, 2025-11-24 (Price: 464.44)",No Exit Yet,"0.0%, 0 days","94.44%, Past 5 years, 36","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 464.44), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 456.4623), 1.75% above, Upmove Bounce Back","2025-04-07 (Price: 366.32), 2025-11-12 (Price: 484.4)",No Information,23.9%/4.34%/12.06%,"4.72%, 21.9%",2.5 years/1.2 month/10.3 months,2029-06-10/2026-01-15/2027-02-13,5.68%,11.05%,-5.37%,0.57,0.55,469.3631/520.4515/535.29/No Horizontal Resistance/538.1343/826.9871/No Moving Avg Target,458.1/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/439.23,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"XLY, Long, 2025-11-24 (Price: 228.51)",No Exit Yet,"0.0%, 0 days","96.55%, Past 5 years, 29","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 228.51), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 220.7881), 3.5% above, Upmove Bounce Back","2023-10-26 (Price: 147.83), 2025-09-17 (Price: 243.4)",No Information,27.09%/0.83%/9.52%,"5.33%, 40.28%",2.7 years/15 days/10.1 months,2029-10-09/2025-12-15/2027-02-04,5.42%,9.59%,-4.18%,0.46,0.36,231.1836/250.2642/285.85/241.84/250.963/267.8313/No Moving Avg Target,221.16/133.55/172.2248/113.1365/No F-Track Level/No F-Track Level/219.1,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"BABA, Long, 2025-11-24 (Price: 160.73)",No Exit Yet,"0.0%, 0 days","76.19%, Past 6 years, 42","Daily, is Confirmed on 2025-11-24",No Cancellation Possible,"2025-11-24 (Price: 160.73), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,16.48%/5.33%/8.72%,"17.74%, 17.74%",2.1 months/1 day/11 days,2026-02-23/2025-11-25/2025-12-09,26.59%,-1.07%,27.65%,0.13,0.14,169.6344/174.7457/168.77/No Horizontal Resistance/395.5515/453.696/No Moving Avg Target,No Recent Minima/67.495/138.4263/108.0763/No F-Track Level/No F-Track Level/134.84,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"PLTR, Long, 2025-11-24 (Price: 162.25)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 7","Daily, is CONFIRMED on 2025-11-24",Already confirmed,"2025-11-24 (Price: 162.25), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,19.0%/3.53%/11.32%,"14.06%, 15.26%",17 days/1 day/5 days,2025-12-18/2025-11-25/2025-12-01,20.7%,64.21%,-43.51%,0.68,1.53,206.4469/180.6167/193.53/No Horizontal Resistance/232.7649/248.6965/No Moving Avg Target,154.85/7.205/156.1054/148.2704/No F-Track Level/No F-Track Level/139.85,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"BTC-USD, Long, 2025-11-23 (Price: 86805.0078)",No Exit Yet,"0.72%, 1 day","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-11-23",No Cancellation Possible,"2025-11-25 (Price: 87432.1719), 0.72% above",1 day,No Information,No Information,No Information,No Information,No Information,No Information,19.05%/5.04%/8.14%,"14.07%, 15.29%",1 month/0 days/8 days,2026-01-05/2025-11-23/2025-12-04,54.01%,49.41%,4.61%,0.19,0.92,90737.2747/93870.9354/91145.26/124582.2656/122105.3521/133759.1807/110057.95,No Recent Minima/18304.4229/76786.0499/48777.0949/No F-Track Level/No F-Track Level/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"TSM, Long, 2025-11-20 (Price: 277.5)",No Exit Yet,"2.57%, 2 days","100.0%, Past 5 years, 40","Daily, was CONFIRMED on 2025-11-20",Already confirmed,"2025-11-24 (Price: 284.64), 2.57% above",2 days,No Information,No Information,No Information,"23.66% (Price: 269.4634), 5.63% above, Upmove Bounce Back","2025-04-07 (Price: 134.25), 2025-10-16 (Price: 311.37)",No Information,80.74%/3.58%/25.44%,"-0.0%, 57.14%",2.2 years/1 month/7.1 months,2029-01-08/2026-01-02/2026-09-23,11.13%,26.78%,-15.65%,0.69,0.86,280.608/348.096/383.77/No Horizontal Resistance/334.306/349.9895/No Moving Avg Target,227.33/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/224.94,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
BAND MATRIX,"MSFT, Long, 2025-11-20 (Price: 478.43)",No Exit Yet,"-0.93%, 2 days","100.0%, Past 5 years, 5","Daily, was CONFIRMED on 2025-11-20",No Cancellation Possible,"2025-11-24 (Price: 474.0), 0.93% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,27.97%/11.17%/20.93%,"0%, 37.56%",1.3 year/1.5 month/7 months,2027-10-04/2026-01-22/2026-09-20,24.07%,18.64%,5.43%,3.13,0.73,528.9522/578.5654/553.76/No Horizontal Resistance/553.3726/615.9924/No Moving Avg Target,450.18/216.39/386.873/350.287/No F-Track Level/No F-Track Level/466.89,82.61%/69/4.1 months (Across ALL Assets),75.98%/254/3.7 months (Across ALL Assets)
FRACTAL TRACK,"META, Short, 2025-11-25 (Price: 613.05)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 5","Monthly, was CONFIRMED on 2025-11-07",No Cancellation Possible,"2025-11-25 (Price: 613.05), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 628.6993), 2.49% below, Upmove Break Below","2022-11-30 (Price: 88.09), 2025-08-31 (Price: 796.25)",No Information,32.63%/3.19%/11.97%,"-0.0%, 32.63%",2.2 months/20 days/1.2 month,2026-02-27/2025-12-23/2026-01-17,94.49%,5.3%,89.19%,0.68,0.8,547.9441/539.6679/188.15/280.19/591.2141/491.5059/No Moving Avg Target,773.44/280.19/591.2141/491.5059/628.6993/525.7329/674.28,85.71%/7/1.5 month (Across ALL Assets),38.89%/18/2.4 months (Across ALL Assets)
