Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"NFLX, Long, 2025-12-12 (Price: 95.19)",Daily,No Exit Yet,No Price Target,2026-01-07 (Max),8.95%/12.32%,"-6.02%, 28 days","2026-01-09 (Price: 89.46), 6.02% below",100.4826 (Historic Rise or Fall to Pivot)/101.3393 (Avg % Gain of Historic Winning trades)/100.91 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/113.23 (EMA 200)/107.0507 (Backtested Max)/97.465 (Backtested Min),No Next Date Target,92.71/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,8.49%,10.45%,-1.96%,0.17,0.53,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2025-12-29 (Price: 94.15)",Daily,No Exit Yet,No Price Target,2026-01-08 (Min),5.72%/7.61%,"-4.98%, 11 days","2026-01-09 (Price: 89.46), 4.98% below",96.2684 (Historic Rise or Fall to Pivot)/97.2758 (Avg % Gain of Historic Winning trades)/103.57 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/113.4 (EMA 200)/100.8817 (Backtested Max)/94.5737 (Backtested Min),2026-04-29 (Max)/2026-03-04 (Avg),93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 4 years, 17",No Information,No Information,No Information,No Information,No Information,5.3% below/4.98% below/4.98% below,7.15%/0.45%/3.32%,"0.57%, 20.2%",2.8 months/7 days/1.5 month,16.89%,16.03%,0.86%,1.0,0.73,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2025-05-31 (Price: 120.723)",Monthly,No Exit Yet,No Price Target,2026-01-07 (Min),52.95%/55.77%,"-25.9%, 7.4 months","2026-01-09 (Price: 89.46), 25.9% below",191.5391 (Historic Rise or Fall to Pivot)/157.4228 (Avg % Gain of Historic Winning trades)/181.31 (Exit Rule)/139.352 (F-Stack 2)/178.5372 (Backtested Max)/136.8274 (Backtested Min),2027-07-22 (Max)/2026-06-30 (Avg),17.49/34.8663/100.8852/86.4764/No F-Track Level/No F-Track Level/89.19,"100.0%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,20.95% below/21.42% below/25.9% below,47.89%/13.34%/30.4%,"-0.0%, 41.88%",1.5 year/5.1 months/9.1 months,18.72%,22.73%,-4.01%,1.4,0.91,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-28 (Price: 144.74)",Weekly,No Exit Yet,No Price Target,2026-01-07 (Min),5.25%/7.54%,"-1.98%, 12 days","2026-01-09 (Price: 141.87), 1.98% below",152.9468 (Historic Rise or Fall to Pivot)/152.5704 (Avg % Gain of Historic Winning trades)/152.76 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/155.35 (EMA 200)/158.6929 (Backtested Max)/149.3138 (Backtested Min),2026-10-19 (Max)/2026-03-24 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.41%,"0%, 10.64%",6.8 months/7 days/2 months,7.35%,3.94%,3.41%,1.98,0.16,93.75%/16/3.4 months (Across ALL Assets),87.5%/104/2.3 months (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-10-02 (Price: 152.05)",Daily,No Exit Yet,No Price Target,2026-01-09 (Avg),8.08%/9.5%,"-6.7%, 3.3 months","2026-01-09 (Price: 141.87), 6.7% below",155.6384 (Historic Rise or Fall to Pivot)/162.6023 (Avg % Gain of Historic Winning trades)/186.6499 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/155.35 (EMA 200)/175.5873 (Backtested Max)/153.3272 (Backtested Min),2026-05-20 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13","-3.12, 82.15",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.45%/55/4.2 months (Across ALL Assets),74.3%/214/3.9 months (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2025-12-31 (Price: 36.54)",Daily,No Exit Yet,No Price Target,2026-01-08 (Min),11.23%/13.2%,"-9.41%, 9 days","2026-01-09 (Price: 33.1), 9.41% below",38.8968 (Historic Rise or Fall to Pivot)/37.8372 (Avg % Gain of Historic Winning trades)/37.47 (Exit Rule)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/38.9626 (Backtested Max)/36.8177 (Backtested Min),2026-02-21 (Max)/2026-01-31 (Avg),35.13/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.17,"85.71%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,8.92% below/9.41% below/9.41% below,6.63%/0.76%/3.55%,"0.81%, 14.63%",1.2 month/6 days/22 days,14.01%,1.7%,12.31%,1.17,0.11,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets)
TRENDPULSE,"HDB, Long, 2025-05-31 (Price: 37.695)",Monthly,No Exit Yet,No Price Target,2026-01-07 (Min),17.38%/21.97%,"-12.19%, 7.4 months","2026-01-09 (Price: 33.1), 12.19% below",40.5485 (Historic Rise or Fall to Pivot)/43.1834 (Avg % Gain of Historic Winning trades)/42.95 (Exit Rule)/38.8512 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/45.0342 (Backtested Max)/40.3713 (Backtested Min),2027-12-25 (Max)/2027-04-08 (Avg),26.75/25.82/32.7076/21.1884/No F-Track Level/No F-Track Level/32.11,"100.0%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,12.19% below/9.72% below/12.19% below,19.47%/7.1%/14.56%,"-0.0%, 63.31%",1.8 year/5.1 months/1.3 year,10.0%,11.88%,-1.88%,1.34,0.59,95.24%/63/1 year (Across ALL Assets),74.68%/158/8.8 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",Weekly,No Exit Yet,173.124 (Backtested Min),No Date Target,0.93%/2.48%,"5.4%, 19 days","2026-01-09 (Price: 173.79), 5.4% above",175.3993 (Historic Rise or Fall to Pivot)/183.3301 (Avg % Gain of Historic Winning trades)/215.83 (Exit Rule)/178.0989 (F-Stack 1)/194.7923 (F-Stack 2)/209.546 (Backtested Max),2026-06-30 (Max)/2026-02-11 (Min)/2026-04-12 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,"86.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,5.4% above/5.4% above/5.4% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-09-21 (Price: 148.53)",Weekly,2026-01-09 (Price: 173.79) (Today),No Price Target,2026-01-11 (Avg),2.48%/7.77%,"17.01%, 3.7 months","2026-01-09 (Price: 173.79), 17.01% above",187.3 (Exit Rule)/178.0989 (F-Stack 2)/188.7668 (Backtested Max),2026-03-31 (Max)/2026-01-11 (Avg),82.12/48.855/125.9496/92.3678/No F-Track Level/No F-Track Level/111.59,"86.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,17.01% above/17.01% above/17.01% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets)
FRACTAL TRACK,"MEL.NZ, Long, 2025-05-31 (Price: 5.49)",Monthly,No Exit Yet,No Price Target,2026-01-07 (Min),18.36%/19.61%,"3.1%, 7.4 months","2026-01-09 (Price: 5.66), 3.1% above",7.0036 (Avg % Gain of Historic Winning trades)/6.77 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/7.3489 (Backtested Max)/6.6989 (Backtested Min),2029-09-11 (Max)/2028-02-15 (Avg),5.48/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 12 years, 5",No Information,No Information,No Information,"78.6% (Price: 5.2119), 8.6% above, Upmove Bounce Back","2023-10-31 (Price: 4.755), 2024-07-31 (Price: 6.89)",No Information,33.86%/22.02%/27.57%,"-0.0%, 18.2%",3 years/5.1 months/1.9 year,15.8%,7.62%,8.18%,1.15,0.44,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets)
