"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"TCS.NS, Long, 2025-11-11 (Price: 3047.0)",No Exit Yet,"0.0%, 0 days","96.97%, Past 4 years, 33","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 3047.0), 0.0% below",0 days,"0, 2024-01-15 (Price: 3903.8)",2025-11-07 (Price: 2991.8),2025-11-11 (Price: 3047.0),2/0/0 days,1.85% above/0.0% below/0.0% below,2024-01-15 (Price: 5919.3469)/2025-11-11 (Price: 2966.7959),13.38%/0.84%/4.51%,"12.98%, 25.8%",93 days/5 days/15 days,2026-03-25/2025-11-18/2025-12-02,36.95%,5.27%,31.68%,0.86,0.17,3133.8395/3184.4197/3561.08/4543.575/No Next Fib Ext/No Next Fib Ext,2990.2/2923.4601/No F-Stack Support/No F-Stack Support/4970.8692/5203.5455,3035.6/3362.93,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"NIFTY_MIDCAP_100.NS, Long, 2025-11-11 (Price: 60427.0)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 48","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 60427.0), 0.0% below",0 days,"6, 2025-06-05 (Price: 58303.0)",2025-11-07 (Price: 59843.1484),2025-11-11 (Price: 60427.0),2/0/0 days,0.98% above/0.0% below/0.0% below,2025-06-05 (Price: 59998.3505)/2025-11-11 (Price: 58902.0756),4.39%/0.64%/2.63%,"10.85%, 21.42%",71 days/4 days/16 days,2026-02-21/2025-11-16/2025-12-04,15.67%,23.17%,-7.5%,0.55,1.11,62590.2866/62016.2301/61701.4/No Horizontal Resistance/72577.1591/79594.0726,59468.6/24894.2998/51420.3721/37395.584/60987.064/61613.3813,58472.35/55792.17,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"INDA, Long, 2025-11-11 (Price: 54.74)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2025-11-11",Already confirmed,"2025-11-11 (Price: 54.74), 0.0% below",0 days,"0, 2024-01-26 (Price: 49.19)",2025-11-07 (Price: 53.75),2025-11-11 (Price: 54.74),2/0/0 days,1.84% above/0.0% below/0.0% below,2024-01-26 (Price: 60.4616)/2025-11-11 (Price: 53.8796),3.11%/0.82%/1.79%,"6.22%, 16.49%",25 days/4 days/14 days,2025-12-17/2025-11-16/2025-12-01,6.14%,7.37%,-1.22%,0.22,0.26,55.3586/55.7198/58.07/55.3633/60.4014/73.8934,53.62/39.06/52.5567/48.6731/56.999/57.6068,53.48/52.74,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BPCL.NS, Long, 2025-11-09 (Price: 367.15)",2025-11-11 (Price: 374.15) (Today),"1.91%, 1 days","81.25%, Past 10 years, 32","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-11 (Price: 374.15), 1.91% above",1 days,"0, 2021-07-18 (Price: 224.0)",2025-11-02 (Price: 356.8),2025-11-07 (Price: 367.15),6/2/1 days,4.86% above/1.91% above/1.91% above,2021-07-18 (Price: 448.87)/2025-11-09 (Price: 351.2762),29.59%/1.78%/11.46%,"32.02%, 47.09%",174 days/19 days/61 days,2026-07-19/2025-12-06/2026-02-05,12.02%,12.45%,-0.44%,0.38,0.44,385.3239/409.2254/453.04/No Horizontal Resistance/372.4081/393.108,308.2/145.35/353.1485/295.7614/No F-Track Level/No F-Track Level,334.31/308.45,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-09 (Price: 83.75)",2025-11-11 (Price: 83.78) (Today),"0.04%, 1 days","93.94%, Past 10 years, 33","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-11 (Price: 83.78), 0.04% above",1 days,"6, 2024-06-23 (Price: 85.96)",2025-11-09 (Price: 83.75),2025-11-06 (Price: 81.86),1/3/1 days,0.04% above/2.35% above/0.04% above,2024-06-23 (Price: 99.5)/2025-11-09 (Price: 77.9),23.9%/1.55%/9.36%,"6.63%, 46.57%",259 days/24 days/49 days,2026-11-19/2025-12-13/2026-01-18,20.93%,17.49%,3.44%,1.4,0.68,88.8671/91.589/85.08/84.3925/95.0177/123.2166,76.55/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.48/74.69,95.35%/129/94 days (Across ALL Assets),78.95%/266/76 days (Across ALL Assets)
"XLE, Long, 2025-11-07 (Price: 89.54)",2025-11-11 (Price: 91.53) (Today),"2.22%, 2 days","93.75%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-11 (Price: 91.53), 2.22% above",2 days,"2, 2025-09-18 (Price: 89.71)",2025-11-06 (Price: 88.27),2025-11-07 (Price: 89.54),3/2/2 days,3.69% above/2.22% above/2.22% above,2025-09-18 (Price: 93.9679)/2025-11-07 (Price: 87.6205),7.08%/0.4%/4.15%,"17.64%, 40.87%",85 days/4 days/18 days,2026-03-10/2025-11-12/2025-12-03,35.75%,6.1%,29.65%,0.6,0.24,92.2889/93.2559/89.64/98.445/108.2743/117.7423,87.19/45.695/89.0231/74.9996/No F-Track Level/No F-Track Level,88.4/86.85,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"FPH.NZ, Long, 2025-11-07 (Price: 38.5)",2025-11-11 (Price: 38.1) (Today),"-1.04%, 2 days","75.86%, Past 4 years, 58","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-11 (Price: 38.1), 1.04% below",2 days,"2, 2025-08-14 (Price: 37.25)",2025-11-07 (Price: 38.5),2025-11-07 (Price: 38.5),2/2/2 days,1.04% below/1.04% below/1.04% below,2025-08-14 (Price: 39.1758)/2025-11-07 (Price: 37.6537),11.99%/0.47%/4.38%,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-22/2025-11-14/2025-12-19,0%,10.77%,0%,-0.18,0.39,39.7821/40.1863/39.25/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level,37.05/36.01,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"JPM, Long, 2025-11-06 (Price: 313.42)",2025-11-11 (Price: 315.62) (Today),"0.7%, 3 days","97.62%, Past 4 years, 42","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-11 (Price: 315.62), 0.7% above",3 days,"2, 2025-09-17 (Price: 311.75)",2025-11-04 (Price: 309.25),2025-11-06 (Price: 313.42),5/3/3 days,2.06% above/0.7% above/0.7% above,2025-09-17 (Price: 321.9367)/2025-11-06 (Price: 304.2667),10.64%/1.12%/4.24%,"2.79%, 16.83%",71 days/4 days/19 days,2026-02-16/2025-11-11/2025-12-03,52.95%,15.43%,37.52%,1.31,0.55,315.5513/326.709/314.42/No Horizontal Resistance/328.9175/381.492,294.11/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level,305.92/275.77,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"LYFT, Long, 2025-11-06 (Price: 21.25)",2025-11-11 (Price: 24.18) (Today),"13.79%, 3 days","91.43%, Past 4 years, 35","Daily, is CONFIRMED on 2025-11-06",Already confirmed,"2025-11-11 (Price: 24.18), 13.79% above",3 days,"2, 2025-09-17 (Price: 22.84)",2025-11-05 (Price: 20.08),2025-11-06 (Price: 21.25),4/3/3 days,20.42% above/13.79% above/13.79% above,2025-09-17 (Price: 23.7839)/2025-11-06 (Price: 19.8392),46.32%/1.28%/12.74%,"52.91%, 72.52%",77 days/4 days/24 days,2026-02-25/2025-11-11/2025-12-10,43.3%,-10.85%,54.15%,0.48,0.14,22.4145/23.9572/22.2/57.19/81.0416/101.3843,19.42/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,20.17/15.49,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"SJ.TO, Long, 2025-11-05 (Price: 82.96)",2025-11-11 (Price: 83.78) (Today),"0.99%, 4 days","80.56%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-11 (Price: 83.78), 0.99% above",4 days,"8, 2025-04-09 (Price: 65.83)",2025-11-05 (Price: 82.96),2025-11-05 (Price: 82.96),4/4/4 days,0.99% above/0.99% above/0.99% above,2025-04-09 (Price: 85.2402)/2025-11-05 (Price: 79.4912),12.01%/1.22%/4.01%,"21.83%, 34.43%",119 days/4 days/21 days,2026-04-26/2025-11-10/2025-12-05,8.72%,13.33%,-4.61%,0.22,0.49,84.6524/86.2867/93.24/84.3925/95.0177/123.2166,78.12/38.015/66.807/60.0601/No F-Track Level/No F-Track Level,79.24/74.59,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
