"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GOOG, Long, 2025-11-28 (Price: 320.12)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 26","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 320.12), 0.0% below",0 days,"2, 2025-05-18 (Price: 167.43)",2025-11-23 (Price: 299.65),2025-11-24 (Price: 318.47),4/4/0 days,6.83% above/0.52% above/0.0% below,2025-05-18 (Price: 168.6944)/2025-11-28 (Price: 304.0583),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-06-02/2026-01-01/2026-02-04,35.83%,21.1%,14.73%,1.74,0.79,353.2204/346.3058/411.73/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,147.74/84.51/243.1061/191.2921/270.6509/234.996/203.2,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 1007.6), 0.0% below",0 days,"2, 2025-10-08 (Price: 978.7)",2025-11-26 (Price: 1003.9),2025-11-28 (Price: 1007.6),2/0/0 days,0.37% above/0.0% below/0.0% below,2025-10-08 (Price: 1035.8571)/2025-11-28 (Price: 980.5714),9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,2026-03-05/2025-12-03/2026-01-07,48.18%,7.98%,40.2%,1.18,0.29,1018.6836/1051.8336/1024.94/1009.6/1299.7536/1565.406/No Moving Avg Target,982.3/640.9/976.4995/762.8018/940.3577/891.107/956.63,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WPM.TO, Long, 2025-11-28 (Price: 153.47)",No Exit Yet,"0.0%, 0 days","93.33%, Past 4 years, 30","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 153.47), 0.0% below",0 days,"2, 2025-10-08 (Price: 149.62)",2025-11-27 (Price: 149.43),2025-11-28 (Price: 153.47),1/0/0 days,2.7% above/0.0% below/0.0% below,2025-10-08 (Price: 162.3768)/2025-11-28 (Price: 148.4316),16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,2026-04-13/2025-12-03/2025-12-22,31.81%,24.47%,7.34%,0.41,0.82,159.2251/161.343/155.78/No Horizontal Resistance/177.4321/184.9838/No Moving Avg Target,139.91/52.782/150.6362/140.1747/134.8186/119.0732/125.98,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"DBC, Long, 2025-11-28 (Price: 23.06)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 23.06), 0.0% below",0 days,"0, 2024-02-13 (Price: 22.14)",2025-11-26 (Price: 22.76),2025-11-28 (Price: 23.06),2/0/0 days,1.32% above/0.0% below/0.0% below,2024-02-13 (Price: 25.0597)/2025-11-28 (Price: 22.7435),5.33%/1.09%/2.64%,"7.94%, 13.15%",2.4 months/4 days/19 days,2026-03-10/2025-12-03/2025-12-25,11.28%,6.28%,5.0%,0.33,0.21,23.4889/23.6688/23.61/28.58/48.2362/53.5099/No Moving Avg Target,22.52/19.55/No F-Stack Support/No F-Stack Support/23.7971/24.2624/22.08,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"TD, Long, 2025-11-28 (Price: 83.93)",No Exit Yet,"0.0%, 0 days","82.35%, Past 4 years, 34","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 83.93), 0.0% below",0 days,"2, 2025-09-30 (Price: 79.95)",2025-11-26 (Price: 83.44),2025-11-28 (Price: 83.93),2/0/0 days,0.59% above/0.0% below/0.0% below,2025-09-30 (Price: 82.1443)/2025-11-28 (Price: 83.3293),8.23%/0.22%/2.92%,"19.84%, 40.97%",2.4 months/4 days/11 days,2026-03-10/2025-12-03/2025-12-13,2.49%,5.91%,-3.43%,0.02,0.2,86.9179/86.3808/86.32/No Horizontal Resistance/92.1326/106.6129/No Moving Avg Target,81.32/54.526/76.2219/67.0746/77.0128/75.6468/70.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"WPM, Long, 2025-11-28 (Price: 110.05)",No Exit Yet,"0.0%, 0 days","97.22%, Past 4 years, 36","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 110.05), 0.0% below",0 days,"2, 2025-10-08 (Price: 107.21)",2025-11-26 (Price: 106.76),2025-11-28 (Price: 110.05),2/0/0 days,3.08% above/0.0% below/0.0% below,2025-10-08 (Price: 116.064)/2025-11-28 (Price: 105.84),15.63%/0.69%/6.07%,"14.18%, 36.59%",5.4 months/4 days/28 days,2026-07-20/2025-12-03/2026-01-07,37.84%,23.17%,14.67%,1.01,0.77,115.1783/116.73/111.75/No Horizontal Resistance/119.4321/129.2378/No Moving Avg Target,99.27/38.3375/102.4252/95.3086/96.3808/85.3318/90.49,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"ATZ.TO, Long, 2025-11-28 (Price: 110.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 18","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 110.5), 0.0% below",0 days,"2, 2025-05-18 (Price: 66.25)",2025-11-23 (Price: 105.95),2025-11-24 (Price: 108.23),4/4/0 days,4.29% above/2.1% above/0.0% below,2025-05-18 (Price: 68.8719)/2025-11-28 (Price: 102.2504),31.79%/5.83%/20.18%,"0%, 57.81%",9.5 months/24 days/4.5 months,2027-01-13/2026-01-01/2026-06-12,25.42%,20.42%,5.0%,2.19,0.65,113.7708/132.7989/137.05/No Horizontal Resistance/111.7977/164.6254/No Moving Avg Target,41.91/32.3325/79.1477/388.4085/91.002/77.6063/72.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"EFN.TO, Long, 2025-11-28 (Price: 37.23)",No Exit Yet,"0.0%, 0 days","88.89%, Past 10 years, 27","Weekly, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 37.23), 0.0% below",0 days,"0, 2021-08-08 (Price: 14.15)",2025-11-23 (Price: 36.72),2025-11-28 (Price: 37.23),4/0/0 days,1.39% above/0.0% below/0.0% below,2021-08-08 (Price: 13.1784)/2025-11-28 (Price: 35.8961),26.0%/1.9%/9.06%,"53.48%, 76.43%",4.3 months/24 days/1.8 month,2026-06-02/2026-01-01/2026-02-15,4.38%,15.83%,-11.45%,0.07,0.55,39.3074/40.603/51.08/No Horizontal Resistance/48.884/73.5584/No Moving Avg Target,34.92/11.7733/33.6344/24.2096/30.6746/26.0131/33.64,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"NA.TO, Long, 2025-11-28 (Price: 168.95)",No Exit Yet,"0.0%, 0 days","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2025-11-28",Already confirmed,"2025-11-28 (Price: 168.95), 0.0% below",0 days,"8, 2025-05-05 (Price: 122.46)",2025-11-28 (Price: 168.95),2025-11-28 (Price: 168.95),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-05-05 (Price: 132.3092)/2025-11-28 (Price: 167.9913),4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,2026-02-28/2025-12-03/2025-12-22,18.74%,14.44%,4.3%,1.0,0.56,173.2751/173.0724/196.84/No Horizontal Resistance/162.0277/185.717/No Moving Avg Target,147.83/82.9367/152.3147/143.1328/154.7108/145.5607/138.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-28 (Price: 1007.6), 0.0% below",0 days,"0, 2020-11-30 (Price: 720.425)",2025-11-28 (Price: 1007.6),2025-11-28 (Price: 1007.6),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-11-30 (Price: 763.4559)/2025-11-28 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-10/2026-05-01/2026-09-12,15.97%,19.29%,-3.32%,0.9,0.75,1134.6584/1252.6483/1179.9/1009.6/1299.7536/1565.406/No Moving Avg Target,701.7/640.9/976.4995/762.8018/940.3577/891.107/956.63,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
