"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"0.0%, 0 days","76.47%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 24.43), 0.0% below",0 days,"6, 2025-05-13 (Price: 21.62)",2026-02-17 (Price: 23.59),2026-02-19 (Price: 24.43),2/0/0 days,3.56% above/0.0% below/0.0% below,2025-05-13 (Price: 21.62)/2026-02-19 (Price: 23.9265),5.33%/0.43%/2.56%,"7.94%, 13.15%",3.3 months/6 days/25 days,2026-07-12/2026-02-27/2026-03-27,5.47%,5.95%,-0.48%,0.25,0.32,25.1189/25.0554/26.12/28.58/48.2362/53.5099/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/24.2624/No support/22.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),24.29
"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 82.76), 0.0% below",0 days,"0, 2025-06-18 (Price: 76.48)",2026-02-18 (Price: 81.9958),2026-02-19 (Price: 82.76),1/0/0 days,0.93% above/0.0% below/0.0% below,2025-06-18 (Price: 76.48)/2026-02-19 (Price: 81.7253),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-08/2026-02-27/2026-04-03,9.0%,11.01%,-2.01%,1.78,0.74,87.1132/84.6387/86.53/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/81.7326/77.3096/76.71,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),82.05
"IFT.NZ, Long, 2026-02-19 (Price: 11.08)",No Exit Yet,"0.0%, 0 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 11.08), 0.0% below",0 days,"4, 2025-11-13 (Price: 12.85)",2026-02-18 (Price: 11.02),2026-02-19 (Price: 11.08),1/0/0 days,0.54% above/0.0% below/0.0% below,2025-11-13 (Price: 12.85)/2026-02-19 (Price: 10.8629),9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-07-12/2026-02-27/2026-04-07,15.16%,8.14%,7.02%,0.86,0.43,11.5819/11.5354/12.14/12.825/13.8771/15.9169/11.54,10.74/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),10.99
"CNQ.TO, Long, 2026-02-19 (Price: 58.23)",No Exit Yet,"0.0%, 0 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-02-19 (Price: 58.23), 0.0% below",0 days,"2, 2020-02-05 (Price: 19.3242)",2026-02-17 (Price: 55.38),2026-02-19 (Price: 58.23),2/0/0 days,5.15% above/0.0% below/0.0% below,2020-02-05 (Price: 19.3242)/2026-02-19 (Price: 54.7134),7.83%/0.32%/3.94%,"11.63%, 29.81%",1.5 month/4 days/11 days,2026-04-25/2026-02-24/2026-03-06,17.54%,12.66%,4.88%,0.1,0.6,62.2246/60.5243/81.57/No Horizontal Resistance/57.5622/59.9244/No EMA 200 Target,42.38/34.9317/49.3199/44.0597/46.2372/38.3447/44.98,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),57.83
"SOXX, Long, 2026-02-19 (Price: 355.84)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.37 prior to 2026-02-27,"2026-02-19 (Price: 355.84), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-19 (Price: 355.84),19/0/0 days,2.75% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-19 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-08/2026-09-24/2026-11-15,-3.22%,7.76%,-10.98%,0.06,0.4,407.3656/410.3903/554.04/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/314.0212/282.4593/272.66,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),342.37
"SLV, Long, 2026-02-19 (Price: 71.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-19 (Price: 71.01), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-18 (Price: 70.09),50/1/0 days,10.23% above/1.31% above/0.0% below,2008-03-31 (Price: 20.73)/2026-02-19 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2032-12-26 (Max),9.45%,6.73%,2.72%,0.47,0.33,94.2232/122.4567/101.18/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/No support/60.345/46.62,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-19 (Price: 49395.1602)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-19 (Price: 49395.1602), 0.0% below",0 days,"2, 2000-03-31 (Price: 11750.2803)",2026-02-19 (Price: 49395.1602),2026-02-06 (Price: 50115.6719),0/13/0 days,0.0% below/1.44% below/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-19 (Price: 48764.9837),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-18 (Max),7.15%,5.81%,1.34%,1.43,0.34,56967.4383/68945.7646/71982.09/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,28725.51/32009.8867/39844.8882/32997.1394/47223.8106/45202.6041/45947.43,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),48105.9805
"BNS.TO, Long, 2026-02-19 (Price: 104.34)",No Exit Yet,"0.0%, 0 days","100.0%, Past 194 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 101.58 prior to 2026-03-31,"2026-02-19 (Price: 104.34), 0.0% below",0 days,"2, 2022-03-31 (Price: 95.0)",2025-09-30 (Price: 89.99),2026-01-21 (Price: 102.06),142/29/0 days,15.95% above/2.23% above/0.0% below,2022-03-31 (Price: 95.0)/2026-02-19 (Price: 73.3855),22.63%/5.06%/9.45%,"-0.0%, 41.59%",5.1 years/1.5 year/4.2 years,2033-05-30/2028-04-11/2032-02-18,5.69%,6.38%,-0.69%,0.82,0.34,115.1392/114.2001/109.94/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,60.88/62.2517/95.6649/90.1456/94.2174/86.786/87.45,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),101.58
"XLU, Long, 2026-02-19 (Price: 46.11)",No Exit Yet,"0.0%, 0 days","81.25%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.4165 prior to 2026-02-27,"2026-02-19 (Price: 46.11), 0.0% below",0 days,"4, 2020-02-29 (Price: 35.55)",2026-02-19 (Price: 46.11),2026-02-09 (Price: 43.48),0/10/0 days,0.0% below/6.05% above/0.0% below,2020-02-29 (Price: 35.55)/2026-02-19 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2030-12-27/2026-09-28/2028-06-02,2.88%,2.86%,0.02%,-0.05,0.05,49.5268/49.393/52.45/No Horizontal Resistance/60.8844/89.6256/No EMA 200 Target,29.46/29.8725/43.1213/32.1431/42.4163/39.5534/42.78,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-19 (Price: 55.18)",No Exit Yet,"0.0%, 0 days","84.62%, Past 20 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 50.1 prior to 2026-02-27,"2026-02-19 (Price: 55.18), 0.0% below",0 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),19/16/0 days,8.09% above/6.79% above/0.0% below,2022-06-30 (Price: 46.655)/2026-02-19 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2032-12-26/2027-05-03/2028-09-14,6.1%,3.44%,2.66%,0.63,0.15,60.2897/67.9431/60.3/No Horizontal Resistance/53.4027/56.9104/No EMA 200 Target,40.25/22.8475/47.8423/43.779/45.3655/38.9039/44.73,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),50.1
