Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-12-04 (Price: 178.88)",Daily,No Exit Yet,No Price Target,2025-12-09 (Min),2.58%/3.95%,"-1.44%, 1 day","2025-12-05 (Price: 176.3), 1.44% below",186.0889 (Historic Rise or Fall to Pivot)/187.502 (Avg % Gain of Historic Winning trades)/192.3 (Exit Rule)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/183.27 (Moving Avg)/197.8949 (Backtested Best)/180.8477 (Backtested Worst),2026-03-16 (Max)/2025-12-09 (Min)/2026-01-01 (Avg),170.26/125.3967/176.1333/151.1683/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.29%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,1.58% above/1.44% below/1.44% below,10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,7.29%,9.5%,-2.21%,0.1,0.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",Daily,No Exit Yet,No Price Target,2025-12-04 (Min),4.45%/4.53%,"0.52%, 3 days","2025-12-05 (Price: 182.41), 0.52% above",194.7247 (Historic Rise or Fall to Pivot)/200.0597 (Avg % Gain of Historic Winning trades)/190.53 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/220.8368 (Backtested Best)/190.6782 (Backtested Worst),2026-02-19 (Max)/2025-12-15 (Avg),No Recent Minima/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/154.74,"86.84%, Past 6 years, 38",No Information,No Information,No Information,No Information,No Information,No Information,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month/2 days/9 days,166.42%,81.52%,84.9%,0.34,2.03,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"CNR.TO, Long, 2025-12-01 (Price: 133.81)",Daily,No Exit Yet,No Price Target,2025-12-06 (Min),1.35%/9.69%,"1.47%, 4 days","2025-12-05 (Price: 135.78), 1.47% above",137.6102 (Avg % Gain of Historic Winning trades)/158.48 (Exit Rule)/173.435 (Horizontal)/218.156 (F-Stack 1)/349.4971 (F-Stack 2)/148.9305 (Backtested Best),2026-02-24 (Max)/2025-12-06 (Min)/2025-12-15 (Avg),128.08/127.762/86.815/55.8095/No F-Track Level/No F-Track Level/No Moving Avg Support,"86.11%, Past 4 years, 36",No Information,No Information,No Information,No Information,No Information,3.0% above/1.47% above/1.47% above,11.3%/0.17%/2.84%,"18.84%, 26.48%",2.0 month/4 days/10 days,10.09%,1.42%,8.67%,0.18,-0.02,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),0.63%/1.35%,"-0.43%, 5 days","2025-12-05 (Price: 1003.3), 0.43% below",1018.6836 (Historic Rise or Fall to Pivot)/1051.8336 (Avg % Gain of Historic Winning trades)/1024.94 (Exit Rule)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1104.8334 (Backtested Best)/1016.8699 (Backtested Worst),2026-03-05 (Max)/2026-01-07 (Avg),982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,0.06% below/0.43% below/0.43% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),1.35%/1.47%,"1.07%, 5 days","2025-12-05 (Price: 170.76), 1.07% above",173.2751 (Historic Rise or Fall to Pivot)/173.0724 (Avg % Gain of Historic Winning trades)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Best),2026-02-28 (Max)/2025-12-22 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"93.1%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,1.07% above/1.07% above/1.07% above,4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,18.74%,14.44%,4.3%,1.0,0.56,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),3.87%/4.15%,"-2.54%, 5 days","2025-12-05 (Price: 149.57), 2.54% below",159.2251 (Historic Rise or Fall to Pivot)/161.343 (Avg % Gain of Historic Winning trades)/155.78 (Exit Rule)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/178.0712 (Backtested Best)/155.3577 (Backtested Worst),2026-04-13 (Max)/2025-12-22 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"93.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,0.09% above/2.54% below/2.54% below,16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,31.81%,24.47%,7.34%,0.41,0.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
OSCILLATOR DELTA,"TFII.TO, Long, 2025-11-28 (Price: 121.87)",Daily,2025-12-03 (Price: 129.88),135.5926 (Avg % Gain of Historic Winning trades),No Date Target,18.22%/63.41%,"10.47%, 5 days","2025-12-05 (Price: 134.63), 10.47% above",219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/159.1622 (Backtested Best),2026-02-22 (Max)/2025-12-29 (Avg),No Recent Minima/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.19%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,34.87%,19.04%,15.83%,0.15,0.63,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"ASHR, Long, 2025-11-25 (Price: 32.25)",Daily,No Exit Yet,33.1304 (Backtested Worst),No Date Target,7.23%/14.24%,"2.51%, 10 days","2025-12-05 (Price: 33.06), 2.51% above",35.4492 (Avg % Gain of Historic Winning trades)/38.68 (Exit Rule)/39.9467 (Horizontal)/60.2967 (F-Stack 1)/80.3432 (F-Stack 2)/37.768 (Backtested Best),2026-04-11 (Max)/2026-01-17 (Min)/2026-02-28 (Avg),31.79/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/29.15,"91.3%, Past 5 years, 23",No Information,No Information,No Information,"23.66% (Price: 31.4536), 5.11% above, Upmove Bounce Back","2025-04-07 (Price: 23.27), 2025-10-29 (Price: 33.99)",No Information,17.11%/2.73%/9.92%,"10.44%, 32.83%",3.2 months/1.2 month/2.2 months,1.15%,-2.53%,3.68%,0.04,-0.17,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"SPY, Long, 2025-11-25 (Price: 675.02)",Daily,No Exit Yet,686.2928 (Backtested Worst),No Date Target,11.03%/16.64%,"1.58%, 10 days","2025-12-05 (Price: 685.69), 1.58% above",761.3551 (Avg % Gain of Historic Winning trades)/799.76 (Exit Rule)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/898.0466 (Backtested Best),2028-03-09 (Max)/2026-01-11 (Min)/2026-11-03 (Avg),652.53/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/617.86,"100.0%, Past 5 years, 32",No Information,No Information,No Information,"23.66% (Price: 640.5109), 7.05% above, Upmove Bounce Back","2025-04-07 (Price: 481.8), 2025-10-29 (Price: 689.7)",No Information,33.04%/1.67%/12.79%,"-0.0%, 24.3%",1.6 year/1.1 month/7.9 months,9.91%,14.38%,-4.46%,0.39,0.7,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-24 (Price: 200.28)",Daily,2025-12-04 (Price: 214.33),216.22 (Exit Rule),2025-12-04 (Avg),3.86%/37.91%,"8.64%, 11 days","2025-12-05 (Price: 217.58), 8.64% above",225.9759 (Historic Rise or Fall to Pivot)/300.069 (F-Stack 1)/376.1425 (F-Stack 2),2025-12-22 (Max),198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,"71.43%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,-5.14%,28.08%,-33.22%,-0.21,0.86,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
