"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 33","Daily, is CONFIRMED on 2025-11-12",Already confirmed,"2025-11-12 (Price: 80.26), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 74.9697),7.06% above,"2025-07-24 (Price: 58.5), 2025-10-29 (Price: 85.15)",30.4%/5.7%/13.11%,"-0.0%, 27.13%",225 days/22 days/81 days,2026-10-03/2025-12-13/2026-03-09,30.08%,5.19%,24.9%,0.54,0.19,80.6693/90.7821/96.25/106.045/119.2488/124.7126,76.69/58.425/74.001/62.2235/79.59/81.2609,77.47/68.2,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SOXX, Long, 2025-11-12 (Price: 299.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-12 (Price: 299.67), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),102.48% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-15/2028-09-15/2028-09-15,19.89%,12.73%,7.15%,0.33,0.46,313.4249/499.0405/396.9/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,280.44/232.32,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-12 (Price: 152.82)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-12 (Price: 152.82), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),20.34% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-08/2040-08-08/2040-08-08,8.26%,6.44%,1.82%,0.48,0.22,149.3051/622.1302/235.63/No Horizontal Resistance/174.1807/202.706,24.21/121.6312/117.2225/81.225/167.2798/171.9748,142.02/139.18,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-12 (Price: 245.22)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-12 (Price: 245.22), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),5.35% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-16/2026-10-25/2028-06-27,9.34%,22.33%,-12.98%,0.43,0.63,239.2612/485.0452/334.38/366.6625/374.6319/404.5107,239.37/187.6063/184.3156/1127.9829/347.4556/361.5012,245.24/260.02,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-12 (Price: 245.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-12 (Price: 245.22), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),9.08% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-08-04/2028-09-15/2035-10-12,6.68%,22.24%,-15.57%,0.33,0.55,279.3301/710.3533/419.36/366.6625/374.6319/404.5107,182.62/187.6063/184.3156/1127.9829/347.4556/361.5012,245.24/260.02,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-12 (Price: 1511.5)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-12 (Price: 1511.5), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),14.26% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-08-29/2026-08-21/2029-03-02,8.96%,19.65%,-10.68%,0.38,0.63,1711.1691/3875.3348/2236.59/1531.725/1617.1679/1804.6011,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1416.3/1369.66,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-12 (Price: 1511.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-12 (Price: 1511.5), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),37.29% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-26/2027-09-02/2029-09-28,30.69%,19.15%,11.54%,0.39,0.64,1539.765/6644.1005/2062.18/1531.725/1617.1679/1804.6011,158.4/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1416.3/1369.66,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-12 (Price: 1037.33)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-12 (Price: 1037.33), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),77.88% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-16/2031-04-19/2037-03-29,8.55%,20.11%,-11.56%,0.43,0.61,1316.4755/14754.0483/1528.59/No Horizontal Resistance/1081.4334/1218.8523,415.35/567.0933/998.2461/956.961/1235.8618/1313.1536,970.39/788.72,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"BAC, Long, 2025-11-12 (Price: 54.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 22","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.07 prior to 2025-12-31,"2025-11-12 (Price: 54.11), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 32.8474),64.73% above,"2011-12-31 (Price: 4.92), 2022-03-31 (Price: 50.11)",361.65%/15.25%/133.27%,"-0.0%, 59.29%",4305 days/587 days/1663 days,2042-12-08/2028-03-11/2032-06-16,5.77%,4.61%,1.16%,0.41,0.21,56.4638/126.2224/81.22/No Horizontal Resistance/60.5768/64.246,27.38/29.49/50.5717/44.5293/53.8138/55.585,51.54/46.13,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"INFY, Long, 2025-11-12 (Price: 17.09)",No Exit Yet,"0.0%, 0 days","100.0%, Past 26 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 15.82 prior to 2025-12-31,"2025-11-12 (Price: 17.09), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 15.5656),9.79% above,"2012-09-30 (Price: 4.7413), 2022-03-31 (Price: 26.39)",146.88%/22.51%/84.7%,"-0.0%, 40.77%",1369 days/783 days/1076 days,2031-04-17/2028-12-20/2030-02-17,12.46%,12.49%,-0.03%,0.37,0.38,17.3463/31.5652/30.08/23.796/25.6134/28.2828,16.27/16.074/16.4829/15.2985/16.6189/15.7269,16.77/17.98,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
