"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"WMT, Long, 2026-01-29 (Price: 117.41)",No Exit Yet,"0.0%, 0 days","83.33%, Past 5 years, 18","Daily, is CONFIRMED on 2026-01-29",Already confirmed,"2026-01-29 (Price: 117.41), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 116.2397),1.01% above,"2025-11-14 (Price: 98.88), 2026-01-20 (Price: 121.62)",12.93%/0.49%/9.21%,"1.46%, 23.5%",1.4 year/23 days/3.8 months,2028-01-27/2026-03-03/2026-07-13,27.4%,11.93%,15.47%,1.3,0.75,120.7797/128.2235/131.05/No Horizontal Resistance/114.6382/136.6818/No EMA 200 Target,116.57/43.3466/91.6278/82.681/111.7278/105.6486/102.91,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),116.6
"DIS, Long, 2026-01-29 (Price: 111.58)",No Exit Yet,"0.0%, 0 days","80.0%, Past 64 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 101.89 prior to 2026-01-30,"2026-01-29 (Price: 111.58), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 102.395),8.97% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-28/2026-03-13/2027-05-26,7.35%,7.97%,-0.62%,0.97,0.4,127.9153/137.2657/138.33/168.455/236.8799/272.4142/111.86,90.95/79.415/109.0737/100.3529/No support/No support/No EMA 200 Support,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-29 (Price: 1.3809)",No Exit Yet,"0.0%, 0 days","83.33%, Past 56 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1.3012 prior to 2026-01-30,"2026-01-29 (Price: 1.3809), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1.271),8.65% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-21 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3882/1.4332/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/1.3748/No support/1.34,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),1.3475
"CSCO, Long, 2026-01-29 (Price: 78.43)",No Exit Yet,"0.0%, 0 days","95.0%, Past 20 years, 20","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 72.8 prior to 2026-01-30,"2026-01-29 (Price: 78.43), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 72.2267),8.59% above,"2024-08-18 (Price: 44.5), 2025-12-14 (Price: 80.82)",19.85%/6.3%/15.66%,"9.76%, 43.08%",3.3 years/2.8 months/1.2 year,2030-10-15/2026-05-30/2027-10-16,9.57%,5.27%,4.3%,2.26,0.26,81.379/90.7121/100.22/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,73.88/40.92/73.1467/64.9561/69.3638/62.3236/69.2,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),76.47
"NZDCAD=X, Long, 2026-01-29 (Price: 0.8209)",No Exit Yet,"0.0%, 0 days","76.92%, Past 22 years, 13","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 0.7858 prior to 2026-01-30,"2026-01-29 (Price: 0.8209), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 0.8038),2.13% above,"2023-12-31 (Price: 0.7882), 2024-09-30 (Price: 0.8609)",20.75%/1.64%/9.84%,"3.81%, 24.45%",7.4 years/1 year/3.2 years,2036-08-22/2027-07-04/2030-08-24,0.56%,-0.19%,0.75%,0.44,-0.46,0.8688/0.9017/0.86/0.8586/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,0.79/0.7834/No F-Stack Support/No F-Stack Support/No support/0.817/0.81,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),0.7896
"NVO, Long, 2026-01-29 (Price: 59.33)",No Exit Yet,"0.0%, 0 days","100.0%, Past 44 years, 14","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 43.08 prior to 2026-01-30,"2026-01-29 (Price: 59.33), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 43.8439),35.32% above,"2016-11-30 (Price: 15.445), 2024-06-30 (Price: 148.15)",42.36%/20.21%/26.41%,"-0.0%, 47.55%",3.3 years/4 months/1.3 year,2030-10-15/2026-07-21/2027-12-07,10.33%,9.37%,0.96%,1.75,0.5,72.5843/74.9991/138.95/139.01/159.2295/190.9685/No EMA 200 Target,47.07/45.4025/55.093/52.1958/47.9075/35.154/58.9,84.44%/45/0 days (Across ALL Assets),76.0%/100/0 days (Across ALL Assets),51.61
"XLU, Long, 2026-01-25 (Price: 42.56)",No Exit Yet,"1.81%, 4 days","100.0%, Past 20 years, 19","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-01-29 (Price: 43.33), 1.81% above",4 days,Upmove Bounce Back,38.2% (Price: 42.5398),1.86% above,"2025-04-13 (Price: 35.51), 2025-10-19 (Price: 46.885)",18.94%/4.73%/14.15%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-05-07/2026-07-26/2027-12-03,10.1%,3.65%,6.45%,3.45,0.14,43.773/48.5822/49.39/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.51/29.8725/35.4254/30.3912/No F-Track Level/No F-Track Level/42.42,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),43.12
"BABA, Long, 2026-01-25 (Price: 173.23)",No Exit Yet,"0.59%, 4 days","100.0%, Past 11 years, 7","Weekly, was CONFIRMED on 2026-01-25",Already confirmed,"2026-01-29 (Price: 174.25), 0.59% above",4 days,Upmove Bounce Back,38.2% (Price: 144.5227),20.57% above,"2024-01-28 (Price: 66.63), 2025-10-05 (Price: 192.67)",38.47%/16.72%/24.63%,"-0.0%, 19.88%",9.1 months/2.6 months/4.8 months,2027-02-24/2026-05-17/2026-08-21,20.27%,3.28%,16.99%,1.72,0.23,195.646/215.8965/248.85/No Horizontal Resistance/399.1612/524.2534/No EMA 200 Target,149.79/67.495/144.416/No support/No F-Track Level/No F-Track Level/141.24,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),161.83
"KWEB, Long, 2026-01-18 (Price: 35.71)",No Exit Yet,"1.62%, 11 days","100.0%, Past 12 years, 10","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-01-29 (Price: 36.29), 1.62% above",11 days,Upmove Bounce Back,38.2% (Price: 33.3776),8.73% above,"2022-10-30 (Price: 17.22), 2025-10-05 (Price: 43.365)",30.12%/15.07%/18.33%,"-0.0%, 42.44%",2.3 years/1.6 month/8.6 months,2029-04-29/2026-03-28/2027-01-26,15.72%,2.03%,13.69%,1.19,0.14,33.7102/42.2556/51.4/54.865/112.1402/127.8094/36.59,34.83/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.55%/55/0 days (Across ALL Assets),74.31%/144/0 days (Across ALL Assets),36.765
"DOL.TO, Long, 2026-01-12 (Price: 202.08)",2026-01-27 (Price: 186.36),"-7.78%, 15 days","85.19%, Past 5 years, 27","Daily, was CONFIRMED on 2026-01-12",Already confirmed,"2026-01-29 (Price: 185.27), 8.32% below",17 days,Upmove Bounce Back,23.66% (Price: 201.5134),8.06% below,"2025-10-14 (Price: 174.26), 2025-12-11 (Price: 209.96)",11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,2027-01-07/2026-02-09/2026-05-22,30.23%,20.61%,9.62%,1.18,1.4,210.7492/220.3278/223.5/No Horizontal Resistance/294.0831/455.769/No EMA 200 Target,198.0/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/187.36,94.1%/288/0 days (Across ALL Assets),51.67%/60/0 days (Across ALL Assets),199.44
