Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"TFII.TO, Long, 2025-11-28 (Price: 121.87)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),1.3%/2.55%,"0.0%, 0 days","2025-11-28 (Price: 121.87), 0.0% below",124.9777 (Historic Rise or Fall to Pivot)/135.5926 (Avg % Gain of Historic Winning trades)/127.96 (Exit Rule)/219.9933 (Horizontal)/218.6478 (F-Stack 1)/242.6984 (F-Stack 2)/123.45 (Moving Avg)/159.1622 (Backtested Best)/128.6825 (Backtested Worst),2026-02-22 (Max)/2025-11-29 (Min)/2025-12-29 (Avg),No Recent Minima/102.925/108.3725/94.3258/142.8914/146.3214/No Moving Avg Support,"85.19%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,34.87%,19.04%,15.83%,0.15,0.63,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
OSCILLATOR DELTA,"NZDUSD=X, Long, 2025-11-26 (Price: 0.5624)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),2.86%/3.02%,"1.99%, 2 days","2025-11-28 (Price: 0.5736), 1.99% above",0.5932 (Avg % Gain of Historic Winning trades)/0.62 (Exit Rule)/0.7292 (Horizontal)/0.59 (Moving Avg)/0.5985 (Backtested Best)/0.5909 (Backtested Worst),2026-05-26 (Max)/2025-12-01 (Min)/2026-02-26 (Avg),No Recent Minima/0.5509/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,"72.41%, Past 6 years, 29",No Information,No Information,No Information,No Information,No Information,No Information,6.42%/5.06%/5.47%,"10.82%, 15.4%",4.2 months/4 days/2.1 months,-7.27%,-1.8%,-5.46%,-0.28,-0.54,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),0.81%/2.96%,"0.65%, 2 days","2025-11-28 (Price: 7.75), 0.65% above",8.4384 (Historic Rise or Fall to Pivot)/7.9795 (Avg % Gain of Historic Winning trades)/8.21 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/8.2213 (Backtested Best)/7.8124 (Backtested Worst),2025-12-23 (Max)/2025-12-11 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.69,"100.0%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.46%/3.63%,"0%, 5.4%",19 days/2 days/11 days,15.05%,19.63%,-4.58%,2.34,0.75,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
DELTADRIFT,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-11-27 (Min),0.67%/2.31%,"1.34%, 2 days","2025-11-28 (Price: 492.01), 1.34% above",512.7365 (Historic Rise or Fall to Pivot)/503.3664 (Avg % Gain of Historic Winning trades)/508.05 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/510.8917 (Backtested Best)/495.3071 (Backtested Worst),2026-02-07 (Max)/2025-12-10 (Avg),472.12/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.0,"70.0%, Past 4 years, 10",No Information,No Information,No Information,No Information,No Information,No Information,5.23%/2.02%/3.68%,"8.2%, 14.53%",1.7 month/1 day/10 days,5.17%,11.14%,-5.97%,0.07,0.41,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),3.21%/8.75%,"0.65%, 2 days","2025-11-28 (Price: 7.75), 0.65% above",7.9988 (Historic Rise or Fall to Pivot)/10.0624 (Avg % Gain of Historic Winning trades)/9.88 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/13.6829 (Backtested Best),2029-06-27 (Max)/2025-12-01 (Min)/2026-12-22 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.69,"100.0%, Past 5 years, 26",No Information,No Information,No Information,"23.66% (Price: 7.5388), 2.8% above, Upmove Bounce Back","2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",No Information,77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,12.36%,12.69%,-0.32%,0.72,0.48,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),2.18%/3.84%,"1.34%, 2 days","2025-11-28 (Price: 492.01), 1.34% above",502.7353 (Historic Rise or Fall to Pivot)/519.1451 (Avg % Gain of Historic Winning trades)/553.47 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/553.0331 (Backtested Best)/510.8917 (Backtested Worst),2026-01-01 (Max)/2025-12-11 (Avg),No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.0,"81.48%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,5.61%,23.16%,-17.54%,0.03,0.84,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"QQQ, Long, 2025-11-25 (Price: 608.89)",Daily,No Exit Yet,620.0327 (Backtested Worst),No Date Target,16.6%/21.06%,"1.7%, 3 days","2025-11-28 (Price: 619.25), 1.7% above",722.0218 (Avg % Gain of Historic Winning trades)/749.66 (Exit Rule)/836.2536 (F-Stack 1)/910.0135 (F-Stack 2)/913.2132 (Backtested Best),2027-09-09 (Max)/2025-12-10 (Min)/2026-08-01 (Avg),585.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/545.19,"100.0%, Past 5 years, 31",No Information,No Information,No Information,"23.66% (Price: 581.4989), 6.49% above, Upmove Bounce Back","2025-04-07 (Price: 402.39), 2025-10-29 (Price: 637.01)",No Information,49.98%/1.83%/18.58%,"-0.0%, 24.88%",1.3 year/11 days/5.7 months,17.52%,16.62%,0.89%,0.43,0.69,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2025-11-24 (Price: 200.28)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),2.24%/3.25%,"0.83%, 4 days","2025-11-28 (Price: 201.95), 0.83% above",225.9759 (Historic Rise or Fall to Pivot)/206.4687 (Avg % Gain of Historic Winning trades)/216.22 (Exit Rule)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/211.09 (Moving Avg)/208.5115 (Backtested Best),2025-12-22 (Max)/2025-12-04 (Avg),198.76/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No Moving Avg Support,"71.43%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,4.11%/1.84%/3.09%,"17.33%, 17.33%",20 days/3 days/7 days,-5.14%,28.08%,-33.22%,-0.21,0.86,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
OSCILLATOR DELTA,"SONY, Long, 2025-11-24 (Price: 29.01)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),1.87%/3.84%,"1.17%, 4 days","2025-11-28 (Price: 29.35), 1.17% above",29.8977 (Historic Rise or Fall to Pivot)/31.4584 (Avg % Gain of Historic Winning trades)/34.81 (Exit Rule)/33.2191 (F-Stack 1)/35.3948 (F-Stack 2)/34.1535 (Backtested Best)/30.4779 (Backtested Worst),2026-02-18 (Max)/2025-11-29 (Min)/2025-12-22 (Avg),No Recent Minima/14.992/26.0795/24.8529/No F-Track Level/No F-Track Level/26.34,"85.71%, Past 6 years, 35",No Information,No Information,No Information,No Information,No Information,No Information,17.73%/5.06%/8.44%,"11.6%, 15.4%",2 months/4 days/20 days,38.36%,14.31%,24.05%,0.28,0.52,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-11-24 (Price: 175.83)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),4.71%/4.76%,"-0.69%, 4 days","2025-11-28 (Price: 174.61), 0.69% below",182.9159 (Historic Rise or Fall to Pivot)/184.305 (Avg % Gain of Historic Winning trades)/192.91 (Exit Rule)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/182.84 (Moving Avg)/194.5207 (Backtested Best),2026-03-06 (Max)/2025-11-29 (Min)/2025-12-22 (Avg),170.26/126.33/151.1683/123.9058/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.29%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,0.96% below/0.69% below/0.69% below,10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,7.29%,9.5%,-2.21%,0.1,0.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
