Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today's Trading Date/Price[$], Today's price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",Weekly,2026-01-25 (Price: 150.15),158.3859 (Backtested Max),No Date Target,13.14%/17.68%,"9.8%, 1.6 month","2026-02-06 (Price: 158.61), 9.8% above",179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2),2026-10-12 (Max)/2026-03-13 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",143.27,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.17%,"0%, 10.64%",6.8 months/7 days/1.9 month,6.41%,4.26%,2.15%,2.15,0.19,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-30 (Price: 151.77)",Daily,No Exit Yet,158.0533 (Backtested Max),No Date Target,13.14%/17.68%,"4.51%, 6 days","2026-02-05 (Price: 158.61), 4.51% above",179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2),2026-06-22 (Max)/2026-02-09 (Min)/2026-03-18 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.0%, Past 4 years, 25",150.43,No Information,No Information,No Information,No Information,No Information,5.81% above/4.51% above/4.51% above,4.14%/0.91%/2.08%,"6.35%, 12.85%",3.3 months/7 days/1.1 month,9.02%,2.7%,6.32%,0.39,0.08,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"PG, Long, 2025-09-17 (Price: 160.33)",Daily,No Exit Yet,No Price Target,2026-02-07 (Max),2.0%/2.58%,"-1.07%, 4.7 months","2026-02-05 (Price: 158.61), 1.07% below",162.7029 (Historic Rise or Fall to Pivot)/163.6649 (Avg % Gain of Historic Winning trades)/164.46 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/163.68 (EMA 200)/166.9677 (Backtested Max)/161.789 (Backtested Min),2026-02-07 (Max),156.83/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.0%, Past 4 years, 25",158.43,No Information,No Information,No Information,No Information,No Information,0.35% above/1.07% below/1.07% below,4.14%/0.91%/2.08%,"6.35%, 12.85%",3.3 months/7 days/1.1 month,9.02%,2.7%,6.32%,0.39,0.08,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-06 (Price: 192.5),No Price Target,No Date Target,30.57%/75.6%,"9.18%, 6.3 months","2026-02-05 (Price: 192.5), 9.18% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,73.85% above/9.18% above/9.18% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.97%,6.33%,14.64%,1.38,0.43,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-06 (Price: 192.5),No Price Target,No Date Target,91.76%/101.77%,"-0.02%, 2 years","2026-02-05 (Price: 192.5), 0.02% below",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,30.59% above/0.02% below/0.02% below,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.97%,6.33%,14.64%,1.38,0.43,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-06 (Price: 192.5),No Price Target,No Date Target,67.02%/75.74%,"14.8%, 2 years","2026-02-05 (Price: 192.5), 14.8% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,30.59% above/14.8% above/14.8% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.97%,6.33%,14.64%,1.38,0.43,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
DELTADRIFT,"BRK-B, Long, 2026-01-26 (Price: 483.47)",Daily,2026-02-04 (Price: 503.83),No Price Target,No Date Target,0.72%/24.04%,"5.19%, 11 days","2026-02-06 (Price: 508.585), 5.19% above",512.255 (Horizontal)/630.85 (F-Stack 1)/709.9376 (F-Stack 2),2026-03-27 (Max)/2026-02-10 (Avg),478.97/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,"75.0%, Past 4 years, 12",478.47,No Information,No Information,No Information,No Information,No Information,No Information,3.8%/1.42%/2.23%,"7.01%, 7.01%",1.4 month/1 day/11 days,4.18%,10.92%,-6.74%,0.08,0.77,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
OSCILLATOR DELTA,"BRK-B, Long, 2026-01-29 (Price: 476.79)",Daily,2026-02-04 (Price: 503.83),512.255 (Horizontal),No Date Target,2.95%/23.19%,"6.67%, 8 days","2026-02-06 (Price: 508.585), 6.67% above",523.5631 (Avg % Gain of Historic Winning trades)/630.85 (F-Stack 1)/709.9376 (F-Stack 2)/626.5497 (Backtested Max),2029-03-21 (Max)/2026-02-09 (Min)/2026-07-08 (Avg),No Recent Minima/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Support,"89.47%, Past 6 years, 19",473.73,No Information,No Information,No Information,No Information,No Information,No Information,31.41%/5.03%/9.81%,"13.58%, 26.58%",2.2 years/8 days/3.7 months,16.46%,9.82%,6.64%,0.56,0.59,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-12-07 (Price: 545.52)",Weekly,No Exit Yet,No Price Target,2026-02-05 (Min),6.62%/7.33%,"1.17%, 2 months","2026-02-06 (Price: 551.89), 1.17% above",592.3256 (Historic Rise or Fall to Pivot)/634.3307 (Avg % Gain of Historic Winning trades)/649.27 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/658.9882 (Backtested Max)/588.3979 (Backtested Min),2028-03-20 (Max)/2026-09-11 (Avg),540.4/306.91/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.89%, Past 19 years, 18",547.64,No Information,No Information,No Information,"38.2% (Price: 535.7184), 3.02% above, Upmove Bounce Back","2024-07-28 (Price: 428.86), 2025-08-24 (Price: 601.77)",No Information,20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,14.25%,18.73%,-4.48%,1.65,0.96,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
DELTADRIFT,"MA, Long, 2026-01-20 (Price: 531.74)",Daily,2026-02-02 (Price: 555.37),No Price Target,2026-02-03 (Avg),1.63%/2.17%,"3.79%, 16 days","2026-02-05 (Price: 551.89), 3.79% above",579.8625 (Historic Rise or Fall to Pivot)/565.53 (Function Specific Target)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/563.85 (EMA 200)/560.8794 (Backtested Max),2026-03-17 (Max),527.58/305.0867/515.4888/442.8637/No F-Track Level/No F-Track Level/No EMA 200 Support,"93.33%, Past 4 years, 15",530.6,No Information,No Information,No Information,No Information,No Information,No Information,5.48%/1.68%/3.66%,"3.92%, 6.0%",1.3 month/2 days/10 days,13.9%,7.14%,6.76%,1.39,0.38,83.04%/112/11 days (Across ALL Assets),78.71%/479/15 days (Across ALL Assets)
