"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max./Min./Avg.),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"BYD.TO, Long, 2025-11-13 (Price: 224.5)",No Exit Yet,"-4.49%, 3 days","75.0%, Past 6 years, 28","Daily, is Confirmed on 2025-11-13",No Cancellation Possible,"2025-11-18 (Price: 214.41), 4.49% below",3 days,2025-10-17 (Price: 208.57)/2025-10-30 (Price: 204.5),11/1/4 days,10.87%/5.0%/6.28%,"13.39%, 19.4%",70 days/1 days/26 days,2026-02-22/2025-11-14/2025-12-20,-15.59%,2.6%,-18.19%,-0.14,0.1,230.5615/238.5986/244.71/256.6133/367.2583/388.6839,No Recent Minima/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level,223.94/216.71,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"CVS, Long, 2025-11-12 (Price: 80.26)",No Exit Yet,"-2.45%, 4 days","75.68%, Past 6 years, 37","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-18 (Price: 78.29), 2.45% below",4 days,2025-11-03 (Price: 77.43)/2025-11-10 (Price: 76.5),20/1/8 days,17.09%/5.17%/8.81%,"24.36%, 24.36%",126 days/12 days/44 days,2026-05-13/2025-11-29/2026-01-14,3.83%,2.46%,1.37%,0.04,0.1,82.1381/87.3309/84.27/106.045/116.3721/144.3517,No Recent Minima/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level,77.96/68.64,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"EBO.NZ, Long, 2025-11-12 (Price: 28.6)",No Exit Yet,"0.91%, 4 days","73.53%, Past 6 years, 34","Daily, is Confirmed on 2025-11-12",No Cancellation Possible,"2025-11-18 (Price: 28.86), 0.91% above",4 days,2025-10-23 (Price: 28.17)/2025-10-29 (Price: 27.9),15/1/5 days,11.87%/5.31%/7.12%,"15.91%, 19.8%",83 days/3 days/26 days,2026-03-12/2025-11-16/2025-12-19,-7.76%,2.55%,-10.31%,-0.12,0.06,29.4551/30.6363/30.03/46.625/51.6772/55.325,No Recent Minima/27.81/28.1277/26.5961/No F-Track Level/No F-Track Level,29.05/36.07,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NKE, Long, 2025-11-11 (Price: 63.15)",No Exit Yet,"-1.46%, 5 days","80.56%, Past 6 years, 36","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-18 (Price: 62.23), 1.46% below",5 days,2025-11-04 (Price: 61.12)/2025-11-07 (Price: 60.29),22/1/6 days,15.63%/5.08%/8.11%,"19.92%, 22.44%",64 days/1 days/13 days,2026-02-11/2025-11-12/2025-11-29,20.81%,-5.25%,26.06%,0.08,-0.1,64.3183/68.2715/66.31/176.74/171.1647/206.9588,No Recent Minima/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level,68.04/68.46,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"ATD.TO, Long, 2025-11-11 (Price: 70.4)",No Exit Yet,"-0.5%, 5 days","91.18%, Past 6 years, 34","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-18 (Price: 70.05), 0.5% below",5 days,2025-11-05 (Price: 68.54)/2025-11-07 (Price: 68.3),12/1/5 days,12.15%/5.08%/7.16%,"16.41%, 19.68%",86 days/3 days/26 days,2026-03-15/2025-11-15/2025-12-18,35.12%,10.15%,24.97%,0.34,0.37,72.6598/75.4406/73.92/85.51/85.3936/96.14,No Recent Minima/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level,72.5/71.46,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NOVA.F, Long, 2025-11-11 (Price: 42.4)",No Exit Yet,"-2.59%, 5 days","100.0%, Past 6 years, 4","Daily, is Confirmed on 2025-11-11",No Cancellation Possible,"2025-11-18 (Price: 41.3), 2.59% below",5 days,2025-10-30 (Price: 43.0)/2025-11-07 (Price: 39.0),5/4/4 days,8.26%/6.12%/7.22%,"-0.0%, 5.26%",28 days/1 days/11 days,2025-12-21/2025-11-12/2025-11-26,317.02%,8.99%,308.03%,1.32,0.33,45.6224/45.4613/44.94/126.5/138.0871/146.706,No Recent Minima/40.95/40.2093/33.7767/No F-Track Level/No F-Track Level,46.44/57.16,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"MTY.TO, Long, 2025-11-10 (Price: 34.02)",2025-11-17 (Price: 38.27),"12.49%, 5 days","72.97%, Past 6 years, 37","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-18 (Price: 37.07), 8.97% above",6 days,2025-10-31 (Price: 33.39)/2025-11-06 (Price: 32.92),20/1/7 days,19.58%/5.02%/7.99%,"11.8%, 23.15%",85 days/1 days/34 days,2026-03-13/2025-11-11/2025-12-29,-4.6%,-6.94%,2.34%,-0.06,-0.03,34.5745/36.7382/35.72/72.5033/No Next Fib Ext/No Next Fib Ext,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,36.28/40.47,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"HOOD, Long, 2025-11-10 (Price: 135.88)",2025-11-13 (Price: 121.53),"-10.56%, 3 days","78.26%, Past 4 years, 23","Daily, is Confirmed on 2025-11-10",No Cancellation Possible,"2025-11-18 (Price: 113.56), 16.43% below",6 days,2025-10-21 (Price: 131.35)/2025-10-22 (Price: 120.88),17/1/4 days,17.01%/5.11%/8.52%,"12.73%, 15.13%",20 days/2 days/7 days,2025-12-08/2025-11-12/2025-11-20,108.4%,39.13%,69.27%,0.21,1.06,146.5058/147.457/142.67/No Horizontal Resistance/164.8517/245.4076,No Recent Minima/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level,132.68/86.57,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NVO, Long, 2025-11-06 (Price: 46.51)",2025-11-11 (Price: 49.15),"5.68%, 3 days","85.29%, Past 6 years, 34","Daily, is Confirmed on 2025-11-06",No Cancellation Possible,"2025-11-18 (Price: 47.615), 2.38% above",8 days,2025-10-29 (Price: 51.19)/2025-11-04 (Price: 47.76),14/1/5 days,20.58%/5.09%/7.82%,"12.67%, 17.77%",185 days/1 days/24 days,2026-07-31/2025-11-07/2025-12-10,29.88%,9.58%,20.3%,0.26,0.35,48.1844/50.1471/48.84/139.01/157.4212/215.5132,No Recent Minima/45.4025/45.3824/37.3162/No F-Track Level/No F-Track Level,54.3/65.04,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"GS, Long, 2025-10-27 (Price: 789.99)",2025-11-12 (Price: 838.97),"6.2%, 12 days","76.19%, Past 6 years, 21","Daily, is Confirmed on 2025-10-27",No Cancellation Possible,"2025-11-18 (Price: 768.249), 2.75% below",16 days,2025-10-10 (Price: 764.0)/2025-10-14 (Price: 742.46),8/1/4 days,8.91%/5.05%/6.57%,"17.5%, 17.5%",18 days/4 days/11 days,2025-11-22/2025-11-01/2025-11-11,-36.77%,23.3%,-60.07%,-0.16,0.8,809.5818/841.8923/829.49/No Horizontal Resistance/858.2074/1261.1009,No Recent Minima/288.555/594.2082/521.2487/No F-Track Level/No F-Track Level,785.7/670.1,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"XLE, Long, 2025-10-20 (Price: 86.89)",2025-11-11 (Price: 91.53),"5.34%, 16 days","88.89%, Past 6 years, 27","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-18 (Price: 90.02), 3.6% above",21 days,2025-10-13 (Price: 85.59)/2025-10-16 (Price: 84.7),20/1/4 days,21.12%/5.03%/8.28%,"14.4%, 17.68%",211 days/3 days/46 days,2026-08-21/2025-10-24/2025-12-25,18.22%,6.1%,12.11%,0.35,0.24,91.2606/94.0845/91.23/98.445/106.8857/117.7423,No Recent Minima/45.695/74.1414/53.9043/No F-Track Level/No F-Track Level,88.68/86.89,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"NU, Long, 2025-10-20 (Price: 15.41)",2025-11-11 (Price: 16.39),"6.36%, 16 days","75.0%, Past 3 years, 24","Daily, is Confirmed on 2025-10-20",No Cancellation Possible,"2025-11-18 (Price: 15.425), 0.1% above",21 days,2025-10-14 (Price: 14.64)/2025-10-16 (Price: 14.614),9/1/4 days,10.17%/5.4%/6.92%,"13.59%, 15.17%",25 days/1 days/7 days,2025-11-25/2025-10-21/2025-10-30,-0.33%,11.8%,-12.13%,-0.01,0.5,15.7845/16.4764/16.18/No Horizontal Resistance/16.2823/18.173,No Recent Minima/5.54/15.0492/12.5387/No F-Track Level/No F-Track Level,15.69/13.21,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"BTC-USD, Long, 2025-10-11 (Price: 110807.8828)",2025-11-13 (Price: 99697.4922),"-10.03%, 23 days","84.21%, Past 6 years, 57","Daily, is Confirmed on 2025-10-11",No Cancellation Possible,"2025-11-18 (Price: 91647.0625), 17.29% below",26 days,2025-08-31 (Price: 108104.6562)/2025-09-01 (Price: 107271.1797),10/0/2 days,19.05%/5.04%/8.14%,"14.07%, 15.29%",30 days/0 days/8 days,2025-11-23/2025-10-11/2025-10-22,54.01%,49.41%,4.61%,0.19,0.92,115827.4799/119827.6445/116348.28/123774.3633/134811.0702/174387.6923,No Recent Minima/18304.4229/107223.5861/87809.6423/No F-Track Level/No F-Track Level,109466.66/110424.73,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
"GILD, Long, 2025-09-18 (Price: 113.62)",2025-11-13 (Price: 125.2),"10.19%, 40 days","84.85%, Past 6 years, 33","Daily, is Confirmed on 2025-09-18",No Cancellation Possible,"2025-11-18 (Price: 126.23), 11.1% above",43 days,2025-09-02 (Price: 111.28)/2025-09-16 (Price: 110.15),14/1/5 days,14.18%/5.02%/6.91%,"11.58%, 14.94%",153 days/3 days/46 days,2026-04-27/2025-09-22/2025-11-23,9.0%,10.38%,-1.38%,0.18,0.38,117.4376/121.4711/124.98/120.895/121.083/140.4376,No Recent Minima/56.9733/104.5806/96.4152/No F-Track Level/No F-Track Level,117.82/111.53,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
