"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GOOG, Long, 2025-11-26 (Price: 323.64)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 26","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 311.01 prior to 2025-11-28,"2025-11-25 (Price: 323.64), 0.0% below",0 days,"2, 2025-05-18 (Price: 167.43)",2025-11-23 (Price: 299.65),2025-11-26 (Price: 323.64),1/1/1 days,8.01% above/0.0% below/0.0% below,2025-05-18 (Price: 168.6944)/2025-11-26 (Price: 304.0583),19.02%/3.15%/8.18%,"-0.0%, 15.08%",4.3 months/24 days/1.6 month,2026-05-31/2025-12-30/2026-02-02,35.83%,21.1%,14.73%,1.74,0.79,357.1044/350.1138/417.37/No Horizontal Resistance/306.4481/330.6546/No Moving Avg Target,147.74/84.51/243.1061/191.2921/270.6509/234.996/201.86,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"HDFCBANK.NS, Long, 2025-11-26 (Price: 1003.45)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 20","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 985.0 prior to 2025-11-28,"2025-11-26 (Price: 1003.45), 0.0% below",0 days,"0, 2020-11-30 (Price: 720.425)",2025-11-26 (Price: 1003.45),2025-11-26 (Price: 1003.45),0/0/0 days,0.0% below/0.0% below/0.0% below,2020-11-30 (Price: 763.4559)/2025-11-26 (Price: 979.6324),54.15%/5.97%/24.32%,"11.13%, 17.76%",9.4 months/3.6 months/6.6 months,2027-01-08/2026-04-29/2026-09-10,15.97%,19.29%,-3.32%,0.9,0.75,1129.985/1247.489/1173.27/1004.15/1299.7536/1565.406/No Moving Avg Target,701.7/640.9/976.4995/762.8018/940.3577/891.107/955.24,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XIU.TO, Long, 2025-11-26 (Price: 45.86)",No Exit Yet,"0.0%, 0 days","87.5%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 45.4507 prior to 2025-11-28,"2025-11-25 (Price: 45.86), 0.0% below",0 days,"2, 2023-05-31 (Price: 29.68)",2025-09-30 (Price: 44.77),2025-11-26 (Price: 45.86),56/1/1 days,2.43% above/0.0% below/0.0% below,2023-05-31 (Price: 31.8)/2025-11-26 (Price: 43.425),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-02-09/2026-03-27/2026-06-22,8.8%,4.94%,3.87%,0.91,0.11,48.7354/50.1296/55.57/No Horizontal Resistance/48.3988/56.9776/No Moving Avg Target,28.76/27.9467/41.5586/34.9694/41.6227/38.9081/40.92,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"IEI, Long, 2025-11-26 (Price: 120.35)",No Exit Yet,"0.0%, 0 days","91.67%, Past 20 years, 12","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 119.3 prior to 2025-11-28,"2025-11-25 (Price: 120.35), 0.0% below",0 days,"2, 2024-09-30 (Price: 119.61)",2025-11-26 (Price: 120.35),2025-11-26 (Price: 120.35),1/1/1 days,0.0% below/0.0% below/0.0% below,2024-09-30 (Price: 120.33)/2025-11-26 (Price: 119.47),2.72%/1.13%/1.87%,"15.13%, 15.6%",1.1 year/3.6 months/7.6 months,2027-06-15/2026-05-02/2026-10-22,0.4%,0.95%,-0.55%,0.05,-0.88,122.071/122.6005/120.79/129.9625/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,112.29/113.0583/No F-Stack Support/No F-Stack Support/139.4714/142.7661/118.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"SOXX, Long, 2025-11-26 (Price: 283.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 9","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 269.38 prior to 2025-12-31,"2025-11-25 (Price: 283.58), 0.0% below",0 days,"6, 2015-06-30 (Price: 30.6967)",2025-11-26 (Price: 283.58),2025-11-26 (Price: 283.58),1/1/1 days,0.0% below/0.0% below/0.0% below,2015-06-30 (Price: 22.1158)/2025-11-26 (Price: 264.9375),74.51%/31.99%/42.95%,"-0.0%, 41.23%",2.4 years/10.8 months/1.1 year,2029-04-05/2027-03-10/2027-06-28,17.9%,12.73%,5.17%,1.39,0.46,343.9258/405.3776/435.31/No Horizontal Resistance/320.8469/358.5021/No Moving Avg Target,106.24/110.475/267.2317/244.4067/273.874/249.9586/235.15,86.67%/15/1.7 year (Across ALL Assets),100.0%/1/5.2 months (Across ALL Assets)
"AAPL, Long, 2025-11-25 (Price: 276.97)",No Exit Yet,"0.0%, 0 days","81.25%, Past 4 years, 32","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 276.97), 0.0% below",0 days,"6, 2025-06-24 (Price: 200.3)",2025-11-25 (Price: 276.97),2025-11-25 (Price: 276.97),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-06-24 (Price: 230.4952)/2025-11-25 (Price: 275.3321),7.36%/0.78%/3.4%,"13.77%, 30.22%",2.6 months/4 days/23 days,2026-03-17/2025-11-30/2025-12-28,8.33%,26.41%,-18.08%,0.18,0.92,280.0444/286.387/322.97/No Horizontal Resistance/294.7231/309.0801/No Moving Avg Target,266.25/136.57/189.8723/119.0319/No F-Track Level/No F-Track Level/226.76,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
"BRK-B, Long, 2025-11-16 (Price: 508.94)",No Exit Yet,"-0.07%, 10 days","96.77%, Past 10 years, 31","Weekly, is CONFIRMED on 2025-11-14",Already confirmed,"2025-11-25 (Price: 508.57), 0.07% below",10 days,"2, 2025-04-06 (Price: 493.54)",2025-11-16 (Price: 508.94),2025-11-16 (Price: 508.94),9/9/9 days,0.07% below/0.07% below/0.07% below,2025-04-06 (Price: 542.8072)/2025-11-16 (Price: 495.9973),11.6%/2.26%/5.43%,"13.62%, 25.57%",7.0 months/24 days/2 months,2026-09-14/2025-12-20/2026-02-10,16.54%,12.36%,4.19%,0.91,0.56,531.5878/536.5754/518.18/No Horizontal Resistance/630.85/709.9376/No Moving Avg Target,477.54/268.082/491.88/449.7662/No F-Track Level/No F-Track Level/496.0,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets)
"GOOG, Long, 2025-10-31 (Price: 281.82)",No Exit Yet,"14.84%, 26 days","94.12%, Past 20 years, 17","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 323.64), 14.84% above",26 days,"0, 2020-10-31 (Price: 81.0505)",2025-09-30 (Price: 243.55),2025-10-31 (Price: 281.82),56/25/25 days,32.88% above/14.84% above/14.84% above,2020-10-31 (Price: 126.9444)/2025-10-31 (Price: 221.2778),63.04%/1.54%/29.75%,"3.21%, 18.92%",1.1 year/2.9 months/6.6 months,2027-06-19/2026-03-04/2026-08-15,22.75%,24.26%,-1.52%,1.49,0.85,307.7193/365.6614/402.28/No Horizontal Resistance/285.4807/322.8294/No Moving Avg Target,156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"XIU.TO, Long, 2025-10-31 (Price: 45.14)",No Exit Yet,"1.6%, 26 days","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 45.86), 1.6% above",26 days,"0, 2020-10-31 (Price: 23.53)",2025-08-31 (Price: 42.76),2025-10-31 (Price: 45.14),86/25/25 days,7.25% above/1.6% above/1.6% above,2020-10-31 (Price: 31.0813)/2025-10-31 (Price: 41.0445),13.41%/2.94%/9.31%,"6.95%, 19.49%",10.1 months/2.8 months/4.8 months,2027-01-14/2026-03-01/2026-05-27,8.8%,4.94%,3.87%,0.91,0.11,47.9703/49.3425/58.11/No Horizontal Resistance/53.8646/79.5406/No Moving Avg Target,28.76/28.5233/37.996/28.1885/No F-Track Level/No F-Track Level/40.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
"QQQ, Long, 2025-10-31 (Price: 629.07)",No Exit Yet,"-3.21%, 26 days","100.0%, Past 20 years, 20","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2025-11-25 (Price: 608.89), 3.21% below",26 days,"0, 2020-10-31 (Price: 269.38)",2025-09-30 (Price: 600.37),2025-10-31 (Price: 629.07),56/25/25 days,1.42% above/3.21% below/3.21% below,2020-10-31 (Price: 364.6767)/2025-10-31 (Price: 567.9074),26.83%/5.89%/12.63%,"-0.0%, 33.07%",1.9 year/3.6 months/7.7 months,2028-07-01/2026-04-03/2026-09-29,11.42%,9.45%,1.97%,2.06,0.36,677.0051/708.5215/844.88/No Horizontal Resistance/610.7303/836.2536/No Moving Avg Target,468.92/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/537.0,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
