"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"GILD, Long, 2025-11-05 (Price: 122.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 28","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-05 (Price: 122.58), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 112.6763),8.79% above,"2025-04-25 (Price: 93.37), 2025-10-21 (Price: 124.61)",29.99%/0.5%/11.55%,"-0.0%, 27.82%",471 days/7 days/193 days,2027-09-18/2025-11-15/2026-08-11,10.34%,14.55%,-4.21%,0.57,0.58,125.5097/136.738/141.32/No Horizontal Resistance/124.0112/135.1689,117.88/56.9733/101.881/83.0067/110.7288/108.1488,116.01/110.13,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"NIO, Long, 2025-11-05 (Price: 7.29)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-05 (Price: 7.29), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 6.837),6.63% above,"2025-04-08 (Price: 3.02), 2025-10-02 (Price: 8.02)",49.89%/49.89%/49.89%,"-0.0%, 25.1%",69 days/69 days/69 days,2026-02-12/2026-02-12/2026-02-12,346.26%,-27.6%,373.86%,0.26,-0.14,7.1792/10.927/10.29/24.205/No Next Fib Ext/No Next Fib Ext,6.71/3.62/No F-Stack Support/No F-Stack Support/8.8197/9.5016,6.94/4.86,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"WMT, Long, 2025-11-05 (Price: 101.47)",No Exit Yet,"0.0%, 0 days","90.62%, Past 5 years, 32","Daily, is CONFIRMED on 2025-11-05",Already confirmed,"2025-11-05 (Price: 101.47), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 102.5364),1.04% below,"2025-04-07 (Price: 79.81), 2025-10-16 (Price: 109.58)",14.63%/0.49%/9.29%,"4.76%, 26.01%",453 days/33 days/142 days,2027-08-23/2025-12-22/2026-05-29,10.62%,16.05%,-5.43%,0.64,0.7,103.195/110.8966/119.33/105.01/114.6382/136.6818,101.18/42.3916/91.6278/82.681/102.5364/98.2079,102.67/97.51,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
"SOXX, Long, 2025-11-05 (Price: 305.47)",No Exit Yet,"0.0%, 0 days","100.0%, Past 24 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 148.31 prior to 2025-12-31,"2025-11-05 (Price: 305.47), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 147.9982),106.4% above,"2015-09-30 (Price: 24.2867), 2022-03-31 (Price: 186.34)",66.53%/66.53%/66.53%,"-0.0%, 41.23%",717 days/717 days/717 days,2028-09-08/2028-09-08/2028-09-08,19.89%,12.73%,7.15%,0.33,0.46,319.4911/508.6992/402.7/No Horizontal Resistance/320.8469/358.5021,106.24/110.475/267.2317/244.4067/273.874/249.9586,274.44/230.2,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"XLV, Long, 2025-11-05 (Price: 145.66)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-05 (Price: 145.66), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),14.7% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",3717 days/3717 days/3717 days,2040-08-01/2040-08-01/2040-08-01,8.26%,6.44%,1.82%,0.48,0.22,142.3098/592.9819/228.47/149.295/174.1807/202.706,24.21/120.178/117.2225/81.225/167.2798/171.9748,140.71/139.08,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-05 (Price: 240.5)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-05 (Price: 240.5), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),3.32% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",1368 days/240 days/662 days,2031-04-09/2026-10-18/2028-06-20,9.34%,22.33%,-12.98%,0.43,0.63,234.6559/475.709/329.66/366.6625/374.6319/404.5107,239.37/187.6062/184.3156/1127.9829/347.4556/361.5012,246.76/261.94,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-05 (Price: 240.5)",No Exit Yet,"0.0%, 0 days","100.0%, Past 80 years, 10","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 228.0 prior to 2025-12-31,"2025-11-05 (Price: 240.5), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 224.8125),6.98% above,"2020-03-31 (Price: 79.7), 2021-12-31 (Price: 369.925)",550.34%/1.52%/189.68%,"-0.0%, 61.48%",5479 days/717 days/2500 days,2047-07-28/2028-09-08/2035-10-05,6.68%,22.24%,-15.57%,0.33,0.55,273.9536/696.6804/414.63/366.6625/374.6319/404.5107,182.62/187.6062/184.3156/1127.9829/347.4556/361.5012,246.76/261.94,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-05 (Price: 1484.7)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-05 (Price: 1484.7), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),12.23% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",2218 days/195 days/833 days,2034-08-22/2026-08-14/2029-02-23,8.96%,19.65%,-10.68%,0.38,0.63,1680.8289/3806.6223/2209.79/1531.725/1617.1679/1804.6011,1200.1/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1402.58/1362.17,84.44%/45/1293 days (Across ALL Assets),76.0%/100/206 days (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-05 (Price: 1484.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 48 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 1114.85 prior to 2025-12-31,"2025-11-05 (Price: 1484.7), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1100.9625),34.85% above,"2020-03-31 (Price: 400.3177), 2022-06-30 (Price: 1318.1128)",651.15%/27.98%/339.57%,"-0.0%, 57.24%",1501 days/455 days/978 days,2031-10-19/2027-08-26/2029-09-21,30.69%,19.15%,11.54%,0.39,0.64,1512.4639/6526.2958/2035.38/1531.725/1617.1679/1804.6011,158.4/855.3207/1324.16/1138.1652/1725.6686/1797.4889,1402.58/1362.17,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
"ASML, Long, 2025-11-05 (Price: 1043.75)",No Exit Yet,"0.0%, 0 days","90.91%, Past 30 years, 11","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 578.51 prior to 2025-12-31,"2025-11-05 (Price: 1043.75), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 583.1637),78.98% above,"2016-03-31 (Price: 77.17), 2021-09-30 (Price: 895.93)",3807.85%/71.67%/1322.31%,"6.66%, 52.63%",5089 days/1370 days/2869 days,2046-01-09/2031-04-12/2037-03-22,8.55%,20.11%,-11.56%,0.43,0.61,1324.6231/14845.3606/1535.01/No Horizontal Resistance/1081.4334/1218.8523,415.35/561.385/998.2461/956.961/1235.8618/1313.1536,936.93/779.75,92.31%/13/1698 days (Across ALL Assets),69.23%/13/280 days (Across ALL Assets)
