Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date (Farthest./Earliest./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2) [$],Moving Average (50-days/200-days),Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"IEI, Long, 2025-11-07 (Price: 119.6)",No Exit Yet,"0.0%, 0 days","92.31%, Past 5 years, 13","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 119.6), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 119.0217), 0.49% above, Upmove Bounce Back","2025-01-13 (Price: 114.51), 2025-10-21 (Price: 120.42)",No Information,2.05%/1.95%/2.0%,"0.03%, 4.21%",139 days/125 days/132 days,2026-05-27/2026-05-07/2026-05-17,1.93%,-2.06%,3.99%,0.33,-1.37,119.7196/121.992/123.15/129.9625/No Next Fib Ext/No Next Fib Ext,119.35/113.0583/No F-Stack Support/No F-Stack Support/121.707/122.5532,119.74/118.23,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2025-11-07 (Price: 551.97)",No Exit Yet,"0.0%, 0 days","93.1%, Past 5 years, 29","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 551.97), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 533.9557), 3.37% above, Upmove Bounce Back","2022-11-09 (Price: 315.15), 2025-08-22 (Price: 601.77)",No Information,52.16%/1.79%/24.85%,"1.45%, 28.57%",907 days/69 days/397 days,2029-06-12/2026-02-14/2027-06-05,8.0%,12.16%,-4.16%,0.57,0.46,560.9671/689.1345/723.94/592.9033/716.5814/751.3605,544.07/306.91/515.4888/442.8637/560.8595/535.7184,573.71/560.99,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"RHHBY, Long, 2025-11-07 (Price: 41.98)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 25","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 41.98), 0.0% below",0 days,No Information,No Information,No Information,"61.8% (Price: 40.7303), 3.07% above, Upmove Bounce Back","2025-08-11 (Price: 37.51), 2025-10-08 (Price: 45.94)",No Information,26.41%/3.63%/11.02%,"-0.0%, 32.35%",683 days/26 days/308 days,2028-07-23/2025-12-14/2027-01-27,7.53%,-1.74%,9.27%,0.34,-0.17,41.5182/46.6062/47.04/52.46/52.5578/54.7393,40.15/34.5167/33.9225/27.535/46.5719/47.9619,42.49/40.81,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
FRACTAL TRACK,"EFN.TO, Long, 2025-11-07 (Price: 36.81)",No Exit Yet,"0.0%, 0 days","90.38%, Past 5 years, 52","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 36.81), 0.0% below",0 days,No Information,No Information,No Information,"38.2% (Price: 37.1637), 0.95% below, Upmove Bounce Back","2025-09-30 (Price: 35.39), 2025-10-28 (Price: 38.26)",No Information,43.0%/0.86%/18.32%,"6.13%, 26.27%",387 days/26 days/117 days,2027-05-21/2025-12-14/2026-04-25,16.07%,24.1%,-8.03%,0.65,1.02,37.5609/43.5536/38.53/No Horizontal Resistance/48.884/73.5584,35.91/11.7733/33.6344/24.2096/35.1227/33.1947,36.9/32.97,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"RHHBY, Long, 2025-11-07 (Price: 41.98)",No Exit Yet,"0.0%, 0 days","71.88%, Past 6 years, 32","Daily, is Confirmed on 2025-11-07",No Cancellation Possible,"2025-11-07 (Price: 41.98), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/5.02%/7.38%,"14.74%, 24.1%",173 days/6 days/42 days,2026-07-15/2025-11-15/2026-01-06,-3.55%,1.45%,-5.0%,-0.06,0.0,42.8994/45.0781/44.08/52.46/52.5578/54.7393,No Recent Minima/34.5167/33.9225/27.535/46.5719/47.9619,42.49/40.81,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
TRENDPULSE,"FPH.NZ, Long, 2025-11-07 (Price: 38.5)",No Exit Yet,"0.0%, 0 days","75.86%, Past 4 years, 58","Daily, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 38.5), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,11.99%/0.47%/4.38%,"35.23%, 43.46%",74 days/5 days/29 days,2026-02-22/2025-11-14/2025-12-19,0%,10.77%,0%,-0.18,0.39,39.7821/40.1863/38.53/39.1438/40.9296/48.5677,35.0/22.5167/30.9793/26.1935/41.3218/42.4414,37.02/36.01,88.26%/298/30 days (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
BASELINEDIVERGENCE,"NVDA, Long, 2025-11-07 (Price: 188.15)",No Exit Yet,"0.0%, 0 days","91.01%, Past 10 years, 89","Weekly, is CONFIRMED on 2025-11-07",Already confirmed,"2025-11-07 (Price: 188.15), 0.0% below",0 days,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,200.25%/0.47%/39.14%,"45.09%, 51.99%",174 days/44 days/82 days,2026-07-17/2026-01-09/2026-03-05,49.18%,72.17%,-22.99%,0.82,1.91,250.7475/261.7919/256.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext,167.02/13.9695/129.8234/89.3715/182.4801/164.2223,183.0/149.12,88.89%/27/87 days (Across ALL Assets),85.45%/55/76 days (Across ALL Assets)
FRACTAL TRACK,"GNE.NZ, Long, 2025-11-05 (Price: 2.53)",No Exit Yet,"-0.4%, 2 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2025-11-05",Already confirmed,"2025-11-07 (Price: 2.52), 0.4% below",2 days,No Information,No Information,No Information,"23.66% (Price: 2.4547), 2.66% above, Upmove Bounce Back","2025-04-07 (Price: 2.115), 2025-10-15 (Price: 2.56)",No Information,6.64%/0.44%/3.91%,"7.43%, 9.96%",145 days/36 days/77 days,2026-06-03/2025-12-27/2026-02-24,1.92%,-3.81%,5.72%,0.03,-0.29,2.548/2.6289/2.8/3.575/No Next Fib Ext/No Next Fib Ext,2.33/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level,2.43/2.31,94.1%/288/218 days (Across ALL Assets),51.67%/60/109 days (Across ALL Assets)
OSCILLATOR DELTA,"XLF, Long, 2025-11-04 (Price: 52.42)",No Exit Yet,"0.69%, 3 days","85.71%, Past 6 years, 14","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-07 (Price: 52.78), 0.69% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,14.64%/5.35%/8.32%,"13.71%, 13.71%",85 days/17 days/47 days,2026-03-07/2025-11-28/2026-01-11,20.93%,9.83%,11.1%,0.22,0.36,53.4527/56.7813/55.04/No Horizontal Resistance/70.6138/110.4396,No Recent Minima/30.1167/45.9996/174.8795/No F-Track Level/No F-Track Level,53.27/51.29,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
OSCILLATOR DELTA,"MAR, Long, 2025-11-04 (Price: 272.24)",No Exit Yet,"6.95%, 3 days","90.32%, Past 6 years, 31","Daily, is Confirmed on 2025-11-04",No Cancellation Possible,"2025-11-07 (Price: 291.16), 6.95% above",3 days,No Information,No Information,No Information,No Information,No Information,No Information,18.37%/5.48%/7.86%,"12.16%, 19.79%",69 days/1 days/15 days,2026-02-11/2025-11-05/2025-11-25,64.8%,11.5%,53.3%,0.39,0.41,287.6216/293.6381/296.74/276.35/372.972/399.3723,No Recent Minima/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level,266.12/263.44,68.21%/151/44 days (Across ALL Assets),63.74%/353/43 days (Across ALL Assets)
