"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MCD, Long, 2026-02-06 (Price: 323.48)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-05 (Price: 323.48), 0.0% below",0 days,"4, 2025-03-09 (Price: 321.29)",2026-02-01 (Price: 315.0),2026-02-06 (Price: 323.48),4/1/1 days,2.69% above/0.0% below/0.0% below,2025-03-09 (Price: 326.5956)/2026-02-06 (Price: 313.3668),10.85%/1.47%/4.93%,"-0.0%, 16.82%",10.3 months/1.2 month/4.3 months,2027-04-29/2026-03-30/2026-08-11,7.74%,6.97%,0.77%,1.29,0.42,345.0561/339.4276/324.79/No Horizontal Resistance/322.837/371.0748/No EMA 200 Target,303.26/228.4467/306.2751/267.8324/308.0602/295.7695/306.54,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),319.0
"UPS, Long, 2026-02-05 (Price: 116.55)",No Exit Yet,"0.0%, 0 days","84.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-02-05",Already confirmed,"2026-02-05 (Price: 116.55), 0.0% below",0 days,"2, 2025-12-11 (Price: 100.48)",2026-02-04 (Price: 116.74),2026-02-05 (Price: 116.55),1/0/0 days,0.16% below/0.0% below/0.0% below,2025-12-11 (Price: 101.4695)/2026-02-05 (Price: 114.1955),12.72%/0.81%/3.61%,"11.68%, 27.88%",4.4 months/6 days/19 days,2026-08-15/2026-02-13/2026-03-04,3.68%,1.44%,2.24%,0.17,0.08,118.8693/120.7575/126.19/221.2667/228.7501/295.6013/No EMA 200 Target,103.7/107.93/112.825/No support/No F-Track Level/No F-Track Level/95.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),116.0
"NKE, Long, 2026-02-04 (Price: 64.22)",No Exit Yet,"-2.37%, 1 day","73.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-04",Already confirmed,"2026-02-05 (Price: 62.7), 2.37% below",1 day,"6, 2025-08-04 (Price: 74.82)",2026-02-04 (Price: 64.22),2026-02-04 (Price: 64.22),1/1/1 days,2.37% below/2.37% below/2.37% below,2025-08-04 (Price: 83.13)/2026-02-04 (Price: 61.8177),6.0%/1.77%/4.38%,"12.57%, 30.95%",28 days/7 days/15 days,2026-03-16/2026-02-14/2026-02-25,-4.3%,-5.3%,1.0%,-0.15,-0.16,65.3117/67.0328/70.58/176.74/171.1647/206.9588/66.97,61.81/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level/No EMA 200 Support,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets),61.72
"GS, Long, 2026-01-31 (Price: 935.41)",No Exit Yet,"-4.81%, 6 days","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-01-31",Already confirmed,"2026-02-05 (Price: 890.41), 4.81% below",6 days,"2, 2023-07-31 (Price: 355.87)",2025-12-31 (Price: 879.0),2026-01-31 (Price: 935.41),36/5/5 days,1.3% above/4.81% below/4.81% below,2023-07-31 (Price: 351.8948)/2026-01-31 (Price: 831.3002),53.25%/7.0%/23.74%,"-0.0%, 34.98%",2.5 years/4 months/9.8 months,2029-08-26/2026-07-23/2027-04-01,11.01%,6.57%,4.44%,1.51,0.33,1116.9731/1157.4763/1283.13/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,303.61/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/746.9,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),884.0
"GS, Long, 2025-12-28 (Price: 907.04)",2026-02-01 (Price: 935.41),"3.13%, 1.2 month","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2025-12-26",Already confirmed,"2026-02-05 (Price: 890.41), 1.83% below",1.3 month,"6, 2024-08-11 (Price: 490.26)",2025-12-14 (Price: 887.96),2025-12-28 (Price: 907.04),53/39/39 days,0.28% above/1.83% below/1.83% below,2024-08-11 (Price: 536.6316)/2025-12-28 (Price: 867.6605),16.64%/3.13%/7.51%,"-0.0%, 44.52%",1.5 year/1.2 month/5 months,2028-02-18/2026-02-18/2026-08-02,8.42%,8.12%,0.3%,1.53,0.42,921.8248/975.1587/1157.11/No Horizontal Resistance/931.1482/1236.8362/No EMA 200 Target,470.81/288.555/794.5775/634.5288/No F-Track Level/No F-Track Level/700.8,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),896.52
"UPS, Long, 2025-12-21 (Price: 101.92)",2026-02-06 (Price: 116.55),"14.35%, 1.6 month","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2025-12-19",Already confirmed,"2026-02-05 (Price: 116.55), 14.35% above",1.6 month,"2, 2025-07-06 (Price: 104.13)",2025-12-14 (Price: 100.92),2025-12-21 (Price: 101.92),53/46/46 days,15.49% above/14.35% above/14.35% above,2025-07-06 (Price: 106.46)/2025-12-21 (Price: 98.1447),31.22%/1.77%/9.21%,"12.29%, 27.26%",9.8 months/28 days/4.8 months,2027-02-19/2026-01-30/2026-07-17,6.49%,2.06%,4.43%,0.48,0.06,100.9416/111.3068/103.25/221.2667/228.7501/295.6013/No EMA 200 Target,82.87/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.71,95.35%/129/3.1 months (Across ALL Assets),78.95%/266/2.5 months (Across ALL Assets),101.0
"GS, Long, 2025-08-31 (Price: 745.25)",2026-02-06 (Price: 890.41),"19.48%, 5.3 months","100.0%, Past 20 years, 14","Monthly, is CONFIRMED on 2025-08-31",Already confirmed,"2026-02-05 (Price: 890.41), 19.48% above",5.3 months,"10, 2019-10-31 (Price: 213.38)",2025-06-30 (Price: 707.75),2025-08-31 (Price: 745.25),220/158/158 days,25.81% above/19.48% above/19.48% above,2019-10-31 (Price: 280.0331)/2025-08-31 (Price: 603.5427),53.25%/7.0%/23.74%,"-0.0%, 34.98%",2.5 years/4 months/9.8 months,2029-03-26/2026-02-20/2026-10-30,11.01%,6.57%,4.44%,1.51,0.33,889.903/922.1724/1064.37/No Horizontal Resistance/794.5775/931.1482/No EMA 200 Target,303.61/288.555/634.5288/521.2487/No F-Track Level/No F-Track Level/618.35,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),710.51
"AMD, Long, 2025-07-31 (Price: 176.31)",2026-02-06 (Price: 192.5),"9.18%, 6.3 months","87.5%, Past 20 years, 16","Monthly, is CONFIRMED on 2025-07-31",Already confirmed,"2026-02-05 (Price: 192.5), 9.18% above",6.3 months,"2, 2024-03-31 (Price: 180.49)",2025-05-31 (Price: 110.73),2025-07-31 (Price: 176.31),250/189/189 days,73.85% above/9.18% above/9.18% above,2024-03-31 (Price: 224.5781)/2025-07-31 (Price: 100.79),190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,2029-02-23/2026-03-09/2026-11-12,20.97%,6.33%,14.64%,1.38,0.43,338.0392/355.6878/178.82/No Horizontal Resistance/219.0648/251.3512/No EMA 200 Target,97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),138.77
"TSLA, Long, 2025-05-31 (Price: 346.46)",2026-01-31 (Price: 430.41),"24.23%, 8.2 months","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2025-05-31",Already confirmed,"2026-02-05 (Price: 397.21), 14.65% above",8.4 months,"6, 2021-11-30 (Price: 381.5867)",2025-04-30 (Price: 282.16),2025-05-31 (Price: 346.46),281/250/250 days,40.77% above/14.65% above/14.65% above,2021-11-30 (Price: 408.2466)/2025-05-31 (Price: 214.4383),24.23%/7.79%/18.75%,"2.38%, 35.95%",1.9 year/8.2 months/1.1 year,2028-02-15/2026-05-20/2026-12-25,26.58%,28.02%,-1.44%,0.67,1.01,869.2335/411.4212/367.54/408.5817/413.6779/490.132/No EMA 200 Target,175.79/167.4534/330.0827/262.8246/No F-Track Level/No F-Track Level/302.39,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),280.01
"AAPL, Long, 2024-09-30 (Price: 233.0)",2026-01-31 (Price: 259.48),"11.36%, 1.4 year","100.0%, Past 20 years, 19","Monthly, is CONFIRMED on 2024-09-30",Already confirmed,"2026-02-05 (Price: 275.91), 18.42% above",1.4 year,"2, 2022-07-31 (Price: 162.51)",2024-09-30 (Price: 233.0),2024-09-30 (Price: 233.0),493/493/493 days,18.42% above/18.42% above/18.42% above,2022-07-31 (Price: 175.7774)/2024-09-30 (Price: 216.2229),49.66%/11.36%/22.23%,"0%, 40.56%",2.5 years/5 months/10.5 months,2028-04-25/2025-05-05/2025-12-30,17.15%,20.77%,-3.62%,2.24,1.01,337.2675/284.7959/275.29/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,170.33/136.9225/189.8723/119.0319/No F-Track Level/No F-Track Level/197.37,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets),228.55
