Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"PG, Long, 2025-12-21 (Price: 144.46)",Weekly,2026-01-25 (Price: 150.15),152.5642 (Historic Rise or Fall to Pivot)/151.943 (Avg % Gain of Historic Winning trades)/152.25 (Function Specific Target),No Date Target,1.48%/4.36%,"5.06%, 1.3 month","2026-01-30 (Price: 151.77), 5.06% above",179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.01 (EMA 200)/158.3859 (Backtested Max),2026-10-12 (Max)/2026-03-13 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 6",143.27,No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.18%,"0%, 10.64%",6.8 months/7 days/1.9 month,6.41%,4.09%,2.32%,2.17,0.17,94.87%/39/1.3 month (Across ALL Assets),87.5%/112/2.3 months (Across ALL Assets)
TRENDPULSE,"PG, Long, 2026-01-20 (Price: 147.0)",Daily,2026-01-27 (Price: 148.34),151.5864 (Backtested Max),2026-01-28 (Min),1.2%/1.88%,"3.24%, 10 days","2026-01-30 (Price: 151.77), 3.24% above",153.59 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.63 (EMA 200),2026-06-12 (Max)/2026-03-13 (Avg),138.04/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.96%, Past 4 years, 23",144.46,No Information,No Information,No Information,No Information,No Information,5.01% above/3.24% above/3.24% above,3.12%/1.29%/2.0%,"6.35%, 12.85%",3.3 months/6 days/1.2 month,9.71%,2.06%,7.65%,0.36,0.03,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-10-02 (Price: 152.05)",Daily,2026-01-28 (Price: 147.34),No Price Target,No Date Target,1.03%/1.48%,"-0.18%, 4 months","2026-01-30 (Price: 151.77), 0.18% below",155.6384 (Historic Rise or Fall to Pivot)/162.6023 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/154.01 (EMA 200)/175.5873 (Backtested Max)/153.3272 (Backtested Min),2026-05-20 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",152.72,"-3.12, 82.15%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
SIGMASHELL,"PG, Long, 2025-08-01 (Price: 150.65)",Daily,2026-01-28 (Price: 147.34),No Price Target,No Date Target,6.15%/14.63%,"0.74%, 6.1 months","2026-01-30 (Price: 151.77), 0.74% above",161.1051 (Avg % Gain of Historic Winning trades)/186.6499 (Function Specific Target)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/173.9706 (Backtested Max),2026-03-19 (Max),150.47/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 13",151.78,"-3.85, 85.0%",No Information,No Information,No Information,No Information,No Information,15.48%/0.84%/6.94%,"-0.0%, 11.76%",5.3 months/1.2 month/2.3 months,17.9%,6.33%,11.57%,1.15,0.33,85.95%/121/2.4 months (Across ALL Assets),74.78%/230/2.6 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,1.45%/5.19%,"8.23%, 8.8 months","2026-01-30 (Price: 38.91), 8.23% above",39.4731 (Historic Rise or Fall to Pivot)/42.0723 (Avg % Gain of Historic Winning trades)/52.54 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.1005 (Backtested Max)/41.4468 (Backtested Min),2029-07-01 (Max)/2026-12-05 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",35.3,No Information,No Information,No Information,"23.66% (Price: 32.958), 18.06% above, Upmove Bounce Back","2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-04-06 (Price: 34.58)",Weekly,No Exit Yet,39.1917 (Horizontal),No Date Target,2.46%/4.01%,"12.52%, 10 months","2026-01-30 (Price: 38.91), 12.52% above",40.469 (Avg % Gain of Historic Winning trades)/46.11 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/41.458 (Backtested Max)/39.8673 (Backtested Min),2029-05-27 (Max)/2026-10-31 (Avg),32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 20 years, 11",33.0,No Information,No Information,No Information,"38.2% (Price: 32.1618), 20.98% above, Upmove Bounce Back","2023-11-05 (Price: 20.29), 2025-01-26 (Price: 39.5)",No Information,19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,9.13%,8.49%,0.64%,1.13,0.45,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2025-05-31 (Price: 36.5)",Monthly,No Exit Yet,38.8663 (Horizontal),No Date Target,5.19%/13.17%,"6.6%, 8.1 months","2026-01-30 (Price: 38.91), 6.6% above",45.4936 (Historic Rise or Fall to Pivot)/44.2782 (Avg % Gain of Historic Winning trades)/55.32 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/44.7965 (Backtested Max)/44.0336 (Backtested Min),2034-07-20 (Max)/2030-02-14 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.71%, Past 24 years, 7",33.05,No Information,No Information,No Information,"23.66% (Price: 32.0779), 21.3% above, Upmove Bounce Back","2016-11-30 (Price: 8.13), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
BAND MATRIX,"FPH.NZ, Long, 2025-02-23 (Price: 35.1)",Weekly,No Exit Yet,39.0375 (Horizontal),No Date Target,5.19%/11.0%,"10.85%, 11.4 months","2026-01-30 (Price: 38.91), 10.85% above",50.6669 (Avg % Gain of Historic Winning trades)/43.19 (Function Specific Target)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/61.3337 (Backtested Max)/44.3278 (Backtested Min),2030-07-28 (Max)/2026-09-19 (Min)/2028-02-23 (Avg),23.8/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",35.9,No Information,No Information,No Information,No Information,No Information,No Information,74.74%/26.29%/44.35%,"-0.0%, 48.79%",3.8 years/1.1 year/2.1 years,13.14%,12.4%,0.74%,1.4,0.68,100.0%/5/1.5 year (Across ALL Assets),80.68%/88/9.5 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-08-24 (Price: 78.13)",Weekly,2026-01-30 (Price: 91.3) (Today),90.5917 (Avg % Gain of Historic Winning trades),No Date Target,3.86%/4.07%,"16.86%, 5.3 months","2026-01-30 (Price: 91.3), 16.86% above",136.68 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/94.8264 (Backtested Max),2035-12-04 (Max)/2027-07-02 (Avg),76.98/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",76.84,No Information,No Information,No Information,"23.66% (Price: 74.9138), 21.87% above, Upmove Bounce Back","1999-03-07 (Price: 0.425), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-07-06 (Price: 78.82)",Weekly,2026-01-30 (Price: 91.3) (Today),91.3918 (Avg % Gain of Historic Winning trades),No Date Target,4.07%/4.78%,"15.83%, 6.9 months","2026-01-30 (Price: 91.3), 15.83% above",137.36 (Function Specific Target)/95.0177 (F-Stack 1)/123.2166 (F-Stack 2)/95.6638 (Backtested Max),2035-10-16 (Max)/2027-05-14 (Avg),65.75/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.31%, Past 20 years, 13",78.12,No Information,No Information,No Information,"23.66% (Price: 74.9167), 21.87% above, Upmove Bounce Back","2002-02-03 (Price: 0.4375), 2024-07-28 (Price: 98.0)",No Information,21.37%/7.04%/15.95%,"14.17%, 49.7%",7.2 years/1.2 month/1.3 year,8.85%,12.31%,-3.46%,1.52,0.64,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
