"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"ETH-USD, Long, 2026-02-20 (Price: 1974.2324)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 1974.2324), 0.0% below",0 days,Upmove Bounce Back,88.6% (Price: 1793.4297),10.08% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-12/2026-03-02/2026-06-21,44.95%,44.58%,0.37%,1.56,1.59,2043.7254/2450.4173/4114.39/4922.7188/5483.4169/7318.9774/3505.48,1966.04/1370.4997/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1965.1317
"TSLA, Long, 2026-02-20 (Price: 411.82)",No Exit Yet,"0.0%, 0 days","73.33%, Past 15 years, 15","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 411.82), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 383.5985),7.36% above,"2019-06-09 (Price: 11.7993), 2025-12-28 (Price: 498.83)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-04-12/2026-04-13/2026-09-12,12.11%,30.11%,-18.0%,0.69,1.16,595.6976/487.1419/704.04/487.1467/461.2057/510.3573/No EMA 200 Target,411.11/196.47/117.6011/73.4077/404.8951/347.1684/387.73,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),412.36
"HYG, Long, 2026-02-20 (Price: 81.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 8","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 81.0), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 79.8742),1.41% above,"2025-04-13 (Price: 75.08), 2025-09-28 (Price: 81.36)",1.64%/1.64%/1.64%,"-0.0%, 5.0%",5.6 months/5.6 months/5.6 months,2026-10-21 (Max),4.91%,-0.94%,5.85%,0.25,-0.45,81.2592/82.3284/84.77/87.0575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.95/72.2733/No F-Stack Support/No F-Stack Support/78.7669/77.1733/80.43,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),80.82
"AMD, Long, 2026-02-20 (Price: 200.15)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 200.15), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 194.2708),3.03% above,"2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-09-15/2026-03-02/2027-04-08,11.53%,7.36%,4.17%,1.23,0.44,262.3366/240.5403/314.51/No Horizontal Resistance/269.2327/283.8155/No EMA 200 Target,151.14/72.05/167.5998/131.2181/194.2708/171.78/184.01,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),202.145
"RELIANCE.NS, Long, 2026-02-20 (Price: 1419.4)",No Exit Yet,"0.0%, 0 days","90.48%, Past 20 years, 21","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 1419.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1325.1633),7.11% above,"2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,2029-11-06/2026-03-12/2026-11-25,15.84%,11.94%,3.9%,1.68,0.6,1524.0098/1647.6395/2146.29/1610.3/1617.1679/1804.6011/1451.37,1386.1/1006.0696/1324.16/1138.1652/1380.411/1308.9348/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),1420.1
"SONY, Long, 2026-02-20 (Price: 21.93)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 18","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 21.93), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 20.8735),5.06% above,"2024-05-12 (Price: 15.022), 2025-11-16 (Price: 30.34)",22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-04-09/2026-03-12/2027-12-29,9.4%,4.91%,4.49%,2.5,0.26,22.9607/25.3555/31.12/26.85/32.4/37.6609/26.43,21.82/14.992/21.2396/19.4749/19.4813/16.127/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),22.71
"VGT, Long, 2026-02-20 (Price: 737.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 737.6), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 722.7628),2.05% above,"2025-04-13 (Price: 451.0), 2025-11-02 (Price: 806.99)",20.12%/15.11%/16.2%,"0%, 27.55%",1.8 year/1.2 month/9.2 months,2028-09-15/2026-04-13/2027-03-26,14.28%,9.95%,4.33%,12.76,0.59,784.6589/857.0912/951.19/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,730.8/311.83/671.1312/639.8848/685.0535/610.1187/711.69,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets),726.23
"C6L.SI, Long, 2026-02-20 (Price: 6.9)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-20 (Price: 6.9), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),10.6% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-06/2027-02-06/2028-04-12,7.09%,-1.77%,8.86%,0.77,-0.19,7.1042/8.5705/7.96/No Horizontal Resistance/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.7,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-20 (Price: 10.84)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-20 (Price: 10.84), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),2.67% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-03/2026-09-29/2027-09-16,8.62%,8.22%,0.4%,0.91,0.49,12.4714/13.1554/17.9/12.825/13.8771/15.9169/11.53,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,92.68%/41/1.5 year (Across ALL Assets),66.67%/63/10.2 months (Across ALL Assets),11.05
"GOOG, Long, 2026-02-19 (Price: 303.56)",No Exit Yet,"3.74%, 1 day","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 314.9), 3.74% above",1 day,Upmove Bounce Back,23.66% (Price: 301.0579),4.6% above,"2025-04-07 (Price: 142.66), 2026-02-03 (Price: 350.15)",14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2028-12-27/2026-03-27/2026-10-11,22.02%,19.29%,2.73%,1.63,0.99,342.2335/333.916/428.05/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,302.82/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/246.5,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),302.52
"GLD, Long, 2026-02-19 (Price: 459.56)",No Exit Yet,"1.97%, 1 day","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 468.62), 1.97% above",1 day,Upmove Bounce Back,23.66% (Price: 444.9733),5.31% above,"2024-11-14 (Price: 236.13), 2026-01-29 (Price: 509.7)",11.32%/1.34%/8.92%,"-0.0%, 18.1%",2 years/1.4 month/5.2 months,2028-12-27/2026-04-20/2026-10-02,26.16%,11.89%,14.27%,2.41,0.93,494.7163/500.5528/623.7/No Horizontal Resistance/624.146/947.1834/No EMA 200 Target,427.13/150.8/424.4974/301.1087/No F-Track Level/No F-Track Level/357.94,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),457.34
"SLV, Long, 2026-02-19 (Price: 71.01)",No Exit Yet,"7.9%, 1 day","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 76.62), 7.9% above",1 day,Upmove Bounce Back,50% (Price: 64.105),19.52% above,"2023-03-09 (Price: 18.38), 2026-01-29 (Price: 109.83)",14.88%/7.53%/10.91%,"7.24%, 33.28%",2.9 years/14 days/8 months,2030-04-11/2026-03-11/2027-02-01,24.18%,11.56%,12.62%,1.56,0.61,76.3002/78.7572/125.88/No Horizontal Resistance/79.0727/89.0774/No EMA 200 Target,66.37/18.99/67.9787/59.1217/No F-Track Level/No F-Track Level/46.85,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),70.68
"BTI, Long, 2026-02-19 (Price: 60.99)",No Exit Yet,"1.79%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 62.08), 1.79% above",1 day,Upmove Bounce Back,38.2% (Price: 59.3055),4.68% above,"2026-01-07 (Price: 53.28), 2026-02-06 (Price: 63.03)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-11-05/2026-04-20/2027-11-06,11.0%,5.81%,5.19%,1.67,0.3,65.9241/66.3937/66.84/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,58.87/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.53,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),59.03
"DBC, Long, 2026-02-19 (Price: 24.43)",No Exit Yet,"0.7%, 1 day","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 24.6), 0.7% above",1 day,Upmove Bounce Back,50% (Price: 23.99),2.54% above,"2026-01-02 (Price: 22.29), 2026-01-29 (Price: 25.69)",10.01%/0.04%/4.6%,"-0.0%, 10.48%",3.8 months/29 days/1.9 month,2026-08-03/2026-04-02/2026-05-12,7.63%,6.83%,0.8%,0.42,0.39,24.794/25.5538/26.47/28.58/60.6441/65.878/No EMA 200 Target,23.59/19.55/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/22.55,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),24.29
"ENZL, Long, 2026-02-19 (Price: 46.0172)",No Exit Yet,"-0.39%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 45.8355), 0.39% below",1 day,Upmove Bounce Back,38.2% (Price: 44.6836),2.58% above,"2025-04-07 (Price: 38.93), 2026-02-10 (Price: 48.24)",10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,2027-01-28/2026-06-07/2026-09-28,9.1%,-5.47%,14.57%,0.51,-0.57,45.7825/50.1127/51.6/65.1933/79.7363/84.688/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.72,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),45.78
"USCI, Long, 2026-02-19 (Price: 82.76)",No Exit Yet,"0.34%, 1 day","94.44%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 83.04), 0.34% above",1 day,Upmove Bounce Back,23.66% (Price: 80.0409),3.75% above,"2023-05-04 (Price: 51.36), 2026-01-29 (Price: 88.93)",11.87%/8.4%/10.4%,"4.19%, 12.02%",1.8 year/1.1 month/7 months,2028-09-14/2026-04-07/2026-12-20,22.67%,13.72%,8.95%,1.7,0.99,87.8746/91.367/105.3/No Horizontal Resistance/90.2685/96.4537/No EMA 200 Target,79.86/38.42/81.0354/75.2881/No F-Track Level/No F-Track Level/76.78,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),82.05
"USO, Long, 2026-02-19 (Price: 81.19)",No Exit Yet,"-0.42%, 1 day","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 80.85), 0.42% below",1 day,Upmove Bounce Back,23.66% (Price: 76.7206),5.38% above,"2025-08-13 (Price: 71.56), 2025-09-26 (Price: 78.32)",11.41%/0.99%/9.11%,"1.2%, 23.64%",1 year/2.8 months/6.6 months,2027-07-25/2026-06-20/2026-12-02,14.43%,11.69%,2.74%,0.77,0.58,83.7718/88.5864/85.25/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.73/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/72.81,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),80.43
"WPM, Long, 2026-02-19 (Price: 145.34)",No Exit Yet,"3.47%, 1 day","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-02-20 (Price: 150.38), 3.47% above",1 day,Upmove Bounce Back,38.2% (Price: 134.4642),11.84% above,"2025-10-28 (Price: 92.57), 2026-01-29 (Price: 160.36)",13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-07-21/2026-02-27/2026-08-14,31.01%,14.41%,16.6%,1.92,0.71,155.1068/158.9293/186.01/No Horizontal Resistance/145.6176/157.2683/No EMA 200 Target,130.9/38.3375/131.4439/98.515/No F-Track Level/No F-Track Level/105.46,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets),143.5
