"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today's Trading Date/Price[$], Today's price vs Signal",Trading Days between Signal and Today's Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AAPL, Long, 2026-02-06 (Price: 275.91)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 275.91), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 243.0054),13.54% above,"2025-04-13 (Price: 169.21), 2025-12-07 (Price: 288.62)",19.47%/15.33%/16.76%,"9.56%, 53.43%",1.7 year/1.4 month/7.8 months,2028-07-11/2026-04-07/2027-01-10,12.35%,17.83%,-5.48%,2.32,0.9,303.1975/322.1525/347.56/No Horizontal Resistance/297.1089/321.9834/No EMA 200 Target,248.04/136.57/275.1059/248.4166/260.3676/243.0054/237.8,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),260.02
"META, Long, 2026-02-06 (Price: 670.21)",No Exit Yet,"0.0%, 0 days","100.0%, Past 13 years, 6","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 670.21), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 613.221),9.29% above,"2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,2029-02-05/2026-03-08/2027-03-04,19.03%,15.86%,3.17%,8.93,0.74,833.3391/785.6872/1134.36/No Horizontal Resistance/875.5866/915.851/684.01,620.25/276.89/627.6205/591.2141/628.6993/525.7329/No EMA 200 Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),714.37
"EFN.TO, Long, 2026-02-06 (Price: 35.65)",No Exit Yet,"0.0%, 0 days","85.71%, Past 20 years, 7","Weekly, is CONFIRMED on 2026-02-06",Already confirmed,"2026-02-06 (Price: 35.65), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 33.1947),7.4% above,"2025-02-09 (Price: 25.0), 2025-11-02 (Price: 38.26)",27.12%/15.2%/18.26%,"4.16%, 79.1%",4.3 years/2.6 months/1.2 year,2032-03-28/2026-05-29/2027-10-24,6.51%,10.86%,-4.35%,1.44,0.54,41.1971/42.1597/43.61/No Horizontal Resistance/48.884/73.5584/No EMA 200 Target,34.35/12.67/33.6344/24.2096/30.6746/26.0131/35.21,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets),34.0
"C6L.SI, Long, 2026-02-06 (Price: 6.7)",No Exit Yet,"0.0%, 0 days","87.5%, Past 40 years, 8","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.23 prior to 2026-02-27,"2026-02-06 (Price: 6.7), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 6.2388),7.39% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-10-23/2027-01-23/2028-03-29,7.09%,-1.77%,8.86%,0.77,-0.19,6.8983/8.3221/7.76/6.826/15.4629/16.7442/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/6.69,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-06 (Price: 10.83)",No Exit Yet,"0.0%, 0 days","85.71%, Past 31 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 10.6 prior to 2026-02-27,"2026-02-06 (Price: 10.83), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 10.5578),2.58% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-05-20/2026-09-15/2027-09-02,8.62%,8.22%,0.4%,0.91,0.49,12.4599/13.1433/17.89/12.825/13.8771/15.9169/11.52,10.38/7.3167/9.6206/9.1203/No support/No support/No EMA 200 Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),11.05
"AIA.NZ, Long, 2026-02-03 (Price: 8.28)",No Exit Yet,"1.45%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-05 (Price: 8.4), 1.45% above",2 days,Upmove Bounce Back,23.66% (Price: 8.3078),1.11% above,"2025-07-16 (Price: 7.365), 2026-01-12 (Price: 8.6)",12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2027-12-12/2026-05-26/2027-02-03,14.01%,-0.21%,14.22%,1.2,-0.11,8.5143/8.8662/9.02/8.8962/11.1706/12.8535/No EMA 200 Target,8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.9,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),8.36
"^NZ50, Long, 2026-02-03 (Price: 13421.5195)",No Exit Yet,"0.17%, 2 days","100.0%, Past 5 years, 8","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-05 (Price: 13444.0195), 0.17% above",2 days,Upmove Bounce Back,23.66% (Price: 13033.3071),3.15% above,"2023-10-30 (Price: 10695.9902), 2026-01-14 (Price: 13757.71)",10.49%/1.11%/5.43%,"-0.0%, 19.48%",4.1 years/7.1 months/1.6 year,2031-12-10/2026-12-08/2028-05-17,1.64%,0.55%,1.09%,0.94,-0.28,13667.1333/14150.308/15258.55/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13339.77/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13070.47,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),13412.4404
"TSM, Long, 2026-02-02 (Price: 341.36)",No Exit Yet,"1.04%, 4 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 344.9), 1.04% above",4 days,Upmove Bounce Back,23.66% (Price: 331.3349),4.09% above,"2025-11-21 (Price: 266.82), 2026-01-15 (Price: 351.33)",13.85%/10.09%/11.5%,"1.02%, 51.98%",2.1 years/16 days/3.8 months,2029-02-01/2026-02-25/2026-07-17,37.14%,15.53%,21.61%,2.66,0.73,372.4579/380.6164/392.07/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,276.96/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/258.49,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets),330.755
"DIS, Long, 2026-01-31 (Price: 112.8)",No Exit Yet,"-6.94%, 6 days","80.0%, Past 64 years, 20","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 104.97), 6.94% below",6 days,Upmove Bounce Back,50% (Price: 102.395),2.51% above,"2025-04-30 (Price: 80.1), 2025-06-30 (Price: 124.69)",30.57%/6.96%/23.02%,"18.11%, 60.42%",4.2 years/1 month/11.1 months,2032-01-30/2026-03-15/2027-05-28,7.35%,7.97%,-0.62%,0.97,0.4,129.3139/138.7666/139.55/168.455/207.5364/245.6322/No EMA 200 Target,90.95/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/112.32,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),113.44
"GBPUSD=X, Long, 2026-01-31 (Price: 1.3806)",No Exit Yet,"-1.43%, 6 days","83.33%, Past 56 years, 6","Monthly, was CONFIRMED on 2026-01-31",Already confirmed,"2026-02-06 (Price: 1.3609), 1.43% below",6 days,Upmove Bounce Back,23.66% (Price: 1.271),7.07% above,"2022-09-30 (Price: 1.0379), 2024-09-30 (Price: 1.3433)",3.79%/3.79%/3.79%,"0.37%, 7.17%",2.9 years/2.9 years/2.9 years,2030-03-23 (Max),4.04%,-0.96%,5.0%,0.36,-0.64,1.3879/1.4329/1.56/No Horizontal Resistance/2.4831/2.6524/No EMA 200 Target,1.24/1.1912/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.34,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets),1.3475
