"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 26","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 7.7), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 7.5388),2.14% above,"2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,2029-06-27/2025-12-01/2026-12-22,12.36%,12.69%,-0.32%,0.72,0.48,7.9988/10.0624/9.88/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
"TSLA, Long, 2025-11-26 (Price: 419.4)",No Exit Yet,"0.0%, 0 days","80.65%, Past 15 years, 31","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 382.78 prior to 2025-11-28,"2025-11-26 (Price: 419.4), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 375.7432),11.62% above,"2019-06-09 (Price: 11.7993), 2024-12-22 (Price: 488.54)",6815.74%/3.62%/968.91%,"19.51%, 72.25%",6.4 years/3.1 months/2.1 years,2035-01-29/2026-04-11/2028-11-29,14.07%,45.46%,-31.4%,0.27,1.18,463.7725/4483.0085/705.44/No Horizontal Resistance/461.2057/510.3573/No Moving Avg Target,391.09/181.0784/117.6011/73.4077/397.0397/340.8091/339.46,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"XLV, Long, 2025-11-26 (Price: 158.77)",No Exit Yet,"0.0%, 0 days","80.0%, Past 26 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 127.35 prior to 2025-12-31,"2025-11-26 (Price: 158.77), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 126.9868),25.03% above,"2009-03-31 (Price: 21.63), 2024-09-30 (Price: 159.64)",307.1%/307.1%/307.1%,"1.45%, 14.04%",10.3 years/10.3 years/10.3 years,2040-08-22/2040-08-22/2040-08-22,8.26%,6.44%,1.82%,0.48,0.22,155.1183/646.3527/241.58/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"WIPRO.NS, Long, 2025-11-26 (Price: 249.31)",No Exit Yet,"0.0%, 0 days","88.0%, Past 80 years, 25","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 235.01 prior to 2025-11-28,"2025-11-26 (Price: 249.31), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 232.7652),7.11% above,"2023-04-30 (Price: 176.0), 2025-01-31 (Price: 324.6)",196.24%/14.77%/97.8%,"25.41%, 71.77%",3.8 years/8 months/1.8 year,2031-04-30/2026-11-08/2028-07-11,9.34%,22.33%,-12.98%,0.43,0.63,243.2518/493.1352/338.47/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"RELIANCE.NS, Long, 2025-11-26 (Price: 1566.2)",No Exit Yet,"0.0%, 0 days","88.46%, Past 48 years, 26","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 1340.6 prior to 2025-11-28,"2025-11-26 (Price: 1566.2), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 1322.8731),18.39% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",415.66%/5.67%/156.39%,"26.03%, 38.57%",6.2 years/6.5 months/2.3 years,2034-09-12/2026-09-04/2029-03-16,8.96%,19.65%,-10.68%,0.38,0.63,1773.095/4015.5802/2291.29/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,84.44%/45/3.6 years (Across ALL Assets),76.0%/100/6.9 months (Across ALL Assets)
"PG, Long, 2025-11-26 (Price: 148.49)",No Exit Yet,"0.0%, 0 days","97.73%, Past 20 years, 44","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 144.09 prior to 2025-11-28,"2025-11-26 (Price: 148.49), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 142.4353),4.25% above,"1996-04-14 (Price: 19.8438), 2024-12-01 (Price: 180.43)",97.61%/1.34%/25.52%,"5.37%, 38.6%",8.5 years/1.8 month/2.2 years,2038-02-03/2026-02-12/2028-12-31,2.95%,4.92%,-1.97%,0.48,0.12,152.0538/186.3846/244.84/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"WMT, Long, 2025-11-26 (Price: 107.0)",No Exit Yet,"0.0%, 0 days","93.18%, Past 20 years, 44","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 98.88 prior to 2025-11-28,"2025-11-26 (Price: 107.0), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 98.2079),8.95% above,"2025-04-13 (Price: 79.81), 2025-10-19 (Price: 109.58)",65.68%/1.31%/22.98%,"16.1%, 30.65%",4.5 years/1.5 month/1.3 year,2032-04-06/2026-01-28/2027-09-30,4.78%,9.34%,-4.56%,0.52,0.36,109.0116/131.5886/124.86/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.55%/55/1.5 year (Across ALL Assets),74.31%/144/5.2 months (Across ALL Assets)
"IFT.NZ, Long, 2025-11-26 (Price: 11.44)",No Exit Yet,"0.0%, 0 days","100.0%, Past 31 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 9.13 prior to 2025-12-31,"2025-11-26 (Price: 11.44), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 9.2141),24.16% above,"2016-12-31 (Price: 2.5393), 2024-12-31 (Price: 13.34)",103.41%/23.86%/63.63%,"-0.0%, 22.42%",2.7 years/2.0 year/2.4 years,2029-10-12/2028-09-29/2029-04-05,13.15%,12.57%,0.58%,0.46,0.51,13.164/18.7193/17.92/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"BDGI.TO, Long, 2025-11-26 (Price: 71.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 33 years, 6","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 33.62 prior to 2025-12-31,"2025-11-26 (Price: 71.1), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 33.6027),111.59% above,"2022-03-31 (Price: 22.54), 2024-03-31 (Price: 51.5)",35.15%/35.15%/35.15%,"-0.0%, 52.34%",3.1 years/3.1 years/3.1 years,2030-04-18/2030-04-18/2030-04-18,7.18%,12.22%,-5.04%,0.42,0.42,74.5981/96.0916/88.48/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,92.31%/13/4.7 years (Across ALL Assets),69.23%/13/9.3 months (Across ALL Assets)
"AMZN, Long, 2025-11-25 (Price: 229.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 22","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 229.67), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 216.6816),5.99% above,"2023-01-06 (Price: 81.43), 2025-11-03 (Price: 258.6)",29.44%/10.5%/19.08%,"-0.0%, 56.15%",2.5 years/29 days/11.8 months,2029-07-16/2026-01-06/2027-04-23,8.66%,8.36%,0.29%,0.63,0.31,238.4204/273.491/335.97/239.3/317.6152/339.3352/No Moving Avg Target,217.14/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/214.67,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
