Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
OSCILLATOR DELTA,"NVDA, Long, 2025-12-02 (Price: 181.46)",Daily,No Exit Yet,No Price Target,2025-12-04 (Min),5.0%/5.08%,"0.0%, 0 days","2025-12-02 (Price: 181.46), 0.0% below",194.7247 (Historic Rise or Fall to Pivot)/200.0597 (Avg % Gain of Historic Winning trades)/190.53 (Exit Rule)/220.8368 (Backtested Best)/190.6782 (Backtested Worst),2026-02-19 (Max)/2025-12-04 (Min)/2025-12-15 (Avg),No Recent Minima/13.9695/129.8234/89.3715/182.4801/164.2223/154.1,"86.84%, Past 6 years, 38",No Information,No Information,No Information,No Information,No Information,No Information,21.7%/5.08%/10.25%,"14.32%, 16.64%",1.8 month/2 days/9 days,166.42%,81.52%,84.9%,0.34,2.03,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-30 (Price: 168.95)",Monthly,No Exit Yet,171.3322 (Backtested Worst),No Date Target,4.73%/10.25%,"1.28%, 1 day","2025-12-02 (Price: 171.12), 1.28% above",179.2222 (Historic Rise or Fall to Pivot)/197.908 (Avg % Gain of Historic Winning trades)/227.16 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/217.4386 (Backtested Best),2028-08-31 (Max)/2026-05-05 (Min)/2026-10-18 (Avg),118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"93.33%, Past 20 years, 15",No Information,No Information,No Information,No Information,No Information,9.2% above/1.28% above/1.28% above,28.7%/1.41%/17.14%,"5.23%, 30.62%",1.9 year/3.6 months/7.4 months,11.63%,10.7%,0.94%,1.75,0.45,92.45%/53/9.5 months (Across ALL Assets),73.83%/107/6.0 months (Across ALL Assets)
OSCILLATOR DELTA,"TFII.TO, Long, 2025-11-28 (Price: 121.87)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),1.7%/2.28%,"3.24%, 2 days","2025-12-02 (Price: 125.82), 3.24% above",135.5926 (Avg % Gain of Historic Winning trades)/127.96 (Exit Rule)/219.9933 (Horizontal)/223.9051 (F-Stack 1)/280.6304 (F-Stack 2)/159.1622 (Backtested Best)/128.6825 (Backtested Worst),2026-02-22 (Max)/2025-12-29 (Avg),No Recent Minima/102.925/113.6809/104.714/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.19%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,30.6%/5.59%/11.26%,"25.08%, 28.63%",2 months/1 day/22 days,34.87%,19.04%,15.83%,0.15,0.63,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-28 (Price: 168.95)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),1.14%/1.26%,"1.28%, 2 days","2025-12-02 (Price: 171.12), 1.28% above",173.2751 (Historic Rise or Fall to Pivot)/173.0724 (Avg % Gain of Historic Winning trades)/196.84 (Exit Rule)/188.6608 (F-Stack 1)/207.1743 (F-Stack 2)/176.2824 (Backtested Best),2026-02-28 (Max)/2025-12-03 (Min)/2025-12-22 (Avg),147.83/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"93.1%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,1.28% above/1.28% above/1.28% above,4.34%/1.0%/2.44%,"4.62%, 23.98%",2.1 months/4 days/17 days,18.74%,14.44%,4.3%,1.0,0.56,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-11-28 (Price: 1007.6)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),2.0%/2.73%,"-1.77%, 2 days","2025-12-02 (Price: 989.8), 1.77% below",1018.6836 (Historic Rise or Fall to Pivot)/1051.8336 (Avg % Gain of Historic Winning trades)/1024.94 (Exit Rule)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1104.8334 (Backtested Best)/1016.8699 (Backtested Worst),2026-03-05 (Max)/2025-12-03 (Min)/2026-01-07 (Avg),982.3/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/956.63,"100.0%, Past 4 years, 29",No Information,No Information,No Information,No Information,No Information,1.4% below/1.77% below/1.77% below,9.65%/0.92%/4.39%,"-0.0%, 11.99%",2.2 months/4 days/28 days,48.18%,7.98%,40.2%,1.18,0.29,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2025-11-28 (Price: 153.47)",Daily,No Exit Yet,No Price Target,2025-12-03 (Min),3.14%/3.42%,"-1.85%, 2 days","2025-12-02 (Price: 150.63), 1.85% below",159.2251 (Historic Rise or Fall to Pivot)/161.343 (Avg % Gain of Historic Winning trades)/155.78 (Exit Rule)/180.0371 (F-Stack 1)/199.4231 (F-Stack 2)/178.0712 (Backtested Best)/155.3577 (Backtested Worst),2026-04-13 (Max)/2025-12-03 (Min)/2025-12-22 (Avg),139.91/52.782/146.152/133.3839/No F-Track Level/No F-Track Level/125.98,"93.33%, Past 4 years, 30",No Information,No Information,No Information,No Information,No Information,0.8% above/1.85% below/1.85% below,16.03%/1.23%/5.13%,"19.7%, 28.41%",3.1 months/4 days/17 days,31.81%,24.47%,7.34%,0.41,0.82,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,No Exit Yet,No Price Target,2025-12-01 (Min),2.27%/7.77%,"1.57%, 4 days","2025-12-02 (Price: 7.821), 1.57% above",7.9988 (Historic Rise or Fall to Pivot)/10.0624 (Avg % Gain of Historic Winning trades)/9.88 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/13.6829 (Backtested Best),2029-06-27 (Max)/2026-12-22 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.72,"100.0%, Past 5 years, 26",No Information,No Information,No Information,"23.66% (Price: 7.5388), 3.74% above, Upmove Bounce Back","2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",No Information,77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,12.36%,12.69%,-0.32%,0.72,0.48,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"MSFT, Long, 2025-11-26 (Price: 485.5)",Daily,No Exit Yet,No Price Target,2025-11-28 (Min),2.6%/4.26%,"0.93%, 4 days","2025-12-02 (Price: 490.0), 0.93% above",502.7353 (Historic Rise or Fall to Pivot)/519.1451 (Avg % Gain of Historic Winning trades)/553.47 (Exit Rule)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/553.0331 (Backtested Best)/510.8917 (Backtested Worst),2026-01-01 (Max)/2025-12-11 (Avg),No Recent Minima/216.39/386.873/350.287/No F-Track Level/No F-Track Level/468.79,"81.48%, Past 6 years, 27",No Information,No Information,No Information,No Information,No Information,No Information,13.91%/5.23%/6.93%,"11.85%, 17.4%",25 days/2 days/11 days,5.61%,23.16%,-17.54%,0.03,0.84,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
DELTADRIFT,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",Daily,2025-12-02 (Price: 7.821) (Today),7.8124 (Backtested Worst),2025-11-28 (Min),2.03%/4.97%,"1.57%, 4 days","2025-12-02 (Price: 7.821), 1.57% above",8.4384 (Historic Rise or Fall to Pivot)/7.9795 (Avg % Gain of Historic Winning trades)/8.21 (Exit Rule)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/8.2213 (Backtested Best),2025-12-23 (Max)/2025-12-11 (Avg),7.2/2.942/6.3611/37.689/No F-Track Level/No F-Track Level/6.72,"100.0%, Past 4 years, 9",No Information,No Information,No Information,No Information,No Information,No Information,6.77%/1.46%/3.63%,"0%, 5.4%",19 days/2 days/11 days,15.05%,19.63%,-4.58%,2.34,0.75,83.04%/112/11 days (Across ALL Assets),78.16%/467/11 days (Across ALL Assets)
TRENDPULSE,"KXS.TO, Long, 2025-11-24 (Price: 175.83)",Daily,No Exit Yet,No Price Target,2025-11-29 (Min),5.22%/5.26%,"-1.17%, 8 days","2025-12-02 (Price: 173.77), 1.17% below",182.9159 (Historic Rise or Fall to Pivot)/184.305 (Avg % Gain of Historic Winning trades)/192.91 (Exit Rule)/209.885 (Horizontal)/227.7644 (F-Stack 1)/245.4058 (F-Stack 2)/182.84 (Moving Avg)/194.5207 (Backtested Best),2026-03-06 (Max)/2025-12-22 (Avg),170.26/126.33/151.1683/123.9058/No F-Track Level/No F-Track Level/No Moving Avg Support,"85.29%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,1.44% below/1.17% below/1.17% below,10.63%/1.1%/4.82%,"34.17%, 47.61%",2.4 months/4 days/20 days,7.29%,9.5%,-2.21%,0.1,0.36,88.26%/298/1 month (Across ALL Assets),82.89%/637/28 days (Across ALL Assets)
