Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-20 (Price: 1002.95)",Daily,No Exit Yet,No Price Target,2026-02-27 (Max),12.64%/14.63%,"-10.4%, 4.3 months","2026-02-26 (Price: 898.6), 10.4% below",1030.0296 (Historic Rise or Fall to Pivot)/1032.0356 (Avg % Gain of Historic Winning trades)/1215.77 (Function Specific Target)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1084.6904 (Backtested Max)/1012.1771 (Backtested Min),2026-02-27 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/935.19,"100.0%, Past 4 years, 20",997.0,No Information,No Information,No Information,No Information,No Information,10.4% below/10.4% below/10.4% below,8.15%/0.92%/2.9%,"-0.0%, 9.57%",3 months/6 days/1.1 month,14.28%,4.79%,9.49%,1.44,0.24,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-05-31 (Price: 972.45)",Monthly,No Exit Yet,No Price Target,2026-02-24 (Avg),14.68%/22.41%,"-7.59%, 9 months","2026-02-26 (Price: 898.6), 7.59% below",1167.4262 (Historic Rise or Fall to Pivot)/1099.9382 (Avg % Gain of Historic Winning trades)/1547.55 (Function Specific Target)/1263.3223 (F-Stack 1)/2016.6114 (F-Stack 2)/1197.4749 (Backtested Max)/1030.5053 (Backtested Min),2026-06-30 (Max),701.7/640.9/797.7641/510.0332/No F-Track Level/No F-Track Level/876.52,"80.0%, Past 20 years, 15",964.9,No Information,No Information,No Information,No Information,No Information,7.59% below/7.59% below/7.59% below,23.14%/5.97%/13.11%,"11.13%, 17.76%",9.1 months/5 months/6.2 months,10.25%,12.73%,-2.48%,0.59,0.71,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"HDFCBANK.NS, Long, 2025-10-12 (Price: 980.9)",Weekly,No Exit Yet,No Price Target,2026-02-23 (Avg),17.51%/20.53%,"-8.39%, 4.6 months","2026-02-26 (Price: 898.6), 8.39% below",1083.1098 (Historic Rise or Fall to Pivot)/1055.9389 (Avg % Gain of Historic Winning trades)/1098.0619 (Function Specific Target)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1283.9 (Backtested Max),2026-08-12 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/974.29,"82.0%, Past 10 years, 150",971.9,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,30.89%/0.05%/7.65%,"18.53%, 37.24%",7 months/2.1 months/3.1 months,21.18%,9.63%,11.55%,0.72,0.57,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
BASELINEDIVERGENCE,"HDFCBANK.NS, Long, 2025-10-12 (Price: 980.9)",Weekly,No Exit Yet,No Price Target,2026-02-23 (Avg),16.34%/19.34%,"-7.47%, 4.5 months","2026-02-25 (Price: 907.6), 7.47% below",1083.1098 (Historic Rise or Fall to Pivot)/1055.9389 (Avg % Gain of Historic Winning trades)/1098.0619 (Function Specific Target)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1283.9 (Backtested Max),2026-08-12 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/974.61,"82.0%, Past 10 years, 150",971.9,No Information,"^NSEI, Normal Case",No Information,No Information,No Information,No Information,30.89%/0.05%/7.65%,"18.53%, 37.24%",7 months/2.1 months/3.1 months,21.18%,9.63%,11.55%,0.72,0.57,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-26 (Price: 203.68),No Price Target,No Date Target,23.4%/65.97%,"15.52%, 7 months","2026-02-26 (Price: 203.68), 15.52% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,83.94% above/41.29% above/15.52% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-26 (Price: 203.68),No Price Target,No Date Target,81.23%/90.7%,"5.79%, 2 years","2026-02-26 (Price: 203.68), 5.79% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,38.17% above/12.0% above/5.79% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-26 (Price: 203.68),No Price Target,No Date Target,57.85%/66.09%,"21.46%, 2.1 years","2026-02-26 (Price: 203.68), 21.46% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,38.17% above/39.34% above/21.46% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-20 (Price: 62.08)",Daily,No Exit Yet,No Price Target,2026-02-25 (Min),1.74%/2.3%,"0.95%, 6 days","2026-02-26 (Price: 62.67), 0.95% above",67.7231 (Historic Rise or Fall to Pivot)/63.7624 (Avg % Gain of Historic Winning trades)/64.11 (Function Specific Target)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/67.6796 (Backtested Max),2026-03-20 (Max)/2026-03-06 (Avg),58.87/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.53,"100.0%, Past 4 years, 13",61.93,No Information,No Information,No Information,No Information,No Information,2.75% above/0.95% above/0.95% above,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,11.13%,4.24%,6.89%,0.97,0.2,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-12 (Price: 60.61)",Daily,2026-02-25 (Price: 63.03),No Price Target,2026-02-26 (Avg),5.44%/5.5%,"3.4%, 14 days","2026-02-26 (Price: 62.67), 3.4% above",66.1194 (Historic Rise or Fall to Pivot)/82.226 (F-Stack 1)/92.0468 (F-Stack 2)/66.077 (Backtested Max),2026-03-12 (Max),60.19/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/53.11,"100.0%, Past 4 years, 13",59.18,No Information,No Information,No Information,No Information,No Information,3.4% above/3.4% above/3.4% above,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,11.13%,4.24%,6.89%,0.97,0.2,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2025-08-10 (Price: 57.24)",Weekly,2026-02-22 (Price: 62.08),62.2886 (Avg % Gain of Historic Winning trades),No Date Target,7.19%/31.2%,"9.49%, 6.7 months","2026-02-26 (Price: 62.67), 9.49% above",82.226 (F-Stack 1)/92.0468 (F-Stack 2)/67.1769 (Backtested Max),2026-11-17 (Max),35.9/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/41.89,"95.65%, Past 10 years, 23",55.02,No Information,No Information,No Information,No Information,No Information,15.31% above/9.49% above/9.49% above,17.36%/1.81%/8.82%,"38.64%, 57.11%",10.7 months/1.2 month/3.4 months,-0.68%,2.1%,-2.78%,0.55,0.05,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
