"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"PFE, Long, 2026-02-13 (Price: 27.58)",No Exit Yet,"0.0%, 0 days","73.08%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 27.58), 0.0% below",0 days,"2, 2023-07-30 (Price: 37.8)",2026-02-08 (Price: 27.22),2026-02-10 (Price: 27.61),5/3/0 days,1.32% above/0.11% below/0.0% below,2023-07-30 (Price: 37.8)/2026-02-13 (Price: 25.8936),20.77%/1.93%/8.41%,"41.05%, 50.99%",1.2 year/28 days/5.3 months,2027-10-31/2026-03-25/2026-10-01,2.79%,1.76%,1.03%,0.12,0.02,29.2072/29.8995/33.71/55.39/66.4624/71.5868/No EMA 200 Target,23.76/23.345/25.6206/22.7912/No support/No support/24.84,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),27.18
"MAR, Long, 2026-02-13 (Price: 353.89)",No Exit Yet,"0.0%, 0 days","85.71%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 353.89), 0.0% below",0 days,"4, 2016-03-20 (Price: 73.89)",2026-02-01 (Price: 315.3),2026-02-10 (Price: 359.35),12/3/0 days,12.24% above/1.52% below/0.0% below,2016-03-20 (Price: 73.89)/2026-02-13 (Price: 313.7038),16.53%/2.51%/8.59%,"12.52%, 61.32%",11.4 months/28 days/4.1 months,2027-06-23/2026-03-25/2026-08-08,11.35%,10.48%,0.87%,0.65,0.53,405.8057/384.2892/521.89/No Horizontal Resistance/355.3234/374.3581/No EMA 200 Target,260.2/129.12/313.5051/297.0775/313.455/278.7058/281.31,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),331.25
"PG, Long, 2026-02-13 (Price: 160.07)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 160.07), 0.0% below",0 days,"2, 2025-03-09 (Price: 179.99)",2026-02-01 (Price: 151.77),2026-02-10 (Price: 159.08),12/3/0 days,5.47% above/0.62% above/0.0% below,2025-03-09 (Price: 179.99)/2026-02-13 (Price: 147.2108),10.46%/1.28%/3.78%,"0%, 24.03%",10.7 months/28 days/3.2 months,2027-05-23/2026-03-25/2026-07-02,6.36%,4.3%,2.06%,1.76,0.19,170.1224/166.1206/172.02/179.4533/198.7009/220.9395/No EMA 200 Target,141.79/130.72/147.1065/128.0678/158.1785/151.305/153.67,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),158.76
"PPH, Long, 2026-02-13 (Price: 111.19)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 111.19), 0.0% below",0 days,"4, 2020-01-21 (Price: 67.0)",2026-02-12 (Price: 110.3),2026-02-13 (Price: 111.19),1/0/0 days,0.81% above/0.0% below/0.0% below,2020-01-21 (Price: 67.0)/2026-02-13 (Price: 109.8304),5.58%/0.68%/2.88%,"0%, 20.52%",3.9 months/7 days/1.3 month,2026-08-01/2026-02-23/2026-04-10,7.49%,5.96%,1.53%,1.88,0.33,114.2922/114.3923/137.7/No Horizontal Resistance/126.5323/135.6093/No EMA 200 Target,104.54/71.642/102.4808/84.9957/96.5668/87.1071/93.58,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),110.79
"WMT, Long, 2026-02-13 (Price: 133.89)",No Exit Yet,"0.0%, 0 days","91.3%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 133.89), 0.0% below",0 days,"2, 2016-02-07 (Price: 22.6433)",2026-02-08 (Price: 131.18),2026-02-12 (Price: 133.64),5/1/0 days,2.07% above/0.19% above/0.0% below,2016-02-07 (Price: 22.6433)/2026-02-13 (Price: 122.1644),10.45%/2.48%/5.35%,"1.31%, 24.69%",1.5 year/28 days/5.6 months,2028-04-05/2026-03-25/2026-10-14,8.33%,9.41%,-1.08%,1.49,0.58,142.5527/141.0531/200.64/No Horizontal Resistance/136.6818/150.1548/No EMA 200 Target,101.18/43.3466/114.6382/91.6278/112.0405/98.1461/104.77,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),131.42
"GNE.NZ, Long, 2026-02-13 (Price: 2.47)",No Exit Yet,"0.0%, 0 days","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 2.47), 0.0% below",0 days,"2, 2025-10-19 (Price: 2.56)",2026-02-08 (Price: 2.46),2026-02-13 (Price: 2.47),5/0/0 days,0.41% above/0.0% below/0.0% below,2025-10-19 (Price: 2.56)/2026-02-13 (Price: 2.4173),8.45%/0.78%/4.81%,"22.37%, 34.69%",1.2 year/28 days/3.5 months,2027-10-31/2026-03-25/2026-07-15,3.46%,2.22%,1.24%,0.3,0.05,2.6651/2.5888/2.52/3.575/4.6908/5.9676/No EMA 200 Target,2.36/2.0733/No F-Stack Support/No F-Stack Support/No support/No support/2.38,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),2.46
"MEL.NZ, Long, 2026-02-13 (Price: 5.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 5.76), 0.0% below",0 days,"8, 2024-07-21 (Price: 6.89)",2026-02-08 (Price: 5.71),2026-02-12 (Price: 5.79),5/1/0 days,0.88% above/0.52% below/0.0% below,2024-07-21 (Price: 6.89)/2026-02-13 (Price: 5.6192),24.31%/1.96%/9.79%,"-0.0%, 22.1%",8.9 months/1.2 month/3.1 months,2027-03-06/2026-04-06/2026-06-27,11.4%,7.53%,3.87%,1.15,0.39,6.3504/6.3239/6.44/6.825/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,5.46/4.3875/No F-Stack Support/No F-Stack Support/No support/No support/5.73,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),5.65
"ATD.TO, Long, 2026-02-13 (Price: 83.86)",No Exit Yet,"0.0%, 0 days","90.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 83.86), 0.0% below",0 days,"0, 2024-03-03 (Price: 87.27)",2026-02-13 (Price: 83.86),2026-02-13 (Price: 83.86),0/0/0 days,0.0% below/0.0% below/0.0% below,2024-03-03 (Price: 87.27)/2026-02-13 (Price: 78.3308),15.58%/3.82%/6.76%,"7.08%, 28.5%",8.6 months/28 days/4.1 months,2027-02-21/2026-03-25/2026-08-08,10.6%,14.26%,-3.66%,0.87,0.82,90.3591/89.5289/85.91/85.51/100.8822/111.119/No EMA 200 Target,70.84/45.49/82.6356/73.9889/No support/No support/72.49,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),78.91
"CNR.TO, Long, 2026-02-13 (Price: 146.42)",No Exit Yet,"0.0%, 0 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 146.42), 0.0% below",0 days,"4, 2024-03-03 (Price: 178.38)",2026-02-08 (Price: 138.55),2026-02-09 (Price: 140.14),5/4/0 days,5.68% above/4.48% above/0.0% below,2024-03-03 (Price: 178.38)/2026-02-13 (Price: 133.1732),10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-22/2026-04-06/2026-09-18,8.06%,6.5%,1.56%,1.1,0.37,155.542/156.318/165.6/171.0825/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,130.99/127.536/No F-Stack Support/No F-Stack Support/No support/No support/136.09,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),138.58
"MX.TO, Long, 2026-02-13 (Price: 66.46)",No Exit Yet,"0.0%, 0 days","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-13",Already confirmed,"2026-02-13 (Price: 66.46), 0.0% below",0 days,"2, 2016-03-20 (Price: 48.95)",2026-02-13 (Price: 66.46),2026-02-13 (Price: 66.46),0/0/0 days,0.0% below/0.0% below/0.0% below,2016-03-20 (Price: 48.95)/2026-02-13 (Price: 64.1105),35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-10-31/2026-03-25/2026-08-31,11.89%,3.89%,8.0%,0.73,0.26,76.4024/77.9842/76.97/73.435/118.0011/153.5474/No EMA 200 Target,47.63/38.425/66.346/59.4784/No support/No support/51.76,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),64.36
