"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XIU.TO, Long, 2026-02-27 (Price: 49.71)",No Exit Yet,"0.0%, 0 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 49.71), 0.0% below",0 days,"4, 2016-03-20 (Price: 20.16)",2026-02-22 (Price: 49.57),2026-02-27 (Price: 49.71),5/0/0 days,0.28% above/0.0% below/0.0% below,2016-03-20 (Price: 20.16)/2026-02-27 (Price: 48.8542),5.21%/1.57%/3.94%,"2.16%, 32.4%",1.1 year/28 days/6.6 months,2027-09-23/2026-04-08/2026-12-10,4.69%,4.03%,0.66%,1.63,0.17,50.5054/51.6686/67.44/No Horizontal Resistance/48.3988/56.9776/No EMA 200 Target,35.35/27.9467/41.5586/34.9694/44.6839/41.3862/44.14,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),49.56
"SONY, Long, 2026-02-27 (Price: 23.06)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 23.06), 0.0% below",0 days,"2, 2025-11-12 (Price: 30.34)",2026-02-26 (Price: 22.59),2026-02-27 (Price: 23.06),1/0/0 days,2.08% above/0.0% below/0.0% below,2025-11-12 (Price: 30.34)/2026-02-27 (Price: 22.2187),5.66%/0.97%/3.79%,"9.71%, 32.85%",1.8 month/6 days/1 month,2026-05-16/2026-03-07/2026-04-11,9.74%,5.62%,4.12%,0.31,0.29,24.7019/23.934/27.43/26.85/32.4/37.6609/26.36,21.41/14.992/21.2396/19.4749/22.753/No support/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),23.04
"AIA.NZ, Long, 2026-02-27 (Price: 9.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 9.16), 0.0% below",0 days,"2, 2025-06-22 (Price: 8.1)",2026-02-22 (Price: 8.88),2026-02-27 (Price: 9.16),5/0/0 days,3.15% above/0.0% below/0.0% below,2025-06-22 (Price: 8.1)/2026-02-27 (Price: 8.6371),12.76%/0.47%/5.85%,"-0.0%, 7.89%",4 months/28 days/2.5 months,2026-08-19/2026-04-08/2026-06-15,10.91%,5.79%,5.12%,1.45,0.3,9.9871/9.6959/9.8/No Horizontal Resistance/10.792/12.737/No EMA 200 Target,7.47/7.0017/8.0885/7.295/8.0159/7.3006/7.97,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),8.85
"CNU.NZ, Long, 2026-02-27 (Price: 9.58)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 9.58), 0.0% below",0 days,"2, 2025-09-07 (Price: 9.98)",2026-02-27 (Price: 9.58),2026-02-27 (Price: 9.58),0/0/0 days,0.0% below/0.0% below/0.0% below,2025-09-07 (Price: 9.98)/2026-02-27 (Price: 9.4764),11.36%/2.06%/5.35%,"0%, 21.14%",1.3 year/1.2 month/8.2 months,2028-01-05/2026-04-20/2027-02-16,11.35%,5.38%,5.97%,2.01,0.27,10.3828/10.0925/9.82/9.875/11.0627/11.8475/No EMA 200 Target,9.13/6.0983/No F-Stack Support/No F-Stack Support/7.9204/6.6547/9.12,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),9.52
"ATM.NZ, Long, 2026-02-27 (Price: 11.55)",No Exit Yet,"0.0%, 0 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 11.55), 0.0% below",0 days,"0, 2023-01-05 (Price: 7.71)",2026-02-27 (Price: 11.55),2026-02-27 (Price: 11.55),0/0/0 days,0.0% below/0.0% below/0.0% below,2023-01-05 (Price: 7.71)/2026-02-27 (Price: 11.449),26.28%/1.03%/5.98%,"10.63%, 64.86%",2 months/7 days/20 days,2026-05-24/2026-03-09/2026-03-27,9.53%,-5.31%,14.84%,0.78,-0.11,12.0351/12.2407/13.85/No Horizontal Resistance/21.0083/25.9428/No EMA 200 Target,9.55/5.185/8.0863/5.0358/11.5214/No support/9.8,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets),11.4
"ATM.NZ, Long, 2026-02-27 (Price: 11.55)",No Exit Yet,"0.0%, 0 days","90.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 11.55), 0.0% below",0 days,"2, 2025-11-09 (Price: 11.08)",2026-02-27 (Price: 11.55),2026-02-25 (Price: 11.27),0/2/0 days,0.0% below/2.48% above/0.0% below,2025-11-09 (Price: 11.08)/2026-02-27 (Price: 11.016),45.16%/6.52%/21.14%,"5.0%, 38.02%",6.8 months/1.2 month/2.7 months,2026-12-19/2026-04-20/2026-06-24,20.45%,21.22%,-0.77%,1.35,0.89,14.985/13.9917/11.83/No Horizontal Resistance/21.0083/25.9428/No EMA 200 Target,9.66/5.185/8.0863/5.0358/11.2234/10.8404/9.8,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),11.23
"MX.TO, Long, 2026-02-27 (Price: 68.82)",No Exit Yet,"0.0%, 0 days","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-02-27 (Price: 68.82), 0.0% below",0 days,"2, 2016-03-20 (Price: 48.95)",2026-02-27 (Price: 68.82),2026-02-27 (Price: 68.82),0/0/0 days,0.0% below/0.0% below/0.0% below,2016-03-20 (Price: 48.95)/2026-02-27 (Price: 64.8541),35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-11-14/2026-04-08/2026-09-14,11.89%,3.89%,8.0%,0.73,0.26,79.1155/80.7534/80.74/73.435/118.0011/153.5474/No EMA 200 Target,47.63/38.425/66.346/59.4784/No support/No support/52.74,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets),67.08
"SOXX, Long, 2026-02-27 (Price: 352.29)",No Exit Yet,"0.0%, 0 days","77.78%, Past 20 years, 9","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 342.37 prior to 2026-02-27,"2026-02-27 (Price: 352.29), 0.0% below",0 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-27 (Price: 352.29),27/0/0 days,1.73% above/0.0% below/0.0% below,2002-03-31 (Price: 25.5067)/2026-02-27 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-16/2026-10-02/2026-11-23,-3.22%,7.76%,-10.98%,0.06,0.4,403.3016/406.2961/548.36/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,183.84/110.475/320.8469/267.2317/316.6473/284.5852/277.64,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets),342.37
"SLV, Long, 2026-02-27 (Price: 84.99)",No Exit Yet,"0.0%, 0 days","100.0%, Past 19 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 67.3 prior to 2026-03-31,"2026-02-27 (Price: 84.99), 0.0% below",0 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-02-18 (Price: 70.09),58/9/0 days,31.93% above/21.26% above/0.0% below,2008-03-31 (Price: 20.73)/2026-02-27 (Price: 60.08),72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2033-01-03 (Max),9.45%,6.73%,2.72%,0.47,0.33,112.7732/146.5653/123.55/No Horizontal Resistance/79.1429/95.8563/No EMA 200 Target,17.5/18.99/67.0665/59.2029/No support/72.0235/48.13,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),67.3
"^DJI, Long, 2026-02-27 (Price: 48977.9219)",No Exit Yet,"0.0%, 0 days","100.0%, Past 34 years, 4","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 48105.9805 prior to 2026-03-31,"2026-02-27 (Price: 48977.9219), 0.0% below",0 days,"4, 2000-03-31 (Price: 11750.2803)",2025-12-31 (Price: 48063.2891),2026-01-02 (Price: 48382.3906),58/56/0 days,1.9% above/1.23% above/0.0% below,2000-03-31 (Price: 11750.2803)/2026-02-27 (Price: 47097.9617),39.58%/39.58%/39.58%,"-0.0%, 23.2%",3.5 years/3.5 years/3.5 years,2031-02-26 (Max),7.15%,5.81%,1.34%,1.43,0.34,56486.2373/68363.3834/71314.51/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,28725.51/32009.8867/39844.8882/32997.1394/47223.8106/45202.6041/46184.3,100.0%/9/2.4 years (Across ALL Assets),25.0%/4/7.2 months (Across ALL Assets),48105.9805
