Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ETH-USD, Long, 2026-02-20 (Price: 1974.2324)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 5","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 1974.2324), 0.0% below",0 days,1965.1317,No Information,No Information,No Information,"88.6% (Price: 1793.4297), 10.08% above, Upmove Bounce Back","2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",No Information,33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-12/2026-03-02/2026-06-21,44.95%,44.58%,0.37%,1.56,1.59,2043.7254/2450.4173/4114.39/4922.7188/5483.4169/7318.9774/3505.48,1966.04/1370.4997/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
FRACTAL TRACK,"HYG, Long, 2026-02-20 (Price: 81.0)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 8","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 81.0), 0.0% below",0 days,80.82,No Information,No Information,No Information,"23.66% (Price: 79.8742), 1.41% above, Upmove Bounce Back","2025-04-13 (Price: 75.08), 2025-09-28 (Price: 81.36)",No Information,1.64%/1.64%/1.64%,"-0.0%, 5.0%",5.6 months/5.6 months/5.6 months,2026-10-21 (Max),4.91%,-0.94%,5.85%,0.25,-0.45,81.2592/82.3284/84.77/87.0575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.95/72.2733/No F-Stack Support/No F-Stack Support/78.7669/77.1733/80.43,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
FRACTAL TRACK,"SONY, Long, 2026-02-20 (Price: 21.93)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 18","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 21.93), 0.0% below",0 days,22.71,No Information,No Information,No Information,"61.8% (Price: 20.8735), 5.06% above, Upmove Bounce Back","2024-05-12 (Price: 15.022), 2025-11-16 (Price: 30.34)",No Information,22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-04-09/2026-03-12/2027-12-29,9.4%,4.91%,4.49%,2.5,0.26,22.9607/25.3555/31.12/26.85/32.4/37.6609/26.43,21.82/14.992/21.2396/19.4749/19.4813/16.127/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
FRACTAL TRACK,"VGT, Long, 2026-02-20 (Price: 737.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 15","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 737.6), 0.0% below",0 days,726.23,No Information,No Information,No Information,"23.66% (Price: 722.7628), 2.05% above, Upmove Bounce Back","2025-04-13 (Price: 451.0), 2025-11-02 (Price: 806.99)",No Information,20.12%/15.11%/16.2%,"0%, 27.55%",1.8 year/1.2 month/9.2 months,2028-09-15/2026-04-13/2027-03-26,14.28%,9.95%,4.33%,12.76,0.59,784.6589/857.0912/951.19/No Horizontal Resistance/884.0923/1003.1001/No EMA 200 Target,730.8/311.83/671.1312/639.8848/685.0535/610.1187/711.69,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
DELTADRIFT,"KXS.TO, Long, 2026-02-20 (Price: 124.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 11 years, 4","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 124.2), 0.0% below",0 days,122.9,No Information,No Information,No Information,No Information,No Information,No Information,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,2026-07-22/2026-05-13/2026-06-17,12.67%,15.77%,-3.1%,14.45,0.74,147.6862/139.3151/143.5/209.885/228.5478/258.7048/180.94,123.77/No Horizontal Support/117.053/100.333/No support/No support/No EMA 200 Support,72.73%/11/3.4 months (Across ALL Assets),90.36%/83/2.3 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2026-02-20 (Price: 370.54)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 370.54), 0.0% below",0 days,361.865,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-13/2026-04-01/2026-07-26,14.91%,16.6%,-1.69%,1.65,0.88,427.8255/424.3424/576.89/No Horizontal Resistance/360.6179/384.2031/No EMA 200 Target,275.06/83.575/291.0528/242.5186/304.1531/257.5423/268.3,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
TRENDPULSE,"BTI, Long, 2026-02-20 (Price: 62.08)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 13","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 62.08), 0.0% below",0 days,61.93,No Information,No Information,No Information,No Information,No Information,1.79% above/0.0% below/0.0% below,9.02%/0.81%/2.71%,"-0.0%, 8.72%",20 days/4 days/10 days,2026-03-20/2026-02-25/2026-03-06,11.13%,4.24%,6.89%,0.97,0.2,67.7231/63.7624/64.11/No Horizontal Resistance/77.6843/86.2499/No EMA 200 Target,58.87/28.5067/53.9498/50.4772/61.5164/No support/53.53,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
BASELINEDIVERGENCE,"GLXY, Long, 2026-02-20 (Price: 21.2)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 4","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 21.2), 0.0% below",0 days,21.34,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,67.52%/16.33%/40.96%,"-0.0%, 23.21%",4.9 months/2.1 months/3.6 months,2026-09-20/2026-05-22/2026-07-26,545.34%,20.06%,525.28%,1.09,0.93,29.2051/29.8835/No Target/22.14/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,19.76/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/nan,73.68%/19/3.9 months (Across ALL Assets),68.44%/564/3.3 months (Across ALL Assets)
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-02-20 (Price: 1419.4)",No Exit Yet,"0.0%, 0 days","90.48%, Past 20 years, 21","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 1419.4), 0.0% below",0 days,1420.1,No Information,No Information,No Information,"23.66% (Price: 1325.1633), 7.11% above, Upmove Bounce Back","2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",No Information,22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,2029-11-06/2026-03-12/2026-11-25,15.84%,11.94%,3.9%,1.68,0.6,1524.0098/1647.6395/2146.29/1610.3/1617.1679/1804.6011/1451.37,1386.1/1006.0696/1324.16/1138.1652/1380.411/1308.9348/No EMA 200 Support,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
TRENDPULSE,"ENZL, Long, 2026-02-20 (Price: 45.8355)",No Exit Yet,"0.0%, 0 days","88.24%, Past 4 years, 17","Daily, is CONFIRMED on 2026-02-20",Already confirmed,"2026-02-20 (Price: 45.8355), 0.0% below",0 days,45.29,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,2026-05-13/2026-02-28/2026-03-19,-4.35%,-2.2%,-2.15%,0.15,-0.21,46.1609/46.6514/58.65/65.1933/78.3229/93.1188/No EMA 200 Target,44.9/39.215/No F-Stack Support/No F-Stack Support/No support/No support/45.72,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
